experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_eval_loss,perf_eval_samples_per_second,perf_f1,perf_final_training_loss,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_error,perf_top10_accuracy,perf_top1_accuracy,perf_top20_accuracy,perf_top5_accuracy,perf_train_error,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
examples_mnist_001,2025-12-30T20:44:40.062749,examples,mnist,True,114.82897353172302,0,,58,,7,,0.008104720158338956,,3332,,,,,,,,,,,,,94.0,,,,,,,4835.65,404.41,5240.06,86.94424528301886,91.0,69.0,9216.089999999998,51.31132075471698,55.0,8.18867924528302,11.0
examples_mnist_002,2025-12-30T20:48:10.662678,examples,mnist,True,207.56231355667114,0,,102,,15,,0.014683700397358933,,7436,,,,,,,,,,,,,96.0,,,,,,,8813.31,738.34,9551.65,90.85825000000004,93.62,72.13,18171.65000000001,57.835,61.0,8.06,10.0
examples_mnist_003,2025-12-30T20:49:46.090030,examples,mnist,True,92.35877919197083,0,,51,,6,,0.011104963073764797,,6938,,,,,,,,,,,,,95.0,,,,,,,3932.0,326.78,4258.78,92.14068965517238,94.63,74.57,8016.239999999997,60.632183908045974,62.0,8.804597701149426,11.0
examples_mnist_004,2025-12-30T20:51:18.040907,examples,mnist,True,88.91539812088013,0,,85,,6,,0.013200118464370287,,6305,,,,,,,,,,,,,95.0,,,,,,,3752.98,313.53,4066.51,92.48380952380951,94.93,75.34,7768.639999999999,61.535714285714285,62.0,8.44047619047619,11.0
examples_mnist_005,2025-12-30T20:54:19.769944,examples,mnist,True,178.69288039207458,0,,125,,13,,0.010605537832905238,,6077,,,,,,,,,,,,,95.0,,,,,,,7562.57,629.84,8192.41,92.61267441860467,94.35,75.86,15929.380000000003,62.63953488372093,63.0,7.3604651162790695,9.0
examples_mnist_006_parallel,2025-12-30T20:57:40.466609,examples,mnist,True,107.65677332878113,0,,62,,7,,0.014894393592829722,,3829,,,,,,,,,,,,,97.0,,,,,,,5009.92,386.34,5396.26,181.5903846153846,187.71,165.14,18885.399999999998,70.5673076923077,72.0,55.38461538461539,62.0
examples_mnist_007_parallel,2025-12-30T21:02:08.240023,examples,mnist,True,174.69189834594727,0,,21,,10,,0.018144562985666943,,7415,,,,,,,,,,,,,98.0,,,,,,,8383.55,633.93,9017.48,186.93776470588242,195.08,163.61,31779.42000000001,73.00588235294117,75.0,69.15294117647059,79.0
examples_mnist_008_parallel,2025-12-30T21:04:57.808880,examples,mnist,True,76.52770614624023,0,,89,,5,,0.008720085251658582,,214,,,,,,,,,,,,,94.0,,,,,,,3540.58,276.02,3816.6,181.92567567567568,187.02,164.18,13462.5,72.78378378378379,74.0,52.729729729729726,59.0
examples_mnist_009_parallel,2025-12-30T21:08:02.604302,examples,mnist,True,91.75584626197815,0,,85,,6,,0.007988996868369996,,5161,,,,,,,,,,,,,94.0,,,,,,,4253.9,328.07,4581.97,182.1076404494382,188.09,165.14,16207.58,72.96629213483146,74.0,52.93258426966292,59.0
examples_mnist_010_parallel,2025-12-30T21:11:06.867420,examples,mnist,True,91.21970796585083,0,,21,,5,,0.01405148368277742,,710,,,,,,,,,,,,,97.0,,,,,,,4360.89,326.97,4687.86,187.4255681818182,195.57,167.22,16493.45,73.68181818181819,75.0,68.23863636363636,78.0
examples_mnist_ff_011,2025-12-30T21:12:19.176187,examples,mnist_ff,True,9.273546934127808,0,,19,,11,,0.0066123924246972955,,8898,,,,,,,,,,,,,9.07000005245209,0.9092999994754791,,,,,0.8421052694320679,337.4,28.37,365.77,81.75833333333334,85.19,78.33,490.55,62.5,63.0,0.0,0.0
examples_mnist_ff_012,2025-12-30T21:12:30.730117,examples,mnist_ff,True,8.520917892456055,0,,102,,6,,0.005959321708967858,,2224,,,,,,,,,,,,,8.54000002145767,0.9145999997854233,,,,,0.8431372493505478,306.33,25.62,331.95,81.19666666666666,87.89,75.56,487.17999999999995,62.5,63.0,0.0,0.0
examples_mnist_ff_013,2025-12-30T21:12:42.128947,examples,mnist_ff,True,8.36585259437561,0,,34,,6,,0.008447256986548688,,3167,,,,,,,,,,,,,9.65999960899353,0.9034000039100647,,,,,0.9411764703691006,304.75,25.5,330.25,81.79833333333333,87.93,75.98,490.79,62.333333333333336,63.0,0.0,0.0
examples_mnist_ff_014,2025-12-30T21:12:53.730642,examples,mnist_ff,True,8.568684101104736,0,,71,,14,,0.006796184632497256,,5514,,,,,,,,,,,,,9.52999964356422,0.9047000035643578,,,,,0.8873239457607269,314.24,26.29,340.53,81.24,87.71,75.92,487.44,62.0,62.0,0.0,0.0
examples_mnist_ff_015,2025-12-30T21:13:05.288126,examples,mnist_ff,True,8.52436089515686,0,,43,,10,,0.010681337185722213,,5351,,,,,,,,,,,,,8.9199997484684,0.910800002515316,,,,,0.7906976789236069,308.42,26.0,334.42,81.11500000000001,87.62,75.75,486.69000000000005,61.833333333333336,62.0,0.0,0.0
examples_mnist_ff_016_parallel,2025-12-30T21:14:46.010662,examples,mnist_ff,True,7.686178684234619,0,,51,,9,,0.011873394814603122,,3574,,,,,,,,,,,,,10.30000001192093,0.8969999998807907,,,,,0.8627450913190842,303.03,23.59,326.62,165.16285714285712,170.83,160.63,1156.1399999999999,68.28571428571429,69.0,42.857142857142854,45.0
examples_mnist_ff_017_parallel,2025-12-30T21:16:26.799094,examples,mnist_ff,True,7.7503721714019775,0,,123,,13,,0.012648705511169943,,4703,,,,,,,,,,,,,10.27999967336655,0.8972000032663345,,,,,0.8536585420370102,307.54,23.94,331.48,166.22857142857143,171.27,161.07,1163.6,68.57142857142857,69.0,44.142857142857146,53.0
examples_mnist_ff_018_parallel,2025-12-30T21:18:07.573750,examples,mnist_ff,True,7.7368083000183105,0,,77,,14,,0.0090842240515643,,6554,,,,,,,,,,,,,10.30000001192093,0.8969999998807907,,,,,0.8571428507566452,304.71,24.09,328.8,165.82285714285717,170.65,163.5,1160.7600000000002,68.57142857142857,69.0,41.285714285714285,44.0
examples_mnist_ff_019_parallel,2025-12-30T21:19:48.357203,examples,mnist_ff,True,7.713545799255371,0,,111,,8,,0.018141867492359885,,1625,,,,,,,,,,,,,10.20999997854233,0.8979000002145767,,,,,0.8828828781843185,298.63,23.7,322.33,165.49,171.76,162.32,1158.43,68.28571428571429,69.0,41.857142857142854,46.0
examples_mnist_ff_020_parallel,2025-12-30T21:21:29.058438,examples,mnist_ff,True,7.663983345031738,0,,66,,11,,0.015576044528844452,,1779,,,,,,,,,,,,,9.82000008225441,0.9017999991774559,,,,,0.8181818127632141,298.14,23.39,321.53,164.8442857142857,170.14,160.04,1153.9099999999999,68.14285714285714,69.0,42.714285714285715,45.0
examples_mnist_rnn_021,2025-12-30T21:25:11.573232,examples,mnist_rnn,True,159.47661924362183,0,,71,,8,,0.015024015821635307,,4595,,,,,,,,,,,,,58.0,,,,,,,7153.05,569.89,7722.94,11.979605263157893,84.62,4.09,1820.8999999999996,51.7828947368421,60.0,0.0,0.0
