,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,hyperparam_seed,hyperparam_l2_regularization,hyperparam_kfold,hyperparam_epochs,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,hyperparam_l2_regularization_x_is_parallel,hyperparam_kfold_x_is_parallel
energy_cpu_pkg_joules,0.0,0.53999996,0.5,0.12,0.04,0.22,0.22,0.099999994,0.16,0.12,0.04,0.29999998,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.26
energy_cpu_ram_joules,0.35999998,0.0,0.42,0.099999994,0.12,0.38,0.52,0.099999994,0.08,0.22,0.38,0.0,0.0,0.0,0.17999999,0.0,0.0,0.0,0.0,0.0,0.0,0.06
energy_cpu_total_joules,0.5,0.44,0.0,0.04,0.04,0.24,0.32,0.08,0.06,0.06,0.08,0.22,0.0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999
energy_gpu_avg_watts,0.0,0.02,0.06,0.0,0.44,0.44,0.22,0.39999998,0.32,0.17999999,0.12,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_max_watts,0.02,0.0,0.0,0.56,0.0,0.099999994,0.35999998,0.28,0.16,0.45999998,0.38,0.19999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_min_watts,0.0,0.04,0.0,0.34,0.22,0.0,0.0,0.24,0.12,0.12,0.02,0.099999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_total_joules,0.0,0.22,0.06,0.08,0.22,0.06,0.0,0.04,0.06,0.35999998,0.29999998,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_avg_celsius,0.0,0.0,0.02,0.39999998,0.34,0.64,0.08,0.0,0.44,0.32,0.16,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.0,0.04,0.02,0.12,0.14,0.16,0.02,0.52,0.0,0.17999999,0.24,0.29999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.02,0.42,0.0,0.12,0.35999998,0.14,0.5,0.29999998,0.17999999,0.0,0.53999996,0.06,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_max_percent,0.02,0.14,0.0,0.28,0.35999998,0.06,0.62,0.17999999,0.34,0.44,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_parallel,0.099999994,0.04,0.0,0.32,0.42,0.12,0.0,0.28,0.44,0.14,0.44,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
hyperparam_kfold,0.14,0.04,0.099999994,0.0,0.0,0.12,0.0,0.0,0.0,0.02,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.44
hyperparam_epochs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_top1_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.12,0.06,0.0,0.0
perf_top5_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59999996,0.0,0.53999996,0.32,0.0,0.0
perf_top10_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.38,0.0,0.34,0.0,0.0
perf_top20_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.08,0.64,0.0,0.0,0.0
hyperparam_l2_regularization_x_is_parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02
hyperparam_kfold_x_is_parallel,0.04,0.04,0.06,0.0,0.02,0.12,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29999998,0.0,0.0,0.0,0.0,0.0,0.06,0.0
