method,alpha,Width,D_DI,D_SPD,D_AOD,D_Cons,D_TI,Tr_Acc,Tr_F1,Tr_DI,Tr_SPD,Tr_AOD,Tr_Cons,Tr_TI,Te_Acc,Te_F1,Te_DI,Te_SPD,Te_AOD,Te_Cons,Te_TI,A_FGSM,A_PGD
Baseline,0.0,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8510503869846786,0.5977305690640731,0.3540831919876856,-0.20253042102822183,-0.0323532493338217,[0.82922761],0.0,0.8298813296970591,0.5308943089430894,0.38551898623558817,-0.1904622223188817,-0.05394042262163777,[0.8187219],0.0,0.02144910444460824,0.011203655929829734
Baseline,0.25,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8714579055441478,0.7083363199770627,0.3540831919876856,-0.20253042102822183,-0.059628135946216285,[0.82922761],0.0,0.8456548979140561,0.6474747474747475,0.38551898623558817,-0.1904622223188817,-0.06679923473552848,[0.8187219],0.0,0.020490897029557014,0.010687698090955997
Baseline,0.5,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8669404517453799,0.6825444678926741,0.3540831919876856,-0.20253042102822183,-0.05106089885573427,[0.82922761],0.0,0.8441807326601312,0.6258407079646018,0.38551898623558817,-0.1904622223188817,-0.06666538361876552,[0.8187219],0.0,0.02395518537628068,0.01216186334488096
Baseline,0.75,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.871047227926078,0.72757608115323,0.3540831919876856,-0.20253042102822183,-0.0837579308968326,[0.82922761],0.0,0.8466868135918036,0.67459324155194,0.38551898623558817,-0.1904622223188817,-0.08881151409674248,[0.8187219],0.0,0.02572418368099064,0.013193779022628437
Baseline,1.0,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8700363291739062,0.7139479905437353,0.3540831919876856,-0.20253042102822183,-0.06983748058045747,[0.82922761],0.0,0.8466868135918036,0.6607958251793867,0.38551898623558817,-0.1904622223188817,-0.09203349643333444,[0.8187219],0.0,0.025576767155598142,0.01304636249723594
Reweighing,0.0,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8707629126520297,0.728839398157354,0.3540831919876856,-0.20253042102822183,-0.07946864492651982,[0.82922761],0.0,0.8471290631679811,0.6788479405388665,0.38551898623558817,-0.1904622223188817,-0.09148037704668775,[0.8187219],0.0,0.02395518537628068,0.012972654234539692
Reweighing,0.25,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8715526773021639,0.7284626686256178,0.3540831919876856,-0.20253042102822183,-0.07292039376897666,[0.82922761],0.0,0.8455074813886637,0.6726023117775695,0.38551898623558817,-0.1904622223188817,-0.08441086141245652,[0.8187219],0.0,0.026756099358738114,0.013709736861502174
Reweighing,0.5,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8715842678881693,0.7268695827454142,0.3540831919876856,-0.20253042102822183,-0.08702502888249072,[0.82922761],0.0,0.8484558118965136,0.6771356783919599,0.38551898623558817,-0.1904622223188817,-0.10223684859545568,[0.8187219],0.0,0.025576767155598142,0.011867030294095969
Reweighing,0.75,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8505133470225873,0.5999323638823132,0.3540831919876856,-0.20253042102822183,-0.024862581130991074,[0.82922761],0.0,0.831355494950984,0.540562248995984,0.38551898623558817,-0.1904622223188817,-0.039405937672296026,[0.8187219],0.0,0.020196063978772022,0.010392865040171003
Reweighing,1.0,2,0.3540831919876856,-0.20253042102822183,0.0,[0.82922761],0.0,0.8667824988153531,0.7321008830442793,0.3540831919876856,-0.20253042102822183,-0.10597090614112267,[0.82922761],0.0,0.8425591508808138,0.6817640047675805,0.38551898623558817,-0.1904622223188817,-0.11962009301633947,[0.8187219],0.0,0.025503058892901893,0.011645905506007224
