experiment_id,timestamp,training_duration,hyperparam_learning_rate,l2_regularization,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_eval_loss
VulBERTa_mlp_002_parallel,2025-12-14T18:41:02.956525,8,3e-05,0.0,42,116617.47,672352.9800000008,226.83973684210557,91.21457489878544,84.0,0.1478096803245291,228.92,5.144399460188936,0.6752550005912781
VulBERTa_mlp_010_parallel,2025-12-15T04:36:28.075220,10,3e-05,0.0,6680,143512.14,880851.7300000008,241.39537681556607,91.38366675801588,84.0,0.1400987912625226,230.59000000000003,4.509454645108249,0.6857345104217529
VulBERTa_mlp_012_parallel,2025-12-15T06:44:34.129122,10,3e-05,0.0,3683,143915.34,874419.0599999989,238.8470527178364,91.31685331876535,84.0,0.1413242447667486,229.75,4.810707456978975,0.7020828127861023
VulBERTa_mlp_006_parallel,2025-12-15T00:19:43.708265,10,3e-05,4.906997711375702e-05,42,145232.1,876701.2799999976,237.65282732447756,91.74844131200868,84.0,0.1421150368921312,229.95,4.881268636486851,0.683940052986145
VulBERTa_mlp_003_parallel,2025-12-14T20:16:29.658399,15,3e-05,0.0,42,215468.54,1265521.1300000018,230.55586263435995,91.79431590453636,84.0,0.1454895630703486,229.19,4.5716888322098725,0.692736029624939
VulBERTa_mlp_009_parallel,2025-12-15T03:32:29.912392,10,3e-05,0.0,679,143132.48,880516.7100000012,241.9666694146747,91.43638362187414,84.0,0.1398257150967899,230.17,4.528716680406703,0.6973092555999756
VulBERTa_mlp_005_parallel,2025-12-14T23:15:04.206667,10,3e-05,0.0003360288826201,42,145789.15,850809.9499999982,229.88650364766232,91.89732504728453,84.0,0.1462866562893748,229.52000000000004,5.046203728721963,0.683940052986145
VulBERTa_mlp_004_parallel,2025-12-14T22:10:12.832882,18,3e-05,0.0,42,257543.32,1534201.7199999953,233.907870102149,91.87162677237384,84.0,0.143738821233182,230.63,4.670224119530417,0.691966712474823
VulBERTa_mlp_011_parallel,2025-12-15T05:40:23.697751,10,3e-05,0.0,8020,143114.76,883813.5499999974,242.33988209487177,91.40471620510009,84.0,0.1393619774685151,230.7,4.140937757060598,0.6843023300170898
VulBERTa_mlp_008_parallel,2025-12-15T02:28:42.276680,10,3e-05,7.609946965358083e-05,42,144602.65,881844.2999999981,239.89235582154464,91.75108813928183,84.0,0.140876886038777,230.04,4.830522306855272,0.683940052986145
VulBERTa_mlp_001_parallel,2025-12-14T17:48:48.361668,16,3e-05,0.0,42,226774.29,1389818.3800000006,240.4114132503028,91.92285071786888,84.0,0.1402791774380617,239.35,5.270368448365332,0.6845061779022217
VulBERTa_mlp_007_parallel,2025-12-15T01:24:16.509398,10,3e-05,1.620273741011439e-05,42,144860.01,876222.92,237.91010589193596,91.72386641325006,84.0,0.1418689958904709,230.46,5.044257398859628,0.683940052986145
VulBERTa_mlp_033_parallel,2025-12-17T08:51:11.394021,10,3e-05,0.0,5642,152645.51,748441.5800000022,228.18340853658603,82.85579268292683,84.0,0.1694015059077138,314.13,4.926219512195118,0.6637400388717651
VulBERTa_mlp_025_parallel,2025-12-17T01:01:53.850683,9,3e-05,0.0,42,140056.52,637840.8800000004,212.6136266666668,82.99333333333334,85.0,0.1800449776538653,314.74,6.290333333333336,0.7030154466629028
VulBERTa_mlp_019,2025-12-16T17:29:19.671615,10,3e-05,0.0001163234833303,42,101134.13,685999.970000002,217.22608296390183,88.96991766941102,84.0,0.1284839902120868,314.36,6.30240658644712,0.683940052986145
VulBERTa_mlp_032_parallel,2025-12-17T07:53:21.581650,10,3e-05,0.0,4473,155240.55,714035.1200000001,214.68283824413717,83.08929645219483,84.0,0.1785860980096221,314.52000000000004,5.036380036079379,0.6873753070831299
VulBERTa_mlp_012,2025-12-16T11:04:46.013108,10,3e-05,0.0,8504,100587.1,690298.820000001,220.61323745605657,88.46756152125279,84.0,0.127182817972028,313.59000000000003,5.811441355065512,0.6927400827407837
VulBERTa_mlp_004,2025-12-16T02:54:40.001740,18,3e-05,0.0,42,180355.98,1205129.0199999996,214.35948416933468,89.05869797225186,84.0,0.1301753393216094,313.39,6.242440412664536,0.691966712474823
VulBERTa_mlp_030_parallel,2025-12-17T05:55:53.242351,10,3.394082337055034e-05,0.0,42,155713.98,709169.7199999983,212.51714713814755,83.1609229847168,85.0,0.1800403684333515,313.78,6.179202876835475,0.6895551085472107
VulBERTa_mlp_001,2025-12-15T23:43:37.144195,17,3e-05,0.0,42,167334.88,1227385.6099999966,236.21739992301704,89.29080061585836,83.0,0.1199773583307723,315.06,5.112201693610473,0.6844493746757507
VulBERTa_mlp_027_parallel,2025-12-17T02:59:40.429430,10,3.888216794334247e-05,0.0,42,155819.79,709893.4900000008,212.3522255459171,82.83128926114269,84.0,0.1799900655330132,314.03,5.0188453484893785,0.6880665421485901
VulBERTa_mlp_029_parallel,2025-12-17T04:57:04.144282,10,4.298272748268137e-05,0.0,42,155465.33,703931.6199999994,211.32741519063327,83.16061242870009,85.0,0.1809004907452837,314.33000000000004,6.244971480036028,0.6929503083229065
VulBERTa_mlp_017,2025-12-16T15:38:59.622677,10,3e-05,1.8574350101742704e-05,42,101079.61,689061.6500000008,218.05748417721543,88.87531645569621,84.0,0.1279259989536553,313.88,5.881012658227846,0.683940052986145
VulBERTa_mlp_007,2025-12-16T06:32:23.849478,10,3.059743923758605e-05,0.0,42,101272.29,677990.1900000018,215.23498095238156,88.59396825396826,84.0,0.1299591506060958,314.21000000000004,5.9952380952380935,0.6893314719200134
VulBERTa_mlp_024_parallel,2025-12-17T00:08:52.199003,19,3e-05,0.0,42,289527.89,1395968.9200000053,224.32410734372573,83.45155069901976,84.0,0.1717759940465263,313.96,4.417483528844613,0.7151914238929749
VulBERTa_mlp_021_parallel,2025-12-16T20:06:58.877972,18,3e-05,0.0,42,273761.03,1326324.1599999922,225.29712247324483,83.5294717173433,84.0,0.171091534195127,314.42,4.635977577713604,0.691966712474823
VulBERTa_mlp_016,2025-12-16T14:43:51.184087,10,3e-05,4.890420114425591e-05,42,101016.15,681145.080000002,215.3477963958274,89.01296237748973,84.0,0.1291500347057597,313.97,6.485931078090417,0.683940052986145
VulBERTa_mlp_023_parallel,2025-12-16T22:20:32.067841,11,3e-05,0.0,42,169936.42,796747.0500000018,218.5263439385633,83.06006582556226,84.0,0.1757932407802521,314.14,4.70515633571037,0.6896445155143738
VulBERTa_mlp_020,2025-12-16T18:24:25.539231,10,3e-05,2.920312858628825e-05,42,101758.48,690723.3100000006,218.7910389610392,88.8907190370605,83.0,0.1284048179832623,314.36,5.107697180867916,0.683940052986145
VulBERTa_mlp_013,2025-12-16T11:59:19.489216,10,3e-05,0.0,7847,100299.45,700445.2000000002,224.07076135636603,88.27799104286628,84.0,0.1252577210475274,314.73,5.741842610364685,0.6707081198692322
VulBERTa_mlp_039_parallel,2025-12-17T14:41:35.398688,10,3e-05,0.0001599501474806,42,154806.83,743591.5700000001,223.63656240601503,83.41293233082706,84.0,0.1723142316370999,313.92999999999995,5.186466165413535,0.683940052986145
VulBERTa_mlp_031_parallel,2025-12-17T06:54:43.256103,10,3e-05,0.0,1019,155840.74,712291.3300000002,213.38865488316364,83.12612342720192,84.0,0.1795127093968547,314.36,5.0284601557819,0.6854239702224731
VulBERTa_mlp_011,2025-12-16T10:10:09.944360,10,3e-05,0.0,3551,100094.54,702201.5700000003,224.56078349856105,88.2916533418612,84.0,0.1247600963689079,314.25,5.882954908858338,0.6677255630493164
VulBERTa_mlp_010,2025-12-16T09:15:35.562561,10,3.912037844843647e-05,0.0,42,99449.63,722346.5399999989,233.69347783888676,88.48722096408929,83.0,0.1210149592203625,314.1,4.637981235845999,0.6880665421485901
VulBERTa_mlp_003,2025-12-16T01:17:25.276875,9,3e-05,0.0,42,90829.33,614200.9899999985,216.649379188712,88.30017636684303,84.0,0.1288303884576201,314.0,6.178483245149906,0.7030154466629028
VulBERTa_mlp_008,2025-12-16T07:27:16.067503,10,4.301485240369214e-05,0.0,42,101083.76,676652.2200000003,215.15173926868056,88.49157392686804,84.0,0.1299718189712657,313.98,6.137678855325916,0.6929503083229065
VulBERTa_mlp_018,2025-12-16T16:34:13.194716,10,3e-05,0.0002955238308937,42,101266.35,682535.2300000022,215.65094154818397,88.88815165876777,84.0,0.1291989612983425,314.51,6.0,0.683940052986145
VulBERTa_mlp_006,2025-12-16T05:37:26.042339,10,1.9380814963969665e-05,0.0,42,100850.47,672014.9700000008,214.22217723940096,88.4615875039847,84.0,0.1304890408865997,314.09000000000003,6.276378705769844,0.7655699253082275
VulBERTa_mlp_035_parallel,2025-12-17T10:47:11.050779,10,3e-05,0.0,7680,153400.49,756055.0399999998,229.24652516676767,82.70679199514858,84.0,0.1686728871723942,314.01,4.739235900545779,0.6834236979484558
VulBERTa_mlp_037_parallel,2025-12-17T12:44:33.329322,10,3e-05,0.0004127049767576,42,154723.99,737696.2599999998,221.930282791817,83.48225030084235,84.0,0.1733757049999706,314.36,5.0303850782190125,0.683940052986145
VulBERTa_mlp_005,2025-12-16T04:42:40.356483,20,3e-05,0.0,42,200442.65,1344203.4900000033,215.0381522956332,89.15037593984962,84.0,0.1297660640902515,313.37,5.976643737002078,0.6802908778190613
VulBERTa_mlp_022_parallel,2025-12-16T21:16:25.354286,12,3e-05,0.0,42,183626.61,896376.2300000011,226.5865091001014,83.07406471183013,84.0,0.1700241917882362,314.2,4.56117290192114,0.6929996609687805
VulBERTa_mlp_009,2025-12-16T08:21:37.847438,10,1.7107349147913364e-05,0.0,42,100130.05,687522.3000000018,220.71341894061047,88.4032102728732,84.0,0.127124676261043,314.38,5.933547351524879,0.7746571898460388
VulBERTa_mlp_028_parallel,2025-12-17T03:58:22.328502,10,3.9602651245544245e-05,0.0,42,155663.34,706166.3299999981,211.99829780846537,83.22335634944461,85.0,0.1806196112974392,313.9,6.132993095166611,0.6927470564842224
VulBERTa_mlp_038_parallel,2025-12-17T13:42:59.325498,10,3e-05,5.099367567044031e-05,42,154262.39,744144.6399999976,224.545757392878,83.46650573325287,84.0,0.1717065704617209,314.11,5.006638503319252,0.683940052986145
VulBERTa_mlp_002,2025-12-16T00:27:51.201329,8,3e-05,0.0,42,80923.6,555008.1500000013,220.0666732751789,87.95757335448057,84.0,0.1272520203622477,314.53,6.423473433782718,0.6752550005912781
VulBERTa_mlp_036_parallel,2025-12-17T11:45:57.763344,10,3e-05,6.423527020077526e-05,42,155419.22,738867.1000000016,221.54935532233927,83.20659670164918,84.0,0.1737913423521895,314.12,4.953523238380811,0.683940052986145
VulBERTa_mlp_040_parallel,2025-12-17T15:40:15.136506,10,3e-05,0.0009534088184387,42,155232.4,744066.8099999991,223.57776742788437,83.21364182692308,84.0,0.172614851957893,314.52,5.06099759615384,0.683940052986145
VulBERTa_mlp_034_parallel,2025-12-17T09:49:02.496052,10,3e-05,0.0,9032,152463.74,753154.8399999992,229.5503931728129,82.82566290765011,84.0,0.1683531492916147,314.02,5.010667479426999,0.6868480443954468
VulBERTa_mlp_026_parallel,2025-12-17T02:00:45.344593,10,2.8613808398421448e-05,0.0,42,155863.57,709022.6400000019,212.28222754491077,83.08203592814371,85.0,0.1802128051041531,313.67,6.074550898203597,0.6864326596260071
VulBERTa_mlp_014,2025-12-16T12:53:54.379296,10,3e-05,0.0,4057,100722.16,690854.3499999987,220.86136508951364,88.47314578005115,84.0,0.1272424822207017,315.01,5.988491048593346,0.6928403973579407
VulBERTa_mlp_015,2025-12-16T13:48:39.488661,10,3e-05,0.0,3040,100547.78,695003.08,221.4796303377948,88.16475462077757,84.0,0.126387620271066,313.9,5.544933078393882,0.6926372051239014
VulBERTa_mlp_019,2025-12-18T16:14:43.363858,10,3e-05,0.0003549290960776,42,102232.2,668649.6499999991,210.20108456460204,89.11191449229801,84.0,0.1326172097578897,314.22,6.776799748506761,0.683940052986145
VulBERTa_mlp_012,2025-12-18T09:49:20.744513,10,3e-05,0.0,2376,101687.01,672970.9300000016,213.3029889064981,88.33343898573692,84.0,0.1312669821728023,313.86,6.222503961965131,0.6704787015914917
VulBERTa_mlp_004,2025-12-18T02:50:52.404328,17,3e-05,0.0,42,171395.41,1133806.2299999986,213.6837975876364,89.36581228797587,84.0,0.1313171886605967,313.76000000000005,6.023369770071611,0.6844493746757507
VulBERTa_mlp_001,2025-12-17T22:26:33.012398,14,3e-05,0.0,42,137821.05,1006255.219999999,236.32109441052117,89.22827618600282,83.0,0.1204649144588936,314.79,5.274072334429306,0.6955666542053223
VulBERTa_mlp_017,2025-12-18T14:23:58.092965,10,3e-05,1.7245063477405002e-05,42,102110.77,676162.3500000002,213.16593631778065,88.98581336696091,84.0,0.1312017174639154,314.47,6.784993694829765,0.683940052986145
VulBERTa_mlp_007,2025-12-18T05:14:03.640448,10,1.535780817024892e-05,0.0,42,101141.21,665160.74,212.17248484848488,88.69218500797449,84.0,0.1319861054770903,314.02,6.334928229665067,0.7611439228057861
VulBERTa_mlp_016,2025-12-18T13:28:36.740827,10,3e-05,3.35973705148307e-05,42,101729.93,673446.2600000008,212.7120214782062,89.17214150347442,84.0,0.1312345906806037,314.21000000000004,6.845230574857865,0.683940052986145
VulBERTa_mlp_020,2025-12-18T17:10:06.878266,10,3e-05,0.0008274749235766,42,102024.11,674290.4400000008,212.3749417322837,89.0828346456693,84.0,0.1314210972858874,314.0,6.801574803149606,0.683940052986145
VulBERTa_mlp_013,2025-12-18T10:43:47.595548,10,3e-05,0.0,5426,100508.47,679917.489999999,217.9921417120869,88.8403334402052,84.0,0.1287866820832051,313.77000000000004,5.892914395639622,0.6944606900215149
VulBERTa_mlp_011,2025-12-18T08:54:17.706628,10,3e-05,0.0,6502,102084.91,669635.3499999989,211.70893139424564,88.49257034460955,84.0,0.1322822728536375,313.88,6.4103699019917855,0.6671654582023621
VulBERTa_mlp_010,2025-12-18T07:59:05.521796,10,3.1637909869442554e-05,0.0,42,102047.58,668345.9799999989,211.9042422320859,88.7285986049461,84.0,0.1324616213043112,314.04,6.454343690551681,0.6868898272514343
VulBERTa_mlp_003,2025-12-18T01:19:01.647077,12,3e-05,0.0,42,121763.64,802744.0500000009,212.9859511806848,88.85752188909525,84.0,0.1317064653080386,314.02,6.217299018307244,0.6929996609687805
VulBERTa_mlp_008,2025-12-18T06:09:10.310202,10,2.7043985628756564e-05,0.0,42,101807.57,669316.1099999966,211.8759449192772,88.71066793289016,84.0,0.1320249561004279,313.75,6.408357075023744,0.6746624708175659
VulBERTa_mlp_018,2025-12-18T15:19:13.089136,10,3e-05,5.1717018319914426e-05,42,102142.08,676341.8100000003,213.62659823120663,89.03948199620973,84.0,0.1312064145604862,314.07,6.199620972836385,0.683940052986145
VulBERTa_mlp_006,2025-12-18T04:19:21.470088,10,2.0440721202738796e-05,0.0,42,101017.61,672700.8700000006,214.9890923617771,88.66794503036114,84.0,0.1305611958499426,313.64000000000004,5.984659635666347,0.7404462695121765
VulBERTa_mlp_005,2025-12-18T03:24:45.387449,6,3e-05,0.0,42,62261.39,406479.68000000005,212.1501461377871,87.6205636743215,84.0,0.1328268291063123,313.87,6.509394572025059,0.7022290825843811
VulBERTa_mlp_009,2025-12-18T07:04:03.262318,10,4.00044292966293e-05,0.0,42,101455.96,669288.2699999992,212.8102607313193,88.84165341812401,84.0,0.1316337587113693,314.32,6.190779014308433,0.6927470564842224
VulBERTa_mlp_002,2025-12-18T00:13:27.448508,20,3e-05,0.0,42,199189.95,1371967.4599999962,221.75003394213613,89.40084047195732,84.0,0.1267791175678575,314.55,5.973977695167292,0.6802908778190613
VulBERTa_mlp_014,2025-12-18T11:38:39.460591,10,3e-05,0.0,1907,101051.34,680927.809999999,216.58009223918543,88.61259541984732,84.0,0.1292251078561367,313.8,6.422709923664115,0.6927725672721863
VulBERTa_mlp_015,2025-12-18T12:33:22.297341,10,3e-05,0.0,7178,100725.54,680028.939999999,216.9151323763952,88.81818181818181,84.0,0.1290105181336905,313.77,6.179585326953742,0.6712085604667664
VulBERTa_mlp_050_parallel,2025-12-23T19:22:43.333806,10,3e-05,0.0,3166,145981.59,829824.8600000014,223.913885590934,91.49028602266594,84.0,0.1496009685117369,229.54,4.677010253642735,0.6903981566429138
VulBERTa_mlp_045_parallel,2025-12-23T13:56:26.421681,10,2.648401537851974e-05,0.0,42,145077.23,833589.070000002,226.51876902173967,91.60760869565216,84.0,0.1482397319699265,228.84,4.765760869565213,0.7030137181282043
VulBERTa_mlp_047_parallel,2025-12-23T16:06:44.196660,10,3e-05,0.0006613687937758,42,147336.89,833341.4000000007,222.8185561497328,91.99946524064173,84.0,0.1502397794489769,229.55,5.017112299465239,0.683940052986145
VulBERTa_mlp_046_parallel,2025-12-23T15:01:12.371010,10,1.847023601769821e-05,0.0,42,145726.45,826764.5200000012,223.7522381596756,91.48173207036535,84.0,0.1498486407539597,228.23,4.966711772665761,0.8021308779716492
VulBERTa_mlp_048_parallel,2025-12-23T17:12:27.868444,10,3e-05,0.0003533247635941,42,148186.83,825433.0300000006,219.998142324094,92.04077825159916,84.0,0.1522019384444355,230.51,5.25,0.683940052986145
VulBERTa_mlp_044_parallel,2025-12-23T12:51:55.957766,10,1.993331277666769e-05,0.0,42,145236.29,823435.1699999985,223.638014665942,91.65833785985878,84.0,0.149933487252737,229.0,4.7246061922868,0.7404462695121765
VulBERTa_mlp_043_parallel,2025-12-23T11:47:23.680922,14,3e-05,0.0,42,201856.92,1163353.4200000048,226.99578926829363,91.7730731707317,84.0,0.1478577432983691,229.03000000000003,4.541268292682929,0.6955666542053223
VulBERTa_mlp_041_parallel,2025-12-23T09:25:58.873138,7,3e-05,0.0,42,103367.75,588215.8099999991,224.50985114503783,90.9641221374046,85.0,0.1494653082846563,230.77,5.9591603053435165,0.6907401084899902
VulBERTa_mlp_049_parallel,2025-12-23T18:17:46.779528,10,3e-05,0.0,9895,147045.01,819367.1400000015,219.7873229613738,91.6357296137339,84.0,0.1521555891034687,229.03,4.846566523605148,0.6934612989425659
VulBERTa_mlp_042_parallel,2025-12-23T10:18:11.079448,8,3e-05,0.0,42,116624.86,680435.1200000003,229.87672972972985,91.34054054054054,84.0,0.1463188002488846,230.04,4.14662162162162,0.6752550005912781
