experiment_id,timestamp,training_duration,hyperparam_learning_rate,l2_regularization,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_eval_loss
VulBERTa_mlp_013_parallel,2025-12-14T07:45:55.499546,10,3.2798601837639464e-05,0.0,42,144300.86,869381.6899999988,237.08254431415293,91.46632124352332,84.0,0.1423531065026227,229.75,4.6258521952549785,0.6751898527145386
VulBERTa_mlp_004,2025-12-13T23:49:33.150977,6,3e-05,0.0,42,60701.62,446247.3200000009,237.99857066666715,87.2528,83.0,0.1197391200778522,314.56,4.770133333333334,0.7022290825843811
VulBERTa_mlp_012_parallel,2025-12-14T06:41:39.489342,10,3e-05,0.0,42,144267.97,877323.2300000011,239.44411299126668,91.41075327510916,84.0,0.1412188848141995,231.47,4.534934497816593,0.683940052986145
VulBERTa_mlp_001,2025-12-13T21:28:09.540399,10,3e-05,0.0,42,98529.22,749138.7599999979,245.37791025221023,88.86275794300688,83.0,0.1162356280108636,315.27,5.594497215853252,0.683940052986145
VulBERTa_mlp_007,2025-12-14T02:02:48.323090,10,2.4112295890639968e-05,0.0,42,99531.57,730115.5399999999,237.5131880286272,88.22576447625244,83.0,0.119968561090992,313.86,4.833116460637612,0.8007036447525024
VulBERTa_mlp_014_parallel,2025-12-14T08:49:52.105783,10,1.68461328053243e-05,0.0,42,143519.83,866141.9000000001,237.4943515217988,91.32026323005208,84.0,0.1421464493855778,229.56,4.530298875788319,0.7746571898460388
VulBERTa_mlp_011,2025-12-14T05:37:26.078154,10,3e-05,0.0,7716,100124.39,725246.7299999992,233.423472803347,88.08593498551657,83.0,0.1213083273376467,313.35,4.8506598004506,0.6927236914634705
VulBERTa_mlp_010,2025-12-14T04:44:12.203128,10,3e-05,0.0,8322,100092.6,734462.8399999988,237.30624878836795,88.26009693053312,83.0,0.1199352316246361,314.15000000000003,4.643618739903076,0.6927468776702881
VulBERTa_mlp_003,2025-12-13T23:16:23.606582,10,3e-05,0.0,42,99402.63,726064.1500000001,234.6684389140272,88.31480284421461,83.0,0.1204199035120468,314.42,4.972850678733025,0.683940052986145
VulBERTa_mlp_008,2025-12-14T02:56:59.282994,10,3e-05,0.0003133281480659,42,100206.21,744714.3800000016,239.92086984536132,88.74677835051547,83.0,0.118598376209532,314.36,4.827319587628864,0.683940052986145
VulBERTa_mlp_006,2025-12-14T01:10:07.965678,10,1.5528541575960186e-05,0.0,42,99283.1,731969.5199999998,238.11630448926476,88.29440468445023,84.0,0.1194379393354574,313.67,5.854586857514633,0.779583215713501
VulBERTa_mlp_005,2025-12-14T00:16:28.616054,5,3e-05,0.0,42,50925.1,371740.34000000014,236.92819630337803,86.94263862332696,83.0,0.120485602040233,313.18,4.386233269598463,0.7477817535400391
VulBERTa_mlp_009,2025-12-14T03:50:10.408873,10,3e-05,7.998672260580617e-05,42,100041.35,735489.629999999,236.94897873711307,88.7493556701031,83.0,0.1197338607360796,313.85,4.819909793814432,0.683940052986145
VulBERTa_mlp_002,2025-12-13T22:22:21.582872,10,3e-05,0.0,42,99774.78,722449.7999999999,232.7480025773196,88.13595360824742,83.0,0.1213473574336588,314.64,5.028350515463913,0.683940052986145
