experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,error_message,fg_repository,fg_model,fg_duration_seconds,fg_training_success,fg_retries,fg_error_message,fg_hyperparam_alpha,fg_hyperparam_batch_size,fg_hyperparam_dropout,fg_hyperparam_epochs,fg_hyperparam_kfold,fg_hyperparam_learning_rate,fg_hyperparam_max_iter,fg_hyperparam_seed,fg_hyperparam_weight_decay,fg_perf_accuracy,fg_perf_best_val_accuracy,fg_perf_map,fg_perf_precision,fg_perf_rank1,fg_perf_rank5,fg_perf_recall,fg_perf_test_accuracy,fg_perf_test_loss,fg_energy_cpu_pkg_joules,fg_energy_cpu_ram_joules,fg_energy_cpu_total_joules,fg_energy_gpu_avg_watts,fg_energy_gpu_max_watts,fg_energy_gpu_min_watts,fg_energy_gpu_total_joules,fg_energy_gpu_temp_avg_celsius,fg_energy_gpu_temp_max_celsius,fg_energy_gpu_util_avg_percent,fg_energy_gpu_util_max_percent,bg_repository,bg_model,bg_note,bg_log_directory,bg_hyperparam_batch_size,bg_hyperparam_dropout,bg_hyperparam_epochs,bg_hyperparam_learning_rate,bg_hyperparam_seed,bg_hyperparam_weight_decay,bg_energy_cpu_pkg_joules,bg_energy_cpu_ram_joules,bg_energy_cpu_total_joules,bg_energy_gpu_avg_watts,bg_energy_gpu_max_watts,bg_energy_gpu_min_watts,bg_energy_gpu_total_joules
default__examples_siamese_011,2025-11-19T01:41:07.675831,examples,siamese,True,305.75993967056274,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.579999999994,70.35810810810811,74.0,50.108108108108105,52.0,default,4,,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.592966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,pytorch_resnet_cifar10,resnet20,1135.9036231040955,True,0,Training completed successfully,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,51431.03,3176.37,54607.4,228.69854941069818,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/pytorch_resnet_cifar10_resnet20_012_parallel/background_logs,32,,10,0.01,1334,,,,,,,,
default__VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,VulBERTa,mlp,3765.577875137329,True,0,Training completed successfully,,,,10,,3e-05,,42,0.0,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331971,100.0,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/VulBERTa_mlp_013_parallel/background_logs,32,,10,0.01,1,,,,,,,,
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,examples,mnist,143.77884531021118,True,0,Training completed successfully,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1202,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_014_parallel/background_logs,,,10,3e-05,42,0.0,,,,,,,
default__MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,5,,parallel,,MRT-OAST,default,1333.281008720398,True,0,Training completed successfully,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,57839.19,3214.53,61053.72,234.41531274131236,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.21389961389961,100.0,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/MRT-OAST_default_015_parallel/background_logs,32,,10,0.01,1,,,,,,,,
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.246728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,Person_reID_baseline_pytorch,pcb,4346.2754673957825,True,0,Training completed successfully,,,0.5,60,,0.05,,1334,,,,0.775222,,0.924881,0.971496,,,,198674.72,11935.12,210609.84,233.27903814262027,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_pcb_016_parallel/background_logs,32,,10,0.01,1,,,,,,,,
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,Person_reID_baseline_pytorch,hrnet18,4958.222606658936,True,0,Training completed successfully,,,0.5,60,,0.05,,1334,,,,0.748936,,0.900238,0.962886,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_hrnet18_017_parallel/background_logs,32,,10,0.01,1,,,,,,,,
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,examples,siamese,451.7634174823761,True,0,Training completed successfully,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_siamese_018_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,examples,mnist_rnn,241.2225968837738,True,0,Training completed successfully,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350427,99.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_rnn_019_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,bug-localization-by-dnn-and-rvsm,default,1205.7056248188019,True,0,Training completed successfully,1e-05,,,,10,,10000,42,,,,,,,,,,,82596.83,3206.52,85803.35,235.69332988624618,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/bug-localization-by-dnn-and-rvsm_default_021_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,default,4,,parallel,,Person_reID_baseline_pytorch,densenet121,3526.4963586330414,True,0,Training completed successfully,,,0.5,60,,0.05,,1334,,,,0.753173,,0.909145,0.96348,,,,152005.47,9963.13,161968.6,230.32688228438215,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_densenet121_022_parallel/background_logs,,,10,3e-05,42,0.0,,,,,,,
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.876848,examples,mnist,True,73.70601749420166,0,,,,5,,,,,,,,,,,,,99.0,0.0312,2304.78,171.63,2476.41,91.83657142857139,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,mutation_1x,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663633,examples,mnist,True,196.42851877212524,0,,,,,,,,6061,,,,,,,,,99.0,0.0266,6233.84,462.94,6696.78,92.03291005291005,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,mutation_1x,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_mnist_010_parallel,2025-11-20T20:14:49.560339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,epochs,parallel,,examples,mnist,118.88937640190125,True,0,Training completed successfully,,,,8,,,,,,,,,,,,,99.0,0.0297,4312.18,294.42,4606.6,201.4314782608695,275.37,4.34,23164.619999999995,67.33043478260869,78.0,65.98260869565217,97.0,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_010_parallel/background_logs,,,10,3e-05,42,0.0,,,,,,,
mutation_1x__examples_mnist_011_parallel,2025-11-20T20:19:39.646415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,learning_rate,parallel,,examples,mnist,200.0754635334015,True,0,Training completed successfully,,,,,,0.01174572885027232,,,,,,,,,,,97.0,0.1057,7151.34,496.83,7648.17,255.48319587628865,281.1,4.94,49563.74,74.01546391752578,79.0,87.23711340206185,97.0,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_011_parallel/background_logs,,,10,3e-05,42,0.0,,,,,,,
mutation_1x__examples_mnist_012_parallel,2025-11-20T20:24:29.017589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,seed,parallel,,examples,mnist,199.36053729057312,True,0,Training completed successfully,,,,,,,,4387,,,,,,,,,99.0,0.0272,7134.54,487.23,7621.77,256.01561855670127,282.26,5.19,49667.03000000004,74.97422680412372,79.0,87.40721649484536,97.0,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_012_parallel/background_logs,,,10,3e-05,42,0.0,,,,,,,
mutation_1x__examples_mnist_rnn_013,2025-11-20T20:28:54.613474,examples,mnist_rnn,True,205.58954310417175,0,,,,9,,,,,,,,,,,,,95.0,0.162,8332.12,496.07,8828.19,10.149238578680203,84.13,3.94,1999.3999999999999,50.7005076142132,60.0,0.0,0.0,mutation_1x,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_mnist_rnn_014,2025-11-20T20:35:10.892706,examples,mnist_rnn,True,316.2724051475525,0,,,,,,0.011795336261176143,,,,,,,,,,,65.0,1.1741,12843.04,777.11,13620.15,7.639049180327864,80.62,3.6,2329.9099999999985,40.87868852459017,50.0,0.009836065573770493,3.0,mutation_1x,1,learning_rate,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_mnist_rnn_015,2025-11-20T20:41:25.066048,examples,mnist_rnn,True,314.1664960384369,0,,,,,,,,4297,,,,,,,,,96.0,0.1374,12759.41,760.11,13519.52,7.434719471947195,77.72,3.48,2252.7200000000003,36.603960396039604,44.0,0.009900990099009901,3.0,mutation_1x,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_mnist_rnn_016_parallel,2025-11-20T20:47:45.598823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,epochs,parallel,,examples,mnist_rnn,290.52358841896057,True,0,Training completed successfully,,,,12,,,,,,,,,,,,,95.0,0.1593,13114.77,795.99,13910.76,309.1680496453901,317.98,252.55,87185.39000000001,77.97163120567376,82.0,98.33333333333333,99.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_016_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__examples_mnist_rnn_017_parallel,2025-11-20T20:54:52.170037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,learning_rate,parallel,,examples,mnist_rnn,336.5597879886627,True,0,Training completed successfully,,,,,,0.018760266157448684,,,,,,,,,,,74.0,0.8218,15207.07,932.66,16139.73,288.5563914373088,318.2,214.13,94357.93999999997,81.41896024464832,84.0,98.30581039755351,99.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_017_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__examples_mnist_rnn_018_parallel,2025-11-20T21:01:59.029453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,seed,parallel,,examples,mnist_rnn,336.8482401371002,True,0,Training completed successfully,,,,,,,,550,,,,,,,,,95.0,0.157,15253.4,932.19,16185.59,273.18587155963286,316.91,217.22,89331.77999999994,81.47094801223241,84.0,97.97247706422019,99.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_018_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__examples_siamese_019,2025-11-20T21:10:04.961966,examples,siamese,True,425.923446893692,0,,,,14,,,,,,,,,,,,,100.0,0.0,13347.6,1020.54,14368.14,178.72891041162248,183.06,75.58,73815.04000000008,74.72639225181598,76.0,50.5181598062954,52.0,mutation_1x,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_siamese_020,2025-11-20T21:18:11.243574,examples,siamese,True,426.27449083328247,0,,,,,,0.00596161291989631,,,,,,,,,,,98.0,0.0001,13381.93,1007.26,14389.19,181.58305084745766,184.37,75.95,74993.80000000002,74.38983050847457,76.0,50.46731234866828,52.0,mutation_1x,1,learning_rate,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_siamese_021,2025-11-20T21:26:17.650648,examples,siamese,True,426.39990973472595,0,,,,,,,,2873,,,,,,,,,100.0,0.0,13379.18,1006.1,14385.28,180.59559322033905,183.65,75.42,74585.98000000003,74.23486682808716,75.0,50.35351089588378,52.0,mutation_1x,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__examples_siamese_022_parallel,2025-11-20T21:33:39.154416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,epochs,parallel,,examples,siamese,351.4954528808594,True,0,Training completed successfully,,,,8,,,,,,,,,,,,,100.0,0.0,12972.81,897.49,13870.3,285.14511695906447,311.73,259.85,97519.63000000005,82.40350877192982,84.0,99.2953216374269,100.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_022_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__examples_siamese_023_parallel,2025-11-20T21:45:22.735178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,learning_rate,parallel,,examples,siamese,613.5681540966034,True,0,Training completed successfully,,,,,,0.009316158365171504,,,,,,,,,,,98.0,0.0,22710.23,1580.82,24291.05,270.7112897822441,314.62,255.88,161614.63999999972,82.86599664991624,84.0,99.34840871021775,100.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_023_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__examples_siamese_024_parallel,2025-11-20T21:57:07.128804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,seed,parallel,,examples,siamese,614.3805801868439,True,0,Training completed successfully,,,,,,,,9873,,,,,,,,,100.0,0.0,22806.85,1593.27,24400.12,266.7866722408028,310.24,247.04,159538.43000000005,82.96321070234114,84.0,99.37458193979933,100.0,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_024_parallel/background_logs,,0.5,60,0.05,1334,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_025,2025-11-20T22:13:53.350128,pytorch_resnet_cifar10,resnet20,True,946.21027302742,0,,,,168,,,,,,,92.01,,,,,,92.01,,39936.9,2493.86,42430.76,228.8473799126635,250.62,76.18,209624.19999999978,78.77183406113537,82.0,54.36135371179039,68.0,mutation_1x,1,epochs,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_026,2025-11-20T22:33:28.814974,pytorch_resnet_cifar10,resnet20,True,1115.4541068077087,0,,,,,,0.05994685925315382,,,,,91.32,,,,,,91.32,,47235.45,2974.62,50210.07,229.7305545286504,248.68,76.14,248568.45999999973,78.70887245841035,81.0,54.5637707948244,67.0,mutation_1x,1,learning_rate,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_027,2025-11-20T22:52:56.710105,pytorch_resnet_cifar10,resnet20,True,1107.884197473526,0,,,,,,,,,0.0005269575541948686,,92.38,,,,,,92.38,,46954.5,2924.52,49879.02,229.65872558139543,249.05,76.28,246883.1300000001,78.55441860465116,81.0,54.9953488372093,68.0,mutation_1x,1,weight_decay,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_028,2025-11-20T23:12:43.086269,pytorch_resnet_cifar10,resnet20,True,1126.3651766777039,0,,,,,,,,8958,,,92.02,,,,,,92.02,,47879.38,2999.9,50879.28,233.19644098810593,253.59,76.19,254883.7099999998,79.20311070448308,81.0,60.13815187557182,73.0,mutation_1x,1,seed,,Training completed successfully,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel,2025-11-20T23:28:36.848523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,epochs,parallel,,pytorch_resnet_cifar10,resnet20,863.7504713535309,True,0,Training completed successfully,,,,151,,,,,,,91.79,,,,,,91.79,,38674.48,2413.71,41088.19,225.74501787842675,246.98,76.24,189400.07000000004,78.2061978545888,81.0,54.40047675804529,75.0,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_029_parallel/background_logs,32,,10,0.01,1,,,,,,,,
mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel,2025-11-20T23:49:06.435029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mutation_1x,1,learning_rate,parallel,,pytorch_resnet_cifar10,resnet20,1139.5708322525024,True,0,Training completed successfully,,,,,,0.10676805827259435,,,,,91.98,,,,,,91.98,,51232.33,3168.58,54400.91,226.44874548736425,248.54,76.45,250905.20999999958,78.21570397111914,81.0,54.12003610108303,77.0,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_030_parallel/background_logs,32,,10,0.01,1,,,,,,,,
