energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter,perf_accuracy,perf_precision,perf_recall,hyperparam_batch_size_x_is_parallel,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel,hyperparam_dropout_x_is_parallel,hyperparam_alpha_x_is_parallel,hyperparam_kfold_x_is_parallel,hyperparam_max_iter_x_is_parallel
-0.5845018618895312,-0.5133748583386177,-0.5801119135582036,1.1296478168711457,0.8470909343038084,-0.2351909742507554,-0.2934248141221329,0.4987168911864335,0.6240980254832715,0.8241456232625255,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6370661158272952,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140806400626441,0.4281857921129974,-0.7551985368695607,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.3905693105807482,-0.3119939753623083,-0.3855358974353278,0.7662850601261738,0.8634643666985862,-0.0952354823449423,-0.0774093769497725,0.6371503306300249,0.7118148957316076,0.8720476423354234,0.7720054094864554,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.5684556125003652,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140423581936538,-0.312929161885054,0.0717905825985353,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4824415206429607,-0.4063039717287593,-0.4776391625404939,0.7130554702722088,0.8373760310829065,-0.0897343416226331,-0.2171652531056864,0.6027150427827225,0.7118148957316076,0.8685149754577015,0.7720054094864554,False,0.0,0.0,0.0,0.0,-0.9989789926300094,-0.6027608641638302,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140699691583959,-0.341430698421767,-0.1141709922129467,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4855766341607417,-0.40799191116165,-0.4806786495508778,0.7644009104193229,0.8397774678341409,-0.0942646928057114,-0.2115112915142534,0.6551686216653836,0.7118148957316076,0.8702760941595533,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9979560745712468,-0.6027608641638302,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140462263964438,0.5547026127185963,0.7711710698028506,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4857631951455151,-0.4052275058139392,-0.4806657464486846,0.7365093449998262,0.8593164304919085,-0.0919995172141722,-0.2152724622588522,0.6334085874259124,0.7118148957316076,0.8660277561662326,0.7161525438817218,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.0222521624416638,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.41406756820494,0.5058149771537818,-0.1801573574686335,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4861611342943734,-0.4067297889419003,-0.481138668185319,0.7942277123057816,0.8403232489139669,-0.0952354823449423,-0.2063405824623232,0.6647822750366975,0.7118148957316076,0.8698234274844595,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,0.5601565459968314,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140563637554795,-0.4839383811053324,0.2802475092017299,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4847866823536071,-0.4078079581255731,-0.4799291175609768,0.7784172446798678,0.8499289959189031,-0.0936174997795573,-0.2093615094678643,0.6492002724095993,0.7118148957316076,0.8695311971507098,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.914208277063557,0.0,0.0,0.0,-0.4140347551743771,-0.0744163034988774,0.7046598130053554,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4846669178564328,-0.4078948248370539,-0.4798232429992309,0.7994551296631758,0.8616087110271778,-0.0942646928057114,-0.2058754219613668,0.6659051685593481,0.7118148957316076,0.868312678726101,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.9266554220161085,0.0,0.0,0.0,-0.4140352887195895,-0.0414145243511048,0.6101793354801671,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4799688159162516,-0.4018788792497989,-0.4750326206911994,0.7583040613431872,0.8607354612994566,-0.0999276317845593,-0.2084578387482289,0.6079191193508859,0.7118148957316076,0.8707692908748237,0.7720054094864554,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.3433277257881738,1.2461352097259497,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140773054050665,-0.2709268975151609,0.0238004987762175,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-0.4825194293004008,-0.4008347754431774,-0.4773419303649721,0.764898883351569,0.8646650850742027,-0.0989568422453281,-0.2082455898695043,0.6402077767007643,0.7118148957316076,0.8662258423195637,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.3433277257881738,0.692505179066909,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140733038159734,-0.2364250374970353,0.0477955406873772,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0
-0.4870777648376943,-0.4033079218170999,-0.481762510135106,0.9432806749019942,0.8721968639758004,-0.2251594823453676,-0.17952716143681,0.5226851196225093,0.7118148957316076,0.850953074498547,0.7161525438817218,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6027608641638302,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-2.4796310991813453,0.0,0.0,0.0,-0.4140102120946063,0.7659890033078601,2.266527084805088,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.4015213417073914,-0.3153681509592369,-0.3959832627861089,1.0600905220550003,0.8689221774968454,-0.2285572457326765,-0.0260118465312602,0.5218838223510072,0.7118148957316076,0.8704637461563665,0.6882261110793549,False,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.5684556125003652,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4140423581936538,0.5716835281709961,0.938701453046323,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0
-0.605438424555336,-0.58344222912653,-0.6043866810030344,0.703786280618194,0.8273336592141098,0.1432551477928245,-0.4764488425364532,0.7645684022903428,0.7118148957316076,0.8833909656808886,0.7720054094864554,True,0.0,0.0,0.0,0.0,-0.9984691533309488,-0.6885239933224927,-0.3433277257881738,-0.8299298435589038,0.0,0.0,-1.3930491741311484,0.0,0.0,0.0,-0.4141091847315078,-0.0819167078506447,0.1842673415570943,0.0,-0.9984691533309488,-0.6885239933224927,-0.8299298435589038,-1.3930491741311484,0.0,0.0,0.0
