energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_batch_size_x_is_parallel,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel
-0.9061434944660024,-0.8544152708808864,-0.903297296666336,-1.3104323712562622,-1.5295673559061636,-0.0936174997795573,-0.8491758769298238,-0.5110193945917716,-0.6916550282417706,-1.423142382221175,-1.6296678115170893,False,False,False,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.552047084511519,-0.0,-0.0,-0.0
-0.8480368471509208,-0.8193313390557796,-0.8467060185410366,-2.5766221233462474,-1.6681957501819484,-1.265198675374924,-0.8734568559906463,-1.740293007644091,-1.0425225092351151,-1.7616578294971053,-1.936858572343124,False,False,True,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,-0.6220548839566794,-0.0,-0.0,-0.0
-0.8431525546316272,-0.7882075073128835,-0.8400434095585659,-0.1560395456099259,-0.6326307293202391,-0.1796941722580459,-0.7631680107056639,-0.1822005444830182,-0.1653538067517537,-0.3416663286460272,-0.5684633650271509,False,False,False,True,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.6172749716486411,-0.0,-0.0,-0.0
-0.8978254179973152,-0.8511194456511756,-0.89531292615295,0.9594998251997237,0.5000833237504853,-1.252902007877997,-0.80016729377809,0.5328568450670291,0.6240980254832715,0.6459738678694309,0.6882261110793549,True,False,False,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.552047084511519,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302
-0.7558228761318233,-0.7138632284361837,-0.7535291462096351,0.9452771831656144,0.7127196324506657,2.1333737032165243,-0.6337456373867405,0.8382906107981621,0.7118148957316076,1.058992960955506,0.7720054094864554,True,False,False,True,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.6172749716486411,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302
-0.8265960389114463,-0.7986093701954898,-0.825298389527295,0.8953141294505326,0.7952417317203455,1.7999074964906507,-0.7500005319281465,0.7239860153213739,0.7118148957316076,1.009473310436953,0.7440789766840885,True,False,True,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,-0.6220548839566794,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302
-0.9330193884432176,-0.8811685147481041,-0.9301842510676708,-1.3786374583325465,-1.575194654179611,-0.1403771959191873,-0.8640200841575225,-1.084350134409406,-1.2179562497317875,-1.4328253974942122,-1.6296678115170893,False,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6885239933224927,-0.7698310860544334,0.6498889152172022,-0.052607537170295315,-0.34176637248680053,-0.0
-0.8845078528486507,-0.8315505898040716,-0.8815629426720596,-1.3757645441075217,-1.575849591475402,-0.1552626355207305,-0.8397074440292375,-1.0997554810471248,-1.2179562497317875,-1.421741827645443,-1.6296678115170893,False,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,1.1668455955441177,0.6498889152172022,-0.052607537170295315,-0.34176637248680053,-0.3277180212955417
-0.9082343109558458,-0.8602540765074747,-0.9056431267275662,0.2250040456730271,0.3991138239826891,-1.2616391137310767,-0.8269135348075164,-0.452611755804565,0.1855136742415908,0.108317700020203,0.6882261110793549,True,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6370661158272952,-0.7698310860544334,0.6498889152172022,-0.052607537170295315,-0.34176637248680053,-0.6370661158272952
-0.873179613038616,-0.8257782116627331,-0.8706023333902903,1.0159128591958326,0.4616603357307403,-1.251931218338766,-0.7683824200124733,0.1444496282186193,0.2732305444899269,0.7108051674117832,0.6882261110793549,True,False,False,False,1.5931451474441708e-17,-0.5990411970923021,-0.6052727549760086,-0.7698310860544334,0.58466102808008,-0.052607537170295315,-0.5990411970923021,-0.3277180212955417
-0.8733870402089796,-0.8274133497611942,-0.870906477941987,1.0237035050630725,0.4743224567827014,-1.2478862619253033,-0.7681534093921502,0.2300798153829911,0.2732305444899269,0.7156269679186519,0.6882261110793549,True,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,0.6320391348057516,0.6498889152172022,-0.052607537170295315,-0.34176637248680053,-0.3277180212955417
-0.8586006931444549,-0.8259076600955281,-0.857007763167066,-2.573922906314678,-1.6883896501355078,-1.268111043992617,-0.8738402475722731,-1.937883866214016,-1.3933899902284597,-1.7620479167774774,-2.020637870750224,False,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.6199134899955627,-0.7698310860544334,0.5194331409429579,-0.052607537170295315,-0.34176637248680053,-0.0
-0.8029050162791883,-0.7780389922630783,-0.8018013796084127,-2.6106531159426885,-1.7267034819392877,-1.2736121847149269,-0.8731074534961484,-2.815102017537509,-2.270558692711821,-1.761769100295113,-1.936858572343124,False,False,True,False,1.5931451474441708e-17,-0.5973397504068823,-0.6052727549760086,-0.7698310860544334,-0.4589851661138741,-0.052607537170295315,-0.0,-0.3277180212955417
-0.8039375837945161,-0.7809345493124366,-0.8029607002992171,-2.613642959269641,-1.7583587845691913,-1.2755537637933887,-0.8732785961990502,-3.1968916913362757,-2.7968599142018378,-1.761767259922292,-1.936858572343124,False,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,0.6032860992821835,0.552047084511519,-0.052607537170295315,-0.34176637248680053,-0.3277180212955417
-0.7995500052671112,-0.7748232206694381,-0.7984533702080879,1.8014535574724213,0.8642284602103424,2.7543554118113343,-0.6849691427922878,0.4977876120654433,0.5363811552349353,1.0253424166376208,0.7440789766840885,True,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.5684556125003652,-0.7698310860544334,0.5194331409429579,-0.052607537170295315,-0.34176637248680053,-0.5684556125003652
-0.7737166797580806,-0.7515446452614502,-0.7727742383370516,1.4998545915694248,0.8666298969615761,2.13272651019037,-0.6690664404513317,0.8056796205598823,0.7118148957316076,1.024562242076877,0.7440789766840885,True,False,True,False,1.5931451474441708e-17,-0.3584549412565708,-0.6052727549760086,-0.7698310860544334,-0.1654596739968245,-0.052607537170295315,-0.3584549412565708,-0.3277180212955417
-0.7731446499483814,-0.7516246988975207,-0.7722459023847482,1.2749462967733782,0.8525487451020677,2.182722171460771,-0.6802102493335314,0.8103228147538923,0.7118148957316076,1.0151134612856398,0.7440789766840885,True,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,-0.5937986130157,0.5194331409429579,-0.052607537170295315,-0.34176637248680053,-0.3277180212955417
