energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,model_hrnet18,model_pcb,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,perf_accuracy,perf_precision,perf_recall,perf_best_val_accuracy,hyperparam_batch_size_x_is_parallel,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel,hyperparam_dropout_x_is_parallel,hyperparam_alpha_x_is_parallel,hyperparam_kfold_x_is_parallel,hyperparam_max_iter_x_is_parallel
-0.3690049103189322,-0.3870536271570846,-0.370491456309413,0.5642278757096271,0.0959870122473704,-0.2068762793565158,-0.3309640203842286,0.3444498650361649,0.2732305444899269,-0.0682314439096665,0.0179917238225518,False,0.0,0.0,0.0,0.0,2.4279246208386933,2.6562380438653435,-0.3433277257881738,0.4121332666023917,-0.3656825951445135,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.1554120724241817,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0
-0.3264646843912068,-0.3693805095428839,-0.3296025623156116,0.6239879788903664,0.1471812775350421,-0.1093119306637929,-0.31898425289726,0.5645328996661898,0.4486642849865992,-0.05445705637734,0.2414031862414861,True,0.0,0.0,0.0,0.0,2.4279246208386933,2.6562380438653435,-0.3433277257881738,0.4121332666023917,-0.3656825951445135,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.1554120724241817,0.0,2.4279246208386933,2.6562380438653435,-0.3656825951445135,0.0,0.0,0.0,0.0
-0.4683810452061547,-0.4856303119992078,-0.4698850893600025,0.6261657331027851,0.1289521894688564,-0.0992804387584051,-0.4135025165002572,0.5692562945107796,0.5363811552349353,-0.22110237256456,-0.1216404401892821,False,0.0,0.0,0.0,0.0,2.0606732518200936,2.107354017249904,-0.7698310860544334,0.4219174496729604,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6293335020693376,0.0,1.1665342552120495,0.0,-0.010673302472121182,0.0,0.0,0.0,0.0
-0.3782669038813274,-0.4037439586433562,-0.3802625608577473,0.6390887375599902,0.1077758835716105,-0.0999276317845593,-0.3271567991934678,0.5636329919185795,0.4486642849865992,-0.2153645886265898,-0.1495668729916489,False,0.0,0.0,0.0,0.0,1.0541725478563686,2.564961570689338,-0.7698310860544334,0.3994138286106529,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-0.4606857861144985,0.0,0.0,1.5116379815526777,-0.010673302472121182,0.0,0.0,0.0,0.0
-0.3817357528999968,-0.4122773355947002,-0.384076464412262,0.638037704402187,0.1118146635623224,-0.0976624561930201,-0.3308934481309137,0.5498382230653661,0.4486642849865992,-0.2031309296761707,-0.1216404401892821,False,0.0,0.0,0.0,0.0,2.0606732518200936,2.564961570689338,-0.7698310860544334,0.4339846087933277,1.616456102102224,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,1.213836598631659,0.0,1.1665342552120495,1.5116379815526777,0.0,0.0,0.0,0.0,0.0
-0.3703163932972667,-0.3994380949840752,-0.3725528420910451,0.6898031323726872,0.1613715856105163,-0.0991186405018667,-0.3131548694810607,0.607774994186911,0.4486642849865992,-0.0573512739901758,0.0179917238225518,False,0.0,0.0,0.0,0.0,2.0606732518200936,2.564961570689338,2.092373861230525,0.4222435891086457,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6451308830574944,0.0,1.1665342552120495,1.5116379815526777,-0.010673302472121182,0.0,0.0,0.0,0.0
-0.4839679623734398,-0.4992820118525057,-0.4853523374952835,0.5807705896389919,0.0892193268575289,-0.0983096492191742,-0.4583426806670878,0.5187375114930137,0.4486642849865992,-0.219993377300716,0.0738445894272854,True,0.0,0.0,0.0,0.0,2.0606732518200936,1.815759378110451,-0.7698310860544334,0.414742382087877,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.2817911203295715,0.0,1.1665342552120495,1.815759378110451,-0.010673302472121182,0.0,0.0,0.0,0.0
-0.3289180045549712,-0.370707355979031,-0.3319814565762119,0.5910678455409805,0.1062476965480978,-0.0949118858318653,-0.3219758468550068,0.5195865332366362,0.4486642849865992,-0.2279428441784773,0.129697455032019,True,0.0,0.0,0.0,0.0,2.660057080582782,2.564961570689338,-0.7698310860544334,0.4209390313659035,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.581941359104822,0.0,2.660057080582782,1.5116379815526777,-0.010673302472121182,0.0,0.0,0.0,0.0
-0.3281674392164949,-0.3679531702444355,-0.3310948291255082,0.575588848685469,0.0955503873835098,-0.0952354823449423,-0.3230754038008553,0.5028134076913912,0.3609474147382631,-0.2224409520097406,0.0179917238225518,True,0.0,0.0,0.0,0.0,2.0606732518200936,2.564961570689338,-0.7698310860544334,0.4232220074157026,0.1749125572817639,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.6925230260220101,0.0,1.1665342552120495,1.5116379815526777,0.1749125572817639,0.0,0.0,0.0,0.0
-0.3242254586997104,-0.3693225984018967,-0.3275092643973052,0.6727684798325756,0.177199236925468,-0.0591544711368542,-0.30517255564902,0.5938035445942087,0.4486642849865992,-0.0612419288049982,0.2134767534391194,True,0.0,0.0,0.0,0.0,2.0606732518200936,2.564961570689338,-0.2139390659321176,0.4105025694239638,-0.04346122820259197,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0606277864951729,0.0,1.1665342552120495,1.5116379815526777,-0.010673302472121182,0.0,0.0,0.0,0.0
