experiment_id,repository,model,timestamp,hyperparam_learning_rate,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_eval_loss
default__VulBERTa_mlp_004,VulBERTa,mlp,2025-11-18T22:06:40.713330,0.2488934888586533,-0.5744941191492425,-0.03220924578926703,0.1504124940539064,-1.1952968718710564,0.6725429095610329,-0.19757261478176816,-0.38805107212325646,0.016450974848788054,
default__VulBERTa_mlp_013_parallel,VulBERTa,mlp,2025-11-19T03:05:49.240123,0.2488934888586533,-0.5744941191492425,0.3600555057442116,0.40039382219983316,0.39871185737157694,-0.39796851368297076,0.0004827313340719576,0.39658629764680636,0.3671092481036712,
mutation_1x__VulBERTa_mlp_043,VulBERTa,mlp,2025-11-21T05:19:42.240408,,-0.11133606960256623,-0.16923251032143574,0.40039382219983316,-1.000088788619244,0.6678404374418321,0.7233481980803828,-0.014621801008183558,0.28535676857686326,
mutation_1x__VulBERTa_mlp_044,VulBERTa,mlp,2025-11-21T06:13:58.136230,-0.6871116141253184,,-0.38396312982728903,0.40039382219983316,-0.9201395865132515,0.6700010327398435,0.9469053322809003,-0.34682548762105636,-0.10345628767868262,
mutation_1x__VulBERTa_mlp_045,VulBERTa,mlp,2025-11-21T07:08:49.934581,,,-0.24291698262024347,0.40039382219983316,-0.8892882375118987,0.6776266632034126,1.0232287669426203,-0.32205914151314674,-0.07740248668302639,
mutation_1x__VulBERTa_mlp_046,VulBERTa,mlp,2025-11-21T08:03:00.281337,,,-0.3800329267591213,0.1504124940539064,-0.8524112522408545,0.6697468450577247,0.17014474890806466,-0.34524624624924644,-0.06655185718391197,
mutation_1x__VulBERTa_mlp_047_parallel,VulBERTa,mlp,2025-11-21T09:37:15.574419,,0.5834010047174482,0.3997098338988533,0.40039382219983316,0.48084161470119485,-0.391232540106819,-0.3593058272143958,1.563427179203889,1.7164176737843886,
mutation_1x__VulBERTa_mlp_048_parallel,VulBERTa,mlp,2025-11-21T10:41:20.934436,0.5777136669823513,,0.23941578475096256,0.40039382219983316,0.5789465874105885,-0.38386109732536894,-0.13766255359074547,0.39816570839242266,0.44259227948903845,
mutation_1x__VulBERTa_mlp_049_parallel,VulBERTa,mlp,2025-11-21T11:45:52.303743,,,0.35631105588902834,0.40039382219983316,0.46344633324971424,-0.39250347851741335,0.16170896461980477,0.4141041223317242,0.4348363136891417,
mutation_1x__VulBERTa_mlp_050_parallel,VulBERTa,mlp,2025-11-21T12:49:37.705058,,,0.26718170033389804,0.40039382219983316,0.638991344268225,-0.3955537307028414,-0.23066349488430404,0.38661441478909464,0.42292888927394306,
mutation_2x_safe__VulBERTa_mlp_085,VulBERTa,mlp,2025-11-23T15:25:46.989877,,-1.7323892430159333,2.1181779928752937,-3.349326099989069,0.055229141407764464,-3.1968290814948515,-3.9099765483424944,-1.9244591632595898,-2.0417806051090786,
mutation_2x_safe__VulBERTa_mlp_086,VulBERTa,mlp,2025-11-23T15:28:13.465068,,-0.11133606960256623,1.7938403094445217,-1.8494381311135082,0.12271293718973868,-1.1080418036822892,0.27732579255579587,-1.9259276341619482,-2.040823179597183,
mutation_2x_safe__VulBERTa_mlp_087,VulBERTa,mlp,2025-11-23T15:30:41.203400,1.2271863266513898,,1.9604831970575722,-2.3494007874053615,0.1719369873771261,-1.030260372953887,-0.9218156846988096,-1.9242991050124467,-2.041744857595483,
mutation_2x_safe__VulBERTa_mlp_088,VulBERTa,mlp,2025-11-23T15:33:08.907379,0.7729456678385773,,1.8638315480079988,-2.3494007874053615,0.09552730050144455,-1.3723969930860085,-0.9585930491744271,-1.9240887427447733,-2.040868073843002,
