experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation
default__bug-localization-by-dnn-and-rvsm_default_002,2025-11-18T20:53:53.350873,bug-localization-by-dnn-and-rvsm,default,False,True,916.159386396408,0,Training completed successfully,1e-05,,,,10.0,,10000.0,42.0,,,,,,,,,,,,,,,,,,59638.9,2260.94,61899.84,74.01269480519488,84.11,44.41,22795.910000000025,53.07142857142857,63.0,0.6428571428571429,3.0,default,0.0,,,,,,,,,,10000.0,1e-05,0.6428571428571429,63.0,0.963474218996366,39.7,9.92857142857143
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930724,bug-localization-by-dnn-and-rvsm,default,True,True,1205.705624818802,0,Training completed successfully,1e-05,,,,10.0,,10000.0,42.0,,,,,,,,,,,,,,,,,,82596.83,3206.52,85803.35,235.6933298862461,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/bug-localization-by-dnn-and-rvsm_default_021_parallel/background_logs,1205.705624818802,0.0,Training completed successfully,10000.0,1e-05,62.8841778697001,85.0,0.9626294311352644,200.28,4.644260599793171
mutation_1x__bug-localization-by-dnn-and-rvsm_default_051,2025-11-21T13:05:09.802456,bug-localization-by-dnn-and-rvsm,default,False,True,872.0921795368195,0,Training completed successfully,,,,,,,1263.0,,,,,,,,,,,,,,,,,,,57025.61,2133.39,59159.0,74.19721003134796,84.47,39.91,23668.91,55.41379310344828,62.0,0.4608150470219436,3.0,default,1.0,max_iter,,,,,,,,,1263.0,,0.4608150470219436,62.0,0.9639380314068864,44.56,6.586206896551722
mutation_1x__bug-localization-by-dnn-and-rvsm_default_052,2025-11-21T13:20:30.821850,bug-localization-by-dnn-and-rvsm,default,False,True,861.0159668922424,0,Training completed successfully,1.6816138427546416e-05,,,,,,,,,,,,,,,,,,,,,,,,,56242.58,2082.59,58325.17,71.26873817034699,80.09,38.84,22592.189999999995,48.16403785488959,50.0,0.4511041009463722,3.0,default,1.0,alpha,,,,,,,,,,1.6816138427546416e-05,0.4511041009463722,50.0,0.9642934602676684,41.25,1.835962145110408
mutation_1x__bug-localization-by-dnn-and-rvsm_default_053,2025-11-21T13:36:01.209761,bug-localization-by-dnn-and-rvsm,default,False,True,870.3848581314087,0,Training completed successfully,,,,,,,,8490.0,,,,,,,,,,,,,,,,,,56947.64,2106.61,59054.25,69.80611620795102,78.09,38.02,22826.599999999984,46.40366972477064,47.0,0.4984709480122324,3.0,default,1.0,seed,,,,,,,,,,,0.4984709480122324,47.0,0.964327546281597,40.07,0.5963302752293629
mutation_1x__bug-localization-by-dnn-and-rvsm_default_054_parallel,2025-11-21T13:56:10.450482,bug-localization-by-dnn-and-rvsm,default,True,True,1119.231038093567,0,Training completed successfully,,,,,,,1253.0,,,,,,,,,,,,,,,,,,,76473.08,2955.95,79429.03,237.4797096774193,314.33,113.04,220856.12999999992,77.10537634408603,84.0,63.20537634408602,99.0,default,1.0,max_iter,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/bug-localization-by-dnn-and-rvsm_default_054_parallel/background_logs,1119.231038093567,0.0,Training completed successfully,1253.0,,63.20537634408602,84.0,0.96278501701456,201.29,6.894623655913975
mutation_1x__bug-localization-by-dnn-and-rvsm_default_055_parallel,2025-11-21T14:17:12.019010,bug-localization-by-dnn-and-rvsm,default,True,True,1171.5573704242706,0,Training completed successfully,8.110689792667178e-06,,,,,,,,,,,,,,,,,,,,,,,,,80436.34,3061.63,83497.97,239.69423834196908,314.73,116.31,231304.9400000001,80.49326424870466,84.0,63.12953367875648,99.0,default,1.0,alpha,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/bug-localization-by-dnn-and-rvsm_default_055_parallel/background_logs,1171.5573704242706,0.0,Training completed successfully,,8.110689792667178e-06,63.12953367875648,84.0,0.963332881026928,198.42,3.506735751295338
mutation_1x__bug-localization-by-dnn-and-rvsm_default_056_parallel,2025-11-21T14:37:57.024915,bug-localization-by-dnn-and-rvsm,default,True,True,1154.9945418834686,0,Training completed successfully,,,,,,,,1043.0,,,,,,,,,,,,,,,,,,79170.04,3007.62,82177.66,236.1997277486911,310.64,107.61,225570.74,80.60104712041885,85.0,64.46701570680628,99.0,default,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/bug-localization-by-dnn-and-rvsm_default_056_parallel/background_logs,1154.9945418834686,0.0,Training completed successfully,,,64.46701570680628,85.0,0.963401002170176,203.03,4.398952879581145
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_101,2025-11-23T16:46:29.199351,bug-localization-by-dnn-and-rvsm,default,False,True,2237.0052196979523,0,Training completed successfully,,,,,,,2813.0,,,,,,,,,,,,,,,,,,,168519.87,10144.92,178664.79,182.0718108108105,313.08,126.25,336832.84999999945,69.85621621621621,75.0,99.70432432432432,100.0,default,1.0,max_iter,,,,,,,,,2813.0,,99.70432432432432,75.0,0.9432181349218276,186.83,5.143783783783789
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_102,2025-11-23T17:24:15.742810,bug-localization-by-dnn-and-rvsm,default,False,True,2206.523845434189,0,Training completed successfully,,,,,,,12193.0,,,,,,,,,,,,,,,,,,,166244.0,10007.09,176251.09,179.33712021857897,314.61,120.8,328186.92999999947,70.16830601092896,76.0,99.62677595628416,100.0,default,1.0,max_iter,,,,,,,,,12193.0,,99.62677595628416,76.0,0.9432225355315532,193.81,5.8316939890710415
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_103,2025-11-23T18:02:08.850618,bug-localization-by-dnn-and-rvsm,default,False,True,2213.0879476070404,0,Training completed successfully,1.875842452824886e-05,,,,,,,,,,,,,,,,,,,,,,,,,166630.34,10107.48,176737.82,179.64279956427015,316.03,121.26,329824.18,70.32407407407408,75.0,99.61873638344228,100.0,default,1.0,alpha,,,,,,,,,,1.875842452824886e-05,99.61873638344228,75.0,0.94281088224354,194.77,4.675925925925924
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_104,2025-11-23T18:39:59.353790,bug-localization-by-dnn-and-rvsm,default,False,True,2210.483597755432,0,Training completed successfully,6.596035512417656e-06,,,,,,,,,,,,,,,,,,,,,,,,,166522.78,10085.44,176608.22,181.32165298303207,318.88,121.83,331274.6599999996,70.23535851122058,75.0,99.3935413245758,100.0,default,1.0,alpha,,,,,,,,,,6.596035512417656e-06,99.3935413245758,75.0,0.942893711289316,197.05,4.764641488779418
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_105,2025-11-23T19:17:55.103264,bug-localization-by-dnn-and-rvsm,default,False,True,2215.7297196388245,0,Training completed successfully,,,,,,,,9036.0,,,,,,,,,,,,,,,,,,167044.72,10144.36,177189.08,180.80293668122272,308.34,123.42,331230.98000000004,69.9934497816594,75.0,99.62390829694324,100.0,default,1.0,seed,,,,,,,,,,,99.62390829694324,75.0,0.9427483905893072,184.92,5.006550218340607
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_106,2025-11-23T19:55:48.003645,bug-localization-by-dnn-and-rvsm,default,False,True,2212.880748987198,0,Training completed successfully,,,,,,,,2062.0,,,,,,,,,,,,,,,,,,166581.38,10129.97,176711.35,181.587863387978,317.93,124.24,332305.78999999975,69.88469945355192,75.0,99.5136612021858,100.0,default,1.0,seed,,,,,,,,,,,99.5136612021858,75.0,0.9426750460567472,193.69,5.115300546448083
