task_group,task_name,edge_type,source,target,strength,research_question,source_type,target_type
group1_examples,examples（图像分类-小型）,hyperparam_to_performance,hyperparam_learning_rate,perf_test_accuracy,1.0,Q2_common_hyperparam,hyperparam,performance
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_batch_size,energy_gpu_total_joules,0.949999988079071,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,performance_to_energy,perf_test_accuracy,energy_gpu_total_joules,0.949999988079071,Q2_tradeoff,performance,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_seed,energy_gpu_total_joules,0.800000011920929,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_epochs,energy_cpu_ram_joules,0.699999988079071,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_ram_joules,0.6500000357627869,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_pkg_joules,0.6000000238418579,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_epochs,energy_gpu_total_joules,0.550000011920929,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_total_joules,0.550000011920929,Q1_direct,hyperparam,energy
group1_examples,examples（图像分类-小型）,performance_to_energy,perf_test_accuracy,energy_cpu_ram_joules,0.550000011920929,Q2_tradeoff,performance,energy
group1_examples,examples（图像分类-小型）,hyperparam_to_performance,hyperparam_epochs,perf_test_accuracy,0.30000001192092896,Q2_common_hyperparam,hyperparam,performance
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_epochs,energy_cpu_ram_joules,1.0,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_epochs,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_l2_regularization,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_learning_rate,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_seed,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_loss,energy_cpu_ram_joules,1.0,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_loss,energy_gpu_total_joules,1.0,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_samples_per_second,energy_gpu_total_joules,1.0,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_final_training_loss,energy_gpu_total_joules,1.0,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_total_joules,0.75,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_samples_per_second,energy_cpu_ram_joules,0.5,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_final_training_loss,energy_cpu_ram_joules,0.5,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_l2_regularization,energy_cpu_ram_joules,0.45000001788139343,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_pkg_joules,0.45000001788139343,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_samples_per_second,energy_cpu_total_joules,0.45000001788139343,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_eval_loss,energy_cpu_total_joules,0.4000000059604645,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,performance_to_energy,perf_final_training_loss,energy_cpu_total_joules,0.4000000059604645,Q2_tradeoff,performance,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_performance,hyperparam_epochs,perf_eval_samples_per_second,0.3499999940395355,Q2_common_hyperparam,hyperparam,performance
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_l2_regularization,energy_cpu_total_joules,0.3499999940395355,Q1_direct,hyperparam,energy
group2_vulberta,VulBERTa（代码漏洞检测）,hyperparam_to_energy,hyperparam_epochs,energy_cpu_total_joules,0.30000001192092896,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_dropout,energy_cpu_ram_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_dropout,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_epochs,energy_cpu_ram_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_epochs,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_learning_rate,energy_cpu_ram_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_learning_rate,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,hyperparam_to_energy,hyperparam_seed,energy_gpu_total_joules,1.0,Q1_direct,hyperparam,energy
group3_person_reid,Person_reID（行人重识别）,performance_to_energy,perf_map,energy_cpu_ram_joules,1.0,Q2_tradeoff,performance,energy
group3_person_reid,Person_reID（行人重识别）,performance_to_energy,perf_map,energy_gpu_total_joules,1.0,Q2_tradeoff,performance,energy
