source,target,weight,strength,source_category,target_category
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.4599999785423279,0.4599999785423279,energy,energy
energy_cpu_pkg_joules,energy_cpu_total_joules,0.5199999809265137,0.5199999809265137,energy,energy
energy_cpu_pkg_joules,energy_gpu_avg_watts,0.4799999892711639,0.4799999892711639,energy,energy
energy_cpu_pkg_joules,energy_gpu_total_joules,0.5999999642372131,0.5999999642372131,energy,energy
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.4199999868869781,0.4199999868869781,energy,energy
energy_cpu_ram_joules,energy_cpu_total_joules,0.4599999785423279,0.4599999785423279,energy,energy
energy_cpu_ram_joules,energy_gpu_avg_watts,0.6399999856948853,0.6399999856948853,energy,energy
energy_cpu_ram_joules,energy_gpu_max_watts,0.3599999845027923,0.3599999845027923,energy,energy
energy_cpu_ram_joules,energy_gpu_min_watts,0.4799999892711639,0.4799999892711639,energy,energy
energy_cpu_total_joules,energy_cpu_pkg_joules,0.4399999976158142,0.4399999976158142,energy,energy
energy_cpu_total_joules,energy_cpu_ram_joules,0.4399999976158142,0.4399999976158142,energy,energy
energy_cpu_total_joules,energy_gpu_avg_watts,0.5199999809265137,0.5199999809265137,energy,energy
energy_cpu_total_joules,energy_gpu_total_joules,0.6399999856948853,0.6399999856948853,energy,energy
energy_gpu_min_watts,energy_gpu_max_watts,0.4199999868869781,0.4199999868869781,energy,energy
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.4199999868869781,0.4199999868869781,mediator,energy
energy_gpu_temp_avg_celsius,energy_gpu_max_watts,0.4799999892711639,0.4799999892711639,mediator,energy
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.5600000023841858,0.5600000023841858,mediator,mediator
energy_gpu_temp_max_celsius,energy_gpu_avg_watts,0.3199999928474426,0.3199999928474426,mediator,energy
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.4199999868869781,0.4199999868869781,mediator,mediator
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.4399999976158142,0.4399999976158142,mediator,mediator
energy_gpu_util_avg_percent,energy_gpu_avg_watts,0.3799999952316284,0.3799999952316284,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_max_watts,0.5600000023841858,0.5600000023841858,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.4399999976158142,0.4399999976158142,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.699999988079071,0.699999988079071,mediator,mediator
is_parallel,energy_gpu_util_max_percent,0.6800000071525574,0.6800000071525574,mode,mediator
hyperparam_epochs,energy_gpu_avg_watts,0.6599999666213989,0.6599999666213989,hyperparam,energy
hyperparam_epochs,energy_gpu_total_joules,0.7799999713897705,0.7799999713897705,hyperparam,energy
hyperparam_epochs,energy_gpu_temp_avg_celsius,0.4599999785423279,0.4599999785423279,hyperparam,mediator
hyperparam_l2_regularization,perf_best_val_accuracy,0.4599999785423279,0.4599999785423279,hyperparam,performance
