experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_eval_loss,perf_eval_samples_per_second,perf_f1,perf_final_training_loss,perf_precision,perf_recall,perf_top10_accuracy,perf_top1_accuracy,perf_top20_accuracy,perf_top5_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_001,2025-12-13T21:28:09.553262,VulBERTa,mlp,True,3136.267951965332,0,,,,,,,,,0.683940052986145,59.096,,0.7466,,,,,,,91348.39,7180.83,98529.22,245.37791025221026,319.4,4.13,749138.7599999979,77.40550278414675,83.0,88.86275794300688,100.0
VulBERTa_mlp_002,2025-12-13T22:22:21.583105,VulBERTa,mlp,True,3188.762896299362,0,,,,,,,,,0.683940052986145,59.115,,0.7466,,,,,,,92552.06,7222.72,99774.78,232.74800257731957,319.46,4.82,722449.7999999999,77.97164948453609,83.0,88.13595360824742,100.0
VulBERTa_mlp_003,2025-12-13T23:16:23.606811,VulBERTa,mlp,True,3178.746662378311,0,,,,,,,,,0.683940052986145,59.22,,0.7466,,,,,,,92183.6,7219.03,99402.63,234.6684389140272,319.18,4.76,726064.1500000001,78.02714932126698,83.0,88.31480284421461,100.0
VulBERTa_mlp_004,2025-12-13T23:49:33.151174,VulBERTa,mlp,True,1926.4496262073517,0,,,6,,,,,,0.7022290825843811,59.087,,0.7636,,,,,,,56325.5,4376.12,60701.62,237.99857066666715,319.29,4.73,446247.3200000009,78.22986666666667,83.0,87.2528,100.0
VulBERTa_mlp_005,2025-12-14T00:16:28.616282,VulBERTa,mlp,True,1612.3815586566925,0,,,5,,,,,,0.7477817535400391,59.091,,0.7935,,,,,,,47275.08,3650.02,50925.1,236.92819630337803,318.69,5.51,371740.34000000014,78.61376673040154,83.0,86.94263862332696,100.0
VulBERTa_mlp_006,2025-12-14T01:10:07.965919,VulBERTa,mlp,True,3156.2132153511047,0,,,,1.5528541575960186e-05,,,,,0.779583215713501,59.168,,0.5958,,,,,,,92156.27,7126.83,99283.1,238.11630448926473,318.76,5.09,731969.5199999998,78.14541314248537,84.0,88.29440468445023,100.0
VulBERTa_mlp_007,2025-12-14T02:02:48.323316,VulBERTa,mlp,True,3157.220298051834,0,,,,2.4112295890639968e-05,,,,,0.8007036447525024,59.212,,0.7428,,,,,,,92338.81,7192.76,99531.57,237.51318802862718,319.24,5.38,730115.5399999999,78.16688353936239,83.0,88.22576447625244,100.0
VulBERTa_mlp_008,2025-12-14T02:56:59.283254,VulBERTa,mlp,True,3187.823476076126,0,,,,,,,0.0003133281480659498,,0.683940052986145,59.162,,0.7466,,,,,,,92958.89,7247.32,100206.21,239.92086984536135,319.38,5.02,744714.3800000016,78.17268041237114,83.0,88.74677835051547,100.0
VulBERTa_mlp_009,2025-12-14T03:50:10.409204,VulBERTa,mlp,True,3187.9079790115356,0,,,,,,,7.998672260580617e-05,,0.683940052986145,59.217,,0.7466,,,,,,,92713.51,7327.84,100041.35,236.94897873711307,319.24,5.39,735489.629999999,78.18009020618557,83.0,88.7493556701031,100.0
VulBERTa_mlp_010,2025-12-14T04:44:12.203476,VulBERTa,mlp,True,3178.656629562378,0,,,,,,8322,,,0.6927468776702881,59.136,,0.7077,,,,,,,92839.74,7252.86,100092.6,237.30624878836795,319.11,4.96,734462.8399999988,78.35638126009692,83.0,88.26009693053312,100.0
VulBERTa_mlp_011,2025-12-14T05:37:26.078384,VulBERTa,mlp,True,3190.7381410598755,0,,,,,,7716,,,0.6927236914634705,59.168,,0.7106,,,,,,,92845.72,7278.67,100124.39,233.423472803347,319.07,5.72,725246.7299999992,78.1493401995494,83.0,88.08593498551657,100.0
VulBERTa_mlp_012_parallel,2025-12-14T06:41:39.489630,VulBERTa,mlp,True,3760.077041864395,0,,,,,,,,,0.683940052986145,49.217,,0.7466,,,,,,,135011.86,9256.11,144267.97,239.44411299126668,319.12,87.65,877323.2300000011,79.4650655021834,84.0,91.41075327510917,100.0
VulBERTa_mlp_013_parallel,2025-12-14T07:45:55.499806,VulBERTa,mlp,True,3762.7921681404114,0,,,,3.2798601837639464e-05,,,,,0.6751898527145386,48.188,,0.7099,,,,,,,135064.48,9236.38,144300.86,237.08254431415293,318.76,89.01,869381.6899999988,79.37414780474502,84.0,91.46632124352331,100.0
VulBERTa_mlp_014_parallel,2025-12-14T08:49:52.106064,VulBERTa,mlp,True,3743.356166601181,0,,,,1.68461328053243e-05,,,,,0.7746571898460388,49.037,,0.6219,,,,,,,134296.37,9223.46,143519.83,237.4943515217988,318.23,88.67,866141.9000000001,79.46970112421168,84.0,91.32026323005209,100.0
bug-localization-by-dnn-and-rvsm_default_015,2025-12-14T09:05:15.152115,bug-localization-by-dnn-and-rvsm,default,True,860.0085880756378,0,,,,,,,,,,,,,,,0.74,0.383,0.828,0.627,55706.56,2138.66,57845.22,74.10883852691218,84.36,56.92,26160.420000000002,54.93767705382436,62.0,0.32577903682719545,3.0
bug-localization-by-dnn-and-rvsm_default_016,2025-12-14T09:20:26.360922,bug-localization-by-dnn-and-rvsm,default,True,848.1733407974243,0,,,,,,,,,,,,,,,0.74,0.381,0.828,0.627,55075.72,2124.77,57200.49,70.80417366946776,79.62,39.96,25277.08999999999,47.450980392156865,49.0,0.2801120448179272,3.0
bug-localization-by-dnn-and-rvsm_default_017,2025-12-14T09:35:39.066307,bug-localization-by-dnn-and-rvsm,default,True,849.6703112125397,0,,,,,1131,,,,,,,,,,0.741,0.382,0.828,0.628,55106.38,2104.56,57210.94,69.77523809523807,77.83,41.55,24909.759999999987,45.47899159663866,46.0,0.24929971988795518,3.0
bug-localization-by-dnn-and-rvsm_default_018,2025-12-14T09:49:41.939031,bug-localization-by-dnn-and-rvsm,default,True,839.8373908996582,0,,,,,1235,,,,,,,,,,0.741,0.384,0.829,0.63,54529.01,2056.87,56585.88,69.55847025495747,78.0,41.1,24554.139999999985,45.01416430594901,46.0,0.2096317280453258,3.0
bug-localization-by-dnn-and-rvsm_default_019,2025-12-14T10:04:55.525672,bug-localization-by-dnn-and-rvsm,default,True,850.5509026050568,0,8.568393852727651e-06,,,,,,,,,,,,,,0.74,0.381,0.828,0.628,55308.45,2072.95,57381.4,69.91670454545454,77.69,45.38,24610.679999999997,45.01704545454545,46.0,0.28125,3.0
bug-localization-by-dnn-and-rvsm_default_020,2025-12-14T10:18:57.412415,bug-localization-by-dnn-and-rvsm,default,True,838.841070652008,0,1.094608380499952e-05,,,,,,,,,,,,,,0.74,0.38,0.83,0.629,54559.55,2061.28,56620.83,69.97082386363631,77.77,47.99,24629.72999999998,45.60511363636363,46.0,0.26988636363636365,3.0
bug-localization-by-dnn-and-rvsm_default_021,2025-12-14T10:33:52.115337,bug-localization-by-dnn-and-rvsm,default,True,831.6676850318909,0,,,,,,4436,,,,,,,,,0.736,0.371,0.828,0.622,54025.9,2020.56,56046.46,70.36823529411767,78.68,41.44,25121.460000000006,45.969187675070025,46.0,0.2661064425770308,3.0
bug-localization-by-dnn-and-rvsm_default_022,2025-12-14T10:48:08.305956,bug-localization-by-dnn-and-rvsm,default,True,853.1553320884705,0,,,,,,2409,,,,,,,,,0.741,0.383,0.829,0.631,55476.96,2068.74,57545.7,70.13771587743739,78.28,41.94,25179.440000000024,46.0,46.0,0.25348189415041783,2.0
bug-localization-by-dnn-and-rvsm_default_023_parallel,2025-12-14T11:05:58.589086,bug-localization-by-dnn-and-rvsm,default,True,977.2425525188446,0,,,,,,,,,,,,,,,0.739,0.383,0.827,0.628,64519.88,2355.87,66875.75,86.06633838383836,92.01,62.25,68164.53999999998,59.11742424242424,62.0,3.76010101010101,14.0
bug-localization-by-dnn-and-rvsm_default_024_parallel,2025-12-14T11:23:53.523462,bug-localization-by-dnn-and-rvsm,default,True,981.892205953598,0,6.0286987793342725e-06,,,,,,,,,,,,,,0.738,0.378,0.828,0.626,64816.64,2407.74,67224.38,87.25963613550809,94.26,68.16,69545.92999999995,61.82810539523212,63.0,3.687578419071518,14.0
bug-localization-by-dnn-and-rvsm_default_025_parallel,2025-12-14T11:41:50.999126,bug-localization-by-dnn-and-rvsm,default,True,984.4337387084961,0,5.260302177363044e-06,,,,,,,,,,,,,,0.738,0.377,0.826,0.625,64993.26,2392.52,67385.78,87.43332500000005,94.31,70.93,69946.66000000005,62.0725,63.0,3.69625,14.0
MRT-OAST_default_026,2025-12-14T12:04:38.576787,MRT-OAST,default,True,1304.450757265091,0,,,,0.00011343182274589242,,,,0.913,,,0.902576,,0.9839,0.8339,,,,,38561.08,2946.96,41508.04,248.88709754163358,316.75,72.91,313846.62999999995,78.56225218080888,83.0,92.03806502775575,100.0
MRT-OAST_default_027,2025-12-14T12:26:27.052250,MRT-OAST,default,True,1305.3117399215698,0,,,,6.952804551582374e-05,,,,0.8646,,,0.840217,,0.9781,0.7368,,,,,38750.48,2962.54,41713.02,235.83555731225294,316.27,80.61,298331.98,79.50513833992095,84.0,92.85138339920948,97.0
MRT-OAST_default_028,2025-12-14T12:49:18.456571,MRT-OAST,default,True,1308.2798743247986,0,,0.28827983392993034,,,,,,0.8686,,,0.845738,,0.9778,0.7455,,,,,38836.84,2952.79,41789.63,235.83362776025263,315.42,76.52,299037.0400000003,79.11750788643533,84.0,92.88249211356467,100.0
MRT-OAST_default_029,2025-12-14T13:11:12.008384,MRT-OAST,default,True,1310.4275493621826,0,,0.235536169857324,,,,,,0.8826,,,0.864215,,0.9801,0.7731,,,,,38882.97,2971.99,41854.96,232.06243115656957,315.37,81.96,294951.3499999999,79.31077891424076,84.0,92.82612116443745,98.0
MRT-OAST_default_030_parallel,2025-12-14T13:38:50.510213,MRT-OAST,default,True,1565.3686130046844,0,,,,8.534711861238235e-05,,,,0.883,,,0.864426,,0.9826,0.7719,,,,,56957.55,3701.46,60659.01,239.11280000000036,315.76,89.74,364647.02000000054,80.47016393442622,84.0,94.42032786885245,100.0
MRT-OAST_default_031_parallel,2025-12-14T14:06:34.664199,MRT-OAST,default,True,1570.9686048030853,0,,,,5.3780349236405464e-05,,,,0.8422,,,0.809098,,0.9744,0.6921,,,,,57223.68,3761.66,60985.34,235.21763553233185,317.58,89.43,360118.20000000007,80.0365774003919,84.0,94.45591116917048,100.0
MRT-OAST_default_032_parallel,2025-12-14T14:34:16.631915,MRT-OAST,default,True,1568.8376388549805,0,,0.26825635109631923,,,,,,0.8776,,,0.857741,,0.9788,0.7636,,,,,57262.41,3726.43,60988.84,236.23433900523565,317.98,90.08,360966.07000000007,80.40641361256544,84.0,94.49280104712042,100.0
