experiment_id,timestamp,training_duration,l2_regularization,hyperparam_kfold,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_top1_accuracy,perf_top5_accuracy
bug-localization-by-dnn-and-rvsm_default_019,2025-12-14T10:04:55.525510,10000,8.568393852727651e-06,10.0,42,57381.4,24610.68,69.91670454545454,0.28125,46.0,0.6998407651080446,32.309999999999995,0.9829545454545467,0.381,0.628
bug-localization-by-dnn-and-rvsm_default_017,2025-12-14T09:35:39.066123,1131,1e-05,10.0,42,57210.94,24909.759999999987,69.77523809523807,0.2492997198879551,46.0,0.696668927566375,36.28,0.5210084033613427,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_022,2025-12-14T10:48:08.305789,10000,1e-05,10.0,2409,57545.7,25179.440000000024,70.13771587743739,0.2534818941504178,46.0,0.6956252960103783,36.34,0.0,0.383,0.631
bug-localization-by-dnn-and-rvsm_default_016,2025-12-14T09:20:26.360751,10000,1e-05,10.0,42,57200.49,25277.08999999999,70.80417366946776,0.2801120448179272,49.0,0.6935277441457425,39.66,1.5490196078431353,0.381,0.627
bug-localization-by-dnn-and-rvsm_default_024_parallel,2025-12-14T11:23:53.523276,10000,6.0286987793342725e-06,10.0,42,67224.38,69545.92999999995,87.25963613550809,3.687578419071518,63.0,0.4915129606710698,26.10000000000001,1.1718946047678784,0.378,0.626
bug-localization-by-dnn-and-rvsm_default_015,2025-12-14T09:05:15.151891,10000,1e-05,10.0,42,57845.22,26160.42,74.10883852691218,0.3257790368271954,62.0,0.6885873377073254,27.44,7.062322946175641,0.383,0.627
bug-localization-by-dnn-and-rvsm_default_020,2025-12-14T10:18:57.412247,10000,1.094608380499952e-05,10.0,42,56620.83,24629.72999999998,69.97082386363631,0.2698863636363636,46.0,0.6968669508247083,29.779999999999998,0.3948863636363668,0.38,0.629
bug-localization-by-dnn-and-rvsm_default_025_parallel,2025-12-14T11:41:50.998932,10000,5.260302177363044e-06,10.0,42,67385.78,69946.66000000005,87.43332500000005,3.69625,63.0,0.4906763471179858,23.379999999999995,0.927500000000002,0.377,0.625
bug-localization-by-dnn-and-rvsm_default_021,2025-12-14T10:33:52.115173,10000,1e-05,10.0,4436,56046.46,25121.460000000006,70.36823529411767,0.2661064425770308,46.0,0.6905001384783543,37.24000000000001,0.0308123249299754,0.371,0.622
bug-localization-by-dnn-and-rvsm_default_023_parallel,2025-12-14T11:05:58.588897,10000,1e-05,10.0,42,66875.75,68164.53999999998,86.06633838383836,3.76010101010101,62.0,0.4952281278424388,29.760000000000005,2.882575757575758,0.383,0.628
bug-localization-by-dnn-and-rvsm_default_018,2025-12-14T09:49:41.938863,1235,1e-05,10.0,42,56585.88,24554.139999999985,69.55847025495747,0.2096317280453258,46.0,0.6973855811226076,36.9,0.9858356940509908,0.384,0.63
bug-localization-by-dnn-and-rvsm_default_016_parallel,2025-12-15T07:56:29.357353,2994,1e-05,10.0,42,67663.88,69306.67999999998,86.74177722152689,3.65081351689612,62.0,0.4940030908831796,46.03999999999999,0.8410513141426819,0.381,0.628
bug-localization-by-dnn-and-rvsm_default_018_parallel,2025-12-15T08:32:18.870694,10000,1e-05,10.0,7329,67367.9,69207.79000000007,86.94445979899506,3.6608040201005023,62.0,0.4932642112223629,27.179999999999996,0.8869346733668309,0.379,0.625
bug-localization-by-dnn-and-rvsm_default_015_parallel,2025-12-15T07:38:26.044387,10862,1e-05,10.0,42,67637.58,69396.31999999999,86.85396745932414,3.6833541927409263,62.0,0.4935828287744858,25.61,0.8448060075093835,0.378,0.626
bug-localization-by-dnn-and-rvsm_default_019_parallel,2025-12-15T08:50:02.526708,10000,1e-05,10.0,3568,66195.38,68467.94000000002,87.10933842239189,3.746819338422392,62.0,0.4915620675325693,19.28,0.6068702290076331,0.382,0.63
bug-localization-by-dnn-and-rvsm_default_017_parallel,2025-12-15T08:14:20.078398,10000,1e-05,10.0,1765,66752.37,68423.98000000007,86.72240811153367,3.719898605830165,62.0,0.4938169287748927,43.53999999999999,0.99619771863118,0.364,0.621
bug-localization-by-dnn-and-rvsm_default_014_parallel,2025-12-15T07:20:24.259053,2553,1e-05,10.0,42,67199.12,69125.97,87.39060682680152,3.719342604298357,63.0,0.4929328856485625,22.03,1.3969658659924136,0.378,0.626
bug-localization-by-dnn-and-rvsm_default_013_parallel,2025-12-15T07:02:27.959127,3816,1e-05,10.0,42,67058.47,69669.08999999994,87.96602272727264,3.689393939393939,66.0,0.4904532048988516,26.679999999999996,2.6085858585858617,0.377,0.624
bug-localization-by-dnn-and-rvsm_default_020_parallel,2025-12-15T09:07:57.247614,10000,1e-05,10.0,6241,67194.47,68468.23999999996,86.99903430749677,3.583227445997459,62.0,0.4953053790536841,26.620000000000005,0.4675984752223598,0.385,0.631
bug-localization-by-dnn-and-rvsm_default_026,2025-12-18T18:36:23.542829,10000,1e-05,7.0,42,38229.34,17593.690000000006,72.40201646090537,0.2510288065843621,50.0,0.6848309738830013,38.330000000000005,0.930041152263378,0.384,0.63
bug-localization-by-dnn-and-rvsm_default_038,2025-12-18T21:03:00.700753,10000,1e-05,10.0,1888,56409.06,24936.240000000013,71.04341880341885,0.2193732193732193,48.0,0.6934519880066824,30.320000000000007,0.0,0.383,0.627
bug-localization-by-dnn-and-rvsm_default_041_parallel,2025-12-18T21:54:56.080102,10000,1.7422214989398934e-05,10.0,42,83681.96,4074.609999999999,4.107469758064515,0.0,47.0,0.9535691743649508,1.08,9.44657258064516,0.382,0.628
