experiment_id,timestamp,is_densenet121,is_hrnet18,is_pcb,training_duration,hyperparam_learning_rate,hyperparam_dropout,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_map,perf_rank1,perf_rank5
Person_reID_baseline_pytorch_pcb_058,2025-11-28T15:14:40.471745,0,0,1,60,0.05,0.4364829381648893,1334,149654.91,856480.5900000021,213.26707918326744,96.62076693227093,84.0,0.1487423016084808,305.67999999999995,6.145418326693232,0.777592,0.928147,0.970012
Person_reID_baseline_pytorch_densenet121_037,2025-11-27T15:58:11.532201,1,0,0,60,0.045275688355853,0.5,1334,79056.4,528685.6800000006,248.9103954802263,71.32062146892656,85.0,0.1300821559040307,263.11,2.4077212806026296,0.745008,0.898159,0.963183
Person_reID_baseline_pytorch_pcb_051,2025-11-28T07:00:50.188860,0,0,1,70,0.05,0.5,1334,171126.73,1031110.5800000004,225.379361748634,96.89989071038252,84.0,0.1423402256581106,305.49,6.276939890710381,0.775188,0.924584,0.971496
Person_reID_baseline_pytorch_densenet121_041,2025-11-27T19:05:14.876159,1,0,0,60,0.05,0.5575860384516412,1334,79938.62,527477.7100000015,246.3697851471282,71.34049509574965,85.0,0.1316043314146654,263.53,2.3157403082671664,0.731845,0.894893,0.963777
Person_reID_baseline_pytorch_pcb_006,2025-12-03T01:43:02.241761,0,0,1,60,0.0487736156257065,0.5,1334,149638.05,858400.0400000025,213.47924396916247,96.6650087043024,84.0,0.148444837039838,306.32,5.978612285501114,0.7765,0.924287,0.972684
Person_reID_baseline_pytorch_pcb_007,2025-12-03T02:52:50.555754,0,0,1,60,0.05,0.4384615268137537,1334,149091.8,859152.0499999998,214.1455757726819,96.62911266201397,84.0,0.1478727591544446,308.16,6.059571286141576,0.77739,0.926366,0.973278
Person_reID_baseline_pytorch_pcb_005,2025-12-03T00:33:05.018136,0,0,1,88,0.05,0.5,1334,215584.54,1266178.649999997,218.6459419789324,97.18010706268348,84.0,0.1454918987426056,305.17,6.081678466586084,0.77076,0.92785,0.969418
Person_reID_baseline_pytorch_hrnet18_002,2025-12-02T20:30:29.017080,0,1,0,60,0.03294905709564,0.5,1334,141829.04,950402.1900000006,235.36458395245188,64.02922238732046,84.0,0.1298525770957857,245.79,1.518821198613182,0.781272,0.917162,0.967637
Person_reID_baseline_pytorch_hrnet18_003,2025-12-02T21:40:22.162971,0,1,0,60,0.05,0.3413492264894854,1334,141313.19,937590.570000002,233.34757839721303,64.84718765555003,84.0,0.1309784943190852,243.79,1.6657541065206516,0.765036,0.914192,0.967043
Person_reID_baseline_pytorch_pcb_008,2025-12-03T04:06:48.886838,0,0,1,60,0.05,0.5,5486,157455.0,946989.9300000012,222.55932549941272,96.96592244418332,85.0,0.1425648266591253,303.77,5.227262044653344,0.775638,0.925772,0.972981
Person_reID_baseline_pytorch_hrnet18_004,2025-12-02T22:52:50.341454,0,1,0,60,0.05,0.5,8691,146197.45,983845.35,235.99072919165263,67.51451187335093,84.0,0.1293733741766241,244.82,1.5665627248740748,0.738058,0.894002,0.95962
Person_reID_baseline_pytorch_pcb_006,2025-12-04T05:12:21.266716,0,0,1,60,0.05,0.5,153,153138.98,1007279.689999999,242.54266554298076,96.87960510474356,84.0,0.1319687315958128,302.23,3.6836022152660775,0.772052,0.922803,0.972684
Person_reID_baseline_pytorch_pcb_005,2025-12-04T04:00:08.109631,0,0,1,60,0.0265808087787169,0.5,1334,145356.67,906315.1200000014,231.79414833759623,96.51892583120204,84.0,0.1382148607409159,309.09,5.848081841432219,0.77942,0.925178,0.976247
Person_reID_baseline_pytorch_hrnet18_002,2025-12-04T00:29:59.987074,0,1,0,60,0.0724324979826298,0.5,1334,139834.5,974044.79,244.4278017565872,64.0762860727729,84.0,0.1255382888032687,244.8,2.0351317440401573,0.626317,0.832245,0.936461
Person_reID_baseline_pytorch_hrnet18_003,2025-12-04T01:39:40.473332,0,1,0,60,0.05,0.309570947708524,1334,140934.78,976192.3799999986,243.74341573033672,63.874406991260926,84.0,0.1261582253536832,243.25,1.9715355805243464,0.770546,0.914489,0.967637
Person_reID_baseline_pytorch_hrnet18_004,2025-12-04T02:52:04.281180,0,1,0,60,0.05,0.5,5562,146236.41,1014080.220000001,243.4766434573832,67.13133253301321,84.0,0.126031469530864,246.97,1.985594237695082,0.763961,0.908551,0.964964
Person_reID_baseline_pytorch_densenet121_022_parallel,2025-12-05T01:34:40.753377,1,0,0,31,0.05,0.5,1334,55149.4,314745.61000000034,245.51139625585049,80.31045241809673,85.0,0.1490947390720408,195.84000000000003,3.074882995319811,0.728873,0.902613,0.961401
Person_reID_baseline_pytorch_densenet121_023_parallel,2025-12-05T02:16:55.864001,1,0,0,60,0.0565649423581399,0.5,1334,102579.17,585796.3600000023,246.3399327165695,82.37300252312868,85.0,0.1490162934757423,191.8,2.2497897392767072,0.743944,0.906473,0.969418
Person_reID_baseline_pytorch_densenet121_025_parallel,2025-12-05T04:02:38.475882,1,0,0,60,0.05,0.5,9670,154033.52,832648.0699999991,229.5693603529085,89.79404466501241,84.0,0.1561126928495748,206.35,4.990901571546729,0.725624,0.892221,0.960808
Person_reID_baseline_pytorch_densenet121_024_parallel,2025-12-05T02:59:02.337963,1,0,0,60,0.05,0.4394570986695282,1334,102205.17,583255.7499999993,246.09947257383936,82.73164556962026,85.0,0.1491042990459617,191.37,2.2177215189873465,0.752522,0.901128,0.96823
Person_reID_baseline_pytorch_densenet121_008,2025-12-07T08:36:31.995087,1,0,0,85,0.0743084324506971,0.5666375197443834,5522,163216.35,1043264.770000001,232.19781215223705,83.73447585132428,84.0,0.1352829706941455,280.06,5.355664366792794,0.725245,0.887173,0.961698
Person_reID_baseline_pytorch_densenet121_009,2025-12-07T09:40:27.808233,1,0,0,71,0.0339664515876819,0.4228693055590705,5289,135881.47,852617.8399999993,228.7065021459225,84.14994635193133,84.0,0.1374623822448597,275.54,5.673819742489272,0.740512,0.896378,0.958432
Person_reID_baseline_pytorch_densenet121_010,2025-12-07T11:02:03.216216,1,0,0,90,0.0274165593810189,0.3905070975289366,1797,173100.54,1077093.0599999998,226.2325267800882,84.1818945599664,84.0,0.1384589874720203,275.72,5.392144507456422,0.717806,0.884501,0.960214
Person_reID_baseline_pytorch_densenet121_012,2025-12-07T12:32:18.144298,1,0,0,51,0.0655875670649268,0.366983324404857,831,100856.52,593491.4199999996,214.1022438672437,84.63383838383838,84.0,0.1452535741662891,274.71,5.755772005772002,0.727889,0.899644,0.959026
Person_reID_baseline_pytorch_densenet121_011,2025-12-07T11:44:43.543179,1,0,0,46,0.0487627023304731,0.4858327327598483,2567,90756.08,532400.2399999999,214.2455694164989,85.00241448692152,84.0,0.1456393477642977,276.87,6.016901408450707,0.739777,0.895784,0.961401
Person_reID_baseline_pytorch_hrnet18_004_parallel,2025-12-07T22:50:24.140934,0,1,0,60,0.05,0.5435809256467599,1334,252204.45,1353242.9200000043,222.02508941755607,98.75471698113208,85.0,0.1570929416390643,94.75000000000004,4.826415094339623,0.746401,0.901722,0.959323
Person_reID_baseline_pytorch_hrnet18_003_parallel,2025-12-07T21:04:34.017284,0,1,0,60,0.05,0.5,6621,269306.99,1464603.3800000006,224.35713541666675,98.7124693627451,85.0,0.1553177111455881,106.96,4.204810049019613,0.740315,0.898456,0.96348
Person_reID_baseline_pytorch_hrnet18_001_parallel,2025-12-07T17:25:23.679030,0,1,0,53,0.05,0.5,1334,222999.99,1242650.919999997,230.63305864884867,98.51002227171492,84.0,0.1521508215076948,132.29000000000002,3.559948032665176,0.758933,0.908254,0.966152
Person_reID_baseline_pytorch_hrnet18_002_parallel,2025-12-07T19:11:20.534838,0,1,0,60,0.0301799253847571,0.5,1334,252553.7,1351648.9100000022,221.50916256964967,98.7351687971157,85.0,0.157432545256861,96.66,4.575712881022611,0.770628,0.911817,0.96348
Person_reID_baseline_pytorch_pcb_008_parallel,2025-12-09T11:33:54.189417,0,0,1,60,0.05,0.5,7980,350632.42,1856628.4799999984,221.18518942101483,99.67357636406958,85.0,0.1588540892469939,165.43,6.259947581605914,0.777297,0.929929,0.976247
Person_reID_baseline_pytorch_pcb_009_parallel,2025-12-09T13:59:23.675513,0,0,1,60,0.05,0.5,7222,351047.24,1832222.66999999,217.7846986806121,99.68691311066208,85.0,0.1607896661755401,175.67999999999998,6.464043741828121,0.78039,0.930523,0.973575
Person_reID_baseline_pytorch_pcb_010_parallel,2025-12-09T16:16:20.907867,0,0,1,60,0.05,0.3027535538300018,1334,331831.23,1670020.2200000002,211.0210032853172,99.644806671721,84.0,0.165762164819972,178.43,6.522491786707107,0.776802,0.929632,0.975059
Person_reID_baseline_pytorch_hrnet18_019_parallel,2025-12-10T09:55:46.852104,0,1,0,60,0.05,0.5779894503061639,1334,250451.29,1379472.0600000017,227.37301137300176,98.75605735948574,85.0,0.1536583238714874,114.86,4.191857590242293,0.76185,0.907957,0.964371
Person_reID_baseline_pytorch_pcb_003_parallel,2025-12-08T23:58:22.006181,0,0,1,74,0.05,0.5,1334,401564.52,2107312.7900000038,219.1692969318776,99.67509100364016,84.0,0.1600574561376217,181.1,6.146853874154971,0.775175,0.928444,0.970606
Person_reID_baseline_pytorch_hrnet18_016_parallel,2025-12-10T04:23:59.241562,0,1,0,60,0.0511718430945289,0.5,1334,253983.81,1336853.4299999955,218.61871300081697,98.71381847914964,85.0,0.1596541768157254,90.73000000000002,4.846279640228943,0.734265,0.890143,0.961698
Person_reID_baseline_pytorch_hrnet18_014_parallel,2025-12-10T00:52:32.401502,0,1,0,84,0.05,0.5,1334,348049.14,1911245.649999997,227.6105335238772,98.72764082410384,85.0,0.1540521146423749,118.57999999999998,4.2449684411099184,0.731787,0.899644,0.961698
Person_reID_baseline_pytorch_hrnet18_015_parallel,2025-12-10T02:37:48.163385,0,1,0,60,0.0684962527946702,0.5,1334,250962.5,1361301.6900000006,224.56312933025416,98.74166941603433,84.0,0.1556584222093278,97.92000000000002,3.5945232596502734,0.619773,0.835511,0.938242
Person_reID_baseline_pytorch_hrnet18_013_parallel,2025-12-09T22:27:20.017461,0,1,0,56,0.05,0.5,1334,234645.04,1286179.1599999955,226.9194001411425,98.65790402258293,85.0,0.1542880761629126,98.11,4.3719124911785485,0.732314,0.896972,0.963183
Person_reID_baseline_pytorch_pcb_002_parallel,2025-12-08T21:12:17.639887,0,0,1,38,0.05,0.5,1334,211731.53,1091358.730000003,214.70759984261323,99.50265591186307,84.0,0.1624841628391877,167.91000000000005,6.604760967932322,0.781447,0.930819,0.97209
Person_reID_baseline_pytorch_pcb_007_parallel,2025-12-09T09:08:44.329259,0,0,1,60,0.05,0.5,6927,349349.49,1859335.85,221.66617191225555,99.65081068192656,84.0,0.1581707831682352,190.33,5.724964234620884,0.779508,0.92696,0.971496
Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-12-10T06:17:15.425371,0,1,0,60,0.05,0.5,9465,270234.29,1446229.0699999968,221.47458958652325,98.79678407350688,86.0,0.1574366784036686,102.69,5.109341500765694,0.729855,0.89133,0.959917
Person_reID_baseline_pytorch_pcb_006_parallel,2025-12-09T06:43:40.977726,0,0,1,60,0.050644125668632,0.5,1334,325765.31,1724439.4800000018,221.13868684278043,99.59502436522185,84.0,0.1588940341906038,181.25000000000003,6.259040779687098,0.778183,0.925475,0.972684
Person_reID_baseline_pytorch_pcb_005_parallel,2025-12-09T04:28:43.668867,0,0,1,60,0.0314572045705111,0.5,1334,326207.16,1720304.8300000052,220.7216871952791,99.63933795227098,84.0,0.1593966522522055,174.34999999999997,6.406723120348985,0.783321,0.931413,0.975356
Person_reID_baseline_pytorch_pcb_004_parallel,2025-12-09T02:13:50.385268,0,0,1,60,0.0347610629572954,0.5,1334,327835.48,1708000.6399999964,218.21906733103316,99.65159064775776,84.0,0.1610323526433947,184.65,6.441420723137853,0.783921,0.932898,0.973278
Person_reID_baseline_pytorch_hrnet18_018_parallel,2025-12-10T08:10:25.408993,0,1,0,60,0.05,0.5,4351,268851.03,1468668.6300000031,225.11781575720465,98.58660331085224,85.0,0.154732654938707,132.08999999999995,4.255671367259353,0.731198,0.897565,0.964074
Person_reID_baseline_pytorch_pcb_012_parallel,2025-12-09T20:48:49.459429,0,0,1,60,0.05,0.4214212994379233,1334,329055.4,1696410.6700000088,216.46174173791104,99.65318361617966,85.0,0.1624591025610212,175.11999999999998,7.539236952915658,0.779948,0.929335,0.974466
Person_reID_baseline_pytorch_pcb_001_parallel,2025-12-08T19:43:46.941332,0,0,1,52,0.05,0.5,1334,285342.76,1524372.999999998,223.1878477306,99.61405563689604,84.0,0.1576726944125194,162.24,6.123865300146406,0.780261,0.929632,0.974466
Person_reID_baseline_pytorch_pcb_011_parallel,2025-12-09T18:33:11.750267,0,0,1,60,0.05,0.5658201898936376,1334,331364.7,1675246.7800000033,211.84203085483097,99.61519979767324,84.0,0.1651364518257413,182.9,6.507966616084971,0.777544,0.931116,0.974762
Person_reID_baseline_pytorch_hrnet18_020_parallel,2025-12-10T11:41:25.897999,0,1,0,60,0.05,0.5549998038248569,1334,251604.5,1348411.1899999997,221.63234549638392,98.77432610124916,85.0,0.1572512704547291,94.92,4.351742274819202,0.72453,0.893112,0.956057
