hyperparam_learning_rate,hyperparam_dropout,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_map,perf_rank1,perf_rank5,is_densenet121,is_hrnet18,is_pcb
0.2059905958478866,0.2271834178104961,-0.0499563982519219,0.1440315532355471,-0.2664695306335992,-1.4630736115220466,0.6211899679107278,0.5012886762969422,-0.9446608518648396,-0.725755861317465,0.1547790916509636,0.1753445767632638,-0.1218169754524027,1,0,0
0.2059905958478866,0.2271834178104961,-0.0499563982519219,-0.8311590453724822,-0.2664695306335992,-1.266285073920104,0.0681445855413318,-1.309719420203428,-0.6232454538414621,0.0466709133268057,0.0420193467874263,-0.2122993888705499,-0.1865185986559393,0,1,0
0.2059905958478866,0.2271834178104961,-0.0499563982519219,0.8609710353671979,0.1948807015081519,-0.6504089355768674,1.0421923106250208,0.0302531181831712,-0.5216210725673692,-0.0618433692664239,0.7417046081061183,0.8601953057644635,0.7513281619206025,0,0,1
0.2059905958478866,0.2271834178104961,-0.0499563982519219,0.8267473886647595,0.1948807015081519,2.3740217028198334,1.1346224383835926,-0.0609874379414991,0.0884551850557619,-0.0670505692599583,0.7415715425587212,0.8601953057644635,0.7513281619206025,0,0,1
0.2059905958478866,0.2271834178104961,-0.0499563982519219,-1.3898120182692946,-0.2664695306335992,2.3144425956372725,0.1604211748817005,-1.0709806009920055,0.3082360064017823,0.2869998041163883,0.0420193467874263,-0.2122993888705499,-0.1865185986559393,0,1,0
0.2059905958478866,0.2271834178104961,-0.0499563982519219,-0.0690356278887724,0.1948807015081519,1.4409229228494358,0.7337336284539729,0.4713233317790449,-0.4281250827481214,-0.6031020715029384,0.1547790916509636,0.1753445767632638,-0.1218169754524027,1,0,0
,,-1.4169451140545213,-0.6421782579995776,0.1948807015081519,-0.3747080132353191,0.3898075716778907,-1.336377131296983,-1.494626923477815,-1.6473829182266475,-0.1763412164897365,-0.147713821900684,-0.542268600983811,1,0,0
0.0368759297166837,,,-0.5860373127368899,0.1948807015081519,-0.3080453736573761,0.381670035513099,-1.2974437821622804,-1.3063323748701454,-1.33075584249937,-0.5880460201335755,-0.6774982603940503,-0.4128653545767378,1,0,0
,-1.8738528568761843,,-0.5660041945355688,0.1948807015081519,-0.4582409337376727,0.3954884931514242,-1.2771775557477434,-1.307516103670016,-1.3372114620317337,-0.2099003475430597,-0.2640026594636743,0.1045297804683957,1,0,0
,,,0.1491729862028686,-0.2664695306335992,-1.0915775891852677,0.5910964379428209,0.4269906761202933,-0.920687529311349,-0.7886054277949138,-0.446437664594543,-0.3673656793783834,-0.4775669777802744,1,0,0
,,-2.393365625342092,-0.7944486887022644,0.1948807015081519,1.5951525179199826,0.7091674815413954,-1.2263041723247512,-1.4215045354448212,-1.80761790419244,-0.9357462954798432,-0.8454903685501696,-0.8980186033116827,1,0,0
-1.1328123778236314,,,-0.734230054655822,0.656230933649903,1.549195180898076,0.9852295574714818,-0.8350327935507575,-0.9494821093857196,-1.1957182277430354,-0.00612376826052,-0.1864912748455272,-0.2512202218594759,1,0,0
,1.1439072465021358,,-0.7538304233486801,0.1948807015081519,1.6851588007260598,0.9723323303423792,-1.2214415150474864,-0.953645550991796,-1.1962008947554494,-0.1482643859891407,-0.2898542947602364,0.0721789688666274,1,0,0
,,,-0.0865628346116876,0.1948807015081519,1.5811242824881144,0.8716111280008123,0.3343341946378855,-0.4232276783091088,-0.5819613115684275,-0.1369272013509836,0.0073524686071493,0.1045297804683957,1,0,0
,,0.9264641130356488,-0.9722080425988756,-0.2664695306335992,-0.9107305885084308,0.0650738171772598,-1.6827901233702556,-0.4188499208302401,0.3352725231679397,0.0312942636672916,-0.1994170924938131,0.0074773456630908,0,1,0
-2.0002910594662264,,,-1.0034506867353847,-0.2664695306335992,-0.853934068191804,0.1215759550761881,-1.657186397691892,-0.6559345717608043,-0.080010282060678,0.6630362564854865,0.0849073744968358,-0.0571153522488662,0,1,0
,-1.858953031217076,,-1.013973195154679,-0.2664695306335992,-0.6725299070659612,0.0392793629190536,-1.567110851438547,-0.6512323668134625,-0.0891656623297395,0.3516362624688999,0.291633414326254,0.4602797827962674,0,1,0
,,,-0.8409747886745922,-0.2664695306335992,-0.8892218927532479,0.1149738030934328,-0.856256988964614,-0.5991899308491505,-0.0236898186493001,0.3103859427760798,0.1494929414667017,0.136880592070164,0,1,0
,,1.8052425731944628,-1.580873359945317,-0.7278197627753504,2.178545082253408,0.2093999302886514,-0.8991036976694328,0.9861424943487422,1.100513701358138,0.6455780566671055,0.1624187591149828,0.3309854616807737,0,1,0
