hyperparam_learning_rate,hyperparam_batch_size,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_test_accuracy,is_mnist,is_cifar10
2.5894640375662856,,2.797205049052688,0.1330147038017547,0.6936101338934664,1.2324668485785286,0.8521224252300105,-0.3470173245173017,0.5629497605087574,1.3254371978552058,0.3687845896714591,0,1
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,-1.2219809757740647,-0.4262275865616046,-0.3101155850381469,-1.1207355822001124,-0.8668573167935385,-0.4757590691634409,-0.5655297985179322,0.5034848467736528,1,0
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,-1.5605175950888202,-0.8334413030907213,2.2130223655306294,-0.3652240915404622,2.70319733019332,-0.3654339641837243,-0.6541316501808973,-0.6268669610769215,1,0
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,-0.1404372825884373,0.1845929882320705,-0.5584733936794075,-0.0137233511196771,-0.019151733024134,-0.3524451599053974,-0.2516851143331495,0.566282169432018,1,0
2.5894640375662856,,2.797205049052688,0.1467899528364734,0.8972169921580248,1.6128920434968577,0.835167385915257,-0.5167408108597058,0.6426629543401925,1.3691516452495378,0.3687845896714591,0,1
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,0.8472646846874231,1.1008238504225831,0.6525828291757027,2.1385544007008974,0.3442378575769473,-0.460193481244824,-0.3866963501736581,0.5034848467736528,1,0
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,1.260309609552653,1.2026272795548625,0.3605522055071243,-0.263114265219521,-0.5405600947941792,-0.1837849793545956,0.2205801058603109,0.566282169432018,1,0
-0.3738519601278181,-0.1369240240722806,-0.3579298950073525,1.2107868618875095,1.2026272795548625,1.8950216386454264,0.093321150822722,-0.0725968795641473,-0.3236996369773554,-0.2036366810925289,-0.6268669610769215,1,0
,,-0.440959761956301,-1.2316645966595694,-1.0370481613552798,-0.4940311036160466,-1.1370579707941662,-0.7135307933859872,-0.5281753807431934,-0.6196966524799703,0.5976808307612006,1,0
,,,-1.2205803336023422,-1.0370481613552798,-0.4605078982289668,-1.1261763783981302,-0.6504612771145786,-0.4333877892503813,-0.5309792688528374,0.5976808307612006,1,0
,,-0.3911418417869319,0.3095748897840917,0.5918067047611872,0.5261455632662958,2.028346645155,2.550505932677199,-0.4803322817916622,-0.4842939995227645,0.5976808307612006,1,0
-0.3163725575761732,,,0.9121000390249172,0.6936101338934664,0.3279124303244156,2.0932566090987947,0.4717839973150493,-0.4120200023809015,-0.2707126139555741,0.5348835081028354,1,0
,,,0.9169221411054612,0.6936101338934664,0.5236016427176406,2.10477085221553,0.1212138602261502,-0.4126129343786672,-0.2698769489290413,0.5976808307612006,1,0
,,-0.3745358683971422,-1.5609077067667292,-1.240655019619838,1.986626329343344,-0.3863546256118342,2.049540963015428,-0.3855172896534989,-0.6555306548898527,0.4720861854444702,1,0
-0.3147391971946686,,,-1.5606288728461253,-2.25868931094263,1.8231355117068495,-0.4264646813041986,1.9843893942066604,-0.2778920466226994,-0.6528566724334749,-0.4698736544310083,1,0
,,,-1.5606270323582003,-2.869509885736305,1.9806558902203515,-0.4616400613751053,1.3535464559325117,-0.2801521506732735,-0.6534811760969278,0.5034848467736528,1,0
,,-0.3247179482277732,1.2266569606022124,0.999020421290304,1.791874444972063,-0.5731131183624024,0.1221629367049636,-0.2713650781427495,0.0336643552132423,0.4720861854444702,1,0
-0.0854137729230882,,,1.2258767372463952,1.2026272795548625,1.6849222075857495,-0.0842006414056302,-0.4070506433142553,-0.2213034252995786,0.091693682215428,-0.1872857024683648,1,0
,,,1.2164273654926026,1.2026272795548625,1.7213856688871785,-0.1396208445389283,-0.4260598885235399,-0.2202734305489144,0.0510296670178611,0.4720861854444702,1,0
,,-0.2915060014481938,-0.1288130897850996,0.3881998464966288,-0.8197589909826696,-0.0410538622539066,-0.8851110943331437,-0.2610925312814595,-0.0745081095703666,0.6290794920903833,1,0
-0.5068188161206234,,,-0.1302545193746613,0.3881998464966288,-0.6255299800465337,-0.0291600287047512,-0.7620478237879682,-0.2606197578514229,-0.0649713828139002,0.566282169432018,1,0
,,,-0.1334805760751087,0.2863964173643497,-0.6138758710493556,-0.0315641014434102,-1.0710340210560687,-0.2607075746738192,-0.0682708397905725,0.6290794920903833,1,0
,,-0.3911418417869319,1.2539275159267558,1.2026272795548625,0.3761007829863931,-0.7445614636720367,-0.7670492592436724,-0.2722737913484161,0.1172732519485837,0.6290794920903833,1,0
-0.3963679474208912,,,1.2554324343851204,1.2026272795548625,0.305657816418572,-0.6577617847920298,-0.9361572222802566,-0.0382284839349142,0.6358322434506812,0.566282169432018,1,0
,,,1.2561743961140608,1.2026272795548625,0.2641685475880044,-0.6013293405056115,-0.97170338719961,-0.035778821321418,0.6190347210890121,0.6290794920903833,1,0
,,2.265813900579418,-0.019865785980298,0.999020421290304,1.4979948336121205,0.8061919829072082,-0.1704299751186497,0.3691811558071173,1.0242523250773092,0.3782041880702143,0,1
1.2706850071993647,,,-0.0141276431795778,0.8972169921580248,1.4093412629171058,0.7821512555206177,-0.5130565869557977,0.543900921698721,1.3393298356416354,0.3565391117530779,0,1
,,,-0.0018932190897703,0.8972169921580248,1.524958325924454,0.7850614488358364,-0.4565807789711942,0.5364656892040118,1.3256947176324794,0.3898216927620115,0,1
,,,0.1438955542083009,0.8972169921580248,1.4627514401360342,0.8436449055726339,-0.6937740219986832,0.5589310740557192,1.3904231995569178,0.3785181746835058,0,1
,,1.9835123529529928,-0.0187567213556878,0.8972169921580248,1.5037065709527948,0.7593758295754263,-0.32925441100994,0.3390276439798356,0.8606295335868768,0.3712964825777941,0,1
2.812307319260781,,,-0.0267066854232309,0.8972169921580248,1.5982154091537748,0.776457399034319,-0.332730307523886,0.6380252828167596,1.3582352500162096,0.3772622282303388,0,1
,,,-0.0212044491453094,0.7954135630257456,1.5576347479381805,0.7643105051968843,-0.6297095245508046,0.639753769428428,1.354222941403488,0.3794601345233813,0,1
,,,0.1400046560571833,0.8972169921580248,1.6482069871695924,0.8307388308703587,-0.6365748827553883,0.6467438537339053,1.4195508465229685,0.3672146566050001,0,1
,,-0.3081119748379835,1.268959380662798,0.1845929882320705,-0.5015943896541588,0.6543558099392665,0.3870891801870158,-0.0131202843795294,-0.1593406095452545,0.5976808307612006,1,0
,,-0.4243537885665113,1.273903819371178,-0.3244241574293254,-0.4764700885426292,-1.379110136533893,-1.3508037584105683,-0.312653358778072,-0.4278878642552401,0.5976808307612006,1,0
-0.0560754546487435,,,1.271471809482803,0.1845929882320705,-0.5039339961454665,0.5241562916192565,0.1274745826432475,0.0344667757547846,-0.1162361838664872,0.566282169432018,1,0
