source,target,weight
energy_gpu_temp_avg_celsius,hyperparam_learning_rate_x_is_parallel,0.30000001192092896
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.30000001192092896
energy_gpu_temp_max_celsius,is_parallel,0.3499999940395355
energy_gpu_temp_max_celsius,perf_eval_loss,0.45000001788139343
energy_gpu_temp_max_celsius,perf_eval_samples_per_second,0.45000001788139343
energy_gpu_temp_max_celsius,perf_rank1,0.3499999940395355
energy_gpu_temp_max_celsius,perf_rank5,0.4000000059604645
energy_gpu_temp_max_celsius,perf_top5_accuracy,0.4000000059604645
energy_gpu_temp_max_celsius,perf_top10_accuracy,0.45000001788139343
energy_gpu_temp_max_celsius,perf_precision,0.4000000059604645
energy_gpu_temp_max_celsius,perf_recall,0.3499999940395355
energy_gpu_util_avg_percent,perf_eval_loss,0.5
energy_gpu_util_avg_percent,perf_map,0.3499999940395355
energy_gpu_util_avg_percent,perf_rank1,0.5
energy_gpu_util_avg_percent,perf_top5_accuracy,0.30000001192092896
energy_gpu_util_avg_percent,perf_top10_accuracy,0.4000000059604645
energy_gpu_util_avg_percent,perf_top20_accuracy,0.30000001192092896
energy_gpu_util_avg_percent,hyperparam_learning_rate_x_is_parallel,0.4000000059604645
energy_gpu_util_avg_percent,hyperparam_epochs_x_is_parallel,0.3499999940395355
energy_gpu_util_max_percent,is_parallel,0.3499999940395355
energy_gpu_util_max_percent,perf_eval_loss,0.30000001192092896
energy_gpu_util_max_percent,perf_final_training_loss,0.3499999940395355
energy_gpu_util_max_percent,perf_eval_samples_per_second,0.4000000059604645
energy_gpu_util_max_percent,perf_map,0.4000000059604645
energy_gpu_util_max_percent,perf_rank1,0.30000001192092896
energy_gpu_util_max_percent,perf_top1_accuracy,0.550000011920929
energy_gpu_util_max_percent,perf_top5_accuracy,0.4000000059604645
energy_gpu_util_max_percent,perf_top10_accuracy,0.5
energy_gpu_util_max_percent,perf_top20_accuracy,0.4000000059604645
energy_gpu_util_max_percent,perf_accuracy,0.30000001192092896
energy_gpu_util_max_percent,perf_precision,0.3499999940395355
energy_gpu_util_max_percent,hyperparam_learning_rate_x_is_parallel,0.3499999940395355
is_parallel,hyperparam_learning_rate,0.30000001192092896
is_parallel,perf_final_training_loss,0.30000001192092896
is_parallel,perf_eval_samples_per_second,0.550000011920929
