experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,composite_id
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.592966,pytorch_resnet_cifar10,resnet20,True,True,1135.9036231040957,0,Training completed successfully,,,,200.0,,0.1,,1334.0,0.0001,,91.71,,,,,,91.71,,,,,,,,,51431.03,3176.37,54607.4,228.69854941069815,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,default,0.0,,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/pytorch_resnet_cifar10_resnet20_012_parallel/background_logs,1135.9036231040957,0.0,Training completed successfully,default__pytorch_resnet_cifar10_resnet20_012_parallel|2025-11-19T02:01:33.592966
default__VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240123,VulBERTa,mlp,True,True,3765.577875137329,0,Training completed successfully,,,,10.0,,3e-05,,42.0,0.0,,,,,,,,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331973,100.0,default,0.0,,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/VulBERTa_mlp_013_parallel/background_logs,3765.577875137329,0.0,Training completed successfully,default__VulBERTa_mlp_013_parallel|2025-11-19T03:05:49.240123
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028622,examples,mnist,True,True,143.77884531021118,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,96.0,0.1202,,,,,,,,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_014_parallel/background_logs,143.77884531021118,0.0,Training completed successfully,default__examples_mnist_014_parallel|2025-11-19T03:09:43.028622
default__MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374038,MRT-OAST,default,True,True,1333.281008720398,0,Training completed successfully,,,0.2,10.0,,0.0001,,1334.0,0.0,,,,0.9834,,,0.808854,,,,,,,,,,57839.19,3214.53,61053.72,234.4153127413124,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.2138996138996,100.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/MRT-OAST_default_015_parallel/background_logs,1333.281008720398,0.0,Training completed successfully,default__MRT-OAST_default_015_parallel|2025-11-19T03:33:26.374038
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.246728,Person_reID_baseline_pytorch,pcb,True,True,4346.275467395783,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.775222,,0.924881,0.971496,,,,,,,,,,,198674.72,11935.12,210609.84,233.2790381426203,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_pcb_016_parallel/background_logs,4346.275467395783,0.0,Training completed successfully,default__Person_reID_baseline_pytorch_pcb_016_parallel|2025-11-19T04:47:23.246728
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988365,Person_reID_baseline_pytorch,hrnet18,True,True,4958.222606658936,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.748936,,0.900238,0.962886,,,,,,,,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_hrnet18_017_parallel/background_logs,4958.222606658936,0.0,Training completed successfully,default__Person_reID_baseline_pytorch_hrnet18_017_parallel|2025-11-19T06:11:31.988365
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763015,examples,siamese,True,True,451.7634174823761,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,98.0,0.0,,,,,,,,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_siamese_018_parallel/background_logs,451.7634174823761,0.0,Training completed successfully,default__examples_siamese_018_parallel|2025-11-19T06:20:33.763015
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995640,examples,mnist_rnn,True,True,241.2225968837738,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,60.0,1.3176,,,,,,,,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350429,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_rnn_019_parallel/background_logs,241.2225968837738,0.0,Training completed successfully,default__examples_mnist_rnn_019_parallel|2025-11-19T06:26:04.995640
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930724,bug-localization-by-dnn-and-rvsm,default,True,True,1205.705624818802,0,Training completed successfully,1e-05,,,,10.0,,10000.0,42.0,,,,,,,,,,,,,,,,,,82596.83,3206.52,85803.35,235.69332988624615,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/bug-localization-by-dnn-and-rvsm_default_021_parallel/background_logs,1205.705624818802,0.0,Training completed successfully,default__bug-localization-by-dnn-and-rvsm_default_021_parallel|2025-11-19T06:49:17.930724
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861156,Person_reID_baseline_pytorch,densenet121,True,True,3526.4963586330414,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.753173,,0.909145,0.96348,,,,,,,,,,,152005.47,9963.13,161968.6,230.32688228438212,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_densenet121_022_parallel/background_logs,3526.4963586330414,0.0,Training completed successfully,default__Person_reID_baseline_pytorch_densenet121_022_parallel|2025-11-19T07:49:34.861156
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.876848,examples,mnist,False,True,73.70601749420166,0,Training completed successfully,,,,5.0,,,,,,,,,,,,,99.0,0.0312,,,,,,,,2304.78,171.63,2476.41,91.8365714285714,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,mutation_1x,1.0,epochs,,,,,,,,,mutation_1x__examples_mnist_007|2025-11-20T20:02:47.876848
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663633,examples,mnist,False,True,196.42851877212524,0,Training completed successfully,,,,,,,,6061.0,,,,,,,,,99.0,0.0266,,,,,,,,6233.84,462.94,6696.78,92.03291005291004,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,mutation_1x,1.0,seed,,,,,,,,,mutation_1x__examples_mnist_009|2025-11-20T20:11:20.663633
mutation_1x__examples_mnist_010_parallel,2025-11-20T20:14:49.560339,examples,mnist,True,True,118.88937640190125,0,Training completed successfully,,,,8.0,,,,,,,,,,,,,99.0,0.0297,,,,,,,,4312.18,294.42,4606.6,201.4314782608695,275.37,4.34,23164.619999999995,67.33043478260869,78.0,65.98260869565217,97.0,mutation_1x,1.0,epochs,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_010_parallel/background_logs,118.88937640190125,0.0,Training completed successfully,mutation_1x__examples_mnist_010_parallel|2025-11-20T20:14:49.560339
