experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,composite_id
mutation_1x__Person_reID_baseline_pytorch_hrnet18_072_parallel,2025-11-22T06:50:34.618045,Person_reID_baseline_pytorch,hrnet18,True,True,4956.3532247543335,0,Training completed successfully,,,,,,,,1928.0,,,,0.757583,,0.905285,0.965558,,,,,,,,,,,218162.82,13175.61,231338.43,227.19419763338257,251.18,5.01,1094394.450000004,79.39007681129334,82.0,57.37762092588749,76.0,mutation_1x,1.0,seed,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/Person_reID_baseline_pytorch_hrnet18_072_parallel/background_logs,4956.3532247543335,0.0,Training completed successfully,mutation_1x__Person_reID_baseline_pytorch_hrnet18_072_parallel|2025-11-22T06:50:34.618045
mutation_1x__Person_reID_baseline_pytorch_pcb_073,2025-11-22T08:03:23.729552,Person_reID_baseline_pytorch,pcb,False,True,4308.737013101578,0,Training completed successfully,,,,65.0,,,,,,,,0.772372,,0.923694,0.9712,,,,,,,,,,,144873.16,11011.65,155884.81,238.37229539489348,319.51,11.47,999018.2899999986,77.8415652588881,83.0,96.74707706991173,100.0,mutation_1x,1.0,epochs,,,,,,,,,mutation_1x__Person_reID_baseline_pytorch_pcb_073|2025-11-22T08:03:23.729552
mutation_1x__Person_reID_baseline_pytorch_pcb_074,2025-11-22T09:11:04.443245,Person_reID_baseline_pytorch,pcb,False,True,4000.385018587112,0,Training completed successfully,,,,,,0.0346878771291993,,,,,,0.778531,,0.928741,0.973278,,,,,,,,,,,134638.66,10279.43,144918.09,237.7238946015424,319.4,9.63,924745.9499999996,77.74113110539845,83.0,96.53727506426736,100.0,mutation_1x,1.0,learning_rate,,,,,,,,,mutation_1x__Person_reID_baseline_pytorch_pcb_074|2025-11-22T09:11:04.443245
mutation_1x__Person_reID_baseline_pytorch_pcb_075,2025-11-22T10:18:46.631755,Person_reID_baseline_pytorch,pcb,False,True,4001.845580101013,0,Training completed successfully,,,0.4343877121066294,,,,,,,,,0.77555,,0.92696,0.972684,,,,,,,,,,,134686.7,10367.78,145054.48,236.1825931637116,319.42,10.92,918986.4700000018,77.84939604214854,84.0,96.57080442045746,100.0,mutation_1x,1.0,dropout,,,,,,,,,mutation_1x__Person_reID_baseline_pytorch_pcb_075|2025-11-22T10:18:46.631755
mutation_1x__Person_reID_baseline_pytorch_pcb_076,2025-11-22T11:30:57.313960,Person_reID_baseline_pytorch,pcb,False,True,4270.355304956436,0,Training completed successfully,,,,,,,,9463.0,,,,0.775916,,0.926663,0.974466,,,,,,,,,,,143037.18,10962.75,153999.93,241.70137490970424,316.39,12.9,1003785.8100000016,79.9626775824705,84.0,96.77245364796532,100.0,mutation_1x,1.0,seed,,,,,,,,,mutation_1x__Person_reID_baseline_pytorch_pcb_076|2025-11-22T11:30:57.313960
mutation_1x__Person_reID_baseline_pytorch_pcb_077_parallel,2025-11-22T12:37:17.132682,Person_reID_baseline_pytorch,pcb,True,True,3889.471378326416,0,Training completed successfully,,,,57.0,,,,,,,,0.777221,,0.925475,0.970606,,,,,,,,,,,178372.28,10855.35,189227.63,228.06763568970135,319.51,4.81,861411.4600000021,77.89647868678846,84.0,95.78130791633572,99.0,mutation_1x,1.0,epochs,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/Person_reID_baseline_pytorch_pcb_077_parallel/background_logs,3889.471378326416,0.0,Training completed successfully,mutation_1x__Person_reID_baseline_pytorch_pcb_077_parallel|2025-11-22T12:37:17.132682
mutation_1x__Person_reID_baseline_pytorch_pcb_078_parallel,2025-11-22T13:46:54.274473,Person_reID_baseline_pytorch,pcb,True,True,4086.688663005829,0,Training completed successfully,,,,,,0.0254263234007825,,,,,,0.773998,,0.924881,0.974466,,,,,,,,,,,187346.26,11397.53,198743.79,225.65036785084448,319.2,4.87,895606.3100000017,77.7785336356765,84.0,96.09171075837745,99.0,mutation_1x,1.0,learning_rate,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/Person_reID_baseline_pytorch_pcb_078_parallel/background_logs,4086.688663005829,0.0,Training completed successfully,mutation_1x__Person_reID_baseline_pytorch_pcb_078_parallel|2025-11-22T13:46:54.274473
mutation_1x__Person_reID_baseline_pytorch_pcb_079_parallel,2025-11-22T14:56:51.653972,Person_reID_baseline_pytorch,pcb,True,True,4106.948562860489,0,Training completed successfully,,,0.4034709109258052,,,,,,,,,0.777074,,0.932304,0.973872,,,,,,,,,,,188412.29,11426.58,199838.87,223.79352557673027,319.38,5.05,892488.5800000003,77.8986960882648,84.0,95.9358074222668,99.0,mutation_1x,1.0,dropout,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/Person_reID_baseline_pytorch_pcb_079_parallel/background_logs,4106.948562860489,0.0,Training completed successfully,mutation_1x__Person_reID_baseline_pytorch_pcb_079_parallel|2025-11-22T14:56:51.653972
mutation_1x__Person_reID_baseline_pytorch_pcb_080_parallel,2025-11-22T16:11:16.305577,Person_reID_baseline_pytorch,pcb,True,True,4374.126839399338,0,Training completed successfully,,,,,,,,7650.0,,,,0.77613,,0.925178,0.972981,,,,,,,,,,,200032.66,11971.83,212004.49,228.5434831725117,316.98,4.84,971081.2600000025,79.71452106377971,84.0,96.35420098846788,100.0,mutation_1x,1.0,seed,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/Person_reID_baseline_pytorch_pcb_080_parallel/background_logs,4374.126839399338,0.0,Training completed successfully,mutation_1x__Person_reID_baseline_pytorch_pcb_080_parallel|2025-11-22T16:11:16.305577
mutation_2x_safe__examples_mnist_013,2025-11-22T20:39:49.786554,examples,mnist,False,True,358.06739616394043,0,Training completed successfully,,,,13.0,,,,,,,,,,,,,99.0,0.0299,,,,,,,,23646.97,1762.01,25408.98,184.0975581395351,313.58,151.14,63329.56000000008,69.24709302325581,74.0,99.82558139534883,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_mnist_013|2025-11-22T20:39:49.786554
mutation_2x_safe__examples_mnist_014,2025-11-22T20:43:40.671003,examples,mnist,False,True,170.8779911994934,0,Training completed successfully,,,,6.0,,,,,,,,,,,,,99.0,0.0331,,,,,,,,11236.85,835.57,12072.42,183.75939024390243,184.77,183.04,30136.54,69.0,69.0,100.0,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_mnist_014|2025-11-22T20:43:40.671003
mutation_2x_safe__examples_mnist_015,2025-11-22T20:51:08.073543,examples,mnist,False,True,387.38945269584656,0,Training completed successfully,,,,,,0.0196513114076837,,,,,,,,,,,98.0,0.0755,,,,,,,,25618.49,1909.28,27527.77,184.0679892761394,312.49,160.34,68657.36,69.95710455764075,74.0,99.91420911528152,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_mnist_015|2025-11-22T20:51:08.073543
mutation_2x_safe__examples_mnist_016,2025-11-22T20:58:34.288596,examples,mnist,False,True,386.20207357406616,0,Training completed successfully,,,,,,0.0102551225051921,,,,,,,,,,,97.0,0.1166,,,,,,,,25541.85,1894.56,27436.41,187.24094086021512,317.99,128.4,69653.63000000002,70.18817204301075,75.0,99.39784946236558,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_mnist_016|2025-11-22T20:58:34.288596
mutation_2x_safe__examples_mnist_017,2025-11-22T21:05:58.922712,examples,mnist,False,True,384.6211133003235,0,Training completed successfully,,,,,,,,7185.0,,,,,,,,,99.0,0.0277,,,,,,,,25426.59,1892.32,27318.91,184.45624324324325,313.28,179.58,68248.81,69.61621621621622,74.0,99.98378378378378,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_mnist_017|2025-11-22T21:05:58.922712
mutation_2x_safe__examples_mnist_018,2025-11-22T21:13:23.871992,examples,mnist,False,True,384.9363088607788,0,Training completed successfully,,,,,,,,4829.0,,,,,,,,,99.0,0.0271,,,,,,,,25427.94,1885.14,27313.08,184.92051351351375,308.72,147.16,68420.5900000001,69.05675675675676,74.0,99.77837837837838,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_mnist_018|2025-11-22T21:13:23.871992
mutation_2x_safe__examples_mnist_019_parallel,2025-11-22T21:21:26.043580,examples,mnist,True,True,392.15458369255066,0,Training completed successfully,,,,14.0,,,,,,,,,,,,,99.0,0.0276,,,,,,,,26711.68,1970.03,28681.71,186.9706896551723,319.13,134.7,70487.94999999994,69.3315649867374,74.0,99.22546419098144,100.0,mutation_2x_safe,1.0,epochs,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_019_parallel/background_logs,392.15458369255066,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_019_parallel|2025-11-22T21:21:26.043580
mutation_2x_safe__examples_mnist_020_parallel,2025-11-22T21:28:06.178962,examples,mnist,True,True,310.1195459365845,0,Training completed successfully,,,,11.0,,,,,,,,,,,,,99.0,0.0298,,,,,,,,21126.36,1560.5,22686.86,186.4596308724832,318.84,166.66,55564.96999999998,69.2248322147651,75.0,99.54697986577182,100.0,mutation_2x_safe,1.0,epochs,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_020_parallel/background_logs,310.1195459365845,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_020_parallel|2025-11-22T21:28:06.178962
mutation_2x_safe__examples_mnist_021_parallel,2025-11-22T21:36:09.233758,examples,mnist,True,True,393.0354254245758,0,Training completed successfully,,,,,,0.0156988893065681,,,,,,,,,,,97.0,0.0877,,,,,,,,26775.33,1977.83,28753.16,183.36957671957668,295.12,146.62,69313.69999999998,69.03968253968254,74.0,99.75132275132276,100.0,mutation_2x_safe,1.0,learning_rate,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_021_parallel/background_logs,393.0354254245758,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_021_parallel|2025-11-22T21:36:09.233758
mutation_2x_safe__examples_mnist_022_parallel,2025-11-22T21:44:12.356610,examples,mnist,True,True,393.1045064926148,0,Training completed successfully,,,,,,0.0065029006438997,,,,,,,,,,,95.0,0.158,,,,,,,,26772.25,1979.35,28751.6,185.21169312169295,318.77,135.78,70010.01999999995,69.03174603174604,74.0,99.62698412698413,100.0,mutation_2x_safe,1.0,learning_rate,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_022_parallel/background_logs,393.1045064926148,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_022_parallel|2025-11-22T21:44:12.356610
mutation_2x_safe__examples_mnist_023_parallel,2025-11-22T21:52:16.213232,examples,mnist,True,True,393.8383581638336,0,Training completed successfully,,,,,,,,9973.0,,,,,,,,,99.0,0.0283,,,,,,,,26848.86,1987.17,28836.03,185.90396825396817,317.78,128.13,70271.69999999997,69.16931216931216,75.0,99.06878306878306,100.0,mutation_2x_safe,1.0,seed,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_023_parallel/background_logs,393.8383581638336,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_023_parallel|2025-11-22T21:52:16.213232
mutation_2x_safe__examples_mnist_024_parallel,2025-11-22T22:00:19.146203,examples,mnist,True,True,392.9137558937073,0,Training completed successfully,,,,,,,,2874.0,,,,,,,,,99.0,0.0273,,,,,,,,26781.62,1976.55,28758.17,184.24359788359783,316.55,137.37,69644.07999999999,69.16666666666667,75.0,99.29100529100528,100.0,mutation_2x_safe,1.0,seed,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_024_parallel/background_logs,392.9137558937073,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_024_parallel|2025-11-22T22:00:19.146203
mutation_2x_safe__examples_mnist_rnn_025,2025-11-22T22:09:01.413147,examples,mnist_rnn,False,True,462.2524371147156,0,Training completed successfully,,,,12.0,,,,,,,,,,,,,95.0,0.1593,,,,,,,,29379.98,2174.97,31554.95,185.38178654292355,307.61,161.44,79899.55000000005,69.34106728538283,74.0,99.90023201856148,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_025|2025-11-22T22:09:01.413147
mutation_2x_safe__examples_mnist_rnn_026,2025-11-22T22:18:09.088781,examples,mnist_rnn,False,True,487.66228342056274,0,Training completed successfully,,,,13.0,,,,,,,,,,,,,95.0,0.1581,,,,,,,,30612.99,2263.13,32876.12,182.5347252747252,317.94,123.49,83053.29999999996,68.7054945054945,73.0,99.810989010989,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_026|2025-11-22T22:18:09.088781
mutation_2x_safe__examples_mnist_rnn_027,2025-11-22T22:28:06.434898,examples,mnist_rnn,False,True,537.3316898345947,0,Training completed successfully,,,,,,0.0093908695351179,,,,,,,,,,,59.0,1.3358,,,,,,,,34124.36,2544.62,36668.98,184.26742514970053,319.21,136.64,92317.97999999997,69.03393213572855,73.0,99.7245508982036,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_027|2025-11-22T22:28:06.434898
mutation_2x_safe__examples_mnist_rnn_028,2025-11-22T22:38:04.606839,examples,mnist_rnn,False,True,538.157674074173,0,Training completed successfully,,,,,,0.0104460786715675,,,,,,,,,,,61.0,1.2663,,,,,,,,34139.53,2533.7,36673.23,185.9015568862276,318.67,133.45,93136.68000000002,68.9441117764471,73.0,99.34730538922156,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_028|2025-11-22T22:38:04.606839
mutation_2x_safe__examples_mnist_rnn_029,2025-11-22T22:48:01.850854,examples,mnist_rnn,False,True,537.2295589447021,0,Training completed successfully,,,,,,,,8534.0,,,,,,,,,96.0,0.1507,,,,,,,,34081.42,2525.24,36606.66,184.49123999999975,292.57,143.81,92245.6199999999,68.66,73.0,99.6,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_029|2025-11-22T22:48:01.850854
mutation_2x_safe__examples_mnist_rnn_030,2025-11-22T22:58:01.004087,examples,mnist_rnn,False,True,539.1388156414032,0,Training completed successfully,,,,,,,,3946.0,,,,,,,,,96.0,0.1323,,,,,,,,34187.64,2542.17,36729.81,186.0845418326693,316.5,133.3,93414.43999999996,68.97211155378486,74.0,99.29083665338644,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_mnist_rnn_030|2025-11-22T22:58:01.004087
mutation_2x_safe__examples_mnist_rnn_031_parallel,2025-11-22T23:07:12.933431,examples,mnist_rnn,True,True,461.9126091003418,0,Training completed successfully,,,,12.0,,,,,,,,,,,,,95.0,0.1593,,,,,,,,29290.18,2169.5,31459.68,187.43069767441852,298.57,145.04,80595.19999999998,69.02093023255814,73.0,99.76744186046513,100.0,mutation_2x_safe,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_031_parallel/background_logs,461.9126091003418,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_031_parallel|2025-11-22T23:07:12.933431
mutation_2x_safe__examples_mnist_rnn_032_parallel,2025-11-22T23:17:41.937257,examples,mnist_rnn,True,True,538.9853663444519,0,Training completed successfully,,,,14.0,,,,,,,,,,,,,95.0,0.1572,,,,,,,,34198.56,2540.74,36739.3,185.89964143426295,319.65,133.92,93321.62,68.85458167330677,74.0,99.56573705179282,100.0,mutation_2x_safe,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_032_parallel/background_logs,538.9853663444519,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_032_parallel|2025-11-22T23:17:41.937257
mutation_2x_safe__examples_mnist_rnn_033_parallel,2025-11-22T23:28:09.655174,examples,mnist_rnn,True,True,537.6991934776306,0,Training completed successfully,,,,,,0.0094110622771299,,,,,,,,,,,59.0,1.3345,,,,,,,,34125.63,2545.47,36671.1,184.78137724550896,314.94,126.56,92575.47,68.750499001996,73.0,99.69261477045907,100.0,mutation_2x_safe,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_033_parallel/background_logs,537.6991934776306,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_033_parallel|2025-11-22T23:28:09.655174
mutation_2x_safe__examples_mnist_rnn_034_parallel,2025-11-22T23:38:32.187455,examples,mnist_rnn,True,True,532.513679265976,0,Training completed successfully,,,,,,0.0054038452683524,,,,,,,,,,,48.0,1.6428,,,,,,,,33692.34,2504.4,36196.74,186.5295362903225,312.43,136.16,92518.64999999998,68.96975806451613,74.0,99.70766129032258,100.0,mutation_2x_safe,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_034_parallel/background_logs,532.513679265976,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_034_parallel|2025-11-22T23:38:32.187455
mutation_2x_safe__examples_mnist_rnn_035_parallel,2025-11-22T23:48:42.337982,examples,mnist_rnn,True,True,520.1318695545197,0,Training completed successfully,,,,,,,,2878.0,,,,,,,,,96.0,0.1559,,,,,,,,32547.98,2416.31,34964.29,187.37358762886595,313.37,135.46,90876.19,69.0659793814433,73.0,99.50103092783505,100.0,mutation_2x_safe,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_035_parallel/background_logs,520.1318695545197,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_035_parallel|2025-11-22T23:48:42.337982
mutation_2x_safe__examples_mnist_rnn_036_parallel,2025-11-22T23:58:55.798056,examples,mnist_rnn,True,True,523.4416875839233,0,Training completed successfully,,,,,,,,6402.0,,,,,,,,,96.0,0.1412,,,,,,,,32786.13,2413.83,35199.96,186.30739754098343,318.3,123.76,90918.00999999992,68.91188524590164,73.0,99.63319672131148,100.0,mutation_2x_safe,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_mnist_rnn_036_parallel/background_logs,523.4416875839233,0.0,Training completed successfully,mutation_2x_safe__examples_mnist_rnn_036_parallel|2025-11-22T23:58:55.798056
mutation_2x_safe__examples_siamese_037,2025-11-23T00:10:17.984959,examples,siamese,False,True,622.1741964817047,0,Training completed successfully,,,,9.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,41647.64,3041.92,44689.56,192.7204841402335,318.05,160.62,115439.56999999988,69.62103505843072,76.0,99.65275459098496,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_siamese_037|2025-11-23T00:10:17.984959
mutation_2x_safe__examples_siamese_038,2025-11-23T00:18:17.633775,examples,siamese,False,True,419.6398825645447,0,Training completed successfully,,,,6.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,28058.37,2040.23,30098.6,194.16554455445535,316.97,161.43,78442.87999999998,70.18811881188118,76.0,99.20049504950497,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__examples_siamese_038|2025-11-23T00:18:17.633775
mutation_2x_safe__examples_siamese_039,2025-11-23T00:35:29.133767,examples,siamese,False,True,971.4817655086516,0,Training completed successfully,,,,,,0.0179184878026796,,,,,,,,,,,99.0,0.0,,,,,,,,65135.48,4745.08,69880.56,192.1443055555556,318.86,152.16,179847.07000000004,69.72863247863248,76.0,99.48931623931624,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_siamese_039|2025-11-23T00:35:29.133767
mutation_2x_safe__examples_siamese_040,2025-11-23T00:52:43.493050,examples,siamese,False,True,974.3411440849304,0,Training completed successfully,,,,,,0.0052665243715974,,,,,,,,,,,97.0,0.0001,,,,,,,,65289.0,4751.43,70040.43,190.51083155650343,319.02,169.25,178699.1600000002,69.4051172707889,76.0,99.81343283582088,100.0,mutation_2x_safe,1.0,learning_rate,,,,,,,,,mutation_2x_safe__examples_siamese_040|2025-11-23T00:52:43.493050
mutation_2x_safe__examples_siamese_041,2025-11-23T01:09:41.533078,examples,siamese,False,True,958.0220112800598,0,Training completed successfully,,,,,,,,313.0,,,,,,,,,100.0,0.0,,,,,,,,63991.72,4659.34,68651.06,191.33814734561204,318.96,157.71,176605.10999999993,69.67822318526544,76.0,99.87865655471288,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_siamese_041|2025-11-23T01:09:41.533078
mutation_2x_safe__examples_siamese_042,2025-11-23T01:26:47.368120,examples,siamese,False,True,965.8166971206664,0,Training completed successfully,,,,,,,,7426.0,,,,,,,,,100.0,0.0,,,,,,,,64699.32,4701.33,69400.65,191.93413978494607,317.51,159.21,178498.74999999985,69.70430107526882,76.0,99.5989247311828,100.0,mutation_2x_safe,1.0,seed,,,,,,,,,mutation_2x_safe__examples_siamese_042|2025-11-23T01:26:47.368120
mutation_2x_safe__examples_siamese_043_parallel,2025-11-23T01:44:15.186755,examples,siamese,True,True,957.7960288524628,0,Training completed successfully,,,,14.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,64213.38,4670.19,68883.57,191.83517876489697,318.31,160.73,177063.8699999999,69.6673889490791,76.0,99.76598049837486,100.0,mutation_2x_safe,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_043_parallel/background_logs,957.7960288524628,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_043_parallel|2025-11-23T01:44:15.186755
mutation_2x_safe__examples_siamese_044_parallel,2025-11-23T02:02:54.284030,examples,siamese,True,True,1029.073748588562,0,Training completed successfully,,,,15.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,68863.85,5018.85,73882.7,192.4670332996972,317.9,169.67,190734.8299999999,69.71241170534813,76.0,99.7547931382442,100.0,mutation_2x_safe,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_044_parallel/background_logs,1029.073748588562,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_044_parallel|2025-11-23T02:02:54.284030
mutation_2x_safe__examples_siamese_045_parallel,2025-11-23T02:20:33.021874,examples,siamese,True,True,968.7151687145232,0,Training completed successfully,,,,,,0.0176593753086172,,,,,,,,,,,99.0,0.0,,,,,,,,64791.58,4738.59,69530.17,190.72289389067532,318.62,120.1,177944.4600000001,69.30975348338693,76.0,99.73633440514467,100.0,mutation_2x_safe,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_045_parallel/background_logs,968.7151687145232,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_045_parallel|2025-11-23T02:20:33.021874
mutation_2x_safe__examples_siamese_046_parallel,2025-11-23T02:38:04.885414,examples,siamese,True,True,961.84108376503,0,Training completed successfully,,,,,,0.0067572797572047,,,,,,,,,,,98.0,0.0001,,,,,,,,64458.15,4718.23,69176.38,193.0293196544276,317.38,161.1,178745.14999999994,69.65766738660908,76.0,99.60907127429806,100.0,mutation_2x_safe,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_046_parallel/background_logs,961.84108376503,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_046_parallel|2025-11-23T02:38:04.885414
mutation_2x_safe__examples_siamese_047_parallel,2025-11-23T02:55:27.690305,examples,siamese,True,True,952.7823159694672,0,Training completed successfully,,,,,,,,4314.0,,,,,,,,,100.0,0.0,,,,,,,,63869.72,4666.65,68536.37,192.87967320261424,319.21,157.61,177063.53999999986,69.640522875817,76.0,99.73856209150328,100.0,mutation_2x_safe,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_047_parallel/background_logs,952.7823159694672,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_047_parallel|2025-11-23T02:55:27.690305
mutation_2x_safe__examples_siamese_048_parallel,2025-11-23T03:12:59.611049,examples,siamese,True,True,961.8982775211334,0,Training completed successfully,,,,,,,,1868.0,,,,,,,,,100.0,0.0,,,,,,,,64447.77,4704.81,69152.58,192.5708198489755,317.34,162.02,178513.15000000029,69.68392664509169,76.0,99.70010787486515,100.0,mutation_2x_safe,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251122_175401/examples_siamese_048_parallel/background_logs,961.8982775211334,0.0,Training completed successfully,mutation_2x_safe__examples_siamese_048_parallel|2025-11-23T03:12:59.611049
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_049,2025-11-23T04:06:31.337579,pytorch_resnet_cifar10,resnet20,False,True,3151.684698581696,0,Training completed successfully,,,,254.0,,,,,,,91.9,,,,,,91.9,,,,,,,,,210862.51,15933.22,226795.73,192.0547725774551,320.42,165.02,582694.1799999988,69.33025708635465,76.0,99.751153592617,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__pytorch_resnet_cifar10_resnet20_049|2025-11-23T04:06:31.337579
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_050,2025-11-23T04:32:18.924804,pytorch_resnet_cifar10,resnet20,False,True,1487.5671219825745,0,Training completed successfully,,,,119.0,,,,,,,91.96,,,,,,91.96,,,,,,,,,99453.37,7499.53,106952.9,191.6446578212292,320.16,142.0,274435.1500000002,69.2604748603352,76.0,99.63617318435756,100.0,mutation_2x_safe,1.0,epochs,,,,,,,,,mutation_2x_safe__pytorch_resnet_cifar10_resnet20_050|2025-11-23T04:32:18.924804
