Group,Experiment_ID,Model,Training_Success,Has_Energy,Has_All_Params,Missing_Params
group1a_examples,mutation_2x_safe__examples_mnist_rnn_028,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,mutation_2x_safe__examples_mnist_rnn_029,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,mutation_2x_safe__examples_mnist_rnn_030,examples/mnist_rnn,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,mutation_2x_safe__examples_siamese_037,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,mutation_2x_safe__examples_siamese_038,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,mutation_2x_safe__examples_siamese_039,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,mutation_2x_safe__examples_siamese_040,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,mutation_2x_safe__examples_siamese_041,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,mutation_2x_safe__examples_siamese_042,examples/siamese,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_010_parallel,examples/mnist,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_011_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_learning_rate, hyperparam_seed"
group1a_examples,examples_mnist_012_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_seed"
group1a_examples,examples_mnist_013_parallel,examples/mnist,True,True,False,"hyperparam_batch_size, hyperparam_epochs, hyperparam_learning_rate"
group1a_examples,examples_mnist_ff_022_parallel,examples/mnist_ff,True,True,False,"hyperparam_epochs, hyperparam_learning_rate, hyperparam_seed"
