hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_precision,perf_recall,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,32.0,0.2880816295005849,10.0,5.0,0.0001169150216768,100.0,6691.0,3.0743223878557735e-05,0.869,0.9125,0.7698,39765.85,3036.31,42802.16,217.2965354938271,316.76,82.17,281616.3099999999,79.49845679012346,85.0,92.82793209876544,97.0,1337.2345378398895
0.1,32.0,0.2654805874380295,9.0,5.0,0.0001277099577982,100.0,5923.0,1.491054560061533e-05,0.8632,0.979006,0.73314,34763.75,2673.32,37437.07,249.8013808267369,317.0,71.47,284024.16999999987,79.12225153913808,84.0,92.53737906772209,100.0,1174.6866512298584
0.1,32.0,0.0,100.0,5.0,0.0001134318227458,100.0,42.0,0.0,0.913,0.9363,0.8213,38561.08,2946.96,41508.04,248.8870975416336,316.75,72.91,313846.62999999995,78.56225218080888,83.0,92.03806502775576,100.0,1304.450757265091
0.1,32.0,0.0,100.0,5.0,6.952804551582374e-05,100.0,42.0,0.0,0.8646,0.9175,0.7758,38750.48,2962.54,41713.02,235.83555731225292,316.27,80.61,298331.98,79.50513833992095,84.0,92.85138339920948,97.0,1305.3117399215698
0.1,32.0,0.2882798339299303,100.0,5.0,0.01,100.0,42.0,0.0,0.8686,0.9177,0.7958,38836.84,2952.79,41789.63,235.83362776025265,315.42,76.52,299037.0400000003,79.11750788643533,84.0,92.88249211356468,100.0,1308.2798743247986
0.1,32.0,0.235536169857324,100.0,5.0,0.01,100.0,42.0,0.0,0.8826,0.9246,0.8018,38882.97,2971.99,41854.96,232.0624311565696,315.37,81.96,294951.3499999999,79.31077891424076,84.0,92.82612116443744,98.0,1310.4275493621826
0.1,32.0,0.0861430135467243,5.0,5.0,0.0001021954438914,100.0,7501.0,0.0003355912668585,4395.0,0.9374,0.8129,20182.79,1563.32,21746.11,230.3381089258697,316.77,75.53,152253.48999999987,78.47655068078669,84.0,89.42813918305598,97.0,688.8856620788574
0.1,32.0,0.1601195733854198,12.0,5.0,0.0001203498869531,100.0,5232.0,2.933708569342541e-05,4317.0,0.9187,0.7982,46630.92,3577.47,50208.39,234.4918491803279,318.01,79.71,357600.07000000007,79.71081967213115,84.0,92.95606557377047,98.0,1572.128290891647
0.1,32.0,0.0066137388911056,15.0,5.0,9.7647007156234e-05,100.0,2478.0,3.291069562176152e-05,4437.0,0.9589,0.8101,58085.16,4444.19,62529.35,233.86621578947376,316.14,79.69,444345.8100000001,79.71526315789474,84.0,93.16315789473684,100.0,1956.1214337348936
0.1,32.0,0.2080191563287282,5.0,5.0,6.776192453088123e-05,100.0,1876.0,0.0002489014168455,4164.0,0.909,0.7407,19854.83,1518.35,21373.18,233.41572981366463,314.81,80.76,150319.73000000004,79.49844720496894,84.0,91.7003105590062,100.0,667.5713143348694
0.1,32.0,0.0984192711444139,11.0,5.0,6.283189411127958e-05,100.0,4676.0,0.0005385526875436,4180.0,0.8992,0.7579,42786.07,3287.92,46073.99,234.35600286532943,318.22,81.21,327160.9799999999,79.68767908309455,84.0,92.96704871060172,97.0,1439.685938835144
