hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,64.0,0.5287922547131229,60.0,5.0,0.1,100.0,42.0,0.0005,0.738528,0.899644,0.957542,343599.98,25229.5,368829.48,192.97290243902464,319.55,169.22,949426.6800000012,69.71930894308943,76.0,99.77012195121952,100.0,5108.311867713928
0.1,64.0,0.0,60.0,5.0,0.1,100.0,5042.0,0.0005,0.751914,0.904394,0.967637,351711.26,25611.53,377322.79,220.0825686430556,320.22,8.77,1106134.9899999974,77.57879029048945,84.0,71.8366494230004,100.0,5218.277374982834
0.1,64.0,0.0,60.0,5.0,0.1,100.0,415.0,0.0005,0.713121,0.886876,0.957838,299565.75,22314.6,321880.35,233.48641223155977,251.6,5.21,1000255.790000002,81.8608776844071,84.0,58.17390289449113,71.0,4451.051681518555
0.1,64.0,0.0,37.0,5.0,0.1,100.0,42.0,0.0005,0.582134,0.806413,0.928444,326438.17,24034.56,350472.73,129.58319198806774,162.82,5.35,608133.9200000019,69.43447688046027,73.0,35.88365650969529,41.0,4871.6435170173645
0.1,64.0,0.5,44.0,5.0,0.05,100.0,42.0,0.0005,0.742554,0.902613,0.962292,54937.28,4347.68,59284.96,247.3400816582912,277.84,14.18,393765.4099999996,82.34736180904522,85.0,70.33605527638191,83.0,1641.4127950668335
0.1,64.0,0.5,45.0,5.0,0.05,100.0,42.0,0.0005,0.737183,0.898159,0.960214,55858.9,4360.59,60219.49,247.21811227637255,275.7,13.36,400740.56,82.42628007402838,85.0,70.62368908081432,79.0,1670.7168214321136
0.1,64.0,0.5,60.0,5.0,0.045275688355853,100.0,42.0,0.0005,0.745008,0.898159,0.963183,73327.02,5729.38,79056.4,248.9103954802263,277.49,14.38,528685.6800000006,82.59227871939737,85.0,71.32062146892656,78.0,2186.1989748477936
0.1,64.0,0.5,60.0,5.0,0.0447671376948572,100.0,42.0,0.0005,0.740465,0.900238,0.958729,73702.88,5817.24,79520.12,248.85973327094,277.01,14.63,531813.2499999987,82.58025269068789,85.0,71.3088441740758,82.0,2200.2975261211395
0.1,64.0,0.5,60.0,5.0,0.05,100.0,5154.0,0.0005,0.745096,0.904988,0.96348,107784.3,8848.96,116633.26,229.78077043044323,289.23,13.96,736677.1500000011,78.29725514660012,84.0,83.65159076731129,99.0,3296.905315160752
0.1,64.0,0.5,60.0,5.0,0.05,100.0,4800.0,0.0005,0.742322,0.901128,0.962886,107256.11,8792.32,116048.43,224.2503681560732,290.29,14.16,712667.6700000005,78.02611705475141,84.0,84.1746381371932,100.0,3267.985856771469
