energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second
133961.27,9153.49,143114.76,242.33988209487177,319.05,88.35,883813.5499999974,79.8590622429394,84.0,91.40471620510009,100.0,True,2025-12-15T05:40:23.697751,,,,8020.0,,0.6914843916893005,0.7173,54.473
135011.86,9256.11,144267.97,239.44411299126668,319.12,87.65,877323.2300000011,79.4650655021834,84.0,91.41075327510916,100.0,True,2025-12-15T06:44:34.129122,,,,3683.0,,0.7020828127861023,0.8024,49.255
258787.49,14973.54,273761.03,225.29712247324483,319.36,4.94,1326324.1599999922,79.3640224222864,84.0,83.5294717173433,100.0,True,2025-12-16T20:06:58.877972,,,18.0,,,0.8466476202011108,0.708,58.922
173611.09,10015.52,183626.61,226.5865091001014,319.11,4.91,896376.2300000011,79.43882709807886,84.0,83.07406471183013,100.0,True,2025-12-16T21:16:25.354286,,,12.0,,,0.6990538239479065,0.726,58.696
160683.6,9252.82,169936.42,218.5263439385633,318.95,4.81,796747.0500000018,79.29484366428963,84.0,83.06006582556226,100.0,True,2025-12-16T22:20:32.067841,,,11.0,,,0.7006441950798035,0.7054,58.556
273395.9,16131.99,289527.89,224.32410734372573,318.88,4.92,1395968.9200000053,79.58251647115539,84.0,83.45155069901976,100.0,True,2025-12-17T00:08:52.199003,,,19.0,,,0.7151914238929749,0.6898,58.605
132389.35,7667.17,140056.52,212.6136266666668,319.68,4.94,637840.8800000004,78.70966666666666,85.0,82.99333333333334,100.0,True,2025-12-17T01:01:53.850683,,,9.0,,,0.8546658754348755,0.8334,58.416
147199.04,8664.53,155863.57,212.28222754491077,318.51,4.84,709022.6400000019,78.9254491017964,85.0,83.08203592814371,100.0,True,2025-12-17T02:00:45.344593,,2.8613808398421448e-05,,,,0.7004393935203552,0.7107,58.553
147252.98,8566.81,155819.79,212.3522255459171,318.88,4.85,709893.4900000008,78.98115465151062,84.0,82.83128926114269,100.0,True,2025-12-17T02:59:40.429430,,3.888216794334247e-05,,,,0.6954760551452637,0.7043,58.468
147133.74,8529.6,155663.34,211.99829780846537,318.82,4.92,706166.3299999981,78.86700690483339,85.0,83.22335634944461,100.0,True,2025-12-17T03:58:22.328502,,3.9602651245544245e-05,,,,0.6993864178657532,0.7073,58.447
147058.6,8406.73,155465.33,211.32741519063327,319.17,4.84,703931.6199999994,78.75502851996397,85.0,83.16061242870009,100.0,True,2025-12-17T04:57:04.144282,,4.298272748268137e-05,,,,0.7654520273208618,0.7088,58.645
147170.64,8543.34,155713.98,212.51714713814755,318.51,4.73,709169.7199999983,78.82079712316452,85.0,83.1609229847168,100.0,True,2025-12-17T05:55:53.242351,,3.394082337055034e-05,,,,0.696752667427063,0.711,58.353
147230.05,8610.69,155840.74,213.38865488316364,319.36,5.0,712291.3300000002,78.9715398442181,84.0,83.12612342720192,100.0,True,2025-12-17T06:54:43.256103,,,,1019.0,,0.6854239702224731,0.7782,58.573
146722.03,8518.52,155240.55,214.68283824413717,319.22,4.7,714035.1200000001,78.96361996392062,84.0,83.08929645219483,100.0,True,2025-12-17T07:53:21.581650,,,,4473.0,,0.6873753070831299,0.8171,58.854
144201.67,8443.84,152645.51,228.18340853658603,318.98,4.85,748441.5800000022,79.07378048780488,84.0,82.85579268292683,100.0,True,2025-12-17T08:51:11.394021,,,,5642.0,,0.6637400388717651,0.8145,58.866
143990.33,8473.41,152463.74,229.5503931728129,318.95,4.93,753154.8399999992,78.989332520573,84.0,82.82566290765011,100.0,True,2025-12-17T09:49:02.496052,,,,9032.0,,0.6868480443954468,0.7911,58.916
144958.13,8442.36,153400.49,229.24652516676767,318.86,4.85,756055.0399999998,79.26076409945422,84.0,82.70679199514858,100.0,True,2025-12-17T10:47:11.050779,,,,7680.0,,0.7025989294052124,0.7042,58.948
146801.13,8618.09,155419.22,221.54935532233927,319.1,4.98,738867.1000000016,79.04647676161919,84.0,83.20659670164918,100.0,True,2025-12-17T11:45:57.763344,,,,,6.423527020077526e-05,0.7066717147827148,0.7466,58.878
146248.48,8475.51,154723.99,221.930282791817,319.24,4.88,737696.2599999998,78.96961492178099,84.0,83.48225030084235,100.0,True,2025-12-17T12:44:33.329322,,,,,0.0004127049767576,0.7066717147827148,0.7466,58.939
145840.07,8422.32,154262.39,224.545757392878,319.23,5.12,744144.6399999976,78.99336149668075,84.0,83.46650573325287,100.0,True,2025-12-17T13:42:59.325498,,,,,5.099367567044031e-05,0.7066717147827148,0.7466,58.915
146280.03,8526.8,154806.83,223.63656240601503,319.15,5.22,743591.5700000001,78.81353383458647,84.0,83.41293233082706,100.0,True,2025-12-17T14:41:35.398688,,,,,0.0001599501474806,0.7066717147827148,0.7466,58.885
146621.43,8610.97,155232.4,223.57776742788437,319.45,4.93,744066.8099999991,78.93900240384616,84.0,83.21364182692308,100.0,True,2025-12-17T15:40:15.136506,,,,,0.0009534088184387,0.7066717147827148,0.7466,58.832
155069.44,12265.44,167334.88,236.21739992301704,319.55,4.49,1227385.6099999966,77.88779830638953,83.0,89.29080061585836,100.0,False,2025-12-17T22:26:33.012398,,,14.0,,,0.8165772557258606,0.7908,59.057
74991.75,5931.85,80923.6,220.0666732751789,319.59,5.06,555008.1500000013,77.57652656621728,84.0,87.95757335448057,100.0,False,2025-12-18T00:13:27.448508,,,20.0,,,0.6974087357521057,0.705,59.08
84172.5,6656.83,90829.33,216.649379188712,319.01,5.01,614200.9899999985,77.8215167548501,84.0,88.30017636684303,100.0,False,2025-12-18T01:19:01.647077,,,12.0,,,0.6990538239479065,0.726,59.061
167224.51,13131.47,180355.98,214.35948416933468,318.61,5.22,1205129.0199999996,77.75755958733546,84.0,89.05869797225186,100.0,False,2025-12-18T02:50:52.404328,,,17.0,,,0.9852018356323242,0.7071,59.004
185863.44,14579.21,200442.65,215.0381522956332,318.57,5.2,1344203.4900000033,78.02335626299792,84.0,89.15037593984962,100.0,False,2025-12-18T03:24:45.387449,,,6.0,,,0.7028763890266418,0.7636,59.028
93547.68,7302.79,100850.47,214.22217723940096,319.04,4.95,672014.9700000008,77.72362129423016,84.0,88.4615875039847,100.0,False,2025-12-18T04:19:21.470088,,2.0440721202738796e-05,,,,0.7404462695121765,0.6289,58.835
93885.68,7386.61,101272.29,215.23498095238156,319.42,5.21,677990.1900000018,78.0047619047619,84.0,88.59396825396826,100.0,False,2025-12-18T05:14:03.640448,,1.535780817024892e-05,,,,0.7611439228057861,0.6013,58.998
93708.09,7375.67,101083.76,215.15173926868056,319.05,5.07,676652.2200000003,77.86232114467408,84.0,88.49157392686804,100.0,False,2025-12-18T06:09:10.310202,,2.7043985628756564e-05,,,,0.7119907736778259,0.7446,59.065
92847.03,7283.02,100130.05,220.71341894061047,319.53,5.15,687522.3000000018,78.06645264847512,84.0,88.4032102728732,100.0,False,2025-12-18T07:04:03.262318,,4.00044292966293e-05,,,,0.6993864178657532,0.7073,59.029
92209.83,7239.8,99449.63,233.69347783888676,319.0,4.9,722346.5399999989,78.362018764154,83.0,88.48722096408929,100.0,False,2025-12-18T07:59:05.521796,,3.1637909869442554e-05,,,,0.6991070508956909,0.7079,59.033
92819.65,7274.89,100094.54,224.56078349856105,319.01,4.76,702201.5700000003,78.11704509114166,84.0,88.2916533418612,100.0,False,2025-12-18T08:54:17.706628,,,,6502.0,,0.7425037622451782,0.772,59.041
93307.8,7279.3,100587.1,220.61323745605657,318.68,5.09,690298.820000001,78.18855864493449,84.0,88.46756152125279,100.0,False,2025-12-18T09:49:20.744513,,,,2376.0,,0.6704787015914917,0.7069,59.023
92995.71,7303.74,100299.45,224.07076135636603,319.53,4.8,700445.2000000002,78.25815738963531,84.0,88.27799104286628,100.0,False,2025-12-18T10:43:47.595548,,,,5426.0,,0.7165942788124084,0.8251,58.991
93372.0,7350.16,100722.16,220.86136508951364,319.8,4.79,690854.3499999987,78.01150895140665,84.0,88.47314578005115,100.0,False,2025-12-18T11:38:39.460591,,,,1907.0,,0.6957600712776184,0.7101,59.1
93214.15,7333.63,100547.78,221.4796303377948,318.96,5.06,695003.08,78.45506692160612,84.0,88.16475462077757,100.0,False,2025-12-18T12:33:22.297341,,,,7178.0,,0.6712085604667664,0.7105,59.018
93658.69,7357.46,101016.15,215.3477963958274,318.77,4.8,681145.080000002,77.51406892190958,84.0,89.01296237748973,100.0,False,2025-12-18T13:28:36.740827,,,,,3.35973705148307e-05,0.7066717147827148,0.7466,59.045
93738.67,7340.94,101079.61,218.05748417721543,318.9,5.02,689061.6500000008,78.11898734177215,84.0,88.87531645569621,100.0,False,2025-12-18T14:23:58.092965,,,,,1.7245063477405002e-05,0.7066717147827148,0.7466,59.005
93894.2,7372.15,101266.35,215.65094154818397,319.42,4.91,682535.2300000022,78.0,84.0,88.88815165876777,100.0,False,2025-12-18T15:19:13.089136,,,,,5.1717018319914426e-05,0.7066717147827148,0.7466,59.022
93712.45,7421.68,101134.13,217.22608296390183,319.32,4.96,685999.970000002,77.69759341355288,84.0,88.96991766941102,100.0,False,2025-12-18T16:14:43.363858,,,,,0.0003549290960776,0.7066717147827148,0.7466,59.11
94275.34,7483.14,101758.48,218.7910389610392,319.23,4.87,690723.3100000006,77.89230281913208,83.0,88.8907190370605,100.0,False,2025-12-18T17:10:06.878266,,,,,0.0008274749235766,0.7066717147827148,0.7466,59.003
96838.36,6529.39,103367.75,224.50985114503783,318.62,87.85,588215.8099999991,79.04083969465648,85.0,90.9641221374046,100.0,True,2025-12-23T09:25:58.873138,,,7.0,,,0.7006516456604004,0.7123,49.39
109251.61,7373.25,116624.86,229.87672972972985,318.88,88.84,680435.1200000003,79.85337837837838,84.0,91.34054054054054,100.0,True,2025-12-23T10:18:11.079448,,,8.0,,,0.7002695798873901,0.711,49.192
188870.68,12986.24,201856.92,226.99578926829363,318.67,89.64,1163353.4200000048,79.45873170731707,84.0,91.7730731707317,100.0,True,2025-12-23T11:47:23.680922,,,14.0,,,0.8165772557258606,0.7908,49.08
135850.89,9385.4,145236.29,223.638014665942,318.52,89.52,823435.1699999985,79.2753938077132,84.0,91.65833785985878,100.0,True,2025-12-23T12:51:55.957766,,1.993331277666769e-05,,,,0.7404462695121765,0.6289,49.026
135644.72,9432.51,145077.23,226.51876902173967,318.34,89.5,833589.070000002,79.23423913043479,84.0,91.60760869565216,100.0,True,2025-12-23T13:56:26.421681,,2.648401537851974e-05,,,,0.7488518357276917,0.8062,48.618
136205.55,9520.9,145726.45,223.7522381596756,317.64,89.41,826764.5200000012,79.03328822733424,84.0,91.48173207036535,100.0,True,2025-12-23T15:01:12.371010,,1.847023601769821e-05,,,,0.8021308779716492,0.6416,48.872
137806.57,9530.32,147336.89,222.8185561497328,319.01,89.46,833341.4000000007,78.98288770053476,84.0,91.99946524064173,100.0,True,2025-12-23T16:06:44.196660,,,,,0.0006613687937758,0.7066717147827148,0.7466,49.022
138710.85,9475.98,148186.83,219.998142324094,319.76,89.25,825433.0300000006,78.75,84.0,92.04077825159916,100.0,True,2025-12-23T17:12:27.868444,,,,,0.0003533247635941,0.7066717147827148,0.7466,48.979
137713.2,9331.81,147045.01,219.7873229613738,318.64,89.61,819367.1400000015,79.15343347639485,84.0,91.6357296137339,100.0,True,2025-12-23T18:17:46.779528,,,,9895.0,,0.7365483045578003,0.7108,49.077
136731.12,9250.47,145981.59,223.913885590934,318.92,89.38,829824.8600000014,79.32298974635727,84.0,91.49028602266594,100.0,True,2025-12-23T19:22:43.333806,,,,3166.0,,0.7477455139160156,0.7851,55.403
112333.89,8946.9,121280.79,230.63530460228785,319.44,4.65,866958.1099999999,78.22505985634477,83.0,88.40356477786645,100.0,False,2026-01-01T22:33:40.495223,,3.4254572716579966e-05,12.0,2622.0,4.537827474962709e-05,0.6850231885910034,0.7055,59.045
92976.24,7289.46,100265.7,227.40853007397905,319.36,5.14,707013.1200000008,77.6587327114828,83.0,88.57832100353812,100.0,False,2026-01-01T23:26:59.356189,,2.435195203685826e-05,10.0,7532.0,0.0008931224468103,0.7222182750701904,0.6203,59.12
74639.35,5832.6,80471.95,231.0730806257524,319.43,5.13,576065.1900000006,78.13437625350983,84.0,88.68511833132771,100.0,False,2026-01-02T00:09:46.124108,,1.6037224284643337e-05,8.0,7104.0,0.0002126587852409,0.6470513343811035,0.6555,59.061
93678.41,7341.61,101020.02,221.3807151979561,319.57,5.61,693364.3999999985,77.32662835249042,83.0,88.74169859514687,100.0,False,2026-01-02T01:03:25.710316,,1.7187901670895263e-05,10.0,357.0,0.0001742037365172,0.686976969242096,0.6378,59.107
175448.33,13778.45,189226.78,218.90591133004943,319.03,5.72,1288699.1000000013,78.03584168506879,84.0,89.65313402412094,100.0,False,2026-01-02T02:44:14.873469,,1.7171992804082457e-05,19.0,5443.0,1.952620903351493e-05,0.6628518104553223,0.407,59.002
165205.01,11271.25,176476.26,222.0846021457312,318.42,87.9,993606.5100000016,78.86767992847564,84.0,92.1741171211444,100.0,True,2026-01-02T04:02:20.235074,,4.102533463218298e-05,12.0,9773.0,0.0001588187018306,0.6939049959182739,0.707,48.793
177797.83,12121.73,189919.56,223.88660918346145,318.15,89.61,1077566.25,79.25472678163308,84.0,92.00519426553086,100.0,True,2026-01-02T05:26:13.657944,,1.8543238612121332e-05,13.0,643.0,0.0002179954553565,0.675241231918335,0.5408,48.561
192621.05,13388.57,206009.62,221.5327018216698,318.72,89.46,1155293.040000008,78.61380632790029,84.0,92.35512943432408,100.0,True,2026-01-02T06:56:58.733758,,2.7766543535903265e-05,14.0,3537.0,8.880984464102331e-05,0.7105929851531982,0.7054,49.274
97652.28,6745.53,104397.81,223.0221683093259,318.98,89.56,588332.4800000017,78.61068991660349,84.0,91.49052312357848,100.0,True,2026-01-02T07:43:39.688619,,3.4372008288375434e-05,7.0,1057.0,0.0004038992942816,0.6893677115440369,0.7139,49.125
164170.21,11177.45,175347.66,227.0890986931049,318.77,89.12,1007821.4199999992,79.28841820639929,84.0,92.08607480847228,100.0,True,2026-01-02T09:01:07.168595,,2.410559253081955e-05,12.0,3295.0,0.0003398017456837,0.8709346055984497,0.7153,48.664
