energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy
4481.52,328.7,4810.22,96.49779411764705,98.68,76.53,13123.7,66.67647058823529,68.0,11.955882352941176,14.0,False,2025-11-19T01:29:07.726147,False,False,False,32.0,0.01,10.0,1.0,96.0
9187.71,534.68,9722.39,9.96477064220185,85.98,4.12,2172.320000000004,52.91284403669725,64.0,0.0137614678899082,3.0,False,2025-11-19T01:33:54.313987,False,True,False,32.0,0.01,10.0,1.0,60.0
9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.58,70.35810810810811,74.0,50.108108108108105,52.0,False,2025-11-19T01:41:07.675831,False,False,True,32.0,0.01,10.0,1.0,98.0
5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,True,2025-11-19T03:09:43.028622,False,False,False,32.0,0.01,10.0,1.0,96.0
16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,True,2025-11-19T06:20:33.763015,False,False,True,32.0,0.01,10.0,1.0,98.0
10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350429,99.0,True,2025-11-19T06:26:04.995640,False,True,False,32.0,0.01,10.0,1.0,60.0
2304.78,171.63,2476.41,91.8365714285714,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,False,2025-11-20T20:02:47.876848,False,False,False,,,5.0,,99.0
6233.84,462.94,6696.78,92.03291005291004,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,False,2025-11-20T20:11:20.663633,False,False,False,,,,6061.0,99.0
4312.18,294.42,4606.6,201.4314782608695,275.37,4.34,23164.619999999995,67.33043478260869,78.0,65.98260869565217,97.0,True,2025-11-20T20:14:49.560339,False,False,False,,,8.0,,99.0
7151.34,496.83,7648.17,255.48319587628865,281.1,4.94,49563.74,74.01546391752578,79.0,87.23711340206185,97.0,True,2025-11-20T20:19:39.646415,False,False,False,,0.0117457288502723,,,97.0
7134.54,487.23,7621.77,256.01561855670127,282.26,5.19,49667.03000000004,74.97422680412372,79.0,87.40721649484536,97.0,True,2025-11-20T20:24:29.017589,False,False,False,,,,4387.0,99.0
8332.12,496.07,8828.19,10.149238578680205,84.13,3.94,1999.4,50.7005076142132,60.0,0.0,0.0,False,2025-11-20T20:28:54.613474,False,True,False,,,9.0,,95.0
12843.04,777.11,13620.15,7.639049180327864,80.62,3.6,2329.9099999999985,40.87868852459017,50.0,0.0098360655737704,3.0,False,2025-11-20T20:35:10.892706,False,True,False,,0.0117953362611761,,,65.0
12759.41,760.11,13519.52,7.434719471947195,77.72,3.48,2252.7200000000003,36.6039603960396,44.0,0.0099009900990099,3.0,False,2025-11-20T20:41:25.066048,False,True,False,,,,4297.0,96.0
13114.77,795.99,13910.76,309.1680496453901,317.98,252.55,87185.39000000001,77.97163120567376,82.0,98.33333333333331,99.0,True,2025-11-20T20:47:45.598823,False,True,False,,,12.0,,95.0
15207.07,932.66,16139.73,288.5563914373088,318.2,214.13,94357.93999999996,81.41896024464832,84.0,98.30581039755351,99.0,True,2025-11-20T20:54:52.170037,False,True,False,,0.0187602661574486,,,74.0
15253.4,932.19,16185.59,273.18587155963286,316.91,217.22,89331.77999999994,81.47094801223241,84.0,97.9724770642202,99.0,True,2025-11-20T21:01:59.029453,False,True,False,,,,550.0,95.0
13347.6,1020.54,14368.14,178.72891041162248,183.06,75.58,73815.04000000008,74.72639225181598,76.0,50.5181598062954,52.0,False,2025-11-20T21:10:04.961966,False,False,True,,,14.0,,100.0
13381.93,1007.26,14389.19,181.58305084745768,184.37,75.95,74993.80000000002,74.38983050847457,76.0,50.46731234866828,52.0,False,2025-11-20T21:18:11.243574,False,False,True,,0.0059616129198963,,,98.0
13379.18,1006.1,14385.28,180.59559322033903,183.65,75.42,74585.98000000003,74.23486682808716,75.0,50.35351089588378,52.0,False,2025-11-20T21:26:17.650648,False,False,True,,,,2873.0,100.0
12972.81,897.49,13870.3,285.14511695906447,311.73,259.85,97519.63000000003,82.40350877192982,84.0,99.2953216374269,100.0,True,2025-11-20T21:33:39.154416,False,False,True,,,8.0,,100.0
22710.23,1580.82,24291.05,270.7112897822441,314.62,255.88,161614.63999999972,82.86599664991624,84.0,99.34840871021775,100.0,True,2025-11-20T21:45:22.735178,False,False,True,,0.0093161583651715,,,98.0
22806.85,1593.27,24400.12,266.7866722408028,310.24,247.04,159538.43000000005,82.96321070234114,84.0,99.37458193979931,100.0,True,2025-11-20T21:57:07.128804,False,False,True,,,,9873.0,100.0
23646.97,1762.01,25408.98,184.0975581395351,313.58,151.14,63329.56000000008,69.24709302325581,74.0,99.82558139534883,100.0,False,2025-11-22T20:39:49.786554,False,False,False,,,13.0,,99.0
11236.85,835.57,12072.42,183.75939024390243,184.77,183.04,30136.54,69.0,69.0,100.0,100.0,False,2025-11-22T20:43:40.671003,False,False,False,,,6.0,,99.0
25618.49,1909.28,27527.77,184.0679892761394,312.49,160.34,68657.36,69.95710455764075,74.0,99.91420911528152,100.0,False,2025-11-22T20:51:08.073543,False,False,False,,0.0196513114076837,,,98.0
25541.85,1894.56,27436.41,187.24094086021512,317.99,128.4,69653.63000000002,70.18817204301075,75.0,99.39784946236558,100.0,False,2025-11-22T20:58:34.288596,False,False,False,,0.0102551225051921,,,97.0
25426.59,1892.32,27318.91,184.45624324324325,313.28,179.58,68248.81,69.61621621621622,74.0,99.98378378378378,100.0,False,2025-11-22T21:05:58.922712,False,False,False,,,,7185.0,99.0
25427.94,1885.14,27313.08,184.92051351351375,308.72,147.16,68420.5900000001,69.05675675675676,74.0,99.77837837837838,100.0,False,2025-11-22T21:13:23.871992,False,False,False,,,,4829.0,99.0
26711.68,1970.03,28681.71,186.9706896551723,319.13,134.7,70487.94999999994,69.3315649867374,74.0,99.22546419098144,100.0,True,2025-11-22T21:21:26.043580,False,False,False,,,14.0,,99.0
21126.36,1560.5,22686.86,186.4596308724832,318.84,166.66,55564.96999999998,69.2248322147651,75.0,99.54697986577182,100.0,True,2025-11-22T21:28:06.178962,False,False,False,,,11.0,,99.0
26775.33,1977.83,28753.16,183.36957671957668,295.12,146.62,69313.69999999998,69.03968253968254,74.0,99.75132275132276,100.0,True,2025-11-22T21:36:09.233758,False,False,False,,0.0156988893065681,,,97.0
26772.25,1979.35,28751.6,185.21169312169295,318.77,135.78,70010.01999999995,69.03174603174604,74.0,99.62698412698413,100.0,True,2025-11-22T21:44:12.356610,False,False,False,,0.0065029006438997,,,95.0
26848.86,1987.17,28836.03,185.90396825396817,317.78,128.13,70271.69999999997,69.16931216931216,75.0,99.06878306878306,100.0,True,2025-11-22T21:52:16.213232,False,False,False,,,,9973.0,99.0
26781.62,1976.55,28758.17,184.24359788359783,316.55,137.37,69644.07999999999,69.16666666666667,75.0,99.29100529100528,100.0,True,2025-11-22T22:00:19.146203,False,False,False,,,,2874.0,99.0
29379.98,2174.97,31554.95,185.38178654292355,307.61,161.44,79899.55000000005,69.34106728538283,74.0,99.90023201856148,100.0,False,2025-11-22T22:09:01.413147,False,True,False,,,12.0,,95.0
30612.99,2263.13,32876.12,182.5347252747252,317.94,123.49,83053.29999999996,68.7054945054945,73.0,99.810989010989,100.0,False,2025-11-22T22:18:09.088781,False,True,False,,,13.0,,95.0
34124.36,2544.62,36668.98,184.26742514970053,319.21,136.64,92317.97999999997,69.03393213572855,73.0,99.7245508982036,100.0,False,2025-11-22T22:28:06.434898,False,True,False,,0.0093908695351179,,,59.0
34139.53,2533.7,36673.23,185.9015568862276,318.67,133.45,93136.68000000002,68.9441117764471,73.0,99.34730538922156,100.0,False,2025-11-22T22:38:04.606839,False,True,False,,0.0104460786715675,,,61.0
34081.42,2525.24,36606.66,184.49123999999975,292.57,143.81,92245.6199999999,68.66,73.0,99.6,100.0,False,2025-11-22T22:48:01.850854,False,True,False,,,,8534.0,96.0
34187.64,2542.17,36729.81,186.0845418326693,316.5,133.3,93414.43999999996,68.97211155378486,74.0,99.29083665338644,100.0,False,2025-11-22T22:58:01.004087,False,True,False,,,,3946.0,96.0
29290.18,2169.5,31459.68,187.43069767441852,298.57,145.04,80595.19999999998,69.02093023255814,73.0,99.76744186046513,100.0,True,2025-11-22T23:07:12.933431,False,True,False,,,12.0,,95.0
34198.56,2540.74,36739.3,185.89964143426295,319.65,133.92,93321.62,68.85458167330677,74.0,99.56573705179282,100.0,True,2025-11-22T23:17:41.937257,False,True,False,,,14.0,,95.0
34125.63,2545.47,36671.1,184.78137724550896,314.94,126.56,92575.47,68.750499001996,73.0,99.69261477045907,100.0,True,2025-11-22T23:28:09.655174,False,True,False,,0.0094110622771299,,,59.0
33692.34,2504.4,36196.74,186.5295362903225,312.43,136.16,92518.64999999998,68.96975806451613,74.0,99.70766129032258,100.0,True,2025-11-22T23:38:32.187455,False,True,False,,0.0054038452683524,,,48.0
32547.98,2416.31,34964.29,187.37358762886595,313.37,135.46,90876.19,69.0659793814433,73.0,99.50103092783505,100.0,True,2025-11-22T23:48:42.337982,False,True,False,,,,2878.0,96.0
32786.13,2413.83,35199.96,186.30739754098343,318.3,123.76,90918.00999999992,68.91188524590164,73.0,99.63319672131148,100.0,True,2025-11-22T23:58:55.798056,False,True,False,,,,6402.0,96.0
41647.64,3041.92,44689.56,192.7204841402335,318.05,160.62,115439.56999999988,69.62103505843072,76.0,99.65275459098496,100.0,False,2025-11-23T00:10:17.984959,False,False,True,,,9.0,,100.0
28058.37,2040.23,30098.6,194.16554455445535,316.97,161.43,78442.87999999998,70.18811881188118,76.0,99.20049504950497,100.0,False,2025-11-23T00:18:17.633775,False,False,True,,,6.0,,100.0
65135.48,4745.08,69880.56,192.1443055555556,318.86,152.16,179847.07000000004,69.72863247863248,76.0,99.48931623931624,100.0,False,2025-11-23T00:35:29.133767,False,False,True,,0.0179184878026796,,,99.0
65289.0,4751.43,70040.43,190.51083155650343,319.02,169.25,178699.1600000002,69.4051172707889,76.0,99.81343283582088,100.0,False,2025-11-23T00:52:43.493050,False,False,True,,0.0052665243715974,,,97.0
63991.72,4659.34,68651.06,191.33814734561204,318.96,157.71,176605.10999999993,69.67822318526544,76.0,99.87865655471288,100.0,False,2025-11-23T01:09:41.533078,False,False,True,,,,313.0,100.0
64699.32,4701.33,69400.65,191.93413978494607,317.51,159.21,178498.74999999985,69.70430107526882,76.0,99.5989247311828,100.0,False,2025-11-23T01:26:47.368120,False,False,True,,,,7426.0,100.0
64213.38,4670.19,68883.57,191.83517876489697,318.31,160.73,177063.8699999999,69.6673889490791,76.0,99.76598049837486,100.0,True,2025-11-23T01:44:15.186755,False,False,True,,,14.0,,100.0
68863.85,5018.85,73882.7,192.4670332996972,317.9,169.67,190734.8299999999,69.71241170534813,76.0,99.7547931382442,100.0,True,2025-11-23T02:02:54.284030,False,False,True,,,15.0,,100.0
64791.58,4738.59,69530.17,190.72289389067532,318.62,120.1,177944.4600000001,69.30975348338693,76.0,99.73633440514467,100.0,True,2025-11-23T02:20:33.021874,False,False,True,,0.0176593753086172,,,99.0
64458.15,4718.23,69176.38,193.0293196544276,317.38,161.1,178745.14999999994,69.65766738660908,76.0,99.60907127429806,100.0,True,2025-11-23T02:38:04.885414,False,False,True,,0.0067572797572047,,,98.0
63869.72,4666.65,68536.37,192.87967320261424,319.21,157.61,177063.53999999986,69.640522875817,76.0,99.73856209150328,100.0,True,2025-11-23T02:55:27.690305,False,False,True,,,,4314.0,100.0
64447.77,4704.81,69152.58,192.5708198489755,317.34,162.02,178513.15000000029,69.68392664509169,76.0,99.70010787486515,100.0,True,2025-11-23T03:12:59.611049,False,False,True,,,,1868.0,100.0
5081.27,388.67,5469.94,96.22805194805196,98.48,76.42,14819.120000000004,68.11688311688312,69.0,11.571428571428571,14.0,False,2025-11-28T15:18:25.275123,False,False,False,32.0,0.01,11.0,1.0,99.0
2352.47,174.07,2526.54,94.993,97.41,76.01,6649.51,65.77142857142857,67.0,11.685714285714283,14.0,False,2025-11-28T15:20:42.280777,False,False,False,32.0,0.01,5.0,1.0,99.0
6321.45,483.39,6804.84,95.8517368421053,97.8,75.77,18211.830000000005,65.6,66.0,12.08421052631579,14.0,False,2025-11-28T15:25:02.526119,False,False,False,32.0,0.0183745588189432,10.0,1.0,98.0
6321.34,479.95,6801.29,95.3342105263158,97.26,77.75,18113.500000000004,64.7421052631579,66.0,11.978947368421052,14.0,False,2025-11-28T15:29:23.250269,False,False,False,32.0,0.0059209333993748,10.0,1.0,95.0
5508.31,424.53,5932.84,94.0734104046243,96.19,74.79,16274.700000000004,64.41618497109826,65.0,9.635838150289016,11.0,False,2025-11-28T15:33:26.024170,False,False,False,86.0,0.01,10.0,1.0,99.0
5329.27,416.65,5745.92,93.53236686390532,95.44,74.97,15806.969999999998,63.5621301775148,65.0,8.21301775147929,10.0,False,2025-11-28T15:37:24.902768,False,False,False,123.0,0.01,10.0,1.0,99.0
6403.23,483.0,6886.23,94.01088082901556,95.97,74.24,18144.1,63.424870466321245,64.0,11.637305699481866,14.0,False,2025-11-28T15:41:47.859369,False,False,False,32.0,0.01,10.0,118.0,99.0
6345.3,478.48,6823.78,94.0886842105263,96.16,73.68,17876.849999999995,63.29473684210527,64.0,11.921052631578949,14.0,False,2025-11-28T15:46:08.596740,False,False,False,32.0,0.01,10.0,1158.0,99.0
502.48,41.45,543.93,179.41800000000003,319.37,76.48,2691.2700000000004,70.0,78.0,40.4,100.0,False,2025-11-28T17:23:30.661525,True,False,False,10000.0,0.01,10.0,1.0,91.38000011444092
494.76,41.25,536.01,180.1746666666667,319.08,75.25,2702.6200000000003,68.46666666666667,76.0,40.66666666666666,100.0,False,2025-11-28T17:24:51.428815,True,False,False,10000.0,0.01,10.0,1.0,91.74000024795532
312.65,26.55,339.2,84.64888888888889,101.09,77.22,761.84,61.77777777777778,63.0,0.7777777777777778,4.0,False,2025-11-28T17:26:06.165274,True,False,False,32.0,0.01,13.0,1.0,11.34999990463257
312.98,27.1,340.08,83.13222222222223,98.46,74.27,748.19,59.888888888888886,61.0,0.7777777777777778,4.0,False,2025-11-28T17:27:20.931728,True,False,False,32.0,0.01,11.0,1.0,11.34999990463257
493.3,40.76,534.06,178.38466666666667,318.11,75.41,2675.77,63.73333333333333,72.0,40.266666666666666,100.0,False,2025-11-28T17:28:41.678414,True,False,False,32.0,0.0069067486661833,10.0,1.0,84.53999757766724
494.1,40.39,534.49,177.85333333333332,318.66,73.18,2667.8,63.93333333333333,72.0,40.4,100.0,False,2025-11-28T17:30:02.435002,True,False,False,32.0,0.0146577139590246,10.0,1.0,89.2799973487854
495.96,40.61,536.57,176.22666666666666,318.67,72.6,2643.4,63.73333333333333,72.0,41.13333333333333,100.0,False,2025-11-28T17:31:23.285283,True,False,False,32.0,0.01,10.0,5179.0,91.8500006198883
493.15,39.84,532.99,177.148,318.97,72.9,2657.22,63.2,71.0,40.4,100.0,False,2025-11-28T17:32:44.008054,True,False,False,32.0,0.01,10.0,5353.0,91.349995136261
8398.65,499.27,8897.92,10.190050761421324,84.1,4.12,2007.4400000000007,50.33502538071066,60.0,0.0,0.0,False,2025-11-28T15:50:37.744554,False,True,False,32.0,0.01,9.0,1.0,95.0
7452.73,441.24,7893.97,10.134400000000005,80.41,3.63,1773.520000000001,44.07428571428572,51.0,0.0114285714285714,2.0,False,2025-11-28T15:54:43.494571,False,True,False,32.0,0.01,8.0,1.0,95.0
12907.24,776.72,13683.96,7.5031907894736865,78.51,3.63,2280.9700000000007,40.63157894736842,48.0,0.0098684210526315,3.0,False,2025-11-28T16:01:02.153787,False,True,False,32.0,0.0120917953942012,10.0,1.0,65.0
