energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,perf_best_val_accuracy,perf_test_accuracy
47985.6,3072.61,51058.21,224.61446769790723,247.6,69.53,246851.30000000005,76.2547770700637,79.0,59.75432211101001,73.0,False,2025-11-18T21:13:46.055005,0.1,200.0,1334.0,0.0001,91.71,91.71
51431.03,3176.37,54607.4,228.69854941069815,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,True,2025-11-19T02:01:33.592966,0.1,200.0,1334.0,0.0001,91.71,91.71
39936.9,2493.86,42430.76,228.8473799126635,250.62,76.18,209624.19999999975,78.77183406113537,82.0,54.36135371179039,68.0,False,2025-11-20T22:13:53.350128,,168.0,,,92.01,92.01
47235.45,2974.62,50210.07,229.7305545286504,248.68,76.14,248568.45999999973,78.70887245841035,81.0,54.5637707948244,67.0,False,2025-11-20T22:33:28.814974,0.0599468592531538,,,,91.32,91.32
46954.5,2924.52,49879.02,229.65872558139543,249.05,76.28,246883.1300000001,78.55441860465116,81.0,54.9953488372093,68.0,False,2025-11-20T22:52:56.710105,,,,0.0005269575541948,92.38,92.38
47879.38,2999.9,50879.28,233.19644098810596,253.59,76.19,254883.7099999998,79.20311070448308,81.0,60.13815187557182,73.0,False,2025-11-20T23:12:43.086269,,,8958.0,,92.02,92.02
38674.48,2413.71,41088.19,225.74501787842675,246.98,76.24,189400.07000000004,78.2061978545888,81.0,54.40047675804529,75.0,True,2025-11-20T23:28:36.848523,,151.0,,,91.79,91.79
51232.33,3168.58,54400.91,226.44874548736425,248.54,76.45,250905.2099999996,78.21570397111914,81.0,54.12003610108303,77.0,True,2025-11-20T23:49:06.435029,0.1067680582725943,,,,91.98,91.98
51293.12,3184.75,54477.87,225.39089108910883,247.56,76.43,250409.2799999999,78.02790279027903,80.0,54.31413141314131,73.0,True,2025-11-21T00:09:38.408199,,,,0.0002164455264458,92.05,92.05
51612.39,3176.71,54789.1,232.0322710951524,255.04,78.66,258483.94999999972,79.04667863554758,81.0,60.00089766606822,80.0,True,2025-11-21T00:30:13.824595,,,1739.0,,91.65,91.66
