energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_map,perf_rank1,perf_rank5
104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0,False,2025-11-18T23:01:27.340848,False,False,0.5,0.05,60.0,1334.0,0.753173,0.909145,0.96348
132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0,False,2025-11-19T00:13:04.690345,True,False,0.5,0.05,60.0,1334.0,0.748936,0.900238,0.962886
142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0,False,2025-11-19T01:25:45.050848,False,True,0.5,0.05,60.0,1334.0,0.775227,0.924881,0.971496
198674.72,11935.12,210609.84,233.2790381426203,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,True,2025-11-19T04:47:23.246728,False,True,0.5,0.05,60.0,1334.0,0.775222,0.924881,0.971496
218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,True,2025-11-19T06:11:31.988365,True,False,0.5,0.05,60.0,1334.0,0.748936,0.900238,0.962886
152005.47,9963.13,161968.6,230.32688228438212,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,True,2025-11-19T07:49:34.861156,False,False,0.5,0.05,60.0,1334.0,0.753173,0.909145,0.96348
57180.76,4365.94,61546.7,248.75240796620392,276.02,12.15,412182.7399999999,82.38684369342185,84.0,70.55340977670488,81.0,False,2025-11-21T15:07:25.782887,False,False,,,46.0,,0.740731,0.901722,0.95962
73680.32,5596.21,79276.53,248.8821162021729,277.4,14.06,526883.4400000001,82.31459612659424,84.0,71.5375531412376,77.0,False,2025-11-21T15:44:45.847453,False,False,,0.0484905603406257,,,0.725261,0.889549,0.960808
73515.01,5650.06,79165.07,248.3640340909092,278.49,14.25,524544.8400000002,82.27698863636364,84.0,71.88873106060606,80.0,False,2025-11-21T16:22:00.363945,False,False,0.3924889517665705,,,,0.73947,0.89905,0.965558
106959.24,8629.64,115588.88,227.73355793450875,290.62,13.64,723281.7799999998,78.1146095717884,83.0,84.42569269521411,99.0,False,2025-11-21T17:17:27.156194,False,False,,,,9598.0,0.730582,0.896675,0.960214
64277.26,4154.65,68431.91,248.691242977528,289.78,5.11,354136.3299999999,82.18258426966293,84.0,67.88412921348315,100.0,True,2025-11-21T17:43:21.299304,False,False,,,36.0,,0.712196,0.885689,0.956354
105997.61,6879.97,112877.58,244.2943996605857,307.71,5.06,575801.9000000005,82.45651251591005,85.0,68.93975392448027,100.0,True,2025-11-21T18:25:14.443866,False,False,,0.0380504609636859,,,0.747127,0.900831,0.962292
105708.86,6776.69,112485.55,245.46995735607712,306.77,4.96,575627.0500000009,82.17356076759062,84.0,68.59616204690832,100.0,True,2025-11-21T19:06:54.321216,False,False,0.5469092042582171,,,,0.741786,0.898456,0.965261
152556.45,9873.29,162429.74,233.37434795321607,300.15,4.9,798140.269999999,79.28654970760233,84.0,80.29327485380117,100.0,True,2025-11-21T20:06:59.359133,False,False,,,,521.0,0.742212,0.905285,0.965558
150837.35,12004.6,162841.95,244.8376846437081,257.57,14.85,1130415.5900000003,82.0296729478016,83.0,64.76803118908381,75.0,False,2025-11-21T21:27:04.445287,True,False,,,70.0,,0.748533,0.900534,0.964667
130200.57,10317.47,140518.04,246.22514070351755,259.1,12.7,979976.0599999998,81.9821608040201,83.0,64.22035175879397,76.0,False,2025-11-21T22:36:15.787193,True,False,,0.0303077455878521,,,0.772271,0.907067,0.964074
130743.55,10217.25,140960.8,245.14544427710865,254.75,13.71,976659.4500000008,81.81501004016064,83.0,64.03589357429719,75.0,False,2025-11-21T23:45:32.530204,True,False,0.3932513830936284,,,,0.76057,0.911817,0.968824
135124.62,10736.5,145861.12,241.4041023166028,256.85,10.88,1000378.6000000018,80.49589768339769,83.0,67.06853281853282,78.0,False,2025-11-22T00:57:31.522162,True,False,,,,7466.0,0.75902,0.908551,0.965855
278111.52,17024.63,295136.15,229.25575732899108,257.17,5.05,1407630.3500000052,79.57540716612378,82.0,54.09820846905537,72.0,True,2025-11-22T02:44:19.099900,True,False,,,79.0,,0.771615,0.908848,0.967637
209761.22,12836.7,222597.92,230.2347745415324,258.74,4.87,1067138.1800000025,79.41359223300971,82.0,54.47119741100324,73.0,True,2025-11-22T04:05:18.438362,True,False,,0.0517104520956563,,,0.651117,0.849762,0.943587
210455.74,12904.84,223360.58,229.3503940568474,252.46,4.87,1065103.2299999993,79.35615848406546,82.0,54.52260981912145,83.0,True,2025-11-22T05:26:27.550334,True,False,0.4659918352659752,,,,0.731417,0.891924,0.960511
218162.82,13175.61,231338.43,227.19419763338257,251.18,5.01,1094394.450000004,79.39007681129334,82.0,57.37762092588749,76.0,True,2025-11-22T06:50:34.618045,True,False,,,,1928.0,0.757583,0.905285,0.965558
144873.16,11011.65,155884.81,238.37229539489348,319.51,11.47,999018.2899999986,77.8415652588881,83.0,96.74707706991173,100.0,False,2025-11-22T08:03:23.729552,False,True,,,65.0,,0.772372,0.923694,0.9712
134638.66,10279.43,144918.09,237.7238946015424,319.4,9.63,924745.9499999996,77.74113110539845,83.0,96.53727506426736,100.0,False,2025-11-22T09:11:04.443245,False,True,,0.0346878771291993,,,0.778531,0.928741,0.973278
134686.7,10367.78,145054.48,236.1825931637116,319.42,10.92,918986.4700000018,77.84939604214854,84.0,96.57080442045746,100.0,False,2025-11-22T10:18:46.631755,False,True,0.4343877121066294,,,,0.77555,0.92696,0.972684
143037.18,10962.75,153999.93,241.70137490970424,316.39,12.9,1003785.8100000016,79.9626775824705,84.0,96.77245364796532,100.0,False,2025-11-22T11:30:57.313960,False,True,,,,9463.0,0.775916,0.926663,0.974466
178372.28,10855.35,189227.63,228.06763568970135,319.51,4.81,861411.4600000021,77.89647868678846,84.0,95.78130791633572,99.0,True,2025-11-22T12:37:17.132682,False,True,,,57.0,,0.777221,0.925475,0.970606
187346.26,11397.53,198743.79,225.65036785084448,319.2,4.87,895606.3100000017,77.7785336356765,84.0,96.09171075837745,99.0,True,2025-11-22T13:46:54.274473,False,True,,0.0254263234007825,,,0.773998,0.924881,0.974466
188412.29,11426.58,199838.87,223.79352557673027,319.38,5.05,892488.5800000003,77.8986960882648,84.0,95.9358074222668,99.0,True,2025-11-22T14:56:51.653972,False,True,0.4034709109258052,,,,0.777074,0.932304,0.973872
200032.66,11971.83,212004.49,228.5434831725117,316.98,4.84,971081.2600000025,79.71452106377971,84.0,96.35420098846788,100.0,True,2025-11-22T16:11:16.305577,False,True,,,,7650.0,0.77613,0.925178,0.972981
303972.97,22236.23,326209.2,190.2486757254724,319.66,173.25,826059.7500000013,70.33095347766006,76.0,99.7448180561953,100.0,False,2025-11-24T01:00:59.445396,False,False,,,52.0,,0.737258,0.904394,0.962886
461771.88,33903.12,495675.0,191.9379249848757,319.78,156.6,1269093.5599999984,69.69812462189958,76.0,99.8020266182698,100.0,False,2025-11-24T02:56:25.177285,False,False,,,81.0,,0.765536,0.904691,0.968824
344609.81,25181.09,369790.9,192.9581661600812,320.6,157.51,952248.5500000004,69.75724417426545,76.0,99.74650455927052,100.0,False,2025-11-24T04:22:49.028448,False,False,,0.0352659833106705,,,0.744607,0.902019,0.963777
343644.87,25269.46,368914.33,193.037669172932,320.1,173.66,949938.3699999984,69.78419020524284,76.0,99.7640723430197,100.0,False,2025-11-24T05:48:59.062307,False,False,,0.0335153279273252,,,0.734409,0.897862,0.961995
341929.06,25231.31,367160.37,193.0445052030196,320.33,175.26,946111.1199999992,69.52805549887778,76.0,99.7724954091002,100.0,False,2025-11-24T07:14:48.736356,False,False,0.5225492919437038,,,,0.744781,0.904097,0.964371
