hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,32.0,0.0,10.0,5.0,0.001,100.0,8534.0,0.0,96.0,0.1507,34081.42,2525.24,36606.66,184.49123999999975,292.57,143.81,92245.6199999999,68.66,73.0,99.6,100.0,537.2295589447021
0.1,32.0,0.0,10.0,5.0,0.001,100.0,3946.0,0.0,96.0,0.1323,34187.64,2542.17,36729.81,186.0845418326693,316.5,133.3,93414.43999999996,68.97211155378486,74.0,99.29083665338644,100.0,539.1388156414032
0.1,32.0,0.0,9.0,5.0,0.001,100.0,42.0,0.0,100.0,0.0,41647.64,3041.92,44689.56,192.7204841402335,318.05,160.62,115439.56999999988,69.62103505843072,76.0,99.65275459098496,100.0,622.1741964817047
0.1,32.0,0.0,6.0,5.0,0.001,100.0,42.0,0.0,100.0,0.0,28058.37,2040.23,30098.6,194.16554455445535,316.97,161.43,78442.87999999998,70.18811881188118,76.0,99.20049504950497,100.0,419.6398825645447
0.1,32.0,0.0,10.0,5.0,0.0179184878026796,100.0,42.0,0.0,99.0,0.0,65135.48,4745.08,69880.56,192.1443055555556,318.86,152.16,179847.07000000004,69.72863247863248,76.0,99.48931623931624,100.0,971.4817655086516
0.1,32.0,0.0,10.0,5.0,0.0052665243715974,100.0,42.0,0.0,97.0,0.0001,65289.0,4751.43,70040.43,190.51083155650343,319.02,169.25,178699.1600000002,69.4051172707889,76.0,99.81343283582088,100.0,974.3411440849304
0.1,32.0,0.0,10.0,5.0,0.001,100.0,313.0,0.0,100.0,0.0,63991.72,4659.34,68651.06,191.33814734561204,318.96,157.71,176605.10999999993,69.67822318526544,76.0,99.87865655471288,100.0,958.0220112800598
0.1,32.0,0.0,10.0,5.0,0.001,100.0,7426.0,0.0,100.0,0.0,64699.32,4701.33,69400.65,191.93413978494607,317.51,159.21,178498.74999999985,69.70430107526882,76.0,99.5989247311828,100.0,965.8166971206664
0.1,32.0,0.0,11.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0283,5081.27,388.67,5469.94,96.22805194805196,98.48,76.42,14819.120000000004,68.11688311688312,69.0,11.571428571428571,14.0,161.76530075073242
0.1,32.0,0.0,5.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0314,2352.47,174.07,2526.54,94.993,97.41,76.01,6649.51,65.77142857142857,67.0,11.685714285714283,14.0,73.96998119354248
0.1,32.0,0.0,10.0,5.0,0.0183745588189432,100.0,1.0,0.0,98.0,0.0784,6321.45,483.39,6804.84,95.8517368421053,97.8,75.77,18211.830000000005,65.6,66.0,12.08421052631579,14.0,197.20736479759216
0.1,32.0,0.0,10.0,5.0,0.0059209333993748,100.0,1.0,0.0,95.0,0.1671,6321.34,479.95,6801.29,95.3342105263158,97.26,77.75,18113.500000000004,64.7421052631579,66.0,11.978947368421052,14.0,197.68617725372317
0.1,86.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0256,5508.31,424.53,5932.84,94.0734104046243,96.19,74.79,16274.700000000004,64.41618497109826,65.0,9.635838150289016,11.0,179.73777294158936
0.1,123.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0253,5329.27,416.65,5745.92,93.53236686390532,95.44,74.97,15806.969999999998,63.5621301775148,65.0,8.21301775147929,10.0,175.8431203365326
0.1,32.0,0.0,10.0,5.0,0.01,100.0,118.0,0.0,99.0,0.0307,6403.23,483.0,6886.23,94.01088082901556,95.97,74.24,18144.1,63.424870466321245,64.0,11.637305699481866,14.0,199.91833519935608
0.1,32.0,0.0,10.0,5.0,0.01,100.0,1158.0,0.0,99.0,0.0284,6345.3,478.48,6823.78,94.0886842105263,96.16,73.68,17876.849999999995,63.29473684210527,64.0,11.921052631578949,14.0,197.6991684436798
