hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,16.0,0.0,14.0,5.0,2e-05,100.0,42.0,0.0,0.8165772557258606,0.7908,59.057,155069.44,12265.44,167334.88,236.21739992301704,319.55,4.49,1227385.6099999966,77.88779830638953,83.0,89.29080061585836,100.0,4371.647592544556
0.1,16.0,0.0,20.0,5.0,2e-05,100.0,42.0,0.0,0.6974087357521057,0.705,59.08,74991.75,5931.85,80923.6,220.0666732751789,319.59,5.06,555008.1500000013,77.57652656621728,84.0,87.95757335448057,100.0,6351.022691011429
0.1,16.0,0.0,12.0,5.0,2e-05,100.0,42.0,0.0,0.6990538239479065,0.726,59.061,84172.5,6656.83,90829.33,216.649379188712,319.01,5.01,614200.9899999985,77.8215167548501,84.0,88.30017636684303,100.0,3870.909183740616
0.1,16.0,0.0,17.0,5.0,2e-05,100.0,42.0,0.0,0.9852018356323242,0.7071,59.004,167224.51,13131.47,180355.98,214.35948416933468,318.61,5.22,1205129.0199999996,77.75755958733546,84.0,89.05869797225186,100.0,5447.3428337574005
0.1,16.0,0.0,6.0,5.0,2e-05,100.0,42.0,0.0,0.7028763890266418,0.7636,59.028,185863.44,14579.21,200442.65,215.0381522956332,318.57,5.2,1344203.4900000033,78.02335626299792,84.0,89.15037593984962,100.0,1969.8063945770264
0.1,16.0,0.0,3.0,5.0,2.0440721202738796e-05,100.0,42.0,0.0,0.7404462695121765,0.6289,58.835,93547.68,7302.79,100850.47,214.22217723940096,319.04,4.95,672014.9700000008,77.72362129423016,84.0,88.4615875039847,100.0,3212.9476413726807
0.1,16.0,0.0,3.0,5.0,1.535780817024892e-05,100.0,42.0,0.0,0.7611439228057861,0.6013,58.998,93885.68,7386.61,101272.29,215.23498095238156,319.42,5.21,677990.1900000018,78.0047619047619,84.0,88.59396825396826,100.0,3219.036843776703
0.1,16.0,0.0,3.0,5.0,2.7043985628756564e-05,100.0,42.0,0.0,0.7119907736778259,0.7446,59.065,93708.09,7375.67,101083.76,215.15173926868056,319.05,5.07,676652.2200000003,77.86232114467408,84.0,88.49157392686804,100.0,3243.536238908768
0.1,16.0,0.0,3.0,5.0,4.00044292966293e-05,100.0,42.0,0.0,0.6993864178657532,0.7073,59.029,92847.03,7283.02,100130.05,220.71341894061047,319.53,5.15,687522.3000000018,78.06645264847512,84.0,88.4032102728732,100.0,3229.819051265717
0.1,16.0,0.0,3.0,5.0,3.1637909869442554e-05,100.0,42.0,0.0,0.6991070508956909,0.7079,59.033,92209.83,7239.8,99449.63,233.69347783888676,319.0,4.9,722346.5399999989,78.362018764154,83.0,88.48722096408929,100.0,3239.1258063316345
