timestamp,gpu_temp_c,memory_temp_c
1765753441,60,N/A
1765753442,60,N/A
1765753443,61,N/A
1765753444,61,N/A
1765753445,61,N/A
1765753446,61,N/A
1765753447,61,N/A
1765753448,61,N/A
1765753449,61,N/A
1765753450,61,N/A
1765753451,61,N/A
1765753452,61,N/A
1765753453,61,N/A
1765753454,61,N/A
1765753455,61,N/A
1765753456,61,N/A
1765753457,61,N/A
1765753458,61,N/A
1765753459,61,N/A
1765753460,61,N/A
1765753461,61,N/A
1765753462,61,N/A
1765753463,62,N/A
1765753464,61,N/A
1765753465,62,N/A
1765753466,62,N/A
1765753467,62,N/A
1765753468,62,N/A
1765753470,61,N/A
1765753471,61,N/A
1765753472,62,N/A
1765753473,62,N/A
1765753474,62,N/A
1765753475,62,N/A
1765753476,62,N/A
1765753477,62,N/A
1765753478,62,N/A
1765753479,62,N/A
1765753481,62,N/A
1765753482,62,N/A
1765753483,62,N/A
1765753484,62,N/A
1765753485,62,N/A
1765753486,62,N/A
1765753487,62,N/A
1765753488,62,N/A
1765753489,62,N/A
1765753491,62,N/A
1765753492,62,N/A
1765753493,62,N/A
1765753494,62,N/A
1765753495,62,N/A
1765753496,62,N/A
1765753497,62,N/A
1765753498,62,N/A
1765753500,62,N/A
1765753501,62,N/A
1765753502,62,N/A
1765753503,62,N/A
1765753504,62,N/A
1765753505,62,N/A
1765753506,62,N/A
1765753507,62,N/A
1765753509,62,N/A
1765753510,62,N/A
1765753511,62,N/A
1765753512,62,N/A
1765753513,62,N/A
1765753515,62,N/A
1765753516,62,N/A
1765753517,62,N/A
1765753518,62,N/A
1765753519,62,N/A
1765753520,62,N/A
1765753522,62,N/A
1765753523,62,N/A
1765753524,62,N/A
1765753525,62,N/A
1765753526,62,N/A
1765753527,62,N/A
1765753528,62,N/A
1765753530,62,N/A
1765753531,62,N/A
1765753532,62,N/A
1765753533,62,N/A
1765753534,62,N/A
1765753535,62,N/A
1765753536,62,N/A
1765753538,62,N/A
1765753539,62,N/A
1765753540,62,N/A
1765753541,63,N/A
1765753542,63,N/A
1765753543,63,N/A
1765753545,63,N/A
1765753546,63,N/A
1765753547,63,N/A
1765753548,63,N/A
1765753549,63,N/A
1765753551,63,N/A
1765753552,63,N/A
1765753553,63,N/A
1765753554,63,N/A
1765753555,63,N/A
1765753557,63,N/A
1765753558,63,N/A
1765753559,63,N/A
1765753560,63,N/A
1765753561,63,N/A
1765753562,63,N/A
1765753564,63,N/A
1765753565,63,N/A
1765753566,63,N/A
1765753567,63,N/A
1765753568,63,N/A
1765753569,63,N/A
1765753571,63,N/A
1765753572,63,N/A
1765753573,63,N/A
1765753574,63,N/A
1765753576,63,N/A
1765753577,63,N/A
1765753578,63,N/A
1765753579,63,N/A
1765753581,63,N/A
1765753582,63,N/A
1765753583,63,N/A
1765753584,63,N/A
1765753586,63,N/A
1765753587,63,N/A
1765753588,63,N/A
