perf_accuracy,perf_precision,perf_recall,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel,num_mutated_params
0.867,0.976605,0.742656,30532.01,2330.97,32862.98,263.25598802395183,316.41,67.78,263782.4999999997,77.98203592814372,83.0,91.23552894211576,97.0,1038.1196410655975,False,1.0
0.9244,0.9272,0.7978,46239.05,3513.29,49752.34,238.4233135313529,317.91,76.43,361211.31999999966,79.53201320132013,84.0,92.92541254125412,100.0,1561.193340063095,False,1.0
0.883,0.9253,0.7854,38798.11,2959.59,41757.7,234.78553543307137,315.52,76.77,298177.63000000064,79.14645669291339,84.0,92.8007874015748,100.0,1309.7449824810028,False,1.0
0.9186,0.985039,0.844435,38544.19,2949.68,41493.87,238.29454833597435,315.74,76.49,300727.7199999996,79.7337559429477,84.0,92.86291600633916,97.0,1301.675394296646,False,1.0
0.8866,0.98178,0.781,38529.08,2965.91,41494.99,236.3884031620552,317.53,76.63,299031.3299999998,79.4901185770751,84.0,92.71304347826089,98.0,1304.6129689216614,False,1.0
0.9034,0.9158,0.8117,38496.85,2957.09,41453.94,240.3329500396512,315.79,76.43,303059.8500000001,79.84139571768438,84.0,92.84694686756542,97.0,1300.721886396408,False,1.0
0.9358,0.9431,0.84,38608.17,2950.76,41558.93,239.25244250594804,316.67,76.53,301697.3300000005,79.6669310071372,84.0,92.8366375892149,97.0,1301.2824006080627,False,1.0
0.935,0.9453,0.8337,38617.87,2950.25,41568.12,240.69019841269855,317.74,76.49,303269.6500000002,79.85396825396825,84.0,92.7936507936508,97.0,1300.0468301773071,False,1.0
0.872,0.93,0.7946,38998.38,2985.57,41983.95,237.87788188976384,317.66,76.14,302104.9100000001,79.20472440944881,84.0,92.88031496062992,100.0,1310.6141784191132,False,1.0
0.878,0.9323,0.7962,38791.8,2991.7,41783.5,238.32858044164024,318.02,76.2,302200.63999999984,79.56624605678233,84.0,92.72003154574132,97.0,1307.5870184898376,False,1.0
0.9726,0.999124,0.944146,38422.61,2977.18,41399.79,250.51941971383167,318.71,68.4,315153.4300000002,78.25039745627981,84.0,92.181240063593,98.0,1300.2032346725464,False,1.0
0.9244,0.986171,0.855606,45352.02,3493.48,48845.5,258.5023537323467,318.41,68.19,384392.9999999996,78.24142568930733,84.0,92.86953597848016,97.0,1533.5570950508118,False,1.0
0.8242,0.9426,0.8053,28836.31,1919.6,30755.91,234.15206718346244,314.6,91.17,181233.69999999992,80.95865633074935,84.0,93.32558139534883,100.0,794.7388417720795,True,1.0
0.8856,0.9248,0.795,57028.94,3812.17,60841.11,234.91704575163425,314.64,89.98,359423.0800000004,80.74313725490197,84.0,94.55816993464052,100.0,1570.2322535514832,True,1.0
0.9182,0.9381,0.8285,57306.47,3823.45,61129.92,233.3118982387478,317.11,89.7,357667.1400000004,80.15916503587736,84.0,94.6464448793216,100.0,1573.0244054794312,True,1.0
0.883,0.9316,0.7986,57453.32,3867.61,61320.93,234.5118347430059,313.27,90.77,360444.69000000006,80.53610930383864,85.0,94.35068314899154,100.0,1577.5043678283691,True,1.0
0.7478,0.5967,0.6191,57106.24,3804.91,60911.15,234.4190202482038,315.1,89.37,358895.52,80.55845852384063,84.0,94.55715218811234,100.0,1571.725076198578,True,1.0
0.848,0.948565,0.724866,23124.13,1775.62,24899.75,268.00774535809035,316.32,72.27,202077.8400000001,79.08620689655173,84.0,91.842175066313,98.0,781.5995998382568,False,5.0
0.9734,0.9417,0.8125,47544.12,3619.47,51163.59,224.48188703466008,316.68,76.6,349742.7800000004,79.89216944801026,85.0,92.002567394095,98.0,1610.164167881012,False,5.0
0.9892,0.937,0.8424,55133.0,4220.08,59353.08,218.8688858093128,316.91,81.6,394839.47000000026,79.85144124168514,85.0,93.2139689578714,100.0,1858.944219827652,False,5.0
0.9144,0.8996,0.7686,59160.08,4511.3,63671.38,218.34555842812787,316.36,81.64,422280.3099999993,79.60186142709411,85.0,93.32419855222336,99.0,1991.2051544189453,False,5.0
0.8698,0.8746,0.6925,55422.43,4218.68,59641.11,218.5512320441987,316.76,82.02,395577.7299999997,79.3,85.0,93.19447513812156,100.0,1864.879728794098,False,5.0
0.8474,0.931,0.8285,28029.51,2148.0,30177.51,217.20815991237703,316.86,81.6,198311.05000000025,79.20043811610077,85.0,92.4184008762322,99.0,944.4763000011444,False,5.0
0.7564,0.9008,0.7355,20037.11,1531.2,21568.31,224.8850385208013,317.01,81.35,145950.39000000004,80.42372881355932,85.0,91.9753466872111,97.0,673.6653892993927,False,5.0
0.869,0.9125,0.7698,39765.85,3036.31,42802.16,217.2965354938271,316.76,82.17,281616.3099999999,79.49845679012346,85.0,92.82793209876544,97.0,1337.2345378398895,False,4.0
0.8632,0.979006,0.73314,34763.75,2673.32,37437.07,249.8013808267369,317.0,71.47,284024.16999999987,79.12225153913808,84.0,92.53737906772209,100.0,1174.6866512298584,False,5.0
0.913,0.9363,0.8213,38561.08,2946.96,41508.04,248.8870975416336,316.75,72.91,313846.62999999995,78.56225218080888,83.0,92.03806502775576,100.0,1304.450757265091,False,1.0
0.8646,0.9175,0.7758,38750.48,2962.54,41713.02,235.83555731225292,316.27,80.61,298331.98,79.50513833992095,84.0,92.85138339920948,97.0,1305.3117399215698,False,1.0
0.8686,0.9177,0.7958,38836.84,2952.79,41789.63,235.83362776025265,315.42,76.52,299037.0400000003,79.11750788643533,84.0,92.88249211356468,100.0,1308.2798743247986,False,1.0
0.8826,0.9246,0.8018,38882.97,2971.99,41854.96,232.0624311565696,315.37,81.96,294951.3499999999,79.31077891424076,84.0,92.82612116443744,98.0,1310.4275493621826,False,1.0
0.883,0.9826,0.7719,56957.55,3701.46,60659.01,239.1128000000004,315.76,89.74,364647.0200000005,80.47016393442622,84.0,94.42032786885244,100.0,1565.3686130046844,True,0.0
0.8422,0.9744,0.6921,57223.68,3761.66,60985.34,235.21763553233183,317.58,89.43,360118.20000000007,80.0365774003919,84.0,94.45591116917048,100.0,1570.968604803085,True,0.0
0.8776,0.9788,0.7636,57262.41,3726.43,60988.84,236.23433900523565,317.98,90.08,360966.07000000007,80.40641361256544,84.0,94.49280104712042,100.0,1568.8376388549805,True,0.0
0.9404,0.9939,0.8822,56947.47,3694.12,60641.59,236.6635405759164,317.67,89.58,361621.8900000002,80.22774869109948,84.0,94.52421465968588,100.0,1568.3770549297333,True,0.0
0.8684,0.9793,0.7438,39396.56,2569.82,41966.38,260.0010700757575,311.43,85.58,274561.12999999995,80.00189393939394,84.0,93.6373106060606,100.0,1083.8348605632782,True,0.0
0.9386,0.993,0.8793,79423.39,5246.62,84670.01,237.12348335677424,314.21,89.79,505784.3899999994,80.2906704172527,84.0,94.755743084857,100.0,2189.4368748664856,True,0.0
0.9244,0.9862,0.8558,68326.54,4496.71,72823.25,236.5920546448084,314.65,90.99,432963.4599999993,80.37650273224044,84.0,94.63770491803278,100.0,1877.8855786323547,True,0.0
0.9278,0.99,0.8595,73515.89,4840.84,78356.73,235.29990384615357,312.96,90.45,464952.6099999994,80.17611336032388,84.0,94.7494939271255,100.0,2027.9183514118197,True,0.0
0.9162,0.9883,0.8368,57065.7,3809.8,60875.5,234.14608240680164,315.02,89.19,358009.3599999997,80.16350555918902,84.0,94.69130150425114,100.0,1570.8998608589172,True,0.0
0.888,0.9824,0.7826,57198.16,3796.99,60995.15,232.6619986936644,317.12,89.86,356205.52000000014,79.83540169823645,85.0,94.5244937949053,100.0,1573.5125215053558,True,0.0
0.8984,0.9814,0.8054,57042.33,3791.05,60833.38,234.55559266535687,315.4,90.4,358166.39,80.07727570399476,84.0,94.60183366077275,100.0,1567.3477227687836,True,0.0
0.9148,0.9821,0.8393,57129.41,3791.11,60920.52,234.3360274869116,315.47,89.43,358065.45000000094,80.14332460732984,84.0,94.54515706806282,100.0,1569.9818279743197,True,0.0
0.9008,0.982,0.8099,57254.95,3857.8,61112.75,236.09910457516332,316.54,89.09,361231.63,80.39281045751633,84.0,94.31503267973856,100.0,1572.2055823802948,True,0.0
0.883,0.9826,0.7719,56957.55,3701.46,60659.01,239.1128000000004,315.76,89.74,364647.0200000005,80.47016393442622,84.0,94.42032786885244,100.0,1565.3686130046844,True,0.0
0.8422,0.9744,0.6921,57223.68,3761.66,60985.34,235.21763553233183,317.58,89.43,360118.20000000007,80.0365774003919,84.0,94.45591116917048,100.0,1570.968604803085,True,0.0
0.8776,0.9788,0.7636,57262.41,3726.43,60988.84,236.23433900523565,317.98,90.08,360966.07000000007,80.40641361256544,84.0,94.49280104712042,100.0,1568.8376388549805,True,0.0
