hyperparam_batch_size,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,perf_test_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel,num_mutated_params
32.0,10.0,0.01,1.0,96.0,4481.52,328.7,4810.22,96.49779411764705,98.68,76.53,13123.7,66.67647058823529,68.0,11.955882352941176,14.0,142.67011833190918,False,0.0
32.0,10.0,0.01,1.0,60.0,9187.71,534.68,9722.39,9.96477064220185,85.98,4.12,2172.320000000004,52.91284403669725,64.0,0.0137614678899082,3.0,226.5825743675232,False,0.0
32.0,10.0,0.01,1.0,98.0,9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.58,70.35810810810811,74.0,50.108108108108105,52.0,305.75993967056274,False,0.0
32.0,10.0,0.01,1.0,96.0,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,143.77884531021118,True,0.0
32.0,10.0,0.01,1.0,98.0,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,451.7634174823761,True,0.0
32.0,10.0,0.01,1.0,60.0,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350429,99.0,241.2225968837738,True,0.0
32.0,11.0,0.01,1.0,99.0,5081.27,388.67,5469.94,96.22805194805196,98.48,76.42,14819.120000000004,68.11688311688312,69.0,11.571428571428571,14.0,161.76530075073242,False,1.0
32.0,5.0,0.01,1.0,99.0,2352.47,174.07,2526.54,94.993,97.41,76.01,6649.51,65.77142857142857,67.0,11.685714285714283,14.0,73.96998119354248,False,1.0
32.0,10.0,0.0183745588189432,1.0,98.0,6321.45,483.39,6804.84,95.8517368421053,97.8,75.77,18211.830000000005,65.6,66.0,12.08421052631579,14.0,197.20736479759216,False,1.0
32.0,10.0,0.0059209333993748,1.0,95.0,6321.34,479.95,6801.29,95.3342105263158,97.26,77.75,18113.500000000004,64.7421052631579,66.0,11.978947368421052,14.0,197.68617725372317,False,1.0
86.0,10.0,0.01,1.0,99.0,5508.31,424.53,5932.84,94.0734104046243,96.19,74.79,16274.700000000004,64.41618497109826,65.0,9.635838150289016,11.0,179.73777294158936,False,1.0
123.0,10.0,0.01,1.0,99.0,5329.27,416.65,5745.92,93.53236686390532,95.44,74.97,15806.969999999998,63.5621301775148,65.0,8.21301775147929,10.0,175.8431203365326,False,1.0
32.0,10.0,0.01,118.0,99.0,6403.23,483.0,6886.23,94.01088082901556,95.97,74.24,18144.1,63.424870466321245,64.0,11.637305699481866,14.0,199.91833519935608,False,1.0
32.0,10.0,0.01,1158.0,99.0,6345.3,478.48,6823.78,94.0886842105263,96.16,73.68,17876.849999999995,63.29473684210527,64.0,11.921052631578949,14.0,197.6991684436798,False,1.0
10000.0,10.0,0.01,1.0,91.38000011444092,502.48,41.45,543.93,179.41800000000003,319.37,76.48,2691.2700000000004,70.0,78.0,40.4,100.0,18.120202779769897,False,1.0
10000.0,10.0,0.01,1.0,91.74000024795532,494.76,41.25,536.01,180.1746666666667,319.08,75.25,2702.6200000000003,68.46666666666667,76.0,40.66666666666666,100.0,17.733577489852905,False,1.0
32.0,13.0,0.01,1.0,11.34999990463257,312.65,26.55,339.2,84.64888888888889,101.09,77.22,761.84,61.77777777777778,63.0,0.7777777777777778,4.0,11.702882051467896,False,1.0
32.0,11.0,0.01,1.0,11.34999990463257,312.98,27.1,340.08,83.13222222222223,98.46,74.27,748.19,59.888888888888886,61.0,0.7777777777777778,4.0,11.733038902282717,False,1.0
32.0,10.0,0.0069067486661833,1.0,84.53999757766724,493.3,40.76,534.06,178.38466666666667,318.11,75.41,2675.77,63.73333333333333,72.0,40.266666666666666,100.0,17.712709188461304,False,1.0
32.0,10.0,0.0146577139590246,1.0,89.2799973487854,494.1,40.39,534.49,177.85333333333332,318.66,73.18,2667.8,63.93333333333333,72.0,40.4,100.0,17.722663164138794,False,1.0
32.0,10.0,0.01,5179.0,91.8500006198883,495.96,40.61,536.57,176.22666666666666,318.67,72.6,2643.4,63.73333333333333,72.0,41.13333333333333,100.0,17.816365480422974,False,1.0
32.0,10.0,0.01,5353.0,91.349995136261,493.15,39.84,532.99,177.148,318.97,72.9,2657.22,63.2,71.0,40.4,100.0,17.68898606300354,False,1.0
32.0,9.0,0.01,1.0,95.0,8398.65,499.27,8897.92,10.190050761421324,84.1,4.12,2007.4400000000007,50.33502538071066,60.0,0.0,0.0,206.1109688282013,False,1.0
32.0,8.0,0.01,1.0,95.0,7452.73,441.24,7893.97,10.134400000000005,80.41,3.63,1773.520000000001,44.07428571428572,51.0,0.0114285714285714,2.0,182.71368408203125,False,1.0
32.0,10.0,0.0120917953942012,1.0,65.0,12907.24,776.72,13683.96,7.5031907894736865,78.51,3.63,2280.9700000000007,40.63157894736842,48.0,0.0098684210526315,3.0,315.6199290752411,False,1.0
32.0,10.0,0.0112901530923658,1.0,63.0,13122.17,801.36,13923.53,7.513495145631074,78.46,3.82,2321.670000000002,38.82847896440129,46.0,0.0064724919093851,2.0,320.8381037712097,False,1.0
92.0,10.0,0.01,1.0,92.0,8147.77,584.14,8731.91,8.747181818181817,77.51,3.67,1924.38,38.48181818181818,44.0,0.0136363636363636,3.0,228.08128905296329,False,1.0
121.0,10.0,0.01,1.0,91.0,7609.71,577.94,8187.65,9.017772511848335,78.04,3.8,1902.7499999999984,38.37440758293839,44.0,0.0,0.0,218.92919826507568,False,1.0
32.0,10.0,0.01,9809.0,95.0,12967.78,779.49,13747.27,7.3482679738562116,77.8,3.46,2248.5700000000006,37.447712418300654,44.0,0.0098039215686274,3.0,317.32926511764526,False,1.0
32.0,10.0,0.01,7107.0,96.0,12937.68,775.26,13712.94,7.210524590163938,77.42,3.38,2199.210000000001,36.88852459016393,44.0,0.0098360655737704,3.0,316.596932888031,False,1.0
32.0,11.0,0.01,1.0,99.0,10728.71,816.2,11544.91,170.15428571428575,177.82,67.04,55980.76000000001,66.13981762917933,72.0,49.48024316109422,52.0,339.39960956573486,False,1.0
32.0,7.0,0.01,1.0,99.0,6844.19,526.83,7371.02,175.1333014354067,179.6,74.74,36602.86,71.50717703349282,74.0,49.68421052631579,52.0,217.15062713623047,False,1.0
