hyperparam_batch_size,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,perf_test_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel,num_mutated_params
32.0,10.0,0.0123570760259487,1.0,99.0,13514.98,1050.83,14565.81,179.44502415458936,183.63,75.19,74290.23999999999,74.01690821256038,76.0,50.369565217391305,52.0,426.82977843284607,False,1.0
32.0,10.0,0.0077518837473554,1.0,98.0,13513.94,1043.63,14557.57,183.36939759036136,187.05,76.1,76098.29999999996,75.65301204819278,77.0,50.12771084337349,52.0,427.772319316864,False,1.0
80.0,10.0,0.01,1.0,99.0,5773.72,448.29,6222.01,194.533735632184,202.35,76.33,33848.87000000001,76.13218390804597,78.0,53.92528735632184,62.0,181.0651037693024,False,1.0
73.0,10.0,0.01,1.0,100.0,6249.07,490.78,6739.85,194.86158730158724,201.82,76.17,36828.83999999999,76.31746031746032,79.0,55.629629629629626,59.0,196.32851839065552,False,1.0
32.0,10.0,0.01,6487.0,100.0,13518.47,1063.72,14582.19,185.11853012048184,189.42,76.28,76824.18999999997,76.53253012048192,78.0,50.2144578313253,52.0,427.906893491745,False,1.0
32.0,10.0,0.01,9527.0,100.0,13571.65,1079.37,14651.02,184.60163461538468,188.46,76.33,76794.28000000003,76.8485576923077,78.0,50.125,52.0,429.6096022129059,False,1.0
76.0,10.0,0.01,1.0,99.0,5825.47,445.64,6271.11,88.723606557377,92.3,69.16,16236.419999999993,54.13661202185792,58.0,9.027322404371583,11.0,195.1320734024048,False,1.0
23.0,10.0,0.01,1.0,99.0,6689.11,483.67,7172.78,93.22954545454546,96.61,71.92,18459.45,58.994949494949495,62.0,13.04040404040404,15.0,205.72274374961853,False,1.0
32.0,10.0,0.01,1.0,5.98999969661236,500.28,39.78,540.06,178.99266666666665,318.81,74.82,2684.89,66.73333333333333,74.0,40.46666666666667,100.0,18.19994807243347,False,0.0
32.0,10.0,0.01,1.0,11.34999990463257,493.51,38.74,532.25,178.34933333333336,319.04,74.27,2675.24,64.4,72.0,41.06666666666667,100.0,17.723042726516724,False,0.0
104.0,10.0,0.01,1.0,88.80999684333801,272.07,22.16,294.23,83.095,90.97,73.24,664.76,57.875,59.0,6.0,23.0,10.248409509658812,False,1.0
113.0,10.0,0.01,1.0,92.26999878883362,271.22,21.96,293.18,82.05,89.96,72.16,656.4,55.625,56.0,6.125,23.0,10.23265790939331,False,1.0
32.0,5.0,0.01,1.0,10.26999950408936,310.21,25.1,335.31,79.90777777777777,88.99,71.64,719.17,54.333333333333336,55.0,0.6666666666666666,4.0,11.663469791412354,False,1.0
32.0,8.0,0.01,1.0,11.34999990463257,310.8,24.85,335.65,80.19777777777777,92.2,71.76,721.78,53.22222222222222,54.0,0.7777777777777778,4.0,11.709464073181152,False,1.0
32.0,10.0,0.0064347098083148,1.0,84.99000072479248,490.42,38.65,529.07,175.66199999999998,318.43,71.77,2634.93,57.53333333333333,66.0,39.2,100.0,17.67577075958252,False,1.0
32.0,10.0,0.0056126340872709,1.0,77.80999541282654,491.65,38.47,530.12,175.87266666666667,318.7,71.68,2638.09,58.6,67.0,39.93333333333333,100.0,17.689695596694946,False,1.0
32.0,10.0,0.01,605.0,91.93999767303468,492.32,38.55,530.87,175.788,318.97,71.89,2636.82,59.266666666666666,67.0,41.13333333333333,100.0,17.751376152038574,False,1.0
32.0,10.0,0.01,3696.0,91.81999564170836,490.34,38.84,529.18,175.536,318.82,71.69,2633.04,59.2,67.0,40.53333333333333,100.0,17.665997743606567,False,1.0
120.0,10.0,0.01,1.0,91.0,7521.64,558.46,8080.1,9.426937799043063,82.1,3.68,1970.2300000000005,46.54545454545455,57.0,0.0,0.0,217.5713438987732,False,1.0
38.0,10.0,0.01,1.0,95.0,11703.67,716.82,12420.49,7.819612676056335,78.76,3.78,2220.769999999999,39.566901408450704,47.0,0.0105633802816901,3.0,294.8808252811432,False,1.0
72.0,10.0,0.01,1.0,99.0,6333.6,481.51,6815.11,181.52125654450276,193.02,67.85,34670.56000000002,64.90052356020942,72.0,53.75916230366492,61.0,198.397212266922,False,1.0
89.0,10.0,0.01,1.0,100.0,5185.38,391.43,5576.81,192.44653846153844,202.92,74.61,30021.66,71.58333333333333,75.0,56.12179487179487,60.0,162.36270260810852,False,1.0
81.0,10.0,0.01,1.0,5.98999969661236,272.29,22.23,294.52,86.36749999999999,93.73,77.1,690.9399999999999,65.625,66.0,6.25,24.0,10.263314723968506,False,1.0
32.0,14.0,0.01,1.0,11.34999990463257,312.87,25.16,338.03,90.46111111111112,122.43,76.56,814.1500000000001,64.66666666666667,66.0,0.7777777777777778,4.0,11.68743371963501,False,1.0
32.0,10.0,0.012684299171363,1.0,88.80999684333801,496.99,39.32,536.31,181.20066666666668,318.61,78.46,2718.01,68.26666666666667,76.0,41.0,100.0,17.776339530944824,False,1.0
32.0,10.0,0.01,3839.0,92.26999878883362,493.9,39.07,532.97,180.65466666666669,319.66,75.89,2709.82,67.73333333333333,76.0,41.13333333333333,100.0,17.748979091644287,False,1.0
31.0,10.0,0.01,1.0,99.0,7647.68,512.99,8160.67,191.99429999999995,197.39,169.81,38398.85999999999,74.69,76.0,68.52,75.0,205.8773481845856,True,1.0
32.0,5.0,0.01,1.0,99.0,2807.86,188.05,2995.91,193.88527027027035,199.78,174.68,14347.510000000006,74.5945945945946,76.0,67.0,74.0,76.55855250358582,True,1.0
32.0,10.0,0.0083036847173297,1.0,96.0,7603.99,507.21,8111.2,194.9680904522613,200.66,175.98,38798.65,75.28643216080403,77.0,68.54773869346734,75.0,204.63559556007385,True,1.0
32.0,10.0,0.01,437.0,99.0,7558.36,494.22,8052.58,194.5024747474748,199.82,175.72,38511.490000000005,75.45454545454545,77.0,68.66666666666667,75.0,203.2794623374939,True,1.0
26.0,10.0,0.01,1.0,8.19999948143959,271.86,21.83,293.69,85.21,90.39,76.14,681.68,64.625,65.0,7.0,23.0,10.337536096572876,False,1.0
32.0,10.0,0.00559625225492,1.0,83.06999802589417,496.28,38.96,535.24,179.32666666666668,319.04,75.36,2689.9,68.13333333333334,76.0,41.06666666666667,100.0,17.79014229774475,False,1.0
32.0,10.0,0.01,5269.0,5.98999969661236,492.54,38.96,531.5,179.24533333333335,318.6,74.92,2688.6800000000003,66.6,75.0,40.06666666666667,100.0,17.697612524032593,False,1.0
28.0,10.0,0.01,1.0,11.34999990463257,304.29,21.67,325.96,112.24333333333333,140.83,88.68,1010.19,66.0,67.0,19.666666666666668,48.0,9.68203902244568,True,1.0
32.0,15.0,0.01,1.0,11.34999990463257,377.34,26.57,403.91,100.53909090909092,124.46,88.17,1105.93,64.0,65.0,13.363636363636363,31.0,11.706913232803345,True,1.0
32.0,10.0,0.0060985192312166,1.0,11.34999990463257,633.19,43.01,676.2,185.05555555555557,319.21,87.56,3330.9999999999995,67.38888888888889,75.0,46.05555555555556,100.0,18.730324745178223,True,1.0
32.0,10.0,0.01,2571.0,11.34999990463257,638.22,43.4,681.62,182.9777777777778,319.12,86.84,3293.6000000000004,66.38888888888889,74.0,46.5,100.0,18.880348920822144,True,1.0
41.0,10.0,0.01,1.0,95.0,12712.46,761.23,13473.69,172.47432989690722,181.82,151.57,50190.03,73.6426116838488,75.0,43.54639175257732,51.0,299.9922308921814,True,1.0
32.0,11.0,0.01,1.0,95.0,11258.24,665.96,11924.2,168.60071428571436,180.21,142.23,42487.38000000002,73.26190476190476,74.0,42.08730158730159,51.0,260.331889629364,True,1.0
32.0,10.0,0.0143676167258266,1.0,70.0,14363.67,859.89,15223.56,169.37465838509314,180.46,143.16,54538.63999999999,73.24844720496894,74.0,42.298136645962735,51.0,331.5174741744995,True,1.0
32.0,10.0,0.01,2716.0,96.0,14409.33,846.7,15256.03,170.52108695652169,180.76,152.88,54907.78999999999,73.51242236024845,74.0,42.80124223602485,51.0,332.39707922935486,True,1.0
97.0,10.0,0.01,1.0,100.0,6012.01,405.14,6417.15,209.7925974025973,220.69,89.75,32308.059999999983,75.93506493506493,78.0,72.33116883116882,80.0,158.94797205924988,True,1.0
32.0,13.0,0.01,1.0,100.0,15560.08,1051.18,16611.26,194.46744471744475,202.13,89.77,79148.25000000001,75.91400491400492,77.0,68.02702702702703,75.0,418.5307538509369,True,1.0
32.0,10.0,0.0116086181001845,1.0,99.0,16785.42,1135.63,17921.05,194.9158542141232,202.81,89.26,85568.06000000008,76.20045558086561,77.0,67.96355353075171,74.0,450.4026017189026,True,1.0
32.0,10.0,0.01,6913.0,100.0,16743.45,1131.14,17874.59,195.6097031963469,203.15,88.8,85677.04999999994,76.22602739726027,77.0,67.72146118721462,75.0,449.8616497516632,True,1.0
70.0,10.0,0.01,1.0,3.97999994456768,311.83,22.42,334.25,101.9211111111111,129.02,80.57,917.29,49.22222222222222,51.0,22.0,46.0,9.840600967407228,True,1.0
32.0,13.0,0.01,1.0,11.34999990463257,367.41,26.45,393.86,92.95090909090908,111.23,81.59,1022.46,50.54545454545455,52.0,12.636363636363637,31.0,11.56293773651123,True,1.0
32.0,10.0,0.0092235883240427,1.0,87.59999871253967,626.88,41.89,668.77,178.83833333333334,319.06,82.89,3219.09,56.94444444444444,65.0,45.888888888888886,100.0,18.6798038482666,True,1.0
32.0,10.0,0.01,1516.0,8.9199997484684,631.01,42.77,673.78,179.8638888888889,318.72,84.46,3237.55,58.888888888888886,67.0,46.77777777777778,100.0,18.58280611038208,True,1.0
62.0,13.0,0.0121966422280414,7527.0,96.0,5331.68,409.83,5741.51,90.17506024096384,93.16,69.42,14969.059999999998,52.59638554216868,57.0,9.301204819277109,11.0,172.65144658088684,False,4.0
127.0,5.0,0.0104135363989588,9646.0,7.31000006198883,205.31,16.97,222.28,77.98166666666667,83.37,71.95,467.89,51.833333333333336,52.0,0.5,3.0,8.171283483505249,False,4.0
76.0,5.0,0.0085606210723768,5072.0,42.0,3159.02,215.67,3374.69,17.41325301204819,81.71,3.95,1445.3,45.57831325301205,51.0,0.0,0.0,88.77064847946167,False,4.0
58.0,6.0,0.015450238252847,9643.0,98.0,3418.9,256.84,3675.74,168.29519230769236,178.66,68.89,17502.700000000004,61.02884615384615,68.0,50.73076923076923,55.0,109.10512137413023,False,4.0
29.0,10.0,0.01,1.0,99.0,8339.3,580.55,8919.85,272.5398058252426,282.39,253.1,56143.199999999975,81.18932038834951,83.0,83.04368932038835,94.0,212.4454026222229,True,1.0
64.0,10.0,0.01,1.0,99.0,7429.06,528.32,7957.38,268.3668783068783,282.67,251.1,50721.34,82.34920634920636,84.0,78.82539682539682,84.0,194.4179623126984,True,1.0
80.0,10.0,0.01,1.0,99.0,7281.81,520.01,7801.82,264.29698924731184,278.58,242.14,49159.24,82.55913978494624,84.0,78.63440860215054,83.0,191.9172546863556,True,1.0
23.0,10.0,0.01,1.0,99.0,8771.08,596.54,9367.62,260.6776056338028,279.1,232.37,55524.32999999999,82.87323943661971,84.0,86.20657276995306,93.0,219.06819367408752,True,1.0
84.0,10.0,0.01,1.0,99.0,7235.74,509.36,7745.1,259.9932432432432,279.75,238.82,48098.74999999999,82.94594594594595,85.0,79.16216216216216,84.0,190.2395737171173,True,1.0
32.0,9.0,0.01,1.0,11.34999990463257,1161.51,89.49,1251.0,260.27666666666664,270.57,245.76,8589.13,82.15151515151516,83.0,72.66666666666667,97.0,34.30015468597412,True,1.0
32.0,7.0,0.01,1.0,11.34999990463257,500.3,36.73,537.03,266.5207142857143,274.8,252.16,3731.29,81.42857142857143,82.0,73.14285714285714,97.0,14.732366800308228,True,1.0
32.0,13.0,0.01,1.0,11.34999990463257,490.92,36.32,527.24,262.3928571428572,271.81,254.45,3673.5,80.64285714285714,82.0,74.85714285714286,97.0,14.594385623931885,True,1.0
32.0,8.0,0.01,1.0,11.34999990463257,481.11,36.0,517.11,257.2738461538462,269.31,249.88,3344.5600000000004,80.38461538461539,81.0,71.92307692307692,97.0,14.395693063735962,True,1.0
32.0,15.0,0.01,1.0,11.34999990463257,508.28,37.5,545.78,264.14642857142854,273.44,253.2,3698.05,80.0,81.0,77.71428571428571,97.0,14.937036037445068,True,1.0
32.0,10.0,0.0170777844910995,1.0,90.24999737739564,931.96,67.53,999.49,282.9291999999999,315.89,252.72,7073.229999999998,81.4,83.0,87.68,100.0,26.640061378479004,True,1.0
32.0,10.0,0.0098250773423092,1.0,87.8600001335144,950.18,68.94,1019.12,286.16269230769234,316.97,255.3,7440.23,81.23076923076923,83.0,86.65384615384616,100.0,27.00777316093445,True,1.0
32.0,10.0,0.0116374578975137,1.0,89.50999975204468,943.8,67.9,1011.7,287.7688461538461,318.59,254.52,7481.989999999998,81.1923076923077,83.0,86.53846153846153,100.0,26.82304620742798,True,1.0
32.0,10.0,0.0110451349466112,1.0,88.23999762535095,943.12,67.43,1010.55,286.4544,316.77,254.69,7161.360000000001,80.84,83.0,87.48,100.0,26.69249129295349,True,1.0
32.0,10.0,0.0159906612347298,1.0,90.12999534606934,949.69,68.65,1018.34,287.4957692307692,318.14,260.3,7474.889999999999,80.6923076923077,83.0,86.76923076923077,100.0,26.92718243598938,True,1.0
98.0,10.0,0.01,1.0,7.53000006079674,331.36,24.36,355.72,266.28,272.84,257.55,2396.52,78.55555555555556,79.0,79.11111111111111,98.0,10.134073495864868,True,1.0
128.0,10.0,0.01,1.0,9.99999940395355,341.75,25.01,366.76,258.259,272.19,241.44,2582.59,78.2,79.0,76.7,98.0,10.473159551620483,True,1.0
114.0,10.0,0.01,1.0,5.33999986946583,328.86,24.09,352.95,265.4455555555556,274.48,255.58,2389.01,78.66666666666667,79.0,77.22222222222223,98.0,10.124077558517456,True,1.0
127.0,10.0,0.01,1.0,9.39999967813492,339.24,24.59,363.83,265.708,270.16,259.42,2657.08,78.5,79.0,77.2,97.0,10.412285804748535,True,1.0
81.0,10.0,0.01,1.0,4.6399999409914,330.69,23.92,354.61,264.34666666666664,269.7,254.3,2379.12,78.22222222222223,79.0,79.0,98.0,10.077389478683472,True,1.0
32.0,10.0,0.01,5242.0,91.81999564170836,942.92,66.11,1009.03,288.26115384615383,319.16,254.78,7494.79,80.15384615384616,83.0,85.5,100.0,26.834517002105716,True,1.0
32.0,10.0,0.01,4927.0,91.93999767303468,934.98,65.7,1000.68,286.24,316.45,246.31,7156.0,79.8,83.0,85.64,100.0,26.574527502059937,True,1.0
32.0,10.0,0.01,2419.0,91.8999969959259,944.86,67.76,1012.62,288.5126923076923,316.02,253.7,7501.33,79.88461538461539,82.0,86.61538461538461,100.0,26.80597710609436,True,1.0
32.0,10.0,0.01,6378.0,92.20999479293825,945.48,67.23,1012.71,290.3724,319.05,259.81,7259.310000000001,80.08,83.0,87.2,100.0,26.705962419509888,True,1.0
32.0,10.0,0.01,1228.0,91.7099952697754,937.92,66.86,1004.78,291.1032,318.67,257.05,7277.58,80.16,83.0,88.16,100.0,26.60127282142639,True,1.0
65.0,10.0,0.01,1.0,94.0,11300.05,753.76,12053.81,249.68848837209308,268.81,224.64,64419.63000000001,82.40310077519379,84.0,64.37596899224806,75.0,266.1141004562378,True,1.0
19.0,10.0,0.01,1.0,96.0,19044.0,1096.45,20140.45,241.98154822335053,268.16,191.35,95340.73000000013,82.32233502538071,84.0,60.51269035532995,73.0,406.5622375011444,True,1.0
75.0,10.0,0.01,1.0,94.0,10909.19,734.25,11643.44,248.75734126984108,270.51,221.84,62686.84999999996,82.7063492063492,84.0,64.78174603174604,74.0,259.4298210144043,True,1.0
73.0,10.0,0.01,1.0,93.0,10887.14,726.37,11613.51,248.10585657370535,267.9,226.26,62274.57000000005,82.68525896414343,84.0,64.84860557768924,74.0,258.3831102848053,True,1.0
71.0,10.0,0.01,1.0,94.0,10951.13,721.81,11672.94,248.6858167330677,267.73,224.17,62420.13999999999,82.69322709163346,84.0,65.1593625498008,74.0,258.4861075878144,True,1.0
32.0,5.0,0.01,1.0,94.0,5493.03,338.15,5831.18,249.4452100840336,270.63,220.99,29683.979999999992,82.34453781512605,84.0,63.445378151260506,74.0,123.3548674583435,True,1.0
32.0,12.0,0.01,1.0,95.0,13052.64,793.03,13845.67,247.4173665480426,268.67,220.78,69524.27999999997,82.42348754448399,84.0,63.87544483985765,74.0,290.00891757011414,True,1.0
32.0,9.0,0.01,1.0,95.0,9798.98,590.46,10389.44,247.03990521327023,267.26,212.44,52125.42000000003,82.41232227488152,84.0,63.3696682464455,73.0,217.87851214408877,True,1.0
115.0,10.0,0.01,1.0,99.0,7555.61,523.41,8079.02,257.60906735751297,286.8,223.28,49718.55,83.29015544041451,85.0,97.81865284974091,100.0,198.57412791252136,True,1.0
43.0,10.0,0.01,1.0,100.0,17818.39,1243.21,19061.6,244.91617903930128,285.82,222.78,112171.61,82.66157205240175,84.0,98.146288209607,100.0,470.3043999671936,True,1.0
34.0,10.0,0.01,1.0,100.0,21791.11,1520.5,23311.61,242.03514285714292,279.29,223.77,135539.68000000005,82.89285714285714,84.0,98.13035714285714,100.0,574.6750166416168,True,1.0
125.0,10.0,0.01,1.0,100.0,7192.8,498.91,7691.71,255.51853260869552,281.85,228.68,47015.40999999997,83.51086956521739,85.0,97.66847826086956,100.0,188.88989877700809,True,1.0
49.0,10.0,0.01,1.0,100.0,16129.87,1129.24,17259.11,239.53417874396152,282.81,223.15,99167.15000000008,82.54589371980677,84.0,98.05797101449276,100.0,425.7684636116028,True,1.0
32.0,10.0,0.01,1.0,10.06999984383583,195.26,15.51,210.77,74.14599999999999,78.19,68.88,370.73,46.6,48.0,1.2,3.0,7.657817125320435,False,0.0
32.0,10.0,0.01,1.0,8.9199997484684,212.43,14.59,227.02,86.27500000000002,88.5,81.31,517.6500000000001,49.5,50.0,10.5,13.0,7.119969129562378,True,0.0
112.0,8.0,0.0072251915476177,4791.0,9.55999940633774,196.9,16.23,213.13,73.606,77.36,68.42,368.03,44.6,45.0,0.6,3.0,7.693460941314697,False,4.0
