hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel
0.5,60.0,0.05,1334.0,0.753173,0.909145,0.96348,104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0,3226.2696459293365,False
0.5,60.0,0.05,1334.0,0.748936,0.900238,0.962886,132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0,4236.888918638229,False
0.5,60.0,0.05,1334.0,0.775227,0.924881,0.971496,142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0,4300.007735013962,False
0.5,60.0,0.05,1334.0,0.775222,0.924881,0.971496,198674.72,11935.12,210609.84,233.2790381426203,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,4346.275467395783,True
0.5,60.0,0.05,1334.0,0.748936,0.900238,0.962886,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,4958.222606658936,True
0.5,60.0,0.05,1334.0,0.753173,0.909145,0.96348,152005.47,9963.13,161968.6,230.32688228438212,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,3526.4963586330414,True
0.5,60.0,0.05,5154.0,0.745096,0.904988,0.96348,107784.3,8848.96,116633.26,229.78077043044323,289.23,13.96,736677.1500000011,78.29725514660012,84.0,83.65159076731129,99.0,3296.905315160752,False
0.5,60.0,0.05,4800.0,0.742322,0.901128,0.962886,107256.11,8792.32,116048.43,224.2503681560732,290.29,14.16,712667.6700000005,78.02611705475141,84.0,84.1746381371932,100.0,3267.985856771469,False
0.5,60.0,0.05,8010.0,0.709973,0.883907,0.952197,135663.1,10933.67,146596.77,240.70284687275327,254.28,14.11,1004452.9799999994,82.03810208483105,84.0,66.98921639108555,79.0,4288.816520929337,False
0.5,60.0,0.05,7319.0,0.741353,0.901128,0.961995,136106.0,10965.48,147071.48,240.72144359464565,254.56,14.21,1007178.5199999972,82.04230401529637,84.0,66.8914913957935,78.0,4301.237437963486,False
