perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds,is_parallel,num_mutated_params
0.383,0.629,0.741,0.829,54769.1,2151.56,56920.66,72.01282485875701,79.97,41.48,25492.539999999983,48.02824858757062,49.0,0.2994350282485876,3.0,841.4112598896027,False,1.0
0.385,0.626,0.74,0.828,54681.35,2108.92,56790.27,71.33056338028165,79.66,50.89,25322.349999999984,48.0,48.0,0.2816901408450704,3.0,840.0331673622131,False,1.0
0.386,0.627,0.738,0.826,53772.88,2087.33,55860.21,71.22102272727268,79.74,37.93,25069.799999999985,48.0,48.0,0.2443181818181818,3.0,828.906819820404,False,1.0
0.383,0.627,0.738,0.827,54316.89,2092.17,56409.06,71.04341880341885,79.12,48.8,24936.240000000013,48.0,48.0,0.2193732193732193,3.0,830.908492565155,False,1.0
0.385,0.632,0.742,0.83,54581.62,2100.11,56681.73,70.64946327683613,79.32,42.51,25009.90999999999,48.03107344632768,49.0,0.2457627118644068,3.0,837.3205842971802,False,1.0
0.378,0.624,0.74,0.831,54383.92,2100.16,56484.08,71.52962536023058,80.19,41.96,24820.78000000001,48.80115273775216,49.0,0.2968299711815562,3.0,834.1668319702148,False,1.0
0.382,0.628,0.74,0.829,80614.62,3067.34,83681.96,4.107469758064515,4.79,3.71,4074.609999999999,37.55342741935484,47.0,0.0,0.0,1224.7764918804169,True,0.0
0.38,0.626,0.738,0.827,77089.3,2924.41,80013.71,3.8771835443037994,4.82,3.41,3675.570000000001,36.07172995780591,40.0,0.0,0.0,1175.5454223155975,True,0.0
0.382,0.626,0.737,0.824,78096.87,2965.66,81062.53,3.8947242455775206,4.77,3.51,3742.829999999997,35.8210197710718,40.0,0.0,0.0,1189.3832819461825,True,0.0
0.385,0.629,0.741,0.83,75807.45,2907.72,78715.17,3.80847965738758,4.81,3.33,3557.12,35.642398286937905,40.0,0.0,0.0,1158.3511950969696,True,0.0
0.383,0.629,0.74,0.827,78523.01,3001.9,81524.91,3.664525773195882,4.5,3.31,3554.590000000005,34.62680412371134,39.0,0.0,0.0,1197.5644433498385,True,0.0
0.38,0.625,0.739,0.825,40052.65,1539.75,41592.4,3.662098039215682,4.28,3.28,1867.6699999999976,34.543137254901964,38.0,0.0,0.0,614.9165515899658,True,0.0
0.377,0.627,0.739,0.83,48965.87,1874.01,50839.88,3.63133116883117,4.21,3.33,2236.900000000001,33.88798701298701,38.0,0.0,0.0,750.0622673034668,True,0.0
0.376,0.626,0.738,0.827,69478.61,2674.58,72153.19,3.6348023255813975,4.14,3.37,3125.9300000000017,33.46976744186046,37.0,0.0011627906976744,1.0,1063.814828634262,True,0.0
0.382,0.631,0.74,0.829,62761.39,2420.97,65182.36,3.623128991060024,4.16,3.34,2836.909999999999,33.4610472541507,37.0,0.0,0.0,960.5409457683564,True,0.0
0.381,0.627,0.738,0.827,30549.13,1191.08,31740.21,3.644137055837566,4.04,3.32,1435.7900000000009,33.944162436548226,37.0,0.0,0.0,473.3884534835816,True,0.0
0.38,0.626,0.738,0.827,77878.02,3047.34,80925.36,3.623797071129714,4.04,3.37,3464.3500000000063,33.42468619246862,37.0,0.0,0.0,1188.0541875362396,True,0.0
0.379,0.623,0.737,0.825,74943.0,2928.89,77871.89,3.614962162162171,4.16,3.32,3343.8400000000083,33.37405405405406,37.0,0.0,0.0,1148.515113115311,True,0.0
