experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_eval_samples_per_second,perf_final_training_loss,perf_top10_accuracy,perf_top1_accuracy,perf_top20_accuracy,perf_top5_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_001,2025-12-17T22:26:33.012648,VulBERTa,mlp,True,4371.647592544556,0,,14,,,,,,0.6955666542053223,59.057,0.7908,,,,,127842.78,9978.27,137821.05,236.32109441052114,319.18,4.39,1006255.219999999,77.7259276655707,83.0,89.22827618600282,100.0
VulBERTa_mlp_002,2025-12-18T00:13:27.448772,VulBERTa,mlp,True,6351.022691011429,0,,20,,,,,,0.6802908778190613,59.08,0.705,,,,,184493.94,14696.01,199189.95,221.75003394213613,319.49,4.94,1371967.4599999962,78.02602230483271,84.0,89.40084047195732,100.0
VulBERTa_mlp_003,2025-12-18T01:19:01.647325,VulBERTa,mlp,True,3870.909183740616,0,,12,,,,,,0.6929996609687805,59.061,0.726,,,,,112898.06,8865.58,121763.64,212.98595118068476,319.12,5.1,802744.0500000009,77.78270098169276,84.0,88.85752188909525,100.0
VulBERTa_mlp_004,2025-12-18T02:50:52.404598,VulBERTa,mlp,True,5447.3428337574005,0,,17,,,,,,0.6844493746757507,59.004,0.7071,,,,,158744.63,12650.78,171395.41,213.68379758763638,318.85,5.09,1133806.2299999986,77.97663022992839,84.0,89.36581228797587,100.0
VulBERTa_mlp_005,2025-12-18T03:24:45.387669,VulBERTa,mlp,True,1969.8063945770264,0,,6,,,,,,0.7022290825843811,59.028,0.7636,,,,,57576.22,4685.17,62261.39,212.1501461377871,318.9,5.03,406479.68000000005,77.49060542797494,84.0,87.6205636743215,100.0
VulBERTa_mlp_006,2025-12-18T04:19:21.470325,VulBERTa,mlp,True,3212.9476413726807,0,,,,2.0440721202738793e-05,,,,0.7404462695121765,58.835,0.6289,,,,,93380.48,7637.13,101017.61,214.9890923617771,318.73,5.09,672700.8700000006,78.01534036433365,84.0,88.66794503036114,100.0
VulBERTa_mlp_007,2025-12-18T05:14:03.640710,VulBERTa,mlp,True,3219.036843776703,0,,,,1.535780817024892e-05,,,,0.7611439228057861,58.998,0.6013,,,,,93653.62,7487.59,101141.21,212.17248484848486,319.02,5.0,665160.74,77.66507177033493,84.0,88.69218500797449,100.0
VulBERTa_mlp_008,2025-12-18T06:09:10.310442,VulBERTa,mlp,True,3243.5362389087677,0,,,,2.7043985628756564e-05,,,,0.6746624708175659,59.065,0.7446,,,,,94304.7,7502.87,101807.57,211.87594491927717,318.8,5.05,669316.1099999966,77.59164292497626,84.0,88.71066793289016,100.0
VulBERTa_mlp_009,2025-12-18T07:04:03.262558,VulBERTa,mlp,True,3229.8190512657166,0,,,,4.0004429296629304e-05,,,,0.6927470564842224,59.029,0.7073,,,,,93913.11,7542.85,101455.96,212.8102607313193,319.42,5.1,669288.2699999992,77.80922098569157,84.0,88.84165341812401,100.0
VulBERTa_mlp_010,2025-12-18T07:59:05.522033,VulBERTa,mlp,True,3239.1258063316345,0,,,,3.1637909869442554e-05,,,,0.6868898272514343,59.033,0.7079,,,,,94541.74,7505.84,102047.58,211.9042422320859,319.01,4.97,668345.9799999989,77.54565630944832,84.0,88.7285986049461,100.0
