energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,hyperparam_dropout,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,perf_accuracy,perf_precision,perf_recall
37083.15,2904.51,39987.66,270.25759771986947,318.31,66.75,331876.3299999997,77.91042345276873,83.0,92.68485342019544,97.0,False,2025-11-18T20:37:37.187907,0.2,0.0001,10.0,1334.0,0.0,,0.9834,0.808854
57839.19,3214.53,61053.72,234.4153127413124,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.2138996138996,100.0,True,2025-11-19T03:33:26.374038,0.2,0.0001,10.0,1334.0,0.0,,0.9834,0.808854
30588.5,2391.33,32979.83,238.1453808110783,316.7,76.67,240764.98000000016,79.67161226508408,84.0,92.63402571711175,97.0,False,2025-11-21T00:48:38.514460,,,8.0,,,,0.976605,0.742656
38495.16,3023.89,41519.05,230.3617216981132,316.72,77.12,293020.11,79.05424528301887,84.0,92.84433962264151,98.0,False,2025-11-21T01:11:30.339925,,7.493787623088474e-05,,,,,0.980371,0.743897
38467.54,3027.25,41494.79,228.0405416012561,317.38,77.01,290523.6500000003,78.70015698587127,84.0,93.04945054945055,99.0,False,2025-11-21T01:34:25.043483,0.0468958763946409,,,,,,0.999127,0.947042
38605.66,3046.44,41652.1,231.0535031347958,317.45,77.06,294824.26999999944,79.26489028213166,84.0,92.89968652037618,97.0,False,2025-11-21T01:57:21.684167,,,,,0.0003845119009305,,0.981283,0.759206
38419.44,3004.23,41423.67,229.580424528302,318.03,77.01,292026.30000000016,79.18003144654088,84.0,92.85849056603772,98.0,False,2025-11-21T02:20:14.256490,,,,9748.0,,,0.985908,0.781547
46444.88,2569.1,49013.98,229.02080459770096,315.71,5.11,239097.7199999998,79.22892720306514,84.0,89.86111111111111,98.0,True,2025-11-21T02:39:39.090771,,,8.0,,,,0.976605,0.742656
58094.06,3211.68,61305.74,229.75797536566589,318.74,5.05,298455.61,79.4464973056197,84.0,90.49576597382602,100.0,True,2025-11-21T03:03:27.300242,,0.0001274739700677,,,,,0.987276,0.866777
58047.12,3195.29,61242.41,226.47388931591053,316.88,5.12,294642.5299999996,79.2598001537279,84.0,90.54727132974637,97.0,True,2025-11-21T03:27:16.772326,0.1016033768273681,,,,,,0.994893,0.886636
58289.97,3247.44,61537.41,231.69426166794236,318.42,4.83,302824.4000000006,80.10864575363428,84.0,89.9778117827085,98.0,True,2025-11-21T03:51:12.759827,,,,,8.693354241354567e-05,,0.983665,0.797269
58231.14,3286.09,61517.23,228.34462778204156,315.76,5.04,297533.0500000001,79.64466615502685,84.0,90.26784343821949,97.0,True,2025-11-21T04:15:04.511796,,,,2182.0,,,0.983556,0.791891
30532.01,2330.97,32862.98,263.25598802395183,316.41,67.78,263782.4999999997,77.98203592814372,83.0,91.23552894211576,97.0,False,2025-11-26T23:05:10.088419,0.2,0.0001,8.0,1334.0,0.0,0.867,0.976605,0.742656
46239.05,3513.29,49752.34,238.4233135313529,317.91,76.43,361211.31999999966,79.53201320132013,84.0,92.92541254125412,100.0,False,2025-11-26T23:32:14.385068,0.2,0.0001,12.0,1334.0,0.0,0.9244,0.9272,0.7978
38798.11,2959.59,41757.7,234.78553543307137,315.52,76.77,298177.63000000064,79.14645669291339,84.0,92.8007874015748,100.0,False,2025-11-26T23:55:07.223177,0.2,8.51351160044323e-05,10.0,1334.0,0.0,0.883,0.9253,0.7854
38544.19,2949.68,41493.87,238.29454833597435,315.74,76.49,300727.7199999996,79.7337559429477,84.0,92.86291600633916,97.0,False,2025-11-27T00:17:51.991618,0.2,0.0001149593337697,10.0,1334.0,0.0,0.9186,0.985039,0.844435
38529.08,2965.91,41494.99,236.3884031620552,317.53,76.63,299031.3299999998,79.4901185770751,84.0,92.71304347826089,98.0,False,2025-11-27T00:40:39.697491,0.2,0.0001,10.0,2339.0,0.0,0.8866,0.98178,0.781
38496.85,2957.09,41453.94,240.3329500396512,315.79,76.43,303059.8500000001,79.84139571768438,84.0,92.84694686756542,97.0,False,2025-11-27T01:03:23.512587,0.2,0.0001,10.0,4162.0,0.0,0.9034,0.9158,0.8117
38608.17,2950.76,41558.93,239.25244250594804,316.67,76.53,301697.3300000005,79.6669310071372,84.0,92.8366375892149,97.0,False,2025-11-27T01:26:07.887870,0.1245567496292607,0.0001,10.0,1334.0,0.0,0.9358,0.9431,0.84
38617.87,2950.25,41568.12,240.69019841269855,317.74,76.49,303269.6500000002,79.85396825396825,84.0,92.7936507936508,97.0,False,2025-11-27T01:48:51.027370,0.1227548947489133,0.0001,10.0,1334.0,0.0,0.935,0.9453,0.8337
38998.38,2985.57,41983.95,237.87788188976384,317.66,76.14,302104.9100000001,79.20472440944881,84.0,92.88031496062992,100.0,False,2025-11-27T02:11:44.734547,0.2,0.0001,10.0,1334.0,0.0004471895224744,0.872,0.93,0.7946
38791.8,2991.7,41783.5,238.32858044164024,318.02,76.2,302200.63999999984,79.56624605678233,84.0,92.72003154574132,97.0,False,2025-11-27T02:34:35.446016,0.2,0.0001,10.0,1334.0,0.0003279362511734,0.878,0.9323,0.7962
38422.61,2977.18,41399.79,250.51941971383167,318.71,68.4,315153.4300000002,78.25039745627981,84.0,92.181240063593,98.0,False,2025-12-02T19:20:10.686027,0.0427058613029471,0.0001,10.0,1334.0,0.0,0.9726,0.999124,0.944146
45352.02,3493.48,48845.5,258.5023537323467,318.41,68.19,384392.9999999996,78.24142568930733,84.0,92.86953597848016,97.0,False,2025-12-03T23:20:40.746427,0.2,0.0001,12.0,1334.0,0.0,0.9244,0.986171,0.855606
28836.31,1919.6,30755.91,234.15206718346244,314.6,91.17,181233.69999999992,80.95865633074935,84.0,93.32558139534883,100.0,True,2025-12-04T18:41:35.839824,0.2,0.0001,5.0,1334.0,0.0,0.8242,0.9426,0.8053
57028.94,3812.17,60841.11,234.91704575163425,314.64,89.98,359423.0800000004,80.74313725490197,84.0,94.55816993464052,100.0,True,2025-12-04T19:09:19.172066,0.2,8.664548306003103e-05,10.0,1334.0,0.0,0.8856,0.9248,0.795
57306.47,3823.45,61129.92,233.3118982387478,317.11,89.7,357667.1400000004,80.15916503587736,84.0,94.6464448793216,100.0,True,2025-12-04T19:37:05.321991,0.1525213828442002,0.0001,10.0,1334.0,0.0,0.9182,0.9381,0.8285
57453.32,3867.61,61320.93,234.5118347430059,313.27,90.77,360444.69000000006,80.53610930383864,85.0,94.35068314899154,100.0,True,2025-12-04T20:04:55.925369,0.2,0.0001,10.0,1334.0,0.0002792886222718,0.883,0.9316,0.7986
57106.24,3804.91,60911.15,234.4190202482038,315.1,89.37,358895.52,80.55845852384063,84.0,94.55715218811234,100.0,True,2025-12-04T20:32:40.749435,0.2,0.0001,10.0,4777.0,0.0,0.7478,0.5967,0.6191
23124.13,1775.62,24899.75,268.00774535809035,316.32,72.27,202077.8400000001,79.08620689655173,84.0,91.842175066313,98.0,False,2025-12-05T21:40:59.101497,0.1944277935309872,9.400121124861952e-05,6.0,3775.0,0.0003539602775746,0.848,0.948565,0.724866
47544.12,3619.47,51163.59,224.48188703466008,316.68,76.6,349742.7800000004,79.89216944801026,85.0,92.002567394095,98.0,False,2025-12-10T15:31:44.764030,0.057223224988707,0.0001045432085615,12.0,1980.0,5.099408876339461e-05,0.9734,0.9417,0.8125
55133.0,4220.08,59353.08,218.8688858093128,316.91,81.6,394839.47000000026,79.85144124168514,85.0,93.2139689578714,100.0,False,2025-12-10T16:02:46.817760,0.0845538268755092,0.0001165834738796,14.0,7543.0,7.834941202620763e-05,0.9892,0.937,0.8424
59160.08,4511.3,63671.38,218.34555842812787,316.36,81.64,422280.3099999993,79.60186142709411,85.0,93.32419855222336,99.0,False,2025-12-10T16:36:01.137767,0.1874495575720138,0.0001098901409415,15.0,8290.0,0.0005436690491655,0.9144,0.8996,0.7686
55422.43,4218.68,59641.11,218.5512320441987,316.76,82.02,395577.7299999997,79.3,85.0,93.19447513812156,100.0,False,2025-12-10T17:07:09.126477,0.1801427693271612,5.182099840744783e-05,14.0,220.0,2.3417159503971232e-05,0.8698,0.8746,0.6925
28029.51,2148.0,30177.51,217.20815991237703,316.86,81.6,198311.05000000025,79.20043811610077,85.0,92.4184008762322,99.0,False,2025-12-10T17:22:56.674363,0.1950011062293801,0.0001409302001085,7.0,6234.0,0.0006521186784033,0.8474,0.931,0.8285
20037.11,1531.2,21568.31,224.8850385208013,317.01,81.35,145950.39000000004,80.42372881355932,85.0,91.9753466872111,97.0,False,2025-12-10T17:34:13.400761,0.1957723884108081,5.767245452876503e-05,5.0,8700.0,2.686847575517112e-05,0.7564,0.9008,0.7355
39765.85,3036.31,42802.16,217.2965354938271,316.76,82.17,281616.3099999999,79.49845679012346,85.0,92.82793209876544,97.0,False,2025-12-10T17:56:33.722663,0.2880816295005849,0.0001169150216768,10.0,6691.0,3.0743223878557735e-05,0.869,0.9125,0.7698
34763.75,2673.32,37437.07,249.8013808267369,317.0,71.47,284024.16999999987,79.12225153913808,84.0,92.53737906772209,100.0,False,2025-12-13T00:56:10.836826,0.2654805874380295,0.0001277099577982,9.0,5923.0,1.491054560061533e-05,0.8632,0.979006,0.73314
