experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation
default__VulBERTa_mlp_004,2025-11-18T22:06:40.713330,VulBERTa,mlp,False,True,3114.086087703705,0,Training completed successfully,,,,10.0,,3e-05,,42.0,0.0,,,,,,,,,,,,,,,,,89815.23,7225.47,97040.7,239.40896801846327,318.86,4.72,726127.3999999991,78.19320804484009,83.0,89.93504780745137,100.0,default,0.0,,,,,,,,,,10.0,0.0,89.93504780745137,83.0,0.9255418602709996,314.14,4.806791955159909
default__VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240123,VulBERTa,mlp,True,True,3765.577875137329,0,Training completed successfully,,,,10.0,,3e-05,,42.0,0.0,,,,,,,,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331973,100.0,default,0.0,,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/VulBERTa_mlp_013_parallel/background_logs,3765.577875137329,0.0,Training completed successfully,10.0,0.0,91.77105478331973,84.0,0.9361107282539124,229.91000000000005,5.06323248841646
mutation_1x__VulBERTa_mlp_043,2025-11-21T05:19:42.240408,VulBERTa,mlp,False,True,3817.575155735016,0,Training completed successfully,,,,12.0,,,,,,,,,,,,,,,,,,,,,,110375.38,8712.96,119088.34,220.2874098977948,318.68,4.91,819028.5900000008,78.00080688542226,84.0,89.2937062937063,100.0,mutation_1x,1.0,epochs,,,,,,,,,12.0,,89.2937062937063,84.0,0.9268361621297266,313.77,5.999193114577736
mutation_1x__VulBERTa_mlp_044,2025-11-21T06:13:58.136230,VulBERTa,mlp,False,True,3195.7806429862976,0,Training completed successfully,,,,,,2.243007410604204e-05,,,,,,,,,,,,,,,,,,,,92249.48,7225.22,99474.7,220.0906493089041,318.66,4.72,684702.0100000007,77.7113468338155,84.0,88.2886531661845,100.0,mutation_1x,1.0,learning_rate,,,,,,,,,,,88.2886531661845,84.0,0.927366254937185,313.94,6.288653166184503
mutation_1x__VulBERTa_mlp_045,2025-11-21T07:08:49.934581,VulBERTa,mlp,False,True,3231.660609722137,0,Training completed successfully,,,,,,,,,0.0001897543349404,,,,,,,,,,,,,,,,,93626.15,7310.78,100936.93,220.50319135410004,319.21,4.67,693703.0399999988,77.61252383979657,84.0,88.94882390336936,100.0,mutation_1x,1.0,weight_decay,,,,,,,,,,0.0001897543349404,88.94882390336936,84.0,0.9275708108023496,314.54,6.387476160203434
mutation_1x__VulBERTa_mlp_046,2025-11-21T08:03:00.281337,VulBERTa,mlp,False,True,3190.186902999878,0,Training completed successfully,,,,,,,,3226.0,,,,,,,,,,,,,,,,,,92380.66,7187.28,99567.94,224.4775345992917,318.94,5.02,697451.6999999994,77.71709044093981,83.0,88.30704859993563,100.0,mutation_1x,1.0,seed,,,,,,,,,,,88.30704859993563,83.0,0.9278153188666954,313.92,5.282909559060187
mutation_1x__VulBERTa_mlp_047_parallel,2025-11-21T09:37:15.574419,VulBERTa,mlp,True,True,5565.070781946182,0,Training completed successfully,,,,15.0,,,,,,,,,,,,,,,,,,,,,,198812.52,13445.42,212257.94,242.2407727775729,318.59,88.15,1313429.4700000002,79.40261895979343,84.0,91.95665805975656,100.0,mutation_1x,1.0,epochs,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/VulBERTa_mlp_047_parallel/background_logs,5565.070781946182,0.0,Training completed successfully,15.0,,91.95665805975656,84.0,0.9366552789497532,230.44,4.597381040206571
mutation_1x__VulBERTa_mlp_048_parallel,2025-11-21T10:41:20.934436,VulBERTa,mlp,True,True,3755.241201877594,0,Training completed successfully,,,,,,3.265932778881129e-05,,,,,,,,,,,,,,,,,,,,134465.63,8994.1,143459.73,238.75070803717867,319.4,88.38,873350.0899999996,79.11563696008749,84.0,91.2063969382176,100.0,mutation_1x,1.0,learning_rate,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/VulBERTa_mlp_048_parallel/background_logs,3755.241201877594,0.0,Training completed successfully,,,91.2063969382176,84.0,0.9373057512376468,231.02,4.884363039912515
mutation_1x__VulBERTa_mlp_049_parallel,2025-11-21T11:45:52.303743,VulBERTa,mlp,True,True,3781.300727128983,0,Training completed successfully,,,,,,,,,0.0005053068568046,,,,,,,,,,,,,,,,,135237.07,9163.68,144400.75,236.3383740499461,319.04,88.7,870670.5700000016,78.72801302931596,84.0,91.75352877307274,100.0,mutation_1x,1.0,weight_decay,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/VulBERTa_mlp_049_parallel/background_logs,3781.300727128983,0.0,Training completed successfully,,0.0005053068568046,91.75352877307274,84.0,0.9365399417939312,230.34000000000003,5.27198697068404
mutation_1x__VulBERTa_mlp_050_parallel,2025-11-21T12:49:37.705058,VulBERTa,mlp,True,True,3735.326469421386,0,Training completed successfully,,,,,,,,6995.0,,,,,,,,,,,,,,,,,,133883.23,8894.5,142777.73,238.13047815333903,318.79,88.69,866556.8100000008,79.2360538609508,84.0,91.3363561417972,100.0,mutation_1x,1.0,seed,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/VulBERTa_mlp_050_parallel/background_logs,3735.326469421386,0.0,Training completed successfully,,,91.3363561417972,84.0,0.937703870204408,230.1,4.763946139049196
