experiment_id,timestamp,training_duration,hyperparam_learning_rate,l2_regularization,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_test_accuracy
default__pytorch_resnet_cifar10_resnet20_003,2025-11-18T21:13:46.055005,200.0,0.1,0.0001,1334.0,51058.21,246851.30000000005,224.61446769790723,59.75432211101001,79.0,0.9398214312644332,178.07,2.745222929936304,91.71
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.592966,200.0,0.1,0.0001,1334.0,54607.4,252254.5000000001,228.6985494106981,60.24025385312783,81.0,0.94183260876731,176.73,2.28105167724388,91.71
mutation_1x__pytorch_resnet_cifar10_resnet20_025,2025-11-20T22:13:53.350128,168.0,,,,42430.76,209624.1999999997,228.8473799126635,54.36135371179039,82.0,0.9412251866334708,174.44,3.2281659388646347,92.01
mutation_1x__pytorch_resnet_cifar10_resnet20_026,2025-11-20T22:33:28.814974,,0.0599468592531538,,,50210.07,248568.45999999973,229.7305545286504,54.5637707948244,81.0,0.9407565056172994,172.54000000000002,2.291127541589645,91.32
mutation_1x__pytorch_resnet_cifar10_resnet20_027,2025-11-20T22:52:56.710105,,,0.0005269575541948,,49879.02,246883.1300000001,229.65872558139543,54.9953488372093,81.0,0.9413677333676564,172.77,2.445581395348839,92.38
mutation_1x__pytorch_resnet_cifar10_resnet20_028,2025-11-20T23:12:43.086269,,,,8958.0,50879.28,254883.7099999998,233.196440988106,60.13815187557182,81.0,0.9410388669022044,177.4,1.7968892955169196,92.02
mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel,2025-11-20T23:28:36.848523,151.0,,,,41088.19,189400.07000000004,225.74501787842675,54.40047675804529,81.0,0.9412553826294126,170.74,2.793802145411206,91.79
mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel,2025-11-20T23:49:06.435029,,0.1067680582725943,,,54400.91,250905.2099999996,226.44874548736425,54.12003610108303,81.0,0.9417550184362724,172.08999999999995,2.78429602888086,91.98
mutation_1x__pytorch_resnet_cifar10_resnet20_031_parallel,2025-11-21T00:09:38.408199,,,0.0002164455264458,,54477.87,250409.2799999999,225.39089108910883,54.31413141314131,80.0,0.941540482401386,171.13,1.972097209720971,92.05
mutation_1x__pytorch_resnet_cifar10_resnet20_032_parallel,2025-11-21T00:30:13.824595,,,,1739.0,54789.1,258483.9499999997,232.0322710951524,60.00089766606822,81.0,0.9420193067599212,176.38,1.953321364452421,91.66
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_049,2025-11-23T04:06:31.337579,254.0,,,,226795.73,582694.1799999988,192.0547725774551,99.751153592617,76.0,0.9297463845549472,155.4,6.669742913645351,91.9
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_050,2025-11-23T04:32:18.924804,119.0,,,,106952.9,274435.1500000002,191.6446578212292,99.63617318435756,76.0,0.9298800687031394,178.16000000000005,6.739525139664806,91.96
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_051,2025-11-23T05:14:39.684302,,0.1481245342295328,,,178433.56,457408.6400000011,191.5446566164159,99.65284757118928,76.0,0.9298104571808128,208.2,6.752512562814076,92.13
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_052,2025-11-23T05:57:05.362359,,0.0735578817385516,,,178936.98,462411.71999999945,193.23515252820704,99.6602590890096,76.0,0.9294613667895816,175.04999999999998,6.405348934391981,91.49
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_053,2025-11-23T06:39:23.009354,,,0.0002971181180336,,178060.59,459531.3599999987,192.67562264150888,99.48301886792451,77.0,0.9296861253801304,208.29,7.729979035639417,92.61
