experiment_id,timestamp,training_duration,hyperparam_learning_rate,l2_regularization,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_test_accuracy
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_054,2025-11-23T07:21:40.148278,,,2.2684325677923867e-05,,178152.43,462604.4699999997,193.96413836477976,99.75974842767296,76.0,0.9299448792250546,165.31,6.470859538784069,90.79
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_055,2025-11-23T08:05:18.525426,,,,5398.0,184351.61,476883.1700000002,193.61882663418604,99.75883069427528,77.0,0.9296444983583274,158.38000000000002,7.5550142103126205,91.71
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_056,2025-11-23T08:48:57.677410,,,,1733.0,184398.65,474760.21000000107,192.6786566558445,99.66396103896103,77.0,0.9297291493186094,180.01999999999998,7.5625,91.8
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_057_parallel,2025-11-23T09:29:04.788813,183.0,,,,168269.07,428922.3,192.42812920592192,99.71332436069989,76.0,0.9294699851850372,172.89,6.396590399282189,91.53
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_058_parallel,2025-11-23T10:13:53.761133,206.0,,,,188281.9,477460.9799999993,190.9080287884844,99.7281087564974,76.0,0.9298334040606132,162.58,6.659336265493806,91.42
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_059_parallel,2025-11-23T10:57:44.246243,,0.0837107225945561,,,183757.76,464911.0899999996,190.22548690671013,99.7479541734861,76.0,0.9298795871260076,159.47000000000003,6.387479541734862,91.64
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_060_parallel,2025-11-23T11:41:52.605457,,0.0623598326583842,,,185481.21,468051.2699999992,190.18743193823616,99.77610727346608,76.0,0.9297697594273836,159.46,6.1930109711499455,91.57
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_061_parallel,2025-11-23T12:25:53.465469,,,0.0004497638693981,,185281.96,466452.12999999966,190.0782925835369,99.820293398533,76.0,0.9300534169651486,158.32999999999998,5.97392013039935,92.71
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_062_parallel,2025-11-23T13:09:39.651688,,,1.0698983273442616e-05,,184480.98,463679.19000000064,190.03245491803304,99.6827868852459,76.0,0.9299776052794168,172.23999999999998,5.872950819672127,90.86
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_063_parallel,2025-11-23T13:54:37.471566,,,,7470.0,189567.31,475076.1699999986,189.34881227580647,99.79075328816262,77.0,0.9302910929104812,170.30999999999997,6.951375049820641,91.59
mutation_2x_safe__pytorch_resnet_cifar10_resnet20_064_parallel,2025-11-23T14:39:39.819979,,,,248.0,190010.56,478213.1200000007,190.29571030640696,99.72741742936728,77.0,0.9305494389364464,191.08,6.612813370473532,91.72
pytorch_resnet_cifar10_resnet20_019,2025-11-27T04:35:43.422450,106.0,0.1,0.0001,,27547.51,126344.22000000006,211.6318592964825,52.39028475711893,78.0,0.9398297704583828,169.45999999999998,4.668341708542712,91.21
pytorch_resnet_cifar10_resnet20_020,2025-11-27T04:56:09.669198,206.0,0.1,0.0001,,52583.88,253525.77000000008,224.3590884955753,53.77964601769912,80.0,0.94015066974898,168.61,2.033628318584064,91.77
pytorch_resnet_cifar10_resnet20_021,2025-11-27T05:15:52.572943,200.0,0.1302572050096328,0.0001,,50651.31,249513.82999999984,229.5435418583255,54.5639374425023,81.0,0.9409752679644416,173.45000000000002,2.118675252989874,91.93
pytorch_resnet_cifar10_resnet20_022,2025-11-27T05:35:37.378238,200.0,0.1378459728799551,0.0001,,50718.66,249823.60999999967,229.40643709825503,54.391184573002754,82.0,0.9407858961573512,173.55,2.972451790633613,91.43
pytorch_resnet_cifar10_resnet20_023,2025-11-27T05:55:36.886113,200.0,0.1,0.0001,8202.0,51458.59,256339.48000000016,232.8242325158948,59.49227974568574,82.0,0.940751388640847,176.82,2.69300635785649,91.62
pytorch_resnet_cifar10_resnet20_024,2025-11-27T06:15:30.881648,200.0,0.1,0.0001,7551.0,51211.14,256916.15999999992,233.98557377049173,59.88433515482696,82.0,0.941179009098411,178.39,2.445355191256837,91.91
pytorch_resnet_cifar10_resnet20_025,2025-11-27T06:35:15.995527,200.0,0.1,3.011336532920801e-05,,50657.15,250174.64,229.72877869605145,54.455463728191,82.0,0.9414382767289514,173.67000000000002,2.956841138659314,90.94
pytorch_resnet_cifar10_resnet20_026,2025-11-27T06:55:10.989816,200.0,0.1,0.0004812639003784,,51067.97,250113.19999999992,227.5825295723384,53.65787079162875,81.0,0.94101919461455,171.52,2.110100090991807,92.45
pytorch_resnet_cifar10_resnet20_009_parallel,2025-12-04T17:21:53.238953,272.0,0.1,0.0001,,80268.54,375886.90000000026,237.00308953341755,67.00441361916772,83.0,0.9435518573029982,174.91000000000005,2.711853720050442,92.25
pytorch_resnet_cifar10_resnet20_010_parallel,2025-12-04T17:43:32.381943,200.0,0.0771160384903017,0.0001,,59451.11,277846.7400000001,236.46531063829795,67.09531914893617,83.0,0.9436227515348324,172.43,1.1097872340425567,92.05
pytorch_resnet_cifar10_resnet20_011_parallel,2025-12-04T18:05:02.282073,200.0,0.1,2.4110606653016367e-05,,58997.36,275664.09000000014,236.6215364806868,67.43261802575107,83.0,0.9439168125489004,173.0,1.0635193133047238,91.14
pytorch_resnet_cifar10_resnet20_012_parallel,2025-12-04T18:26:48.031617,200.0,0.1,0.0001,7442.0,60055.85,277729.41999999946,235.1646232006769,72.79339542760373,84.0,0.9441233451861892,171.35,1.756138865368328,92.08
pytorch_resnet_cifar10_resnet20_007,2025-12-05T22:01:57.119834,127.0,0.12509036182415,5.1688838033162136e-05,7666.0,32815.4,161265.19,227.7756920903955,59.2909604519774,81.0,0.9416207024750574,182.47,3.252824858757066,91.21
