experiment_id,repository,model,timestamp,hyperparam_learning_rate,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_eval_loss
default__VulBERTa_mlp_004,VulBERTa,mlp,2025-11-18T22:06:40.713330,3e-05,10.0,89.93504780745137,83.0,0.9255418602709996,314.14,4.806791955159909,97040.7,726127.3999999991,
default__VulBERTa_mlp_013_parallel,VulBERTa,mlp,2025-11-19T03:05:49.240123,3e-05,10.0,91.77105478331973,84.0,0.9361107282539124,229.91000000000005,5.06323248841646,143366.48,847272.32,
mutation_1x__VulBERTa_mlp_043,VulBERTa,mlp,2025-11-21T05:19:42.240408,,12.0,89.2937062937063,84.0,0.9268361621297266,313.77,5.999193114577736,119088.34,819028.5900000008,
mutation_1x__VulBERTa_mlp_044,VulBERTa,mlp,2025-11-21T06:13:58.136230,2.243007410604204e-05,,88.2886531661845,84.0,0.927366254937185,313.94,6.288653166184503,99474.7,684702.0100000007,
mutation_1x__VulBERTa_mlp_045,VulBERTa,mlp,2025-11-21T07:08:49.934581,,,88.94882390336936,84.0,0.9275708108023496,314.54,6.387476160203434,100936.93,693703.0399999988,
mutation_1x__VulBERTa_mlp_046,VulBERTa,mlp,2025-11-21T08:03:00.281337,,,88.30704859993563,83.0,0.9278153188666954,313.92,5.282909559060187,99567.94,697451.6999999994,
mutation_1x__VulBERTa_mlp_047_parallel,VulBERTa,mlp,2025-11-21T09:37:15.574419,,15.0,91.95665805975656,84.0,0.9366552789497532,230.44,4.597381040206571,212257.94,1313429.4700000002,
mutation_1x__VulBERTa_mlp_048_parallel,VulBERTa,mlp,2025-11-21T10:41:20.934436,3.265932778881129e-05,,91.2063969382176,84.0,0.9373057512376468,231.02,4.884363039912515,143459.73,873350.0899999996,
mutation_1x__VulBERTa_mlp_049_parallel,VulBERTa,mlp,2025-11-21T11:45:52.303743,,,91.75352877307274,84.0,0.9365399417939312,230.34000000000003,5.27198697068404,144400.75,870670.5700000016,
mutation_1x__VulBERTa_mlp_050_parallel,VulBERTa,mlp,2025-11-21T12:49:37.705058,,,91.3363561417972,84.0,0.937703870204408,230.1,4.763946139049196,142777.73,866556.8100000008,
mutation_2x_safe__VulBERTa_mlp_085,VulBERTa,mlp,2025-11-23T15:25:46.989877,,5.0,100.0,69.0,0.9338333106884774,9.690000000000026,0.0,6329.62,15052.490000000002,
mutation_2x_safe__VulBERTa_mlp_086,VulBERTa,mlp,2025-11-23T15:28:13.465068,,12.0,98.48192771084338,75.0,0.9342807532372672,174.04,5.421686746987959,6242.92,15383.260000000006,
mutation_2x_safe__VulBERTa_mlp_087,VulBERTa,mlp,2025-11-23T15:30:41.203400,3.7911927254533e-05,,99.26190476190476,73.0,0.9346071269129383,180.16,3.869047619047621,6339.07,15064.839999999997,
mutation_2x_safe__VulBERTa_mlp_088,VulBERTa,mlp,2025-11-23T15:33:08.907379,3.4238263388520385e-05,,98.8095238095238,73.0,0.9341005024017988,153.24,3.8214285714285694,6351.49,15367.749999999996,
mutation_2x_safe__VulBERTa_mlp_089,VulBERTa,mlp,2025-11-23T15:35:36.642375,,,99.9404761904762,74.0,0.9341303006926926,144.14,4.273809523809518,6339.03,15479.990000000003,
mutation_2x_safe__VulBERTa_mlp_090,VulBERTa,mlp,2025-11-23T15:38:04.407931,,,99.58333333333331,73.0,0.933835133577146,173.69000000000003,3.25,6349.14,15631.680000000006,
mutation_2x_safe__VulBERTa_mlp_091,VulBERTa,mlp,2025-11-23T15:40:31.873302,,,100.0,70.0,0.9344044508613908,1.3700000000000043,0.9761904761904816,6330.46,15318.000000000004,
mutation_2x_safe__VulBERTa_mlp_092,VulBERTa,mlp,2025-11-23T15:42:59.643973,,,98.8095238095238,75.0,0.9342313438010174,133.30000000000004,5.36904761904762,6345.88,15456.03,
mutation_2x_safe__VulBERTa_mlp_093_parallel,VulBERTa,mlp,2025-11-23T15:46:07.288101,,20.0,98.66666666666669,75.0,0.9318666855363712,186.73,5.193548387096769,7066.0,17101.389999999996,
mutation_2x_safe__VulBERTa_mlp_094_parallel,VulBERTa,mlp,2025-11-23T15:49:17.328652,,7.0,100.0,69.0,0.931404824869124,1.4000000000000057,0.0,7226.31,17249.459999999995,
mutation_2x_safe__VulBERTa_mlp_095_parallel,VulBERTa,mlp,2025-11-23T15:52:26.766841,2.4683001870555256e-05,,100.0,70.0,0.9315472384246258,2.3400000000000034,0.9368421052631531,7193.72,17350.940000000006,
mutation_2x_safe__VulBERTa_mlp_096_parallel,VulBERTa,mlp,2025-11-23T15:55:35.879669,2.3439673303020184e-05,,99.2,75.0,0.93204024109003,161.37,4.768421052631581,7180.72,17654.02,
mutation_2x_safe__VulBERTa_mlp_097_parallel,VulBERTa,mlp,2025-11-23T15:58:45.323426,,,100.0,71.0,0.9318946982449708,2.3700000000000045,0.378947368421052,7199.88,18015.509999999995,
mutation_2x_safe__VulBERTa_mlp_098_parallel,VulBERTa,mlp,2025-11-23T16:01:53.074035,,,99.14893617021276,75.0,0.9319966940183813,160.44000000000003,4.90425531914893,7065.98,17279.569999999996,
mutation_2x_safe__VulBERTa_mlp_099_parallel,VulBERTa,mlp,2025-11-23T16:05:02.562752,,,100.0,70.0,0.9318306899484664,1.4799999999999898,0.8736842105263207,7195.32,16929.740000000005,
mutation_2x_safe__VulBERTa_mlp_100_parallel,VulBERTa,mlp,2025-11-23T16:08:12.172109,,,100.0,75.0,0.9317139323212772,151.92000000000002,5.126315789473679,7211.72,17303.370000000006,
