experiment_id,repository,model,timestamp,hyperparam_learning_rate,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_top1_accuracy,perf_top5_accuracy
default__bug-localization-by-dnn-and-rvsm_default_002,bug-localization-by-dnn-and-rvsm,default,2025-11-18T20:53:53.350873,,0.34644734761507984,-0.4600673705005532,0.24990822181323075,0.376125881599339,-0.20130630972640487,3.0788289589220423,-0.18704603458681213,-0.5776261614241197,,
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-19T06:49:17.930724,,0.34644734761507984,1.5994551943100994,2.0541551772296804,0.2355355430749861,2.398857372616884,0.9737158350582759,0.4327479284998946,1.6413281788379124,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_051,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:05:09.802456,,-1.3802959241648225,-0.46609101845242457,0.1678969965670285,0.4533139507103631,-0.12261160617559914,1.7473297967657901,-0.25811325801075974,-0.5681821701834573,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_052,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:20:30.821850,,,-0.4664123469900382,-0.8162377063873985,0.5124647341905005,-0.17620820468448128,-0.14502719960265692,-0.279733630928402,-0.5798299757374623,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_053,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:36:01.209761,,,-0.46484501054510313,-1.0622713821260052,0.5181373585945994,-0.19531514916801024,-0.6388598681570358,-0.26082932011349413,-0.5772941613196804,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_054_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:56:10.450482,,-1.3822722813489587,1.6100834312764025,1.972143951983478,0.26142828188783684,2.415211621708718,1.870193910704205,0.26746822460775244,1.5649614477439422,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_055_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T14:17:12.019010,,,1.60757384955806,1.972143951983478,0.35260429247078023,2.3687396465665755,0.5205595834894086,0.3729717447251756,1.677995205035294,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_056_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T14:37:57.024915,,,1.6518302114833832,2.0541551772296804,0.36394107301756357,2.4433862686590064,0.8759924955470707,0.3387374348935647,1.6159634357658685,,
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_101,bug-localization-by-dnn-and-rvsm,default,2025-11-23T16:46:29.199351,,-1.073960560623693,2.8178085579177474,1.2340429247676576,-2.9949094378520855,2.181070590156321,1.1727110956258655,2.8405516324554396,2.8195812963129936,,
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_102,bug-localization-by-dnn-and-rvsm,default,2025-11-23T17:24:15.742810,,0.7798624780961747,2.8152425356679323,1.31605415001386,-2.9941770845128324,2.294093024474144,1.4467541729754283,2.7779668200700454,2.7260509495232226,,
