experiment_id,timestamp,training_duration,hyperparam_learning_rate,l2_regularization,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_eval_loss
VulBERTa_mlp_001_parallel,2025-12-14T17:48:48.361668,16.0,,,,226774.29,1389818.3800000006,240.4114132503028,91.92285071786888,84.0,0.9370955146635008,239.35,5.270368448365332,0.729200005531311
VulBERTa_mlp_002_parallel,2025-12-14T18:41:02.956525,8.0,,,,116617.47,672352.9800000008,226.8397368421056,91.21457489878544,84.0,0.9374363034972376,228.92,5.144399460188936,0.7002695798873901
VulBERTa_mlp_003_parallel,2025-12-14T20:16:29.658399,15.0,,,,215468.54,1265521.1300000018,230.55586263435995,91.79431590453636,84.0,0.937278221683778,229.19,4.5716888322098725,0.701705813407898
VulBERTa_mlp_004_parallel,2025-12-14T22:10:12.832882,18.0,,,,257543.32,1534201.7199999953,233.907870102149,91.87162677237384,84.0,0.9373817189279068,230.63,4.670224119530417,0.8466476202011108
VulBERTa_mlp_005_parallel,2025-12-14T23:15:04.206667,,,0.0003360288826201,,145789.15,850809.9499999982,229.88650364766232,91.89732504728453,84.0,0.9367328089916156,229.52000000000004,5.046203728721963,0.7066717147827148
VulBERTa_mlp_006_parallel,2025-12-15T00:19:43.708265,,,4.906997711375702e-05,,145232.1,876701.2799999976,237.6528273244776,91.74844131200868,84.0,0.9359350308919308,229.95,4.881268636486851,0.7066717147827148
VulBERTa_mlp_007_parallel,2025-12-15T01:24:16.509398,,,1.620273741011439e-05,,144860.01,876222.92,237.910105891936,91.72386641325006,84.0,0.9363720877832328,230.46,5.044257398859628,0.7066717147827148
VulBERTa_mlp_008_parallel,2025-12-15T02:28:42.276680,,,7.609946965358083e-05,,144602.65,881844.2999999981,239.89235582154464,91.75108813928183,84.0,0.936645006159984,230.04,4.830522306855272,0.7066717147827148
VulBERTa_mlp_009_parallel,2025-12-15T03:32:29.912392,,,,679.0,143132.48,880516.7100000012,241.9666694146747,91.43638362187414,84.0,0.9364888388715126,230.17,4.528716680406703,0.7912367582321167
VulBERTa_mlp_010_parallel,2025-12-15T04:36:28.075220,,,,6680.0,143512.14,880851.7300000008,241.39537681556607,91.38366675801588,84.0,0.9355977131969462,230.59000000000003,4.509454645108249,0.8963995575904846
VulBERTa_mlp_011_parallel,2025-12-15T05:40:23.697751,,,,8020.0,143114.76,883813.5499999974,242.33988209487177,91.40471620510009,84.0,0.9360409087085076,230.7,4.140937757060598,0.6914843916893005
VulBERTa_mlp_012_parallel,2025-12-15T06:44:34.129122,,,,3683.0,143915.34,874419.0599999989,238.8470527178364,91.31685331876535,84.0,0.9360486519366178,229.75,4.810707456978975,0.7020828127861023
VulBERTa_mlp_001,2025-12-15T23:43:37.144195,17.0,,,,,,,,,,,,0.9852018356323242
VulBERTa_mlp_002,2025-12-16T00:27:51.201329,8.0,,,,,,,,,,,,0.7002695798873901
VulBERTa_mlp_003,2025-12-16T01:17:25.276875,9.0,,,,,,,,,,,,0.8546658754348755
VulBERTa_mlp_004,2025-12-16T02:54:40.001740,18.0,,,,,,,,,,,,0.8466476202011108
VulBERTa_mlp_005,2025-12-16T04:42:40.356483,20.0,,,,,,,,,,,,0.6974087357521057
VulBERTa_mlp_006,2025-12-16T05:37:26.042339,,1.9380814963969665e-05,,,,,,,,,,,0.7655699253082275
VulBERTa_mlp_007,2025-12-16T06:32:23.849478,,3.059743923758605e-05,,,,,,,,,,,0.7547159790992737
VulBERTa_mlp_008,2025-12-16T07:27:16.067503,,4.301485240369214e-05,,,,,,,,,,,0.7654520273208618
VulBERTa_mlp_009,2025-12-16T08:21:37.847438,,1.7107349147913364e-05,,,,,,,,,,,0.7746571898460388
VulBERTa_mlp_010,2025-12-16T09:15:35.562561,,3.912037844843647e-05,,,,,,,,,,,0.6954760551452637
VulBERTa_mlp_011,2025-12-16T10:10:09.944360,,,,3551.0,,,,,,,,,0.7576256394386292
VulBERTa_mlp_012,2025-12-16T11:04:46.013108,,,,8504.0,,,,,,,,,0.7042948007583618
VulBERTa_mlp_013,2025-12-16T11:59:19.489216,,,,7847.0,,,,,,,,,0.7678602337837219
VulBERTa_mlp_014,2025-12-16T12:53:54.379296,,,,4057.0,,,,,,,,,0.6928403973579407
VulBERTa_mlp_015,2025-12-16T13:48:39.488661,,,,3040.0,,,,,,,,,0.8209187388420105
VulBERTa_mlp_016,2025-12-16T14:43:51.184087,,,4.890420114425591e-05,,,,,,,,,,0.7066717147827148
VulBERTa_mlp_017,2025-12-16T15:38:59.622677,,,1.8574350101742704e-05,,,,,,,,,,0.7066717147827148
VulBERTa_mlp_018,2025-12-16T16:34:13.194716,,,0.0002955238308937,,,,,,,,,,0.7066717147827148
VulBERTa_mlp_019,2025-12-16T17:29:19.671615,,,0.0001163234833303,,,,,,,,,,0.7066717147827148
VulBERTa_mlp_020,2025-12-16T18:24:25.539231,,,2.920312858628825e-05,,,,,,,,,,0.7066717147827148
VulBERTa_mlp_021_parallel,2025-12-16T20:06:58.877972,18.0,,,,273761.03,1326324.1599999922,225.29712247324483,83.5294717173433,84.0,0.9453043407967888,314.42,4.635977577713604,0.8466476202011108
VulBERTa_mlp_022_parallel,2025-12-16T21:16:25.354286,12.0,,,,183626.61,896376.2300000011,226.5865091001014,83.07406471183013,84.0,0.945457142622194,314.2,4.56117290192114,0.6990538239479065
VulBERTa_mlp_023_parallel,2025-12-16T22:20:32.067841,11.0,,,,169936.42,796747.0500000018,218.5263439385633,83.06006582556226,84.0,0.9455512832387548,314.14,4.70515633571037,0.7006441950798035
VulBERTa_mlp_024_parallel,2025-12-17T00:08:52.199003,19.0,,,,289527.89,1395968.9200000053,224.32410734372573,83.45155069901976,84.0,0.94428174087132,313.96,4.417483528844613,0.7151914238929749
VulBERTa_mlp_025_parallel,2025-12-17T01:01:53.850683,9.0,,,,140056.52,637840.8800000004,212.6136266666668,82.99333333333334,85.0,0.9452566006923492,314.74,6.290333333333336,0.8546658754348755
VulBERTa_mlp_026_parallel,2025-12-17T02:00:45.344593,,2.8613808398421448e-05,,,155863.57,709022.6400000019,212.2822275449108,83.08203592814371,85.0,0.9444095243038512,313.67,6.074550898203597,0.7004393935203552
VulBERTa_mlp_027_parallel,2025-12-17T02:59:40.429430,,3.888216794334247e-05,,,155819.79,709893.4900000008,212.3522255459171,82.83128926114269,84.0,0.9450210400103864,314.03,5.0188453484893785,0.6954760551452637
VulBERTa_mlp_028_parallel,2025-12-17T03:58:22.328502,,3.9602651245544245e-05,,,155663.34,706166.3299999981,211.99829780846537,83.22335634944461,85.0,0.9452048247198088,313.9,6.132993095166611,0.6993864178657532
VulBERTa_mlp_029_parallel,2025-12-17T04:57:04.144282,,4.298272748268137e-05,,,155465.33,703931.6199999994,211.32741519063327,83.16061242870009,85.0,0.9459253712708808,314.33000000000004,6.244971480036028,0.7654520273208618
VulBERTa_mlp_030_parallel,2025-12-17T05:55:53.242351,,3.394082337055034e-05,,,155713.98,709169.7199999983,212.51714713814755,83.1609229847168,85.0,0.9451344060436964,313.78,6.179202876835475,0.696752667427063
VulBERTa_mlp_031_parallel,2025-12-17T06:54:43.256103,,,,1019.0,155840.74,712291.3300000002,213.38865488316364,83.12612342720192,84.0,0.9447468614432912,314.36,5.0284601557819,0.6854239702224731
VulBERTa_mlp_032_parallel,2025-12-17T07:53:21.581650,,,,4473.0,155240.55,714035.1200000001,214.6828382441372,83.08929645219483,84.0,0.945126965860402,314.52000000000004,5.036380036079379,0.6873753070831299
VulBERTa_mlp_033_parallel,2025-12-17T08:51:11.394021,,,,5642.0,152645.51,748441.5800000022,228.18340853658603,82.85579268292683,84.0,0.9446833385403868,314.13,4.926219512195118,0.6637400388717651
VulBERTa_mlp_034_parallel,2025-12-17T09:49:02.496052,,,,9032.0,152463.74,753154.8399999992,229.5503931728129,82.82566290765011,84.0,0.9444234412720034,314.02,5.010667479426999,0.6868480443954468
VulBERTa_mlp_035_parallel,2025-12-17T10:47:11.050779,,,,7680.0,153400.49,756055.0399999998,229.24652516676767,82.70679199514858,84.0,0.9449652344656788,314.01,4.739235900545779,0.7025989294052124
VulBERTa_mlp_036_parallel,2025-12-17T11:45:57.763344,,,6.423527020077526e-05,,155419.22,738867.1000000016,221.54935532233927,83.20659670164918,84.0,0.9445493935692124,314.12,4.953523238380811,0.7066717147827148
VulBERTa_mlp_037_parallel,2025-12-17T12:44:33.329322,,,0.0004127049767576,,154723.99,737696.2599999998,221.930282791817,83.48225030084235,84.0,0.9452217461558484,314.36,5.0303850782190125,0.7066717147827148
VulBERTa_mlp_038_parallel,2025-12-17T13:42:59.325498,,,5.099367567044031e-05,,154262.39,744144.6399999976,224.545757392878,83.46650573325287,84.0,0.9454026350816942,314.11,5.006638503319252,0.7066717147827148
VulBERTa_mlp_039_parallel,2025-12-17T14:41:35.398688,,,0.0001599501474806,,154806.83,743591.5700000001,223.63656240601503,83.41293233082706,84.0,0.9449197428821456,313.92999999999995,5.186466165413535,0.7066717147827148
VulBERTa_mlp_040_parallel,2025-12-17T15:40:15.136506,,,0.0009534088184387,,155232.4,744066.8099999991,223.5777674278844,83.21364182692308,84.0,0.9445285262612702,314.52,5.06099759615384,0.7066717147827148
