experiment_id,repository,model,timestamp,hyperparam_learning_rate,training_duration,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_top1_accuracy,perf_top5_accuracy
default__bug-localization-by-dnn-and-rvsm_default_002,bug-localization-by-dnn-and-rvsm,default,2025-11-18T20:53:53.350873,,10000.0,0.6428571428571429,63.0,0.963474218996366,39.7,9.92857142857143,61899.84,22795.910000000025,,
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-19T06:49:17.930724,,10000.0,62.8841778697001,85.0,0.9626294311352644,200.28,4.644260599793171,85803.35,227915.45000000004,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_051,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:05:09.802456,,1263.0,0.4608150470219436,62.0,0.9639380314068864,44.56,6.586206896551722,59159.0,23668.91,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_052,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:20:30.821850,,,0.4511041009463722,50.0,0.9642934602676684,41.25,1.835962145110408,58325.17,22592.189999999995,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_053,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:36:01.209761,,,0.4984709480122324,47.0,0.964327546281597,40.07,0.5963302752293629,59054.25,22826.599999999984,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_054_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T13:56:10.450482,,1253.0,63.20537634408602,84.0,0.96278501701456,201.29,6.894623655913975,79429.03,220856.12999999992,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_055_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T14:17:12.019010,,,63.12953367875648,84.0,0.963332881026928,198.42,3.506735751295338,83497.97,231304.9400000001,,
mutation_1x__bug-localization-by-dnn-and-rvsm_default_056_parallel,bug-localization-by-dnn-and-rvsm,default,2025-11-21T14:37:57.024915,,,64.46701570680628,85.0,0.963401002170176,203.03,4.398952879581145,82177.66,225570.74,,
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_101,bug-localization-by-dnn-and-rvsm,default,2025-11-23T16:46:29.199351,,2813.0,99.70432432432432,75.0,0.9432181349218276,186.83,5.143783783783789,178664.79,336832.84999999945,,
mutation_2x_safe__bug-localization-by-dnn-and-rvsm_default_102,bug-localization-by-dnn-and-rvsm,default,2025-11-23T17:24:15.742810,,12193.0,99.62677595628416,76.0,0.9432225355315532,193.81,5.8316939890710415,176251.09,328186.92999999947,,
