experiment_id,timestamp,training_duration,l2_regularization,hyperparam_kfold,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_top1_accuracy,perf_top5_accuracy
bug-localization-by-dnn-and-rvsm_default_040,2025-12-18T21:32:58.258404,,,,475.0,56484.08,24820.78000000001,71.52962536023058,0.2968299711815562,49.0,0.962818549934778,38.23,0.1988472622478383,0.378,0.624
bug-localization-by-dnn-and-rvsm_default_041_parallel,2025-12-18T21:54:56.080102,,1.7422214989398934e-05,,,83681.96,4074.609999999999,4.107469758064515,0.0,47.0,0.9633452658135636,1.08,9.44657258064516,0.382,0.628
bug-localization-by-dnn-and-rvsm_default_042_parallel,2025-12-18T22:16:04.671699,,8.032974649924362e-06,,,80013.71,3675.570000000001,3.8771835443038,0.0,40.0,0.9634511385611292,1.41,3.928270042194093,0.38,0.626
bug-localization-by-dnn-and-rvsm_default_043_parallel,2025-12-18T22:37:27.100063,,1.826823464509032e-05,,,81062.53,3742.829999999997,3.8947242455775206,0.0,40.0,0.9634151561763492,1.2599999999999998,4.1789802289281965,0.382,0.626
bug-localization-by-dnn-and-rvsm_default_044_parallel,2025-12-18T22:58:18.495504,,1.4304542933925051e-05,,,78715.17,3557.12,3.80847965738758,0.0,40.0,0.9630602334975584,1.4799999999999995,4.357601713062095,0.385,0.629
bug-localization-by-dnn-and-rvsm_default_045_parallel,2025-12-18T23:19:49.106193,,1.333492192494884e-05,,,81524.91,3554.590000000005,3.664525773195882,0.0,39.0,0.9631781255569616,1.19,4.373195876288662,0.383,0.629
bug-localization-by-dnn-and-rvsm_default_046_parallel,2025-12-18T23:31:37.068682,,,5.0,,41592.4,1867.6699999999976,3.662098039215682,0.0,38.0,0.9629800155797694,1.0000000000000004,3.456862745098036,0.38,0.625
bug-localization-by-dnn-and-rvsm_default_047_parallel,2025-12-18T23:45:40.173795,,,6.0,,50839.88,2236.900000000001,3.63133116883117,0.0,38.0,0.9631389767245716,0.8799999999999999,4.112012987012989,0.377,0.627
bug-localization-by-dnn-and-rvsm_default_048_parallel,2025-12-19T00:04:57.033762,,,9.0,,72153.19,3125.9300000000017,3.6348023255813975,0.0011627906976744,37.0,0.962931923037637,0.7699999999999996,3.530232558139538,0.376,0.626
bug-localization-by-dnn-and-rvsm_default_049_parallel,2025-12-19T00:22:30.619979,,,8.0,,65182.36,2836.909999999999,3.623128991060024,0.0,37.0,0.9628585095722216,0.8200000000000003,3.5389527458493006,0.382,0.631
