experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.592966,pytorch_resnet_cifar10,resnet20,True,True,1135.9036231040957,0,Training completed successfully,,,,200.0,,0.1,,1334.0,0.0001,,91.71,,,,,,91.71,,,,,,,,,51431.03,3176.37,54607.4,228.6985494106981,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,default,0.0,,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/pytorch_resnet_cifar10_resnet20_012_parallel/background_logs,1135.9036231040957,0.0,Training completed successfully,200.0,0.0001,60.24025385312783,81.0,0.9418326087673099,176.73,2.2810516772438802
default__VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240123,VulBERTa,mlp,True,True,3765.577875137329,0,Training completed successfully,,,,10.0,,3e-05,,42.0,0.0,,,,,,,,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331973,100.0,default,0.0,,parallel,examples,mnist,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/VulBERTa_mlp_013_parallel/background_logs,3765.577875137329,0.0,Training completed successfully,10.0,0.0,91.77105478331973,84.0,0.9361107282539125,229.91000000000003,5.06323248841646
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028622,examples,mnist,True,True,143.77884531021118,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,96.0,0.1202,,,,,,,,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_014_parallel/background_logs,143.77884531021118,0.0,Training completed successfully,10.0,,84.95,83.0,0.9367557833796997,279.74,4.635714285714286
default__MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374038,MRT-OAST,default,True,True,1333.281008720398,0,Training completed successfully,,,0.2,10.0,,0.0001,,1334.0,0.0,,,,0.9834,,,0.808854,,,,,,,,,,57839.19,3214.53,61053.72,234.4153127413124,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.2138996138996,100.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/MRT-OAST_default_015_parallel/background_logs,1333.281008720398,0.0,Training completed successfully,10.0,0.0,90.2138996138996,84.0,0.9473491541547345,311.24,4.911969111969114
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.246728,Person_reID_baseline_pytorch,pcb,True,True,4346.275467395783,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.775222,,0.924881,0.971496,,,,,,,,,,,198674.72,11935.12,210609.84,233.2790381426203,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_pcb_016_parallel/background_logs,4346.275467395783,0.0,Training completed successfully,60.0,,96.30348258706468,84.0,0.9433306629927642,312.38,3.9798625918028847
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988365,Person_reID_baseline_pytorch,hrnet18,True,True,4958.222606658936,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.748936,,0.900238,0.962886,,,,,,,,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0,default,0.0,,parallel,examples,mnist_rnn,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_hrnet18_017_parallel/background_logs,4958.222606658936,0.0,Training completed successfully,60.0,,57.44748858447488,83.0,0.9430214087564777,248.93,2.1056454960564537
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763015,examples,siamese,True,True,451.7634174823761,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,98.0,0.0,,,,,,,,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_siamese_018_parallel/background_logs,451.7634174823761,0.0,Training completed successfully,10.0,,99.52045454545454,84.0,0.9352119176517752,89.93000000000004,2.2159090909090935
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995640,examples,mnist_rnn,True,True,241.2225968837738,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,60.0,1.3176,,,,,,,,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350429,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_rnn_019_parallel/background_logs,241.2225968837738,0.0,Training completed successfully,10.0,,97.77350427350429,84.0,0.9433241311539394,118.10000000000002,3.495726495726501
default__bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930724,bug-localization-by-dnn-and-rvsm,default,True,True,1205.705624818802,0,Training completed successfully,1e-05,,,,10.0,,10000.0,42.0,,,,,,,,,,,,,,,,,,82596.83,3206.52,85803.35,235.6933298862461,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/bug-localization-by-dnn-and-rvsm_default_021_parallel/background_logs,1205.705624818802,0.0,Training completed successfully,10000.0,1e-05,62.8841778697001,85.0,0.9626294311352644,200.27999999999997,4.644260599793171
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861156,Person_reID_baseline_pytorch,densenet121,True,True,3526.4963586330414,0,Training completed successfully,,,0.5,60.0,,0.05,,1334.0,,,,0.753173,,0.909145,0.96348,,,,,,,,,,,152005.47,9963.13,161968.6,230.32688228438207,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/Person_reID_baseline_pytorch_densenet121_022_parallel/background_logs,3526.4963586330414,0.0,Training completed successfully,60.0,,80.60052447552448,84.0,0.9384872746939839,286.27000000000004,4.967657342657347
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.876848,examples,mnist,False,True,73.70601749420166,0,Training completed successfully,,,,5.0,,,,,,,,,,,,,99.0,0.0312,,,,,,,,2304.78,171.63,2476.41,91.8365714285714,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,mutation_1x,1.0,epochs,,,,,,,,,5.0,,11.614285714285714,62.0,0.930694028856288,20.86,1.7428571428571402
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663633,examples,mnist,False,True,196.42851877212524,0,Training completed successfully,,,,,,,,6061.0,,,,,,,,,99.0,0.0266,,,,,,,,6233.84,462.94,6696.78,92.03291005291004,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,mutation_1x,1.0,seed,,,,,,,,,,,12.005291005291005,62.0,0.9308712545432283,21.72,1.915343915343918
mutation_1x__examples_mnist_010_parallel,2025-11-20T20:14:49.560339,examples,mnist,True,True,118.88937640190125,0,Training completed successfully,,,,8.0,,,,,,,,,,,,,99.0,0.0297,,,,,,,,4312.18,294.42,4606.6,201.4314782608695,275.37,4.34,23164.619999999995,67.33043478260869,78.0,65.98260869565217,97.0,mutation_1x,1.0,epochs,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_010_parallel/background_logs,118.88937640190125,0.0,Training completed successfully,8.0,,65.98260869565217,78.0,0.9360873529284071,271.03000000000003,10.669565217391309
mutation_1x__examples_mnist_011_parallel,2025-11-20T20:19:39.646415,examples,mnist,True,True,200.0754635334015,0,Training completed successfully,,,,,,0.0117457288502723,,,,,,,,,,,97.0,0.1057,,,,,,,,7151.34,496.83,7648.17,255.48319587628865,281.1,4.94,49563.74,74.01546391752578,79.0,87.23711340206185,97.0,mutation_1x,1.0,learning_rate,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_011_parallel/background_logs,200.0754635334015,0.0,Training completed successfully,,,87.23711340206185,79.0,0.9350393623572698,276.16,4.9845360824742215
mutation_1x__examples_mnist_012_parallel,2025-11-20T20:24:29.017589,examples,mnist,True,True,199.36053729057312,0,Training completed successfully,,,,,,,,4387.0,,,,,,,,,99.0,0.0272,,,,,,,,7134.54,487.23,7621.77,256.01561855670127,282.26,5.19,49667.03000000004,74.97422680412372,79.0,87.40721649484536,97.0,mutation_1x,1.0,seed,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_012_parallel/background_logs,199.36053729057312,0.0,Training completed successfully,,,87.40721649484536,79.0,0.9360739040931436,277.07,4.025773195876283
mutation_1x__examples_mnist_rnn_013,2025-11-20T20:28:54.613474,examples,mnist_rnn,False,True,205.58954310417167,0,Training completed successfully,,,,9.0,,,,,,,,,,,,,95.0,0.162,,,,,,,,8332.12,496.07,8828.19,10.149238578680205,84.13,3.94,1999.4,50.7005076142132,60.0,0.0,0.0,mutation_1x,1.0,epochs,,,,,,,,,9.0,,0.0,60.0,0.9438084137292017,80.19,9.299492385786799
mutation_1x__examples_mnist_rnn_014,2025-11-20T20:35:10.892706,examples,mnist_rnn,False,True,316.2724051475525,0,Training completed successfully,,,,,,0.0117953362611761,,,,,,,,,,,65.0,1.1741,,,,,,,,12843.04,777.11,13620.15,7.639049180327864,80.62,3.6,2329.9099999999985,40.87868852459017,50.0,0.0098360655737704,3.0,mutation_1x,1.0,learning_rate,,,,,,,,,,,0.0098360655737704,50.0,0.942944093860934,77.02000000000001,9.121311475409833
mutation_1x__examples_mnist_rnn_015,2025-11-20T20:41:25.066048,examples,mnist_rnn,False,True,314.1664960384369,0,Training completed successfully,,,,,,,,4297.0,,,,,,,,,96.0,0.1374,,,,,,,,12759.41,760.11,13519.52,7.434719471947195,77.72,3.48,2252.7200000000003,36.6039603960396,44.0,0.0099009900990099,3.0,mutation_1x,1.0,seed,,,,,,,,,,,0.0099009900990099,44.0,0.9437768500656828,74.24,7.3960396039604035
mutation_1x__examples_mnist_rnn_016_parallel,2025-11-20T20:47:45.598823,examples,mnist_rnn,True,True,290.52358841896057,0,Training completed successfully,,,,12.0,,,,,,,,,,,,,95.0,0.1593,,,,,,,,13114.77,795.99,13910.76,309.1680496453901,317.98,252.55,87185.39000000001,77.97163120567376,82.0,98.33333333333331,99.0,mutation_1x,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_016_parallel/background_logs,290.52358841896057,0.0,Training completed successfully,12.0,,98.33333333333331,82.0,0.9427788273250347,65.43,4.028368794326241
mutation_1x__examples_mnist_rnn_017_parallel,2025-11-20T20:54:52.170037,examples,mnist_rnn,True,True,336.5597879886627,0,Training completed successfully,,,,,,0.0187602661574486,,,,,,,,,,,74.0,0.8218,,,,,,,,15207.07,932.66,16139.73,288.5563914373088,318.2,214.13,94357.93999999996,81.41896024464832,84.0,98.30581039755351,99.0,mutation_1x,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_017_parallel/background_logs,336.5597879886627,0.0,Training completed successfully,,,98.30581039755351,84.0,0.9422134075353181,104.07,2.581039755351682
mutation_1x__examples_mnist_rnn_018_parallel,2025-11-20T21:01:59.029453,examples,mnist_rnn,True,True,336.8482401371002,0,Training completed successfully,,,,,,,,550.0,,,,,,,,,95.0,0.157,,,,,,,,15253.4,932.19,16185.59,273.18587155963286,316.91,217.22,89331.77999999994,81.47094801223241,84.0,97.9724770642202,99.0,mutation_1x,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_mnist_rnn_018_parallel/background_logs,336.8482401371002,0.0,Training completed successfully,,,97.9724770642202,84.0,0.9424061773466398,99.69000000000003,2.5290519877675877
mutation_1x__examples_siamese_019,2025-11-20T21:10:04.961966,examples,siamese,False,True,425.923446893692,0,Training completed successfully,,,,14.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,13347.6,1020.54,14368.14,178.72891041162248,183.06,75.58,73815.04000000008,74.72639225181598,76.0,50.5181598062954,52.0,mutation_1x,1.0,epochs,,,,,,,,,14.0,,50.5181598062954,76.0,0.928972017254843,107.48,1.2736077481840198
mutation_1x__examples_siamese_020,2025-11-20T21:18:11.243574,examples,siamese,False,True,426.27449083328247,0,Training completed successfully,,,,,,0.0059616129198963,,,,,,,,,,,98.0,0.0001,,,,,,,,13381.93,1007.26,14389.19,181.58305084745768,184.37,75.95,74993.80000000002,74.38983050847457,76.0,50.46731234866828,52.0,mutation_1x,1.0,learning_rate,,,,,,,,,,,50.46731234866828,76.0,0.9299988394065267,108.42,1.6101694915254257
mutation_1x__examples_siamese_021,2025-11-20T21:26:17.650648,examples,siamese,False,True,426.399909734726,0,Training completed successfully,,,,,,,,2873.0,,,,,,,,,100.0,0.0,,,,,,,,13379.18,1006.1,14385.28,180.59559322033903,183.65,75.42,74585.98000000003,74.23486682808716,75.0,50.35351089588378,52.0,mutation_1x,1.0,seed,,,,,,,,,,,50.35351089588378,75.0,0.9300604506829203,108.23,0.7651331719128365
mutation_1x__examples_siamese_022_parallel,2025-11-20T21:33:39.154416,examples,siamese,True,True,351.4954528808594,0,Training completed successfully,,,,8.0,,,,,,,,,,,,,100.0,0.0,,,,,,,,12972.81,897.49,13870.3,285.14511695906447,311.73,259.85,97519.63000000003,82.40350877192982,84.0,99.2953216374269,100.0,mutation_1x,1.0,epochs,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_022_parallel/background_logs,351.4954528808594,0.0,Training completed successfully,8.0,,99.2953216374269,84.0,0.9352941176470588,51.879999999999995,1.5964912280701782
mutation_1x__examples_siamese_023_parallel,2025-11-20T21:45:22.735178,examples,siamese,True,True,613.5681540966034,0,Training completed successfully,,,,,,0.0093161583651715,,,,,,,,,,,98.0,0.0,,,,,,,,22710.23,1580.82,24291.05,270.7112897822441,314.62,255.88,161614.63999999972,82.86599664991624,84.0,99.34840871021775,100.0,mutation_1x,1.0,learning_rate,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_023_parallel/background_logs,613.5681540966034,0.0,Training completed successfully,,,99.34840871021775,84.0,0.9349217098478658,58.74000000000001,1.1340033500837592
mutation_1x__examples_siamese_024_parallel,2025-11-20T21:57:07.128804,examples,siamese,True,True,614.3805801868439,0,Training completed successfully,,,,,,,,9873.0,,,,,,,,,100.0,0.0,,,,,,,,22806.85,1593.27,24400.12,266.7866722408028,310.24,247.04,159538.43000000005,82.96321070234114,84.0,99.37458193979931,100.0,mutation_1x,1.0,seed,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/examples_siamese_024_parallel/background_logs,614.3805801868439,0.0,Training completed successfully,,,99.37458193979931,84.0,0.9347023703162115,63.20000000000002,1.0367892976588564
mutation_1x__pytorch_resnet_cifar10_resnet20_025,2025-11-20T22:13:53.350128,pytorch_resnet_cifar10,resnet20,False,True,946.21027302742,0,Training completed successfully,,,,168.0,,,,,,,92.01,,,,,,92.01,,,,,,,,,39936.9,2493.86,42430.76,228.8473799126635,250.62,76.18,209624.1999999997,78.77183406113537,82.0,54.36135371179039,68.0,mutation_1x,1.0,epochs,,,,,,,,,168.0,,54.36135371179039,82.0,0.9412251866334707,174.44,3.2281659388646347
mutation_1x__pytorch_resnet_cifar10_resnet20_026,2025-11-20T22:33:28.814974,pytorch_resnet_cifar10,resnet20,False,True,1115.4541068077087,0,Training completed successfully,,,,,,0.0599468592531538,,,,,91.32,,,,,,91.32,,,,,,,,,47235.45,2974.62,50210.07,229.7305545286504,248.68,76.14,248568.45999999973,78.70887245841035,81.0,54.5637707948244,67.0,mutation_1x,1.0,learning_rate,,,,,,,,,,,54.5637707948244,81.0,0.9407565056172994,172.54000000000002,2.2911275415896455
mutation_1x__pytorch_resnet_cifar10_resnet20_027,2025-11-20T22:52:56.710105,pytorch_resnet_cifar10,resnet20,False,True,1107.884197473526,0,Training completed successfully,,,,,,,,,0.0005269575541948,,92.38,,,,,,92.38,,,,,,,,,46954.5,2924.52,49879.02,229.65872558139543,249.05,76.28,246883.1300000001,78.55441860465116,81.0,54.9953488372093,68.0,mutation_1x,1.0,weight_decay,,,,,,,,,,0.0005269575541948,54.9953488372093,81.0,0.9413677333676564,172.77,2.445581395348839
mutation_1x__pytorch_resnet_cifar10_resnet20_028,2025-11-20T23:12:43.086269,pytorch_resnet_cifar10,resnet20,False,True,1126.365176677704,0,Training completed successfully,,,,,,,,8958.0,,,92.02,,,,,,92.02,,,,,,,,,47879.38,2999.9,50879.28,233.196440988106,253.59,76.19,254883.7099999998,79.20311070448308,81.0,60.13815187557182,73.0,mutation_1x,1.0,seed,,,,,,,,,,,60.13815187557182,81.0,0.9410388669022045,177.4,1.7968892955169196
mutation_1x__pytorch_resnet_cifar10_resnet20_029_parallel,2025-11-20T23:28:36.848523,pytorch_resnet_cifar10,resnet20,True,True,863.7504713535309,0,Training completed successfully,,,,151.0,,,,,,,91.79,,,,,,91.79,,,,,,,,,38674.48,2413.71,41088.19,225.74501787842675,246.98,76.24,189400.07000000004,78.2061978545888,81.0,54.40047675804529,75.0,mutation_1x,1.0,epochs,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_029_parallel/background_logs,863.7504713535309,0.0,Training completed successfully,151.0,,54.40047675804529,81.0,0.9412553826294126,170.74,2.793802145411206
mutation_1x__pytorch_resnet_cifar10_resnet20_030_parallel,2025-11-20T23:49:06.435029,pytorch_resnet_cifar10,resnet20,True,True,1139.5708322525024,0,Training completed successfully,,,,,,0.1067680582725943,,,,,91.98,,,,,,91.98,,,,,,,,,51232.33,3168.58,54400.91,226.44874548736425,248.54,76.45,250905.2099999996,78.21570397111914,81.0,54.12003610108303,77.0,mutation_1x,1.0,learning_rate,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_030_parallel/background_logs,1139.5708322525024,0.0,Training completed successfully,,,54.12003610108303,81.0,0.9417550184362724,172.08999999999997,2.78429602888086
mutation_1x__pytorch_resnet_cifar10_resnet20_031_parallel,2025-11-21T00:09:38.408199,pytorch_resnet_cifar10,resnet20,True,True,1141.9575247764587,0,Training completed successfully,,,,,,,,,0.0002164455264458,,92.05,,,,,,92.05,,,,,,,,,51293.12,3184.75,54477.87,225.39089108910883,247.56,76.43,250409.2799999999,78.02790279027903,80.0,54.31413141314131,73.0,mutation_1x,1.0,weight_decay,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_031_parallel/background_logs,1141.9575247764587,0.0,Training completed successfully,,0.0002164455264458,54.31413141314131,80.0,0.9415404824013861,171.13,1.972097209720971
mutation_1x__pytorch_resnet_cifar10_resnet20_032_parallel,2025-11-21T00:30:13.824595,pytorch_resnet_cifar10,resnet20,True,True,1145.4008741378784,0,Training completed successfully,,,,,,,,1739.0,,,91.65,,,,,,91.66,,,,,,,,,51612.39,3176.71,54789.1,232.0322710951524,255.04,78.66,258483.9499999997,79.04667863554758,81.0,60.00089766606822,80.0,mutation_1x,1.0,seed,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251120_194804/pytorch_resnet_cifar10_resnet20_032_parallel/background_logs,1145.4008741378784,0.0,Training completed successfully,,,60.00089766606822,81.0,0.9420193067599213,176.38,1.953321364452421
