experiment_id,timestamp,is_mnist,is_mnist_ff,is_mnist_rnn,is_siamese,training_duration,hyperparam_learning_rate,hyperparam_batch_size,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_test_accuracy
default__examples_mnist_008,2025-11-19T01:29:07.726147,1,0,0,0,10.0,0.01,32.0,1.0,4810.22,13123.7,96.49779411764705,11.955882352941176,68.0,0.9316663271118576,22.15000000000001,1.32352941176471,96.0
default__examples_mnist_rnn_009,2025-11-19T01:33:54.313987,0,0,1,0,10.0,0.01,32.0,1.0,9722.39,2172.320000000004,9.96477064220185,0.0137614678899082,64.0,0.9450052919086768,81.86,11.087155963302749,60.0
default__examples_siamese_011,2025-11-19T01:41:07.675831,0,0,0,1,10.0,0.01,32.0,1.0,10300.71,51915.58,175.39047297297296,50.108108108108105,74.0,0.9303533445752769,109.64,3.641891891891888,98.0
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028622,1,0,0,0,10.0,0.01,32.0,1.0,5503.27,35227.900000000016,251.62785714285727,84.95,83.0,0.9367557833796996,279.74,4.635714285714286,96.0
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763015,0,0,0,1,10.0,0.01,32.0,1.0,17810.22,110288.57999999994,250.6558636363635,99.52045454545454,84.0,0.9352119176517752,89.93000000000004,2.215909090909093,98.0
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995640,0,0,1,0,10.0,0.01,32.0,1.0,11580.59,57854.47000000001,247.2413247863248,97.77350427350429,84.0,0.9433241311539394,118.10000000000002,3.495726495726501,60.0
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.876848,1,0,0,0,5.0,,,,2476.41,6428.559999999998,91.8365714285714,11.614285714285714,62.0,0.930694028856288,20.86,1.7428571428571402,99.0
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663633,1,0,0,0,,,,6061.0,6696.78,17394.22,92.03291005291004,12.005291005291005,62.0,0.9308712545432284,21.72,1.915343915343918,99.0
mutation_1x__examples_mnist_010_parallel,2025-11-20T20:14:49.560339,1,0,0,0,8.0,,,,4606.6,23164.619999999995,201.4314782608695,65.98260869565217,78.0,0.9360873529284072,271.03000000000003,10.669565217391307,99.0
mutation_1x__examples_mnist_011_parallel,2025-11-20T20:19:39.646415,1,0,0,0,,0.0117457288502723,,,7648.17,49563.74,255.48319587628865,87.23711340206185,79.0,0.9350393623572698,276.16,4.9845360824742215,97.0
mutation_1x__examples_mnist_012_parallel,2025-11-20T20:24:29.017589,1,0,0,0,,,,4387.0,7621.77,49667.03000000004,256.01561855670127,87.40721649484536,79.0,0.9360739040931436,277.07,4.025773195876283,99.0
mutation_1x__examples_mnist_rnn_013,2025-11-20T20:28:54.613474,0,0,1,0,9.0,,,,8828.19,1999.4,10.149238578680205,0.0,60.0,0.9438084137292015,80.19,9.2994923857868,95.0
mutation_1x__examples_mnist_rnn_014,2025-11-20T20:35:10.892706,0,0,1,0,,0.0117953362611761,,,13620.15,2329.9099999999985,7.639049180327864,0.0098360655737704,50.0,0.942944093860934,77.02000000000001,9.121311475409833,65.0
mutation_1x__examples_mnist_rnn_015,2025-11-20T20:41:25.066048,0,0,1,0,,,,4297.0,13519.52,2252.7200000000003,7.434719471947195,0.0099009900990099,44.0,0.9437768500656828,74.24,7.3960396039604035,96.0
mutation_1x__examples_mnist_rnn_016_parallel,2025-11-20T20:47:45.598823,0,0,1,0,12.0,,,,13910.76,87185.39000000001,309.1680496453901,98.33333333333331,82.0,0.9427788273250348,65.43,4.028368794326241,95.0
mutation_1x__examples_mnist_rnn_017_parallel,2025-11-20T20:54:52.170037,0,0,1,0,,0.0187602661574486,,,16139.73,94357.93999999996,288.5563914373088,98.30581039755351,84.0,0.942213407535318,104.07,2.581039755351682,74.0
mutation_1x__examples_mnist_rnn_018_parallel,2025-11-20T21:01:59.029453,0,0,1,0,,,,550.0,16185.59,89331.77999999994,273.18587155963286,97.9724770642202,84.0,0.9424061773466398,99.69000000000004,2.529051987767588,95.0
mutation_1x__examples_siamese_019,2025-11-20T21:10:04.961966,0,0,0,1,14.0,,,,14368.14,73815.04000000008,178.72891041162248,50.5181598062954,76.0,0.928972017254843,107.48,1.2736077481840198,100.0
mutation_1x__examples_siamese_020,2025-11-20T21:18:11.243574,0,0,0,1,,0.0059616129198963,,,14389.19,74993.80000000002,181.58305084745768,50.46731234866828,76.0,0.9299988394065268,108.42,1.6101694915254257,98.0
mutation_1x__examples_siamese_021,2025-11-20T21:26:17.650648,0,0,0,1,,,,2873.0,14385.28,74585.98000000003,180.59559322033903,50.35351089588378,75.0,0.9300604506829204,108.23,0.7651331719128365,100.0
mutation_1x__examples_siamese_022_parallel,2025-11-20T21:33:39.154416,0,0,0,1,8.0,,,,13870.3,97519.63000000003,285.14511695906447,99.2953216374269,84.0,0.9352941176470588,51.88,1.5964912280701782,100.0
mutation_1x__examples_siamese_023_parallel,2025-11-20T21:45:22.735178,0,0,0,1,,0.0093161583651715,,,24291.05,161614.63999999972,270.7112897822441,99.34840871021775,84.0,0.9349217098478658,58.74000000000001,1.1340033500837592,98.0
mutation_1x__examples_siamese_024_parallel,2025-11-20T21:57:07.128804,0,0,0,1,,,,9873.0,24400.12,159538.43000000005,266.7866722408028,99.37458193979931,84.0,0.9347023703162116,63.20000000000002,1.0367892976588564,100.0
mutation_2x_safe__examples_mnist_013,2025-11-22T20:39:49.786554,1,0,0,0,13.0,,,,25408.98,63329.56000000008,184.0975581395351,99.82558139534883,74.0,0.930654044357546,162.44,4.752906976744185,99.0
