experiment_id,timestamp,is_densenet121,is_hrnet18,is_pcb,training_duration,hyperparam_learning_rate,hyperparam_dropout,hyperparam_seed,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_map,perf_rank1,perf_rank5
default__Person_reID_baseline_pytorch_densenet121_005,2025-11-18T23:01:27.340848,1,0,0,60.0,0.05,0.5,1334.0,113331.55,746049.539999998,237.7468260038235,84.33556405353728,83.0,0.9234136478323997,278.94,5.023263224984063,0.753173,0.909145,0.96348
default__Person_reID_baseline_pytorch_hrnet18_006,2025-11-19T00:13:04.690345,0,1,0,60.0,0.05,0.5,1334.0,143596.05,1025867.3399999982,248.81575066698963,67.2406015037594,83.0,0.9244351080687806,242.92,1.6626243026922083,0.748936,0.900238,0.962886
default__Person_reID_baseline_pytorch_pcb_007,2025-11-19T01:25:45.050848,0,0,1,60.0,0.05,0.5,1334.0,153165.01,986557.170000001,235.84919196748768,96.90341859909157,84.0,0.9276319049631504,306.36,4.1491752330862965,0.775227,0.924881,0.971496
default__Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.246728,0,0,1,60.0,0.05,0.5,1334.0,210609.84,984670.8200000002,233.2790381426203,96.30348258706468,84.0,0.9433306629927642,312.38,3.9798625918028847,0.775222,0.924881,0.971496
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988365,0,1,0,60.0,0.05,0.5,1334.0,231304.42,1112928.410000001,230.9938584474888,57.44748858447488,83.0,0.9430214087564776,248.93,2.1056454960564537,0.748936,0.900238,0.962886
default__Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861156,1,0,0,60.0,0.05,0.5,1334.0,161968.6,790481.8599999995,230.32688228438207,80.60052447552448,84.0,0.938487274693984,286.27000000000004,4.967657342657347,0.753173,0.909145,0.96348
mutation_1x__Person_reID_baseline_pytorch_densenet121_057,2025-11-21T15:07:25.782887,1,0,0,46.0,,,,61546.7,412182.7399999999,248.75240796620392,70.55340977670488,84.0,0.9290629716946645,263.87,1.6131563065781478,0.740731,0.901722,0.95962
mutation_1x__Person_reID_baseline_pytorch_densenet121_058,2025-11-21T15:44:45.847453,1,0,0,,0.0484905603406257,,,79276.53,526883.4400000001,248.8821162021729,71.5375531412376,84.0,0.9294089940616724,263.34,1.685403873405761,0.725261,0.889549,0.960808
mutation_1x__Person_reID_baseline_pytorch_densenet121_059,2025-11-21T16:22:00.363945,1,0,0,,,0.3924889517665705,,79165.07,524544.8400000002,248.3640340909092,71.88873106060606,84.0,0.9286293816199492,264.24,1.7230113636363598,0.73947,0.89905,0.965558
mutation_1x__Person_reID_baseline_pytorch_densenet121_060,2025-11-21T17:17:27.156194,1,0,0,,,,9598.0,115588.88,723281.7799999998,227.73355793450875,84.42569269521411,83.0,0.9253419533090036,276.98,4.885390428211593,0.730582,0.896675,0.960214
