experiment_id,timestamp,repository,model,is_parallel,training_success,duration_seconds,retries,error_message,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,experiment_source,num_mutated_params,mutated_param,mode,bg_repository,bg_model,bg_note,bg_log_directory,fg_duration_seconds,fg_retries,fg_error_message,training_duration,l2_regularization,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation
default__pytorch_resnet_cifar10_resnet20_003,2025-11-18T21:13:46.055005,pytorch_resnet_cifar10,resnet20,False,True,1132.6932728290558,0,Training completed successfully,,,,200.0,,0.1,,1334.0,0.0001,,91.71,,,,,,91.71,,,,,,,,,47985.6,3072.61,51058.21,224.61446769790723,247.6,69.53,246851.30000000005,76.2547770700637,79.0,59.75432211101001,73.0,default,0.0,,,,,,,,,,200.0,0.0001,59.75432211101001,79.0,0.9398214312644332,178.07,2.745222929936304
default__examples_mnist_008,2025-11-19T01:29:07.726147,examples,mnist,False,True,142.67011833190918,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,96.0,0.1205,,,,,,,,4481.52,328.7,4810.22,96.49779411764705,98.68,76.53,13123.7,66.67647058823529,68.0,11.955882352941176,14.0,default,0.0,,,,,,,,,,10.0,,11.955882352941176,68.0,0.9316663271118576,22.15000000000001,1.32352941176471
default__examples_mnist_rnn_009,2025-11-19T01:33:54.313987,examples,mnist_rnn,False,True,226.5825743675232,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,60.0,1.3176,,,,,,,,9187.71,534.68,9722.39,9.96477064220185,85.98,4.12,2172.320000000004,52.91284403669725,64.0,0.0137614678899082,3.0,default,0.0,,,,,,,,,,10.0,,0.0137614678899082,64.0,0.9450052919086768,81.86,11.087155963302749
default__examples_siamese_011,2025-11-19T01:41:07.675831,examples,siamese,False,True,305.75993967056274,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,98.0,0.0,,,,,,,,9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.58,70.35810810810811,74.0,50.108108108108105,52.0,default,0.0,,,,,,,,,,10.0,,50.108108108108105,74.0,0.9303533445752769,109.64,3.641891891891888
default__pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.592966,pytorch_resnet_cifar10,resnet20,True,True,1135.9036231040957,0,Training completed successfully,,,,200.0,,0.1,,1334.0,0.0001,,91.71,,,,,,91.71,,,,,,,,,51431.03,3176.37,54607.4,228.6985494106981,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0,default,0.0,,parallel,examples,mnist_ff,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/pytorch_resnet_cifar10_resnet20_012_parallel/background_logs,1135.9036231040957,0.0,Training completed successfully,200.0,0.0001,60.24025385312783,81.0,0.94183260876731,176.73,2.28105167724388
default__examples_mnist_014_parallel,2025-11-19T03:09:43.028622,examples,mnist,True,True,143.77884531021118,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,96.0,0.1202,,,,,,,,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0,default,0.0,,parallel,VulBERTa,mlp,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_014_parallel/background_logs,143.77884531021118,0.0,Training completed successfully,10.0,,84.95,83.0,0.9367557833796996,279.74,4.635714285714286
default__examples_siamese_018_parallel,2025-11-19T06:20:33.763015,examples,siamese,True,True,451.7634174823761,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,98.0,0.0,,,,,,,,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_siamese_018_parallel/background_logs,451.7634174823761,0.0,Training completed successfully,10.0,,99.52045454545454,84.0,0.9352119176517752,89.93000000000004,2.215909090909093
default__examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995640,examples,mnist_rnn,True,True,241.2225968837738,0,Training completed successfully,,32.0,,10.0,,0.01,,1.0,,,,,,,,,60.0,1.3176,,,,,,,,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350429,99.0,default,0.0,,parallel,Person_reID_baseline_pytorch,pcb,Background training served as GPU load only (not monitored),/home/green/energy_dl/nightly/results/run_20251118_201629/examples_mnist_rnn_019_parallel/background_logs,241.2225968837738,0.0,Training completed successfully,10.0,,97.77350427350429,84.0,0.9433241311539394,118.10000000000002,3.495726495726501
mutation_1x__examples_mnist_007,2025-11-20T20:02:47.876848,examples,mnist,False,True,73.70601749420166,0,Training completed successfully,,,,5.0,,,,,,,,,,,,,99.0,0.0312,,,,,,,,2304.78,171.63,2476.41,91.8365714285714,94.5,73.64,6428.559999999998,60.25714285714286,62.0,11.614285714285714,14.0,mutation_1x,1.0,epochs,,,,,,,,,5.0,,11.614285714285714,62.0,0.930694028856288,20.86,1.7428571428571402
mutation_1x__examples_mnist_009,2025-11-20T20:11:20.663633,examples,mnist,False,True,196.42851877212524,0,Training completed successfully,,,,,,,,6061.0,,,,,,,,,99.0,0.0266,,,,,,,,6233.84,462.94,6696.78,92.03291005291004,94.44,72.72,17394.22,60.08465608465608,62.0,12.005291005291005,14.0,mutation_1x,1.0,seed,,,,,,,,,,,12.005291005291005,62.0,0.9308712545432284,21.72,1.915343915343918
