experiment_id,repository,model,timestamp,hyperparam_learning_rate,hyperparam_dropout,training_duration,is_densenet121,is_hrnet18,is_pcb,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,energy_cpu_total_joules,energy_gpu_total_joules,perf_map,perf_rank1,perf_rank5
default__Person_reID_baseline_pytorch_densenet121_005,Person_reID_baseline_pytorch,densenet121,2025-11-18T23:01:27.340848,0.20599059584788668,0.22718341781049617,-0.049956398251921975,1,0,0,0.14403155323554714,-0.26646953063359924,-1.4630736115220466,0.6211899679107278,0.5012886762969422,-0.9446608518648395,-0.725755861317465,0.1547790916509636,0.17534457676326387,-0.12181697545240278
default__Person_reID_baseline_pytorch_hrnet18_006,Person_reID_baseline_pytorch,hrnet18,2025-11-19T00:13:04.690345,0.20599059584788668,0.22718341781049617,-0.049956398251921975,0,1,0,-0.8311590453724822,-0.26646953063359924,-1.266285073920104,0.06814458554133185,-1.309719420203428,-0.6232454538414621,0.046670913326805785,0.042019346787426366,-0.21229938887054997,-0.18651859865593934
default__Person_reID_baseline_pytorch_pcb_007,Person_reID_baseline_pytorch,pcb,2025-11-19T01:25:45.050848,0.20599059584788668,0.22718341781049617,-0.049956398251921975,0,0,1,0.8609710353671979,0.19488070150815193,-0.6504089355768674,1.0421923106250208,0.030253118183171224,-0.5216210725673692,-0.06184336926642392,0.7417046081061183,0.8601953057644635,0.7513281619206025
default__Person_reID_baseline_pytorch_pcb_016_parallel,Person_reID_baseline_pytorch,pcb,2025-11-19T04:47:23.246728,0.20599059584788668,0.22718341781049617,-0.049956398251921975,0,0,1,0.8267473886647595,0.19488070150815193,2.3740217028198334,1.1346224383835926,-0.06098743794149912,0.08845518505576194,-0.06705056925995839,0.7415715425587212,0.8601953057644635,0.7513281619206025
default__Person_reID_baseline_pytorch_hrnet18_017_parallel,Person_reID_baseline_pytorch,hrnet18,2025-11-19T06:11:31.988365,0.20599059584788668,0.22718341781049617,-0.049956398251921975,0,1,0,-1.3898120182692946,-0.26646953063359924,2.3144425956372725,0.16042117488170052,-1.0709806009920055,0.3082360064017823,0.2869998041163883,0.042019346787426366,-0.21229938887054997,-0.18651859865593934
default__Person_reID_baseline_pytorch_densenet121_022_parallel,Person_reID_baseline_pytorch,densenet121,2025-11-19T07:49:34.861156,0.20599059584788668,0.22718341781049617,-0.049956398251921975,1,0,0,-0.06903562788877247,0.19488070150815193,1.4409229228494358,0.7337336284539729,0.4713233317790449,-0.4281250827481214,-0.6031020715029384,0.1547790916509636,0.17534457676326387,-0.12181697545240278
mutation_1x__Person_reID_baseline_pytorch_densenet121_057,Person_reID_baseline_pytorch,densenet121,2025-11-21T15:07:25.782887,,,-1.4169451140545213,1,0,0,-0.6421782579995776,0.19488070150815193,-0.3747080132353191,0.3898075716778907,-1.336377131296983,-1.494626923477815,-1.6473829182266475,-0.17634121648973652,-0.14771382190068405,-0.542268600983811
mutation_1x__Person_reID_baseline_pytorch_densenet121_058,Person_reID_baseline_pytorch,densenet121,2025-11-21T15:44:45.847453,0.03687592971668374,,,1,0,0,-0.5860373127368899,0.19488070150815193,-0.30804537365737616,0.381670035513099,-1.2974437821622804,-1.3063323748701454,-1.33075584249937,-0.5880460201335755,-0.6774982603940503,-0.41286535457673784
mutation_1x__Person_reID_baseline_pytorch_densenet121_059,Person_reID_baseline_pytorch,densenet121,2025-11-21T16:22:00.363945,,-1.8738528568761843,,1,0,0,-0.5660041945355688,0.19488070150815193,-0.4582409337376727,0.39548849315142426,-1.2771775557477434,-1.307516103670016,-1.3372114620317335,-0.2099003475430597,-0.2640026594636743,0.10452978046839574
mutation_1x__Person_reID_baseline_pytorch_densenet121_060,Person_reID_baseline_pytorch,densenet121,2025-11-21T17:17:27.156194,,,,1,0,0,0.14917298620286862,-0.26646953063359924,-1.0915775891852675,0.5910964379428209,0.42699067612029334,-0.920687529311349,-0.7886054277949138,-0.44643766459454304,-0.3673656793783834,-0.4775669777802744
