experiment_id,timestamp,is_mnist,is_cifar10,training_duration,hyperparam_learning_rate,l2_regularization,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_test_accuracy
examples_siamese_077,2025-11-28T16:49:11.611467,1,0,10,0.0123570760259487,,1,14565.81,74290.23999999999,179.44502415458936,50.369565217391305,76.0,0.1639259228831351,108.44,1.9830917874396192,99.0
examples_siamese_076,2025-11-28T16:41:01.742254,1,0,7,0.01,,1,7371.02,36602.86,175.1333014354067,49.68421052631579,74.0,0.1676226887415893,104.86,2.492822966507177,99.0
examples_mnist_rnn_071,2025-11-28T16:12:17.148134,1,0,10,0.01,,1,8731.91,1924.38,8.747181818181817,0.0136363636363636,44.0,0.8194136983884636,73.84,5.518181818181816,92.0
examples_mnist_rnn_074,2025-11-28T16:29:39.117205,1,0,10,0.01,,7107,13712.94,2199.210000000001,7.210524590163938,0.0098360655737704,44.0,0.8617905185660014,74.04,7.111475409836068,96.0
examples_mnist_062,2025-11-28T15:29:23.250269,1,0,10,0.0059209333993748,,1,6801.29,18113.500000000004,95.3342105263158,11.978947368421052,66.0,0.2729820319577246,19.510000000000005,1.257894736842104,95.0
pytorch_resnet_cifar10_resnet20_020,2025-11-27T04:56:09.669198,0,1,206,0.1,0.0001,1334,52583.88,253525.77000000008,224.3590884955753,53.77964601769912,80.0,0.171781190171561,168.61,2.033628318584064,91.77
pytorch_resnet_cifar10_resnet20_019,2025-11-27T04:35:43.422450,0,1,106,0.1,0.0001,1334,27547.51,126344.22000000006,211.6318592964825,52.39028475711893,78.0,0.1790057854310948,169.45999999999998,4.668341708542712,91.21
pytorch_resnet_cifar10_resnet20_026,2025-11-27T06:55:10.989816,0,1,200,0.1,0.0004812639003784,1334,51067.97,250113.19999999992,227.5825295723384,53.65787079162875,81.0,0.1695589734245338,171.52,2.110100090991807,92.45
pytorch_resnet_cifar10_resnet20_023,2025-11-27T05:55:36.886113,0,1,200,0.1,0.0001,8202,51458.59,256339.48000000016,232.8242325158948,59.49227974568574,82.0,0.1671829521218244,176.82,2.69300635785649,91.62
pytorch_resnet_cifar10_resnet20_022,2025-11-27T05:35:37.378238,0,1,200,0.1378459728799551,0.0001,1334,50718.66,249823.60999999967,229.40643709825503,54.391184573002754,82.0,0.1687571601824929,173.55,2.972451790633613,91.43
examples_mnist_060,2025-11-28T15:20:42.280777,1,0,5,0.01,,1,2526.54,6649.51,94.993,11.685714285714283,67.0,0.2753406967050092,21.39999999999999,1.2285714285714278,99.0
examples_mnist_059,2025-11-28T15:18:25.275123,1,0,11,0.01,,1,5469.94,14819.120000000004,96.22805194805196,11.571428571428571,69.0,0.2696004644867726,22.06,0.8831168831168839,99.0
examples_mnist_rnn_073,2025-11-28T16:23:19.481314,1,0,10,0.01,,9809,13747.27,2248.5700000000006,7.3482679738562116,0.0098039215686274,44.0,0.8594278262348211,74.34,6.552287581699346,95.0
pytorch_resnet_cifar10_resnet20_024,2025-11-27T06:15:30.881648,0,1,200,0.1,0.0001,7551,51211.14,256916.15999999992,233.98557377049173,59.88433515482696,82.0,0.166201242148943,178.39,2.445355191256837,91.91
examples_mnist_rnn_070,2025-11-28T16:07:26.030751,1,0,10,0.0112901530923658,,1,13923.53,2321.670000000002,7.513495145631074,0.0064724919093851,46.0,0.8570857853396695,74.64,7.171521035598708,63.0
pytorch_resnet_cifar10_resnet20_025,2025-11-27T06:35:15.995527,0,1,200,0.1,3.0113365329208015e-05,1334,50657.15,250174.64,229.72877869605145,54.455463728191,82.0,0.1683902821573477,173.67000000000002,2.956841138659314,90.94
examples_mnist_064,2025-11-28T15:37:24.902768,1,0,10,0.01,,1,5745.92,15806.969999999998,93.53236686390532,8.21301775147929,65.0,0.2665962662083832,20.47,1.4378698224852045,99.0
