hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,16.0,0.0,3.0,5.0,3.9602651245544245e-05,100.0,42.0,0.0,0.6993864178657532,0.7073,58.447,147133.74,8529.6,155663.34,211.99829780846537,318.82,4.92,706166.3299999981,78.86700690483339,85.0,83.22335634944461,100.0,3428.753748178482
0.1,16.0,0.0,3.0,5.0,4.298272748268137e-05,100.0,42.0,0.0,0.7654520273208618,0.7088,58.645,147058.6,8406.73,155465.33,211.32741519063327,319.17,4.84,703931.6199999994,78.75502851996397,85.0,83.16061242870009,100.0,3428.623186826706
0.1,16.0,0.0,3.0,5.0,3.394082337055034e-05,100.0,42.0,0.0,0.696752667427063,0.711,58.353,147170.64,8543.34,155713.98,212.51714713814755,318.51,4.73,709169.7199999983,78.82079712316452,85.0,83.1609229847168,100.0,3435.89141869545
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,1019.0,0.0,0.6854239702224731,0.7782,58.573,147230.05,8610.69,155840.74,213.38865488316364,319.36,5.0,712291.3300000002,78.9715398442181,84.0,83.12612342720192,100.0,3436.819573640824
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,4473.0,0.0,0.6873753070831299,0.8171,58.854,146722.03,8518.52,155240.55,214.68283824413717,319.22,4.7,714035.1200000001,78.96361996392062,84.0,83.08929645219483,100.0,3425.127210617065
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,5642.0,0.0,0.6637400388717651,0.8145,58.866,144201.67,8443.84,152645.51,228.18340853658603,318.98,4.85,748441.5800000022,79.07378048780488,84.0,82.85579268292683,100.0,3376.649227619171
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,9032.0,0.0,0.6868480443954468,0.7911,58.916,143990.33,8473.41,152463.74,229.5503931728129,318.95,4.93,753154.8399999992,78.989332520573,84.0,82.82566290765011,100.0,3377.9217274188995
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,7680.0,0.0,0.7025989294052124,0.7042,58.948,144958.13,8442.36,153400.49,229.24652516676767,318.86,4.85,756055.0399999998,79.26076409945422,84.0,82.70679199514858,100.0,3395.385692358017
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,6.423527020077526e-05,0.7066717147827148,0.7466,58.878,146801.13,8618.09,155419.22,221.54935532233927,319.1,4.98,738867.1000000016,79.04647676161919,84.0,83.20659670164918,100.0,3433.454369783401
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0004127049767576,0.7066717147827148,0.7466,58.939,146248.48,8475.51,154723.99,221.930282791817,319.24,4.88,737696.2599999998,78.96961492178099,84.0,83.48225030084235,100.0,3422.376841545105
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,5.099367567044031e-05,0.7066717147827148,0.7466,58.915,145840.07,8422.32,154262.39,224.545757392878,319.23,5.12,744144.6399999976,78.99336149668075,84.0,83.46650573325287,100.0,3412.805537700653
