hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,31.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0295,7647.68,512.99,8160.67,191.99429999999995,197.39,169.81,38398.85999999999,74.69,76.0,68.52,75.0,205.8773481845856
0.1,32.0,0.0,5.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0336,2807.86,188.05,2995.91,193.88527027027035,199.78,174.68,14347.510000000006,74.5945945945946,76.0,67.0,74.0,76.55855250358582
0.1,32.0,0.0,10.0,5.0,0.0083036847173297,100.0,1.0,0.0,96.0,0.1348,7603.99,507.21,8111.2,194.9680904522613,200.66,175.98,38798.65,75.28643216080403,77.0,68.54773869346734,75.0,204.63559556007385
0.1,32.0,0.0,10.0,5.0,0.01,100.0,437.0,0.0,99.0,0.0286,7558.36,494.22,8052.58,194.5024747474748,199.82,175.72,38511.490000000005,75.45454545454545,77.0,68.66666666666667,75.0,203.2794623374939
0.1,41.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,95.0,0.1699,12712.46,761.23,13473.69,172.47432989690722,181.82,151.57,50190.03,73.6426116838488,75.0,43.54639175257732,51.0,299.9922308921814
0.1,32.0,0.0,11.0,5.0,0.01,100.0,1.0,0.0,95.0,0.1576,11258.24,665.96,11924.2,168.60071428571436,180.21,142.23,42487.38000000002,73.26190476190476,74.0,42.08730158730159,51.0,260.331889629364
0.1,32.0,0.0,10.0,5.0,0.0143676167258266,100.0,1.0,0.0,70.0,1.0182,14363.67,859.89,15223.56,169.37465838509314,180.46,143.16,54538.63999999999,73.24844720496894,74.0,42.298136645962735,51.0,331.5174741744995
0.1,32.0,0.0,10.0,5.0,0.01,100.0,2716.0,0.0,96.0,0.1385,14409.33,846.7,15256.03,170.52108695652169,180.76,152.88,54907.78999999999,73.51242236024845,74.0,42.80124223602485,51.0,332.39707922935486
0.1,97.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,100.0,0.0,6012.01,405.14,6417.15,209.7925974025973,220.69,89.75,32308.059999999983,75.93506493506493,78.0,72.33116883116882,80.0,158.94797205924988
0.1,32.0,0.0,13.0,5.0,0.01,100.0,1.0,0.0,100.0,0.0,15560.08,1051.18,16611.26,194.46744471744475,202.13,89.77,79148.25000000001,75.91400491400492,77.0,68.02702702702703,75.0,418.5307538509369
0.1,32.0,0.0,10.0,5.0,0.0116086181001845,100.0,1.0,0.0,99.0,0.0,16785.42,1135.63,17921.05,194.9158542141232,202.81,89.26,85568.06000000008,76.20045558086561,77.0,67.96355353075171,74.0,450.4026017189026
0.1,32.0,0.0,10.0,5.0,0.01,100.0,6913.0,0.0,100.0,0.0,16743.45,1131.14,17874.59,195.6097031963469,203.15,88.8,85677.04999999994,76.22602739726027,77.0,67.72146118721462,75.0,449.8616497516632
0.1,29.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.028,8339.3,580.55,8919.85,272.5398058252426,282.39,253.1,56143.199999999975,81.18932038834951,83.0,83.04368932038835,94.0,212.4454026222229
0.1,64.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0271,7429.06,528.32,7957.38,268.3668783068783,282.67,251.1,50721.34,82.34920634920636,84.0,78.82539682539682,84.0,194.4179623126984
0.1,80.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.026,7281.81,520.01,7801.82,264.29698924731184,278.58,242.14,49159.24,82.55913978494624,84.0,78.63440860215054,83.0,191.9172546863556
0.1,23.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0294,8771.08,596.54,9367.62,260.6776056338028,279.1,232.37,55524.32999999999,82.87323943661971,84.0,86.20657276995306,93.0,219.06819367408752
0.1,84.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,99.0,0.0252,7235.74,509.36,7745.1,259.9932432432432,279.75,238.82,48098.74999999999,82.94594594594595,85.0,79.16216216216216,84.0,190.2395737171173
0.1,65.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,94.0,0.2054,11300.05,753.76,12053.81,249.68848837209308,268.81,224.64,64419.63000000001,82.40310077519379,84.0,64.37596899224806,75.0,266.1141004562378
0.1,19.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,96.0,0.1472,19044.0,1096.45,20140.45,241.98154822335053,268.16,191.35,95340.73000000013,82.32233502538071,84.0,60.51269035532995,73.0,406.5622375011444
0.1,75.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,94.0,0.2148,10909.19,734.25,11643.44,248.75734126984108,270.51,221.84,62686.84999999996,82.7063492063492,84.0,64.78174603174604,74.0,259.4298210144043
0.1,73.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,93.0,0.2279,10887.14,726.37,11613.51,248.10585657370535,267.9,226.26,62274.57000000005,82.68525896414343,84.0,64.84860557768924,74.0,258.3831102848053
0.1,71.0,0.0,10.0,5.0,0.01,100.0,1.0,0.0,94.0,0.2115,10951.13,721.81,11672.94,248.6858167330677,267.73,224.17,62420.13999999999,82.69322709163346,84.0,65.1593625498008,74.0,258.4861075878144
0.1,32.0,0.0,5.0,5.0,0.01,100.0,1.0,0.0,94.0,0.1846,5493.03,338.15,5831.18,249.4452100840336,270.63,220.99,29683.979999999992,82.34453781512605,84.0,63.445378151260506,74.0,123.3548674583435
