experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_eval_samples_per_second,perf_final_training_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_001,2025-12-15T23:43:37.144482,VulBERTa,mlp,True,5333.24140048027,0,17,,,,0.6844493746757507,59.152,0.7071,155069.44,12265.44,167334.88,236.21739992301704,319.55,4.49,1227385.6099999966,77.88779830638953,83.0,89.29080061585836,100.0
VulBERTa_mlp_002,2025-12-16T00:27:51.201551,VulBERTa,mlp,True,2590.9432406425476,0,8,,,,0.6752550005912781,59.089,0.711,74991.75,5931.85,80923.6,220.06667327517894,319.59,5.06,555008.1500000013,77.57652656621728,84.0,87.95757335448057,100.0
VulBERTa_mlp_003,2025-12-16T01:17:25.277101,VulBERTa,mlp,True,2910.952090024948,0,9,,,,0.7030154466629028,59.03,0.8334,84172.5,6656.83,90829.33,216.64937918871198,319.01,5.01,614200.9899999985,77.8215167548501,84.0,88.30017636684303,100.0
VulBERTa_mlp_004,2025-12-16T02:54:40.002010,VulBERTa,mlp,True,5771.281607627869,0,18,,,,0.691966712474823,59.08,0.708,167224.51,13131.47,180355.98,214.35948416933468,318.61,5.22,1205129.0199999996,77.75755958733546,84.0,89.05869797225186,100.0
VulBERTa_mlp_005,2025-12-16T04:42:40.356753,VulBERTa,mlp,True,6416.996541976929,0,20,,,,0.6802908778190613,59.008,0.705,185863.44,14579.21,200442.65,215.0381522956332,318.57,5.2,1344203.4900000033,78.02335626299792,84.0,89.15037593984962,100.0
VulBERTa_mlp_006,2025-12-16T05:37:26.042594,VulBERTa,mlp,True,3222.469215631485,0,,1.9380814963969665e-05,,,0.7655699253082275,59.023,0.7356,93547.68,7302.79,100850.47,214.22217723940096,319.04,4.95,672014.9700000008,77.72362129423016,84.0,88.4615875039847,100.0
VulBERTa_mlp_007,2025-12-16T06:32:23.849711,VulBERTa,mlp,True,3234.5416033267975,0,,3.059743923758605e-05,,,0.6893314719200134,59.068,0.715,93885.68,7386.61,101272.29,215.23498095238153,319.42,5.21,677990.1900000018,78.0047619047619,84.0,88.59396825396826,100.0
VulBERTa_mlp_008,2025-12-16T07:27:16.067742,VulBERTa,mlp,True,3229.0845069885254,0,,4.301485240369214e-05,,,0.6929503083229065,59.025,0.7088,93708.09,7375.67,101083.76,215.15173926868056,319.05,5.07,676652.2200000003,77.86232114467408,84.0,88.49157392686804,100.0
VulBERTa_mlp_009,2025-12-16T08:21:37.847666,VulBERTa,mlp,True,3198.6467719078064,0,,1.7107349147913364e-05,,,0.7746571898460388,59.005,0.6219,92847.03,7283.02,100130.05,220.71341894061052,319.53,5.15,687522.3000000018,78.06645264847512,84.0,88.4032102728732,100.0
VulBERTa_mlp_010,2025-12-16T09:15:35.562799,VulBERTa,mlp,True,3174.582209587097,0,,3.912037844843647e-05,,,0.6880665421485901,59.089,0.7043,92209.83,7239.8,99449.63,233.69347783888674,319.0,4.9,722346.5399999989,78.362018764154,83.0,88.48722096408929,100.0
VulBERTa_mlp_011,2025-12-16T10:10:09.944588,VulBERTa,mlp,True,3211.247434616089,0,,,3551,,0.6677255630493164,59.055,0.7738,92819.65,7274.89,100094.54,224.56078349856102,319.01,4.76,702201.5700000003,78.11704509114166,84.0,88.2916533418612,100.0
VulBERTa_mlp_012,2025-12-16T11:04:46.013380,VulBERTa,mlp,True,3212.9352447986603,0,,,8504,,0.6927400827407837,59.057,0.7086,93307.8,7279.3,100587.1,220.61323745605657,318.68,5.09,690298.820000001,78.18855864493449,84.0,88.46756152125279,100.0
VulBERTa_mlp_013,2025-12-16T11:59:19.489463,VulBERTa,mlp,True,3210.3427658081055,0,,,7847,,0.6707081198692322,59.064,0.7057,92995.71,7303.74,100299.45,224.07076135636603,319.53,4.8,700445.2000000002,78.25815738963531,84.0,88.27799104286628,100.0
VulBERTa_mlp_014,2025-12-16T12:53:54.379529,VulBERTa,mlp,True,3211.7576446533203,0,,,4057,,0.6928403973579407,59.086,0.8025,93372.0,7350.16,100722.16,220.86136508951364,319.8,4.79,690854.3499999987,78.01150895140665,84.0,88.47314578005115,100.0
VulBERTa_mlp_015,2025-12-16T13:48:39.488920,VulBERTa,mlp,True,3221.975656270981,0,,,3040,,0.6926372051239014,58.917,0.7155,93214.15,7333.63,100547.78,221.47963033779476,318.96,5.06,695003.08,78.45506692160612,84.0,88.16475462077757,100.0
VulBERTa_mlp_016,2025-12-16T14:43:51.184324,VulBERTa,mlp,True,3248.5608744621277,0,,,,4.8904201144255906e-05,0.683940052986145,59.062,0.7466,93658.69,7357.46,101016.15,215.3477963958274,318.77,4.8,681145.080000002,77.51406892190958,84.0,89.01296237748973,100.0
VulBERTa_mlp_017,2025-12-16T15:38:59.622907,VulBERTa,mlp,True,3245.305254459381,0,,,,1.8574350101742704e-05,0.683940052986145,58.874,0.7466,93738.67,7340.94,101079.61,218.05748417721546,318.9,5.02,689061.6500000008,78.11898734177215,84.0,88.87531645569621,100.0
VulBERTa_mlp_018,2025-12-16T16:34:13.194943,VulBERTa,mlp,True,3250.4382889270782,0,,,,0.0002955238308937522,0.683940052986145,58.994,0.7466,93894.2,7372.15,101266.35,215.65094154818394,319.42,4.91,682535.2300000022,78.0,84.0,88.88815165876777,100.0
