experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_eval_samples_per_second,perf_final_training_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
VulBERTa_mlp_019,2025-12-16T17:29:19.671881,VulBERTa,mlp,True,3243.3432018756866,0,,,,0.00011632348333038773,0.683940052986145,59.059,0.7466,93712.45,7421.68,101134.13,217.22608296390183,319.32,4.96,685999.970000002,77.69759341355288,84.0,88.96991766941102,100.0
VulBERTa_mlp_020,2025-12-16T18:24:25.539475,VulBERTa,mlp,True,3242.7347757816315,0,,,,2.9203128586288252e-05,0.683940052986145,59.056,0.7466,94275.34,7483.14,101758.48,218.79103896103916,319.23,4.87,690723.3100000006,77.89230281913208,83.0,88.8907190370605,100.0
VulBERTa_mlp_021_parallel,2025-12-16T20:06:58.878303,VulBERTa,mlp,True,6059.904315710068,0,18,,,,0.691966712474823,58.922,0.708,258787.49,14973.54,273761.03,225.29712247324483,319.36,4.94,1326324.1599999922,79.3640224222864,84.0,83.5294717173433,100.0
VulBERTa_mlp_022_parallel,2025-12-16T21:16:25.354609,VulBERTa,mlp,True,4073.090235233307,0,12,,,,0.6929996609687805,58.696,0.726,173611.09,10015.52,183626.61,226.5865091001014,319.11,4.91,896376.2300000011,79.43882709807886,84.0,83.07406471183013,100.0
VulBERTa_mlp_023_parallel,2025-12-16T22:20:32.068140,VulBERTa,mlp,True,3753.467439174652,0,11,,,,0.6896445155143738,58.556,0.7054,160683.6,9252.82,169936.42,218.5263439385633,318.95,4.81,796747.0500000018,79.29484366428963,84.0,83.06006582556226,100.0
VulBERTa_mlp_024_parallel,2025-12-17T00:08:52.199292,VulBERTa,mlp,True,6406.453266620636,0,19,,,,0.7151914238929749,58.605,0.6898,273395.9,16131.99,289527.89,224.32410734372573,318.88,4.92,1395968.9200000053,79.58251647115539,84.0,83.45155069901976,100.0
VulBERTa_mlp_025_parallel,2025-12-17T01:01:53.851129,VulBERTa,mlp,True,3088.431779384613,0,9,,,,0.7030154466629028,58.416,0.8334,132389.35,7667.17,140056.52,212.6136266666668,319.68,4.94,637840.8800000004,78.70966666666666,85.0,82.99333333333334,100.0
VulBERTa_mlp_026_parallel,2025-12-17T02:00:45.344882,VulBERTa,mlp,True,3438.347673892975,0,,2.8613808398421448e-05,,,0.6864326596260071,58.553,0.7107,147199.04,8664.53,155863.57,212.28222754491074,318.51,4.84,709022.6400000019,78.9254491017964,85.0,83.08203592814371,100.0
VulBERTa_mlp_027_parallel,2025-12-17T02:59:40.429759,VulBERTa,mlp,True,3441.8901772499084,0,,3.888216794334247e-05,,,0.6880665421485901,58.468,0.7043,147252.98,8566.81,155819.79,212.3522255459171,318.88,4.85,709893.4900000008,78.98115465151062,84.0,82.83128926114269,100.0
VulBERTa_mlp_028_parallel,2025-12-17T03:58:22.328783,VulBERTa,mlp,True,3428.753748178482,0,,3.9602651245544245e-05,,,0.6927470564842224,58.447,0.7073,147133.74,8529.6,155663.34,211.99829780846537,318.82,4.92,706166.3299999981,78.86700690483339,85.0,83.22335634944461,100.0
VulBERTa_mlp_029_parallel,2025-12-17T04:57:04.144569,VulBERTa,mlp,True,3428.623186826706,0,,4.298272748268137e-05,,,0.6929503083229065,58.645,0.7088,147058.6,8406.73,155465.33,211.32741519063327,319.17,4.84,703931.6199999994,78.75502851996397,85.0,83.16061242870009,100.0
VulBERTa_mlp_030_parallel,2025-12-17T05:55:53.242674,VulBERTa,mlp,True,3435.89141869545,0,,3.394082337055034e-05,,,0.6895551085472107,58.353,0.711,147170.64,8543.34,155713.98,212.51714713814755,318.51,4.73,709169.7199999983,78.82079712316452,85.0,83.1609229847168,100.0
VulBERTa_mlp_031_parallel,2025-12-17T06:54:43.256423,VulBERTa,mlp,True,3436.8195736408234,0,,,1019,,0.6854239702224731,58.573,0.7782,147230.05,8610.69,155840.74,213.38865488316364,319.36,5.0,712291.3300000002,78.9715398442181,84.0,83.12612342720192,100.0
VulBERTa_mlp_032_parallel,2025-12-17T07:53:21.582091,VulBERTa,mlp,True,3425.1272106170654,0,,,4473,,0.6873753070831299,58.854,0.8171,146722.03,8518.52,155240.55,214.68283824413714,319.22,4.7,714035.1200000001,78.96361996392062,84.0,83.08929645219483,100.0
VulBERTa_mlp_033_parallel,2025-12-17T08:51:11.394313,VulBERTa,mlp,True,3376.649227619171,0,,,5642,,0.6637400388717651,58.866,0.8145,144201.67,8443.84,152645.51,228.18340853658603,318.98,4.85,748441.5800000022,79.07378048780488,84.0,82.85579268292683,100.0
VulBERTa_mlp_034_parallel,2025-12-17T09:49:02.496344,VulBERTa,mlp,True,3377.9217274188995,0,,,9032,,0.6868480443954468,58.916,0.7911,143990.33,8473.41,152463.74,229.5503931728129,318.95,4.93,753154.8399999992,78.989332520573,84.0,82.82566290765011,100.0
VulBERTa_mlp_035_parallel,2025-12-17T10:47:11.114521,VulBERTa,mlp,True,3395.385692358017,0,,,7680,,0.6834236979484558,58.948,0.7042,144958.13,8442.36,153400.49,229.24652516676767,318.86,4.85,756055.0399999998,79.26076409945422,84.0,82.70679199514858,100.0
VulBERTa_mlp_036_parallel,2025-12-17T11:45:57.763675,VulBERTa,mlp,True,3433.4543697834015,0,,,,6.423527020077526e-05,0.683940052986145,58.878,0.7466,146801.13,8618.09,155419.22,221.54935532233932,319.1,4.98,738867.1000000016,79.04647676161919,84.0,83.20659670164918,100.0
VulBERTa_mlp_037_parallel,2025-12-17T12:44:33.329627,VulBERTa,mlp,True,3422.376841545105,0,,,,0.0004127049767576194,0.683940052986145,58.939,0.7466,146248.48,8475.51,154723.99,221.930282791817,319.24,4.88,737696.2599999998,78.96961492178099,84.0,83.48225030084235,100.0
VulBERTa_mlp_038_parallel,2025-12-17T13:42:59.325787,VulBERTa,mlp,True,3412.805537700653,0,,,,5.099367567044031e-05,0.683940052986145,58.915,0.7466,145840.07,8422.32,154262.39,224.54575739287796,319.23,5.12,744144.6399999976,78.99336149668075,84.0,83.46650573325287,100.0
VulBERTa_mlp_039_parallel,2025-12-17T14:41:35.399050,VulBERTa,mlp,True,3422.880022764206,0,,,,0.00015995014748061343,0.683940052986145,58.885,0.7466,146280.03,8526.8,154806.83,223.63656240601506,319.15,5.22,743591.5700000001,78.81353383458647,84.0,83.41293233082706,100.0
VulBERTa_mlp_040_parallel,2025-12-17T15:40:15.136805,VulBERTa,mlp,True,3426.540603160858,0,,,,0.0009534088184387403,0.683940052986145,58.832,0.7466,146621.43,8610.97,155232.4,223.57776742788434,319.45,4.93,744066.8099999991,78.93900240384616,84.0,83.21364182692308,100.0
