,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_batch_size_x_is_parallel,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel
model_mnist_rnn,0.03,0.03,0.01,0.19999999,0.42999998,0.12,0.0,0.35999998,0.34,0.19999999,0.61,0.02,0.63,0.0,0.83,0.0,0.0,0.0,0.0,0.42999998,0.0,0.38,0.11
model_siamese,0.0,0.0,0.01,0.42,0.21,0.22999999,0.44,0.12,0.32999998,0.35,0.17999999,0.04,0.12,0.14,0.0,0.0,0.0,0.11,0.28,0.049999997,0.0,0.02,0.02
hyperparam_batch_size,0.0,0.0,0.0,0.06,0.07,0.0,0.0,0.0,0.0,0.03,0.11,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
hyperparam_learning_rate,0.03,0.07,0.02,0.0,0.08,0.0,0.62,0.01,0.03,0.01,0.049999997,0.34,0.0,0.0,0.01,0.0,0.0,0.39,0.0,0.03,0.35,0.7,0.22999999
hyperparam_epochs,0.5,0.47,0.53,0.35999998,0.07,0.17999999,0.78999996,0.06,0.11,0.39999998,0.049999997,0.03,0.29999998,0.0,0.69,0.01,0.52,0.0,0.0,0.0,0.53999996,0.02,0.42
hyperparam_seed,0.0,0.0,0.0,0.01,0.01,0.089999996,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_test_accuracy,0.0,0.0,0.0,0.049999997,0.12,0.17999999,0.0,0.34,0.22,0.26999998,0.04,0.0,0.52,0.04,0.08,0.0,0.07,0.0,0.0,0.0,0.01,0.02,0.03
hyperparam_batch_size_x_is_parallel,0.42,0.29999998,0.47,0.02,0.02,0.04,0.64,0.01,0.01,0.01,0.01,0.17,0.01,0.04,0.28,0.0,0.16,0.35,0.0,0.0,0.0,0.47,0.22
hyperparam_learning_rate_x_is_parallel,0.03,0.01,0.0,0.03,0.24,0.19,0.0,0.03,0.07,0.07,0.24,0.45,0.0,0.29999998,0.0,0.0,0.26999998,0.0,0.0,0.17999999,0.53,0.0,0.42999998
hyperparam_epochs_x_is_parallel,0.0,0.02,0.02,0.12,0.53,0.48,0.03,0.16,0.07,0.17,0.56,0.56,0.03,0.29999998,0.01,0.0,0.089999996,0.0,0.0,0.19,0.75,0.56,0.0
