source,target,strength,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.4,0.940919409001519,0.7564992048372213,1.1253396131658169,True,0
energy_cpu_pkg_joules,energy_cpu_total_joules,0.4,0.9984708781272599,0.802770586014317,1.194171170240203,True,0
energy_gpu_avg_watts,perf_eval_samples_per_second,0.35,,,,True,1
energy_gpu_avg_watts,perf_top1_accuracy,0.35,,,,True,0
energy_gpu_avg_watts,perf_top5_accuracy,0.35,,,,True,0
energy_gpu_avg_watts,perf_top10_accuracy,0.4,,,,True,5
energy_gpu_avg_watts,hyperparam_learning_rate_x_is_parallel,0.35,-0.3309082087573399,-0.3957662176737785,-0.2660501998409013,True,0
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.35,1.310513291136525,1.053652686073766,1.5673738961992838,True,0
energy_gpu_max_watts,perf_top10_accuracy,0.4,,,,True,5
energy_gpu_max_watts,perf_top20_accuracy,0.35,,,,True,2
energy_gpu_max_watts,perf_accuracy,0.35,,,,True,1
energy_gpu_max_watts,perf_precision,0.4,,,,True,0
energy_gpu_temp_avg_celsius,model_hrnet18,0.4,0.9563061853831561,0.7688701730480576,1.1437421977182547,True,0
energy_gpu_temp_avg_celsius,perf_top20_accuracy,0.45000002,,,,True,2
energy_gpu_temp_avg_celsius,perf_recall,0.4,,,,True,1
energy_gpu_temp_max_celsius,hyperparam_learning_rate,0.4,-0.0072220899075725545,-0.008637619529456776,-0.005806560285688334,True,0
energy_gpu_temp_max_celsius,perf_top10_accuracy,0.4,,,,True,5
energy_gpu_temp_max_celsius,perf_top20_accuracy,0.45000002,,,,True,2
energy_gpu_temp_max_celsius,perf_best_val_accuracy,0.5,,,,True,2
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.35,2.041044472177536,1.640999755630739,2.441089188724333,True,1
energy_gpu_util_avg_percent,energy_gpu_total_joules,0.45000002,0.09507127251617989,0.07643730310300863,0.11370524192935115,True,3
energy_gpu_util_avg_percent,hyperparam_seed,0.4,-0.015576887205971807,-0.30018077985426006,0.2690270054423164,False,6
energy_gpu_util_avg_percent,model_pcb,0.35,0.022414499976121716,0.01802125798080186,0.026807741971441573,True,1
energy_gpu_util_avg_percent,perf_top10_accuracy,0.4,,,,True,5
energy_gpu_util_max_percent,is_parallel,0.35,0.12678573812672736,0.10193573345388879,0.15163574279956593,True,1
energy_gpu_util_max_percent,perf_recall,0.35,,,,True,1
is_parallel,hyperparam_dropout_x_is_parallel,0.4,-0.7524169914503938,-0.899890721774671,-0.6049432611261165,True,3
model_mnist_ff,hyperparam_seed,0.55,0.0,0.0,0.0,False,5
model_mnist_rnn,hyperparam_seed,0.35,0.0,0.0,0.0,False,5
hyperparam_epochs,energy_gpu_total_joules,0.5,1.8840436203947772,1.514771070797401,2.2533161699921536,True,2
hyperparam_epochs,perf_top10_accuracy,0.4,,,,True,5
hyperparam_l2_regularization,hyperparam_seed,0.4,0.0,0.0,0.0,False,5
model_hrnet18,energy_gpu_total_joules,0.35,-0.055941698111550316,-0.06690627094141417,-0.04497712528168645,True,3
model_hrnet18,perf_eval_samples_per_second,0.35,,,,True,2
model_hrnet18,perf_top10_accuracy,0.45000002,,,,True,6
model_pcb,perf_rank1,0.55,-0.3277467129376578,-0.39198506867343874,-0.2635083572018768,True,3
model_pcb,perf_accuracy,0.35,,,,True,2
hyperparam_dropout,perf_best_val_accuracy,0.35,,,,True,2
hyperparam_dropout,hyperparam_dropout_x_is_parallel,0.35,0.5110297916000278,0.4108679524464224,0.6111916307536333,True,1
perf_map,perf_rank1,0.4,0.700693145846023,0.5633572892602026,0.8380290024318435,True,2
perf_rank1,perf_rank5,0.35,,,,False,0
perf_rank5,perf_rank1,0.45000002,,,,False,0
hyperparam_kfold,perf_best_val_accuracy,0.35,0.0,0.0,0.0,False,2
hyperparam_epochs_x_is_parallel,is_parallel,0.45000002,0.8912266156528567,0.7165461989848967,1.0659070323208166,True,1
hyperparam_l2_regularization_x_is_parallel,hyperparam_seed,0.5,0.0,0.0,0.0,False,5
hyperparam_dropout_x_is_parallel,perf_eval_loss,0.4,,,,True,2
hyperparam_kfold_x_is_parallel,hyperparam_seed,0.5,0.0,0.0,0.0,False,5
