energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
-0.8978254179973152,-0.8511194456511756,-0.89531292615295,0.9594998251997237,0.5000833237504853,-1.252902007877997,-0.80016729377809,0.5328568450670291,0.6240980254832715,0.6459738678694309,0.6882261110793549,False,False,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.552047084511519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7558228761318233,-0.7138632284361837,-0.7535291462096351,0.9452771831656144,0.7127196324506657,2.1333737032165243,-0.6337456373867405,0.8382906107981621,0.7118148957316076,1.058992960955506,0.7720054094864554,False,False,True,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,0.6172749716486411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8265960389114463,-0.7986093701954898,-0.825298389527295,0.8953141294505326,0.7952417317203455,1.7999074964906507,-0.7500005319281465,0.7239860153213739,0.7118148957316076,1.009473310436953,0.7440789766840885,False,True,False,-0.1231438522655064,-0.6589166171519751,-0.6027608641638302,-0.7691921297094653,-0.6220548839566794,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.9082343109558458,-0.8602540765074747,-0.9056431267275662,0.2250040456730271,0.3991138239826891,-1.2616391137310767,-0.8269135348075164,-0.452611755804565,0.1855136742415908,0.108317700020203,0.6882261110793549,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6370661158272952,-0.7698310860544334,0.6498889152172022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.873179613038616,-0.8257782116627331,-0.8706023333902903,1.0159128591958326,0.4616603357307403,-1.251931218338766,-0.7683824200124733,0.1444496282186193,0.2732305444899269,0.7108051674117832,0.6882261110793549,False,False,False,1.5931451474441708e-17,-0.5990411970923021,-0.6052727549760086,-0.7698310860544334,0.58466102808008,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8733870402089796,-0.8274133497611942,-0.870906477941987,1.0237035050630725,0.4743224567827014,-1.2478862619253033,-0.7681534093921502,0.2300798153829911,0.2732305444899269,0.7156269679186519,0.6882261110793549,False,False,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,0.6320391348057516,0.6498889152172022,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7995500052671112,-0.7748232206694381,-0.7984533702080879,1.8014535574724213,0.8642284602103424,2.7543554118113343,-0.6849691427922878,0.4977876120654433,0.5363811552349353,1.0253424166376208,0.7440789766840885,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.5684556125003652,-0.7698310860544334,0.5194331409429579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7737166797580806,-0.7515446452614502,-0.7727742383370516,1.4998545915694248,0.8666298969615761,2.13272651019037,-0.6690664404513317,0.8056796205598823,0.7118148957316076,1.024562242076877,0.7440789766840885,False,True,False,1.5931451474441708e-17,-0.3584549412565708,-0.6052727549760086,-0.7698310860544334,-0.1654596739968245,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.7731446499483814,-0.7516246988975207,-0.7722459023847482,1.2749462967733782,0.8525487451020677,2.182722171460771,-0.6802102493335314,0.8103228147538923,0.7118148957316076,1.0151134612856398,0.7440789766840885,False,True,False,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,-0.5937986130157,0.5194331409429579,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.8013027648566835,-0.7575350418159167,-0.7989194947748169,1.4499393035967965,0.7960058252321017,2.8724681390844484,-0.6620564628332768,0.8936128059616201,0.7118148957316076,1.0526112664649647,0.7720054094864554,False,False,True,1.5931451474441708e-17,-0.6318838948211892,-0.6370661158272952,-0.7698310860544334,0.6825028587857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6810762483542,-0.6411455713136824,-0.6788659214000734,1.2387371137193803,0.8275519716460401,2.8082342312386586,-0.5199474687418287,0.9349190810655268,0.7118148957316076,1.0541160908059126,0.7720054094864554,False,False,True,1.5931451474441708e-17,-0.6823711789146815,-0.6052727549760086,-0.7698310860544334,0.6172749716486411,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6798832951875018,-0.6390250015922406,-0.6776093666177418,1.1813103613390514,0.7797415490532891,2.665204572458614,-0.5245507618004079,0.9436015797526526,0.7118148957316076,1.0548580061326571,0.7720054094864554,False,False,True,1.5931451474441708e-17,-0.6318838948211892,-0.6052727549760086,2.3846963890534667,0.6825028587857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
