experiment_id,timestamp,repository,model,mode,is_parallel,training_duration,hyperparam_learning_rate,hyperparam_batch_size,seed,energy_cpu_total_joules,energy_gpu_total_joules,gpu_power_avg_watts,gpu_power_max_watts,gpu_power_min_watts,gpu_util_avg,gpu_temp_max,gpu_temp_avg,perf_test_accuracy,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_kfold,l2_regularization,perf_top1_accuracy,perf_top5_accuracy,perf_accuracy,perf_precision,perf_recall,perf_eval_loss
Person_reID_baseline_pytorch_pcb_056,2025-11-28T12:54:56.212098,Person_reID_baseline_pytorch,pcb,default,0,60,0.05,,6706,157552.59,943453.7800000008,221.3121698334508,315.37,14.55,96.94159042927515,85.0,79.59300961764016,,0.14309870886578058,300.82,5.406990382359837,0.5,0.778825,0.92399,0.972981,,,,,,,,
examples_mnist_062,2025-11-28T15:29:23.250269,examples,mnist,default,0,10,0.005920933399374816,32.0,1,6801.29,18113.500000000004,95.33421052631581,97.26,77.75,11.978947368421053,66.0,64.7421052631579,95.0,0.27298203195772464,19.510000000000005,1.257894736842104,,,,,,,,,,,,
MRT-OAST_default_006,2025-11-27T01:03:23.512587,MRT-OAST,default,default,0,10,0.0001,,4162,41453.94,303059.85000000015,240.3329500396512,315.79,76.43,92.84694686756542,84.0,79.84139571768438,,0.12032592367347612,239.36,4.158604282315622,0.2,,,,,0.0,,,4688.0,0.982054,0.81506,
pytorch_resnet_cifar10_resnet20_020,2025-11-27T04:56:09.669198,pytorch_resnet_cifar10,resnet20,default,0,206,0.1,,1334,52583.88,253525.77000000008,224.3590884955753,244.17,75.56,53.779646017699115,80.0,77.96637168141594,91.77,0.17178119017156102,168.60999999999999,2.0336283185840642,,,,,,0.0001,,,,,,
Person_reID_baseline_pytorch_hrnet18_046,2025-11-28T00:57:15.430377,Person_reID_baseline_pytorch,hrnet18,default,0,60,0.033081834825995866,,1334,141313.96,969492.1699999988,241.28724987555967,254.33,14.25,64.00323544051767,84.0,82.19437531110005,,0.1272174830363964,240.08,1.8056246888999539,0.5,0.787455,0.921021,0.968824,,,,,,,,
pytorch_resnet_cifar10_resnet20_019,2025-11-27T04:35:43.422450,pytorch_resnet_cifar10,resnet20,default,0,106,0.1,,1334,27547.51,126344.22000000006,211.6318592964825,237.73,68.27,52.39028475711893,78.0,73.33165829145729,91.21,0.17900578543109488,169.45999999999998,4.668341708542712,,,,,,0.0001,,,,,,
Person_reID_baseline_pytorch_pcb_057,2025-11-28T14:04:47.569899,Person_reID_baseline_pytorch,pcb,default,0,60,0.05,,1334,149025.31,857062.5700000011,213.46514819427176,318.44,11.55,96.72752179327522,85.0,77.78306351183063,,0.1481235515927295,306.89,7.216936488169367,0.5517920530893529,0.777243,0.925772,0.974466,,,,,,,,
Person_reID_baseline_pytorch_densenet121_038,2025-11-27T16:35:55.209508,Person_reID_baseline_pytorch,densenet121,default,0,60,0.04476713769485721,,1334,79520.12,531813.2499999987,248.85973327093998,277.01,14.63,71.3088441740758,85.0,82.58025269068789,,0.13007652436836575,262.38,2.4197473093121147,0.5,0.740465,0.900238,0.958729,,,,,,,,
MRT-OAST_default_003,2025-11-26T23:55:07.223177,MRT-OAST,default,default,0,10,8.51351160044323e-05,,1334,41757.7,298177.63000000064,234.78553543307137,315.52,76.77,92.80078740157481,84.0,79.14645669291339,,0.12284012962112505,238.75,4.8535433070866105,0.2,,,,,0.0,,,4623.0,0.982613,0.771618,
Person_reID_baseline_pytorch_hrnet18_050,2025-11-28T05:41:23.475777,Person_reID_baseline_pytorch,hrnet18,default,0,60,0.05,,1334,140820.67,964878.0499999984,241.88469541238365,258.64,14.03,64.28027074454751,84.0,82.2321383805465,,0.1273589879890611,244.60999999999999,1.7678616194534982,0.5353504185669111,0.554397,0.794537,0.91538,,,,,,,,
Person_reID_baseline_pytorch_pcb_054,2025-11-28T10:26:45.039982,Person_reID_baseline_pytorch,pcb,default,0,60,0.046493484840310996,,1334,148138.0,872985.8699999964,219.17797388902747,318.9,10.07,96.63946773788602,84.0,77.84634697464223,,0.1450734865300921,308.83,6.1536530253577695,0.5,0.774678,0.92399,0.973278,,,,,,,,
pytorch_resnet_cifar10_resnet20_026,2025-11-27T06:55:10.989816,pytorch_resnet_cifar10,resnet20,default,0,200,0.1,,1334,51067.97,250113.19999999992,227.58252957233842,247.74,76.22,53.65787079162875,81.0,78.8898999090082,92.45,0.16955897342453385,171.52,2.110100090991807,,,,,,0.00048126390037846184,,,,,,
