source,target,strength,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.64,-0.8667332865361903,-1.0366130106972835,-0.696853562375097,True,7
energy_cpu_pkg_joules,energy_cpu_total_joules,0.45999998,,,,False,0
energy_cpu_pkg_joules,energy_gpu_min_watts,0.34,-0.41899210571977336,-0.501114558440849,-0.33686965299869776,True,7
energy_cpu_pkg_joules,energy_gpu_total_joules,0.32,0.12562198622519435,0.10100007692505626,0.15024389552533246,True,10
energy_cpu_pkg_joules,is_parallel,0.32,1.4222694633138546,1.1435046485043392,1.70103427812337,True,2
energy_cpu_ram_joules,energy_cpu_total_joules,0.42,,,,False,0
energy_cpu_ram_joules,energy_gpu_min_watts,0.48,0.2298390722669375,0.18479061410261777,0.27488753043125724,True,10
energy_cpu_total_joules,energy_cpu_pkg_joules,0.53999996,,,,False,0
energy_cpu_total_joules,energy_cpu_ram_joules,0.53999996,,,,False,0
energy_cpu_total_joules,energy_gpu_min_watts,0.32,-0.20320202051581074,-0.24302961653690963,-0.16337442449471185,True,7
energy_cpu_total_joules,energy_gpu_total_joules,0.52,-0.33606215204962914,-0.40193033385135646,-0.2701939702479018,True,12
energy_cpu_total_joules,is_parallel,0.38,,,,False,0
energy_gpu_avg_watts,energy_gpu_max_watts,0.39999998,,,,False,0
energy_gpu_avg_watts,energy_gpu_total_joules,0.65999997,0.2826577137434681,0.22725680184974834,0.33805862563718786,True,11
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.42,,,,False,0
energy_gpu_avg_watts,model_hrnet18,0.32,-0.012377534784617467,-0.01480353160240249,-0.009951537966832444,True,9
energy_gpu_max_watts,energy_cpu_ram_joules,0.38,0.3059415174083564,0.24597697999631854,0.3659060548203943,True,10
energy_gpu_max_watts,energy_gpu_avg_watts,0.38,,,,False,0
energy_gpu_max_watts,energy_gpu_total_joules,0.53999996,0.7067602474469077,0.5682352389473138,0.8452852559465016,True,12
energy_gpu_max_watts,energy_gpu_temp_avg_celsius,0.39999998,-0.3685585885752543,-0.4407960719360041,-0.2963211052145045,True,7
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.58,,,,False,0
energy_gpu_max_watts,energy_gpu_util_max_percent,0.53999996,,,,False,0
energy_gpu_max_watts,model_hrnet18,0.65999997,,,,False,0
energy_gpu_max_watts,model_pcb,0.53999996,,,,False,0
energy_gpu_max_watts,perf_map,0.48,-0.05154084483759606,-0.06164285042576488,-0.041438839249427234,True,8
energy_gpu_max_watts,perf_rank1,0.44,0.1821191773498695,0.14642381858929507,0.2178145361104439,True,8
energy_gpu_min_watts,energy_gpu_total_joules,0.39999998,1.0354069267615171,0.8324671691162597,1.2383466844067745,True,13
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.34,,,,False,0
energy_gpu_min_watts,hyperparam_learning_rate_x_is_parallel,0.5,0.02664578797375631,0.02142321353090007,0.03186836241661255,True,10
energy_gpu_total_joules,model_hrnet18,0.35999998,,,,False,0
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.58,,,,False,0
energy_gpu_temp_avg_celsius,energy_gpu_total_joules,0.56,0.09147298285470783,0.0735442782151851,0.10940168749423056,True,11
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.48,,,,False,0
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.52,,,,False,0
energy_gpu_temp_avg_celsius,model_hrnet18,0.53999996,,,,False,0
energy_gpu_temp_max_celsius,energy_cpu_ram_joules,0.44,0.004461768744716477,0.003587262070752048,0.005336275418680907,True,9
energy_gpu_temp_max_celsius,energy_gpu_avg_watts,0.32,-0.050313470759511196,-0.06017491102837539,-0.040452030490647,True,6
energy_gpu_temp_max_celsius,energy_gpu_total_joules,0.65999997,-0.047258362901004505,-0.05652100202960139,-0.03799572377240762,True,12
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.48,,,,False,0
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.34,,,,False,0
energy_gpu_temp_max_celsius,model_hrnet18,0.35999998,0.030141917796954257,0.02423410190875122,0.03604973368515729,True,9
energy_gpu_temp_max_celsius,hyperparam_learning_rate_x_is_parallel,0.32,0.03691702495670539,0.02968128806519113,0.044152761848219646,True,7
energy_gpu_util_avg_percent,energy_gpu_max_watts,0.32,,,,False,0
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.62,,,,False,0
energy_gpu_util_avg_percent,energy_gpu_total_joules,0.59999996,1.1933339295219991,0.9594404793356873,1.427227379708311,True,11
energy_gpu_util_avg_percent,energy_gpu_temp_avg_celsius,0.48,,,,False,0
energy_gpu_util_avg_percent,energy_gpu_temp_max_celsius,0.32,-0.005757606217233835,-0.006886097035811667,-0.004629115398656004,True,6
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.42,,,,False,0
energy_gpu_util_avg_percent,model_hrnet18,0.5,-0.05339762421527193,-0.06386355856146522,-0.04293168986907863,True,9
energy_gpu_util_max_percent,energy_cpu_ram_joules,0.48,0.6863328200393024,0.5518115873115992,0.8208540527670056,True,8
energy_gpu_util_max_percent,energy_gpu_max_watts,0.45999998,,,,False,0
energy_gpu_util_max_percent,energy_gpu_min_watts,0.45999998,0.3694134682322966,0.29700842845876646,0.4418185080058267,True,9
energy_gpu_util_max_percent,energy_gpu_temp_max_celsius,0.56,,,,False,0
