method,alpha,Width,D_DI,D_SPD,D_AOD,D_Cons,D_TI,Tr_Acc,Tr_F1,Tr_DI,Tr_SPD,Tr_AOD,Tr_Cons,Tr_TI,Te_Acc,Te_F1,Te_DI,Te_SPD,Te_AOD,Te_Cons,Te_TI,A_FGSM,A_PGD
Baseline,0.0,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9393333333333334,0.941741357234315,1.0448519269776875,0.022116334801621063,-0.015148924567357301,[0.75926667],0.0,0.911,0.9117938553022795,0.9762917547903648,-0.011974346972006444,0.0036039518154265815,[0.7502],0.0,0.033,0.018
Baseline,0.2,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.944,0.9435104236718226,1.0448519269776875,0.022116334801621063,-0.006004584533489468,[0.75926667],0.0,0.9,0.896694214876033,0.9762917547903648,-0.011974346972006444,0.010544473230038265,[0.7502],0.0,0.036,0.02
Baseline,0.4,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9443333333333334,0.9440910612654838,1.0448519269776875,0.022116334801621063,-0.011893608637799865,[0.75926667],0.0,0.902,0.8993839835728953,0.9762917547903648,-0.011974346972006444,0.018414165176365335,[0.7502],0.0,0.021,0.018
Baseline,0.6,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9413333333333334,0.9422950819672131,1.0448519269776875,0.022116334801621063,-0.017270114305246102,[0.75926667],0.0,0.912,0.9114688128772636,0.9762917547903648,-0.011974346972006444,0.010085385619789923,[0.7502],0.0,0.031,0.017
Baseline,0.8,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9393333333333334,0.9393737508327782,1.0448519269776875,0.022116334801621063,-0.017606683450585334,[0.75926667],0.0,0.909,0.9070480081716037,0.9762917547903648,-0.011974346972006444,0.00841515273314987,[0.7502],0.0,0.027,0.015
Baseline,1.0,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.944,0.945133899412149,1.0448519269776875,0.022116334801621063,-0.01061354516674376,[0.75926667],0.0,0.912,0.9111111111111111,0.9762917547903648,-0.011974346972006444,0.026202548280767353,[0.7502],0.0,0.036,0.023
Reweighing,0.0,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9443333333333334,0.945011524530787,1.0448519269776875,0.022116334801621063,-0.018155126173593467,[0.75926667],0.0,0.908,0.9066937119675457,0.9762917547903648,-0.011974346972006444,0.006218431421674463,[0.7502],0.0,0.03,0.021
Reweighing,0.2,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.945,0.9448345035105317,1.0448519269776875,0.022116334801621063,-0.010504541567375653,[0.75926667],0.0,0.894,0.8902691511387162,0.9762917547903648,-0.011974346972006444,0.018446293690421597,[0.7502],0.0,0.033,0.023
Reweighing,0.4,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9463333333333334,0.9470568891811905,1.0448519269776875,0.022116334801621063,-0.018240329494329213,[0.75926667],0.0,0.903,0.9017223910840931,0.9762917547903648,-0.011974346972006444,0.02408713581121706,[0.7502],0.0,0.026,0.013
Reweighing,0.6,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9433333333333334,0.9435215946843853,1.0448519269776875,0.022116334801621063,-0.01761592310932969,[0.75926667],0.0,0.909,0.9074262461851476,0.9762917547903648,-0.011974346972006444,0.008343445095044984,[0.7502],0.0,0.033,0.009
Reweighing,0.8,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.942,0.9416890080428956,1.0448519269776875,0.022116334801621063,-0.011088031392653741,[0.75926667],0.0,0.906,0.9034907597535935,0.9762917547903648,-0.011974346972006444,0.006499018207165613,[0.7502],0.0,0.039,0.016
Reweighing,1.0,4,1.0448519269776875,0.022116334801621063,0.0,[0.75926667],0.0,0.9463333333333334,0.9464938517779994,1.0448519269776875,0.022116334801621063,-0.010448898249277208,[0.75926667],0.0,0.899,0.8964102564102563,0.9762917547903648,-0.011974346972006444,0.012315804520627631,[0.7502],0.0,0.026,0.014
