energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,perf_best_val_accuracy,perf_test_accuracy,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel
-0.6335225880607663,-0.597692713798988,-0.6309475833149255,0.1721924707267819,-0.7695251029054042,-1.016171337396965,-0.5608250560013566,-0.4246794122177579,-0.782193070554434,-0.7339530983855742,-1.0627411042047956,0,2025-11-18T21:13:46.055005,0.447659007826923,0.10589281782094247,1334.0,-0.4026368850230178,0.1564729179982718,0.15758038249544828,0.0,0.0,-0.0
-0.5647193460414353,-0.5718735743634369,-0.5653285926065341,0.4102367602363329,-0.600810790523473,-0.7983492061504363,-0.5092973420406642,0.07682400955740042,-0.10520725510381163,-0.7041913197281248,-0.3437208371313795,1,2025-11-19T02:01:33.592966,0.447659007826923,0.10589281782094247,1334.0,-0.4026368850230178,0.1564729179982718,0.15758038249544828,0.447659007826923,0.10589281782094247,-0.4026368850230178
-0.7942504664506885,-0.7417060806872425,-0.7904556855543408,0.4189114767550412,-0.6608860360837765,-0.7759529007818047,-0.9158419645714801,0.08758721391315222,0.23328565262149953,-1.0642553155337549,-1.5121287711256806,0,2025-11-20T22:13:53.350128,,-0.5308854692096899,,,0.6336293437622188,0.6348361111992956,,-0.0,
-0.648502649185445,-0.6220760741815022,-0.6466283698547881,0.47038808490346234,-0.730674045896345,-0.7773978237088134,-0.5444493287832773,0.07477338891111926,-0.10520725510381163,-1.0518579109199109,-1.6020063045098576,0,2025-11-20T22:33:28.814974,-1.2268684190818677,,,,-0.4638304354948367,-0.4628520648195306,-0.0,,
-0.6541130580009864,-0.6345427172589995,-0.6527489683220478,0.4662014716283219,-0.7173639615506487,-0.7723405934642836,-0.560521508633987,0.04333923591466608,-0.10520725510381163,-1.0254251240538073,-1.5121287711256806,0,2025-11-20T22:52:56.710105,,,,2.0741763639470863,1.2221222688710491,1.2234515099340029,,,0.0
-0.6356437399539389,-0.615785520548785,-0.6342557201031652,0.672400321137121,-0.5540456293088648,-0.7755916700500528,-0.48422383359704274,0.17535981175279614,-0.10520725510381163,-0.7104447421599795,-1.0627411042047956,0,2025-11-20T23:12:43.086269,,,8958.0,,0.6495345579543352,0.6507446354894088,,,
-0.8194602628447654,-0.7616502212593265,-0.8152777120886668,0.2380875809136831,-0.7918284874846788,-0.7737855163912923,-1.108709743988091,-0.027529985329019558,-0.10520725510381163,-1.0618591529822639,-0.8829860374364416,1,2025-11-20T23:28:36.848523,,-0.8691739341947134,,,0.2837146315353394,0.2848485768164893,,-0.8691739341947134,
-0.5686872699839449,-0.5738120005026326,-0.5691462708349118,0.2791049626553689,-0.7357102940271494,-0.7661996710244975,-0.5221648703886888,-0.025595318668756757,-0.10520725510381163,-1.0790352541414197,-0.7032309706680876,1,2025-11-20T23:49:06.435029,0.7306155748539035,,,,0.5859137011858241,0.5871105383289109,0.7306155748539035,,
-0.5674733288844725,-0.5697883354614522,-0.5677234003983002,0.21744698998342077,-0.7709640309427764,-0.7669221324880017,-0.5268943157515313,-0.06381625591158195,-0.4437001628291228,-1.067147531617365,-1.0627411042047956,1,2025-11-21T00:09:38.408199,,,,0.2728724714706885,0.69725020053073,0.6984702083597935,,,0.2728724714706885
-0.5610976918581764,-0.5717889703984399,-0.5619692428361036,0.6045456564842012,-0.5018844879541103,-0.6863676793072792,-0.4498900800972951,0.14352305618607025,-0.10520725510381163,-0.7188511273556578,-0.43359837051555655,1,2025-11-21T00:30:13.824595,,,1739.0,,0.061041632845504984,0.07803776104481461,,,
